"Co_Code","Co_Name","Stock Exchange","NSE Symbol","Industry","Sector","Year End","Equity Paid Up","Net Sales","PAT","PBIDT","Debt-Equity Ratio[Latest]","PBIDTM (%)[Latest]"
6,"ACC","NSE","ACC","Cement - Major - North India","Cement",201112,187.95,9660.29,1325.26,2112.63,0,12.57
6,"ACC","NSE","ACC","Cement - Major - North India","Cement",201212,187.95,11357.96,1061.19,2125.02,0,12.57
6,"ACC","NSE","ACC","Cement - Major - North India","Cement",201312,187.95,11149.61,1095.76,1914.46,0,12.57
6,"ACC","NSE","ACC","Cement - Major - North India","Cement",201412,187.95,11738.21,1168.29,1775.54,0,12.57
6,"ACC","NSE","ACC","Cement - Major - North India","Cement",201512,187.95,11796.83,591.57,1503.35,0,12.57
9,"Aegis Logistics","NSE","AEGISCHEM","Trading - Medium / Small","Trading",201103,33.4,258.95,31.22,62.18,0.25,26.31
9,"Aegis Logistics","NSE","AEGISCHEM","Trading - Medium / Small","Trading",201203,33.4,284.3,41.06,72.13,0.25,26.31
9,"Aegis Logistics","NSE","AEGISCHEM","Trading - Medium / Small","Trading",201303,33.4,383.77,40.07,75.29,0.25,26.31
9,"Aegis Logistics","NSE","AEGISCHEM","Trading - Medium / Small","Trading",201403,33.4,370.85,19.41,56.58,0.25,26.31
9,"Aegis Logistics","NSE","AEGISCHEM","Trading - Medium / Small","Trading",201503,33.4,345.22,107.83,158.05,0.25,26.31
9,"Aegis Logistics","NSE","AEGISCHEM","Trading - Medium / Small","Trading",201603,33.4,357.35,53.87,94.01,0.25,26.31
17,"Amrutanjan Healt","NSE","AMRUTANJAN","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201103,3.03,103.38,10.68,18.15,0,19.3
17,"Amrutanjan Healt","NSE","AMRUTANJAN","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201203,2.92,134.96,13.24,24.84,0,19.3
17,"Amrutanjan Healt","NSE","AMRUTANJAN","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201303,2.92,135.06,12.12,23.5,0,19.3
17,"Amrutanjan Healt","NSE","AMRUTANJAN","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201403,2.92,138.83,14.52,26.15,0,19.3
17,"Amrutanjan Healt","NSE","AMRUTANJAN","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201503,2.92,163.32,17.12,29.36,0,19.3
17,"Amrutanjan Healt","NSE","AMRUTANJAN","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201603,2.92,184.38,22.42,37.28,0,19.3
19,"Andhra Cements","NSE","ANDHRACEMT","Cement - Major - South India","Cement",201106,146.02,62.77,-24.6,-16.14,11.2,10.89
19,"Andhra Cements","NSE","ANDHRACEMT","Cement - Major - South India","Cement",201203,293.52,0.02,9.67,30.35,11.2,10.89
19,"Andhra Cements","NSE","ANDHRACEMT","Cement - Major - South India","Cement",201303,293.52,0,-20.68,-26.43,11.2,10.89
19,"Andhra Cements","NSE","ANDHRACEMT","Cement - Major - South India","Cement",201403,293.52,0,-78.21,-11.47,11.2,10.89
19,"Andhra Cements","NSE","ANDHRACEMT","Cement - Major - South India","Cement",201506,293.52,278.01,-98.89,-11.26,11.2,10.89
19,"Andhra Cements","NSE","ANDHRACEMT","Cement - Major - South India","Cement",201603,293.52,291.96,-65.11,36.86,11.2,10.89
20,"Internat. Paper","NSE","IPAPPM","Paper - Large","Paper",201103,39.77,781.82,44.94,163.93,1.13,11.32
20,"Internat. Paper","NSE","IPAPPM","Paper - Large","Paper",201112,39.77,595.22,-97.81,73.55,1.13,11.32
20,"Internat. Paper","NSE","IPAPPM","Paper - Large","Paper",201303,39.77,1230.5,-23.7,122.58,1.13,11.32
