co_code,co_name
6,ACC
9,Aegis Logistics
17,Amrutanjan Healt
19,Andhra Cements
20,Internat. Paper
23,Apollo Tyres
29,Arvind Ltd
31,Ashok Leyland
33,Asian Hotels (N)
34,Asian Paints
35,Assam CO. (I)
37,SKF India
39,Astrazeneca Phar
42,Atlas Cycles
43,Atul
50,Bajaj Holdings
51,Bajaj Electrical
55,Balkrishna Inds
56,Ballarpur Inds.
57,Bannari Amm.Sug.
59,BASF India
60,Bata India
62,Bayer Crop Sci.
64,Berger Paints
68,Bharat Bijlee
69,Bharat Forge
70,Bharat Gears
72,Sintex Inds.
77,Birla Corpn.
78,Birla Power Sol.
79,Bliss GVS Pharma
81,Blue Blends (I)
82,Blue Star
84,Bombay Burmah
85,Bombay Dyeing
88,Reliance Infra.
90,Abbott India
93,Britannia Inds.
99,CESC
102,Graphite India
103,Carborundum Uni.
104,CEAT
105,ITD Cem
106,Century Enka
107,Century Textiles
111,Exide Inds.
114,Cipla
116,Clutch Auto
117,DIC India
118,Colgate-Palm.
119,Clariant Chemica
121,Tata Coffee
123,Coromandel Inter
124,Cosmo Films
125,Crompton Greaves
128,DCM
131,Dalmia Bharat
134,Deccan Cements
135,Deepak Fert.
136,Deepak Nitrite
141,DCW
148,EID Parry
149,Merck
150,EIH
151,Eicher Motors
152,Elecon Engg.Co
154,Electrost.Cast.
155,Elgi Equipment
159,GE T&D India
160,Hinduja Foundrie
161,Escorts
164,Essel Propack
165,Everest Inds.
166,Excel Inds.
171,Finolex Cables
172,First Leasing Co
175,Nestle India
180,GKW
183,Delta Magnets
184,Gabriel India
186,Gammon India
190,Garware-Wall Rop
195,Glaxosmit Pharma
196,Goa Carbon
197,Federal-Mogul Go
200,Kansai Nerolac
204,Saregama India
207,GE Shipping Co
208,Greaves Cotton
209,Grindwell Norton
210,Golden Tobacco
213,G N F C
214,Setco Automotive
217,Guj Alkalies
218,Ambuja Cem.
226,G S F C
227,Grasim Inds
230,H D F C
231,GlaxoSmith C H L
233,Harri. Malayalam
237,Hero Motocorp
242,A B B
245,Hind.Construct.
246,Hind.Dorr-Oliver
247,Hind.Motors
249,Bajaj Hindusthan
250,HSIL
251,HEG
252,Hindalco Inds.
253,Hind.Composites
255,Hind. Unilever
256,Sanofi India
257,Hotel Leela Ven.
259,Hil Ltd
262,Zensar Tech.
265,GOCL Corpn.
266,Akzo Nobel
270,India Cements
278,Indian CardCloth
281,IFB Inds.
282,Indian Hotels
283,Indian Hume Pipe
284,Linde India
285,Aditya Bir. Nuv.
288,Gillette India
292,Castrol India
295,Ingersoll-Rand
298,Tata Inv.Corpn.
300,Tata Sponge Iron
301,ITC
302,IVP
303,J B Chem & Pharm
304,JK Tyre & Indust
311,Jay Shree Tea
312,Jenson & Nich.
316,K C P
322,Kalyani Steels
328,Whirlpool India
329,Kesoram Inds.
330,Khaitan Elect.
336,Kirl. Brothers
337,Cummins India
341,Kothari Sugars
342,KSB Pumps
345,Trent
346,Lak. Mach. Works
347,Lak. Prec. Screw
348,Larsen & Toubro
351,LML
355,Manugraph India
357,The Ramco Cement
363,Mah. Scooters
365,M & M
367,Mangalam Cement
368,Mangalore Chem.
372,Max Financial
378,Bosch
384,Modern Insulator
387,Modi Rubber
390,Peninsula Land
391,MRF
392,Mukand
396,Heidelberg Cem.
401,NCL Inds.
410,NELCO
412,Piramal Enterp.
415,NOCIL
419,Orient Abrasives
420,Orient Paper
421,Oriental Hotels
422,OCL India
425,Oswal Agro Mills
434,Pfizer
435,Phillips Carbon
444,Prakash Inds.
445,Surya Roshni
446,Fag Bearings
447,Premier
450,Pressman Adv.
453,Pudumjee Pulp
457,Punjab Chemicals
465,Rallis India
470,Rane Holdings
474,Raymond
476,Reliance Inds.
478,Revathi Equipmnt
480,P & G Hygiene
484,Rollatainers
502,Vedanta
503,Seshasayee Paper
505,Shalimar Paints
508,Shree Cement
513,SRF
514,Siemens
515,Sirpur Paper
516,Siyaram Silk
519,Somany Ceramics
525,S P I C
526,TVS Srichakra
529,Standard Inds.
533,Steel Tubes (I)
535,JK Lakshmi Cem.
536,Kitply Inds.
537,Sundaram Brake
538,Sundaram Clayton
539,Sundram Fasten.
540,Sundaram Finance
541,Supreme Inds.
544,SML ISUZU
549,Talbros Auto.
552,Tata Chemicals
554,Tata Power Co.
555,Infomedia Press
556,TRF
557,Tata Global
560,Tata Motors
562,Texmaco Infrast.
563,Thirumalai Chem.
564,Thomas Cook (I)
565,Tinplate Co.
566,Tata Steel
569,TIL
573,Tube Investments
577,Unichem Labs.
578,Eveready Inds.
580,U B Holdings
587,Universal Cables
592,Jubilant Life
597,Voltas
598,VST Inds.
600,UB Engg.
601,W S Inds.
602,Walchan. Inds.
606,Wendt India
607,West Coast Paper
609,Wheels India
611,Willard India
614,Wipro
618,XPRO India
620,Zenith Birla
621,Zuari Global
622,Automotive Axles
623,Malwa Cotton Spg
632,Alembic
633,Alkyl Amines
636,Apollo Hospitals
641,Oswal Green Tech
644,Cimmco
651,Dynamatic Tech.
655,Global Offshore
657,Godfrey Phillips
667,Indo National
670,Nalwa Sons Invst
672,JBF Inds.
677,Lyka Labs
683,Modern Denim
688,NRC
690,NESCO
694,Oudh Sugar Mills
695,Marathon Nextgen
700,RSWM Ltd
702,Rico Auto Inds
704,Ruchi Soya Inds.
720,V I P Inds.
722,Vindhya Telelink
732,Balmer Lawrie
737,Dhunseri Petro.
743,Kanoria Chem.
745,Williamson Magor
751,McNally Bharat
755,Oriental Carbon
765,Upper Gang. Sug.
770,Peria Kara. Tea
771,Sakthi Sugars
780,TTK Healthcare
782,Lumax Inds.
798,Varun Ship. Co.
799,Ador Welding
805,Oricon Enter.
807,Mangalam Timber
808,Sudarshan Chem.
809,Windsor Machines
810,Uniphos Enter.
815,Dr Reddy's Labs
820,Uttam Value Ste.
825,BSL
830,Rajas. Petro Syn
831,Regency Ceramics
840,IFB Agro Inds.
842,Himatsing. Seide
848,T N Petro Prod.
866,INEOS Styrolut.
897,Gandhi Spl. Tube
922,Kesar Enterprise
927,Twilight Litaka
932,Vardhman Textile
941,Munjal Showa
942,Nahar Spinning
955,Rain Industries
965,Jindal Saw
968,Shanthi Gears
974,STI India
976,Winsome Diamonds
979,Tainwala Chem.
983,Vardhman Hold.
986,Unitech
991,Banco Products
992,Natl. Steel&Agro
998,Zandu Realty
1000,Sagar Cements
1016,Titan Company
1019,HCL Infosystems
1022,Garden Silk Mill
1024,Asahi India Glas
1026,GHCL
1028,Honda Siel Power
1035,Nicco Corpn.
1052,Visaka Inds.
1054,Sona Koyo Steer.
1056,Polyplex Corpn
1057,Uttam Galva
1058,Ester Inds.
1062,JCT Electronics
1065,Sunflag Iron
1066,Murudesh Ceramic
1071,Kirloskar Indus.
1074,Guj. Sidhee Cem.
1075,Munjal Auto Inds
1076,Usha Martin
1079,AGC Networks
1082,Classic Diamonds
1083,Samtel Color
1093,Aban Offshore
1095,EIH Assoc.Hotels
1097,Kokuyo Camlin
1102,The Hi-Tech Gear
1105,India Glycols
1106,Huhtamaki PPL
1119,Pennar Inds.
1121,Subros
1127,Jain Irrigation
1128,Guj Fluorochem
1129,Kajaria Ceramics
1131,Honeywell Auto
1140,Sarda Energy
1147,Esab India
1149,Jamna Auto Inds.
1150,Jay Bharat Mar.
1165,Monsanto India
1167,Value Industries
1180,Shrenuj & Co.
1186,Nahar Indl. Ent.
1189,H F C L
1190,Oil Country
1196,Jyoti Structures
1208,Eurotex Inds.
1210,Modern Terry Tow
1214,Bhansali Engg.
1215,Pearl Polymers
1216,Chemfab Alkalis
1220,Indo Rama Synth.
1223,Can Fin Homes
1224,Vinyl Chemicals
1225,Dharani Sugars
1227,Kabra Extrusion
1250,Venky's (India)
1252,Finolex Inds.
1254,Albert David
1255,Amtek Auto
1258,Shiva Texyarn
1259,Ansal Housing
1287,Hind Syntex
1291,Jindal Drilling
1305,Lloyds Finance
1310,Modern Syntex
1313,Moser Baer (I)
1318,Omax Autos
1320,Patel Engg.
1321,Polar Inds.
1322,PTL Enterprises
1338,Steel Str. Wheel
1344,Swaraj Engines
1358,Weizmann
1369,Man Inds.
1375,St Bk of India
1389,Autolite (I)
1393,ORG Informatics
1394,Shreyans Inds.
1419,ICDS
1436,Rajshree Sugars
1437,Ruby Mills
1467,Advani Hotels.
1470,Hind Rectifiers
1474,Uflex
1514,Ucal Fuel Sys.
1520,Spice Mobility
1524,Vadilal Inds.
1538,Anant Raj
1559,Harita Seating
1572,Jai Corp
1590,Geodesic
1610,Sical Logistics
1623,Sujana Univ. Ind
1627,Navneet Educat.
1693,Good Value Mktg
1706,Superhouse Ltd
1710,IL&FS Inv.Manag.
1725,Hind.Oil Explor.
1729,PAE
1736,Suman Motels
1741,Century Extrus.
1742,Godrej Inds.
1745,Shriram Trans.
1765,T T
1774,Dhanuka Agritech
1781,Kirl. Electric
1783,Super Forgings
1792,Manali Petrochem
1809,Asian Electronic
1813,GRP
1814,Dewan Hsg. Fin.
1840,AVT Natural Prod
1846,Ginni Filaments
1861,Kakatiya Cement
1866,Reliance Capital
1878,Thiru Aroor. Su.
1889,Salzer Electron.
1896,Sterling Biotech
1903,Precot Meridian
1905,Super Spinning
1907,India Nipp.Elec.
1908,Pricol
1909,Rolta India
1926,Ramco Inds.
1927,L G Balakrishnan
1938,Motor & Gen Fin
1941,United Nilgiri
1945,India Motor Part
1952,Suryalak. Cott.
1957,Ruchi Infrastr.
1960,Indo Count Inds.
1967,Guj. Lease Fin.
1971,Spanco Ltd
1973,IOL Chemicals
1975,Hercules Hoists
1988,DE Nora India
2004,Arshiya
2006,AYM Syntex
2035,Apar Inds.
2036,Orient Bell
2039,Donear Inds.
2053,Nova Electro
2060,Maha Rashtra Apx
2061,Nilkamal Ltd
2074,Nahar Poly
2075,TECIL Chemical
2086,Sequent Scien.
2096,3M India
2100,Johnson Con. Hit
2105,HB Stockholdings
2110,Amara Raja Batt.
2113,JM Financial
2117,Swan Energy
2129,T N Telecom.
2141,EMCO
2146,Agro Tech Foods.
2153,Radico Khaitan
2163,Cholaman.Inv.&Fn
2165,Star Paper Mills
2168,S & S Power Swit
2171,Jagsonpal Pharma
2174,NEPC India
2191,Mah. Seamless
2195,Rel. Indl. Infra
2198,Maral Overseas
2202,I G Petrochems
2208,Balrampur Chini
2216,High Ground
2226,Timken India
2227,Welspun India
2247,Vinati Organics
2259,Andhra Sugars
2278,Ganesha Ecosphe.
2285,Gufic BioScience
2290,B P C L
2292,MMTC
2293,M T N L
2294,BEML Ltd
2295,Tata Comm
2297,R C F
2298,Bharat Electron
2299,S A I L
2300,S T C
2301,F A C T
2302,Hind.Organ.Chem.
2303,NLC India
2304,Natl. Aluminium
2305,H P C L
2306,B H E L
2307,Hind.Zinc
2322,Tata Elxsi
2323,HMT
2329,Bhagyanagar Ind
2330,Kotak Mah. Bank
2334,ITI
2335,Dredging Corpn.
2337,DCM Shriram
2338,Mawana Sugars
2339,C P C L
2347,S C I
2356,Metalyst Forg.
2362,Autoriders Fin.
2370,Rainbow Papers
2371,Genesys Intl.
2378,Aarti Inds.
2381,IFGL Refractor
2385,Binani Inds
2386,Ausom Enter.
2393,Wanbury
2395,Grand Foundry
2396,Suryajyoti Spg.
2400,Prec. Wires (I)
2401,HBL Power System
2404,Ajmera Realty
2410,Arcotech Ltd
2412,Khaitan (India)
2415,Gillanders Arbut
2416,ADF Foods
2437,NEPC Agro Foods
2439,GTL
2447,Easun Reyrolle
2461,UPL
2467,Future Enterp.
