#,Source,Pair,Volume (24h),Price,Volume (%),Updated
1,Bitfinex,BTC/USD,97209100,4299.9000,8.62%,Recently
2,bitFlyer,BTC/JPY,52117800,4302.5400,4.62%,Recently
3,Bithumb,BTC/KRW,51150100,4334.0500,4.54%,Recently
4,Bitstamp,BTC/USD,42716100,4307.9700,3.79%,Recently
5,GDAX,BTC/USD,40917400,4312.0300,3.63%,Recently
6,HitBTC,BCC/BTC,37448000,4362.9700,3.32%,Recently
7,WEX,BTC/USD,24168500,4376.8600,2.14%,Recently
8,Kraken,BTC/EUR,23057400,4312.5200,2.04%,Recently
9,Gemini,BTC/USD,21497600,4300.7400,1.91%,Recently
10,BTCC,BTC/USD,19096900,4370.0000,1.69%,Recently
11,Bittrex,BTC/USDT,18959800,4309.6200,1.68%,Recently
12,Binance,NEO/BTC,17482100,4346.4600,1.55%,Recently
13,Bittrex,NEO/BTC,17115500,4340.4500,1.52%,Recently
14,Kraken,BTC/USD,16253400,4318.4000,1.44%,Recently
15,Bittrex,ADA/BTC,13997700,4320.9700,1.24%,Recently
16,HitBTC,XMR/BTC,13147800,4327.9600,1.17%,Recently
17,CHBTC,BTC/CNY,13045000,4088.9800,1.16%,Recently
18,Poloniex,BTC/USDT,12742900,4303.1200,1.13%,Recently
19,Korbit,BTC/KRW,11811400,4337.5500,1.05%,Recently
20,Bitfinex,ETH/BTC,11776800,4322.7900,1.04%,Recently
21,Bittrex,ETH/BTC,11358000,4320.8900,1.01%,Recently
22,Poloniex,ETH/BTC,10811500,4325.7000,0.96%,Recently
23,Binance,WTC/BTC,10563200,4296.0700,0.94%,Recently
24,OKCoin.cn,BTC/CNY,9712540,4146.5200,0.86%,Recently
25,Binance,ETH/BTC,9708900,4303.4400,0.86%,Recently
26,LakeBTC,BTC/USD,9558400,4461.3000,0.85%,Recently
27,Bittrex,QTUM/BTC,9403450,4292.9200,0.83%,Recently
28,Coinone,BTC/KRW,9328460,4333.1700,0.83%,Recently
29,Bittrex,EMC2/BTC,8875440,4337.1600,0.79%,Recently
30,Poloniex,BTS/BTC,8629990,4045.5300,0.77%,Recently
31,YoBit,ETH/BTC,8423760,4349.4200,0.75%,Recently
32,itBit,BTC/USD,7834180,4309.4400,0.69%,Recently
33,CoinsBank,BTC/EUR,7715510,4313.8000,0.68%,Recently
34,Binance,BNB/BTC,7579960,4328.2000,0.67%,Recently
35,Binance,SNM/BTC,7339670,4233.8600,0.65%,Recently
36,BCC Exchange,BCC/BTC,7312270,4319.3000,0.65%,Recently
37,CoinsBank,BTC/USD,6738020,4255.0900,0.60%,Recently
38,HitBTC,ZEC/BTC,6627800,4311.2900,0.59%,Recently
39,Bitstamp,BTC/EUR,6377440,4317.3400,0.57%,Recently
40,Bittrex,STRAT/BTC,6367550,4298.0000,0.56%,Recently
41,Bittrex,OMG/BTC,6302970,4324.5900,0.56%,Recently
42,Bittrex,ADX/BTC,6252860,4334.1800,0.55%,Recently
43,Gatecoin,BTC/USD,6194660,4416.9000,0.55%,Recently
44,Gatecoin,BTC/HKD,6083890,4457.3900,0.54%,Recently
45,GDAX,BTC/EUR,5989810,4395.0000,0.53%,Recently
46,HitBTC,ETH/BTC,5458110,4322.2200,0.48%,Recently
47,Bittrex,BAT/BTC,5344080,4318.4900,0.47%,Recently
48,HitBTC,BTC/USDT,5322870,4318.6400,0.47%,Recently
49,Bitfinex,BCH/BTC,5122860,4334.6900,0.45%,Recently
50,Bittrex,BTS/BTC,4941540,4073.5100,0.44%,Recently
51,Livecoin,ETH/BTC,4686350,4346.0900,0.42%,Recently
52,HitBTC,DASH/BTC,4552880,4324.7500,0.40%,Recently
53,Bittrex,PIVX/BTC,4534110,4361.2900,0.40%,Recently
54,Gatecoin,ETH/BTC,4424210,4330.4000,0.39%,Recently
55,BitBay,BTC/PLN,4347760,4304.2000,0.39%,Recently
56,Bittrex,BCC/BTC,4314470,4344.4800,0.38%,Recently
57,Poloniex,XMR/BTC,4287780,4332.7000,0.38%,Recently
58,Poloniex,DASH/BTC,4148100,4298.1400,0.37%,Recently
59,Bittrex,IOP/BTC,4101710,4285.9600,0.36%,Recently
60,YoBit,LSK/BTC,4065270,4317.2500,0.36%,Recently
61,Huobi,BTC/CNY,3928160,4047.1800,0.35%,Recently
62,Bittrex,XRP/BTC,3898650,4319.8000,0.35%,Recently
63,Binance,BTC/USDT,3831270,4313.6200,0.34%,Recently
64,Poloniex,XRP/BTC,3732450,4304.4200,0.33%,Recently
65,Binance,LINK/BTC,3670800,4308.7100,0.33%,Recently
66,CEX.IO,BTC/USD,3588840,4364.0000,0.32%,Recently
67,CoinExchange,REC/BTC,3582660,4330.6100,0.32%,Recently
68,Binance,QTUM/BTC,3259440,4292.9200,0.29%,Recently
69,Bittrex,LSK/BTC,3246300,4368.2000,0.29%,Recently
70,Bittrex,DGB/BTC,3116910,4316.4300,0.28%,Recently
71,Poloniex,BCH/BTC,2946190,4332.2400,0.26%,Recently
72,Bittrex,LTC/BTC,2781100,4337.0400,0.25%,Recently
73,Poloniex,STRAT/BTC,2705530,4292.3400,0.24%,Recently
74,BTC38,BTC/CNY,2701000,4265.3300,0.24%,Recently
75,Tidex,BCH/BTC,2635690,4338.7800,0.23%,Recently
76,Poloniex,ZEC/BTC,2528850,4320.8800,0.22%,Recently
77,Binance,MCO/BTC,2516690,4304.5400,0.22%,Recently
78,Tidex,WAVES/BTC,2495100,4315.5300,0.22%,Recently
79,GetBTC,BTC/EUR,2461560,4395.6400,0.22%,Recently
80,GetBTC,BTC/USD,2460700,4394.1100,0.22%,Recently
81,Bitfinex,LTC/BTC,2434500,4323.5200,0.22%,Recently
82,GetBTC,BTC/RUB,2401010,4287.5200,0.21%,Recently
83,Kraken,ETH/BTC,2328420,4317.1000,0.21%,Recently
84,Bitfinex,DSH/BTC,2269040,4315.0200,0.20%,Recently
85,Bitfinex,IOT/BTC,2204680,4340.6700,0.20%,Recently
86,Livecoin,BTC/USD,2154930,4327.9600,0.19%,Recently
87,ACX,BTC/AUD,2121490,4368.1700,0.19%,Recently
88,Poloniex,LTC/BTC,2116580,4324.5200,0.19%,Recently
89,CoinExchange,ELIX/BTC,2053500,4495.0400,0.18%,Recently
90,HitBTC,XDN/BTC,2048400,4324.4100,0.18%,Recently
91,LakeBTC,BTC/JPY,2028580,4467.0900,0.18%,Recently
92,Bittrex,PAY/BTC,2002690,4316.0900,0.18%,Recently
93,Bittrex,ARK/BTC,1975100,4297.4500,0.18%,Recently
94,Bit-Z,ETH/BTC,1951460,4350.9900,0.17%,Recently
95,Bittrex,RDD/BTC,1918000,4509.7900,0.17%,Recently
96,Binance,LTC/BTC,1914390,4361.1000,0.17%,Recently
97,Binance,BCC/BTC,1889490,4351.0600,0.17%,Recently
98,Coinfloor,BTC/GBP,1861400,4319.4700,0.17%,Recently
99,GDAX,ETH/BTC,1851640,4322.7900,0.16%,Recently
100,Allcoin,QTUM/BTC,1843720,4294.4600,0.16%,Recently
101,Liqui,VEN/BTC,1813620,4365.3600,0.16%,Recently
102,YoBit,WAVES/BTC,1803110,4318.4700,0.16%,Recently
103,Poloniex,DGB/BTC,1783590,4343.1600,0.16%,Recently
104,Allcoin,HSR/BTC,1774260,4685.5700,0.16%,Recently
105,OKEx,BCC/BTC,1719050,4341.6800,0.15%,Recently
106,Bitfinex,XMR/BTC,1717700,4327.3400,0.15%,Recently
107,Cryptopia,ODN/BTC,1705810,4273.0000,0.15%,Recently
