PING api.etherdelta.com (104.20.111.62) 56(84) bytes of data.
64 bytes from 104.20.111.62: icmp_seq=1 ttl=55 time=70.8 ms
64 bytes from 104.20.111.62: icmp_seq=2 ttl=55 time=58.3 ms
64 bytes from 104.20.111.62: icmp_seq=3 ttl=55 time=54.9 ms
64 bytes from 104.20.111.62: icmp_seq=4 ttl=55 time=65.2 ms
64 bytes from 104.20.111.62: icmp_seq=5 ttl=55 time=68.9 ms
64 bytes from 104.20.111.62: icmp_seq=6 ttl=55 time=58.0 ms
64 bytes from 104.20.111.62: icmp_seq=7 ttl=55 time=56.3 ms
64 bytes from 104.20.111.62: icmp_seq=9 ttl=55 time=84.8 ms
64 bytes from 104.20.111.62: icmp_seq=10 ttl=55 time=95.4 ms
64 bytes from 104.20.111.62: icmp_seq=11 ttl=55 time=116 ms
64 bytes from 104.20.111.62: icmp_seq=12 ttl=55 time=80.2 ms
64 bytes from 104.20.111.62: icmp_seq=13 ttl=55 time=66.6 ms
64 bytes from 104.20.111.62: icmp_seq=14 ttl=55 time=59.5 ms
64 bytes from 104.20.111.62: icmp_seq=15 ttl=55 time=60.6 ms
64 bytes from 104.20.111.62: icmp_seq=16 ttl=55 time=69.0 ms
64 bytes from 104.20.111.62: icmp_seq=17 ttl=55 time=67.1 ms
64 bytes from 104.20.111.62: icmp_seq=18 ttl=55 time=76.4 ms
64 bytes from 104.20.111.62: icmp_seq=19 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=20 ttl=55 time=54.5 ms
64 bytes from 104.20.111.62: icmp_seq=21 ttl=55 time=59.9 ms
64 bytes from 104.20.111.62: icmp_seq=22 ttl=55 time=58.0 ms
64 bytes from 104.20.111.62: icmp_seq=24 ttl=55 time=61.3 ms
64 bytes from 104.20.111.62: icmp_seq=25 ttl=55 time=82.7 ms
64 bytes from 104.20.111.62: icmp_seq=26 ttl=55 time=93.1 ms
64 bytes from 104.20.111.62: icmp_seq=27 ttl=55 time=79.9 ms
64 bytes from 104.20.111.62: icmp_seq=28 ttl=55 time=71.4 ms
64 bytes from 104.20.111.62: icmp_seq=29 ttl=55 time=70.8 ms
64 bytes from 104.20.111.62: icmp_seq=30 ttl=55 time=57.2 ms
64 bytes from 104.20.111.62: icmp_seq=31 ttl=55 time=54.2 ms
64 bytes from 104.20.111.62: icmp_seq=32 ttl=55 time=59.6 ms
64 bytes from 104.20.111.62: icmp_seq=33 ttl=55 time=57.3 ms
64 bytes from 104.20.111.62: icmp_seq=34 ttl=55 time=56.6 ms
64 bytes from 104.20.111.62: icmp_seq=35 ttl=55 time=60.2 ms
64 bytes from 104.20.111.62: icmp_seq=36 ttl=55 time=56.0 ms
64 bytes from 104.20.111.62: icmp_seq=37 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=39 ttl=55 time=66.1 ms
64 bytes from 104.20.111.62: icmp_seq=40 ttl=55 time=95.6 ms
64 bytes from 104.20.111.62: icmp_seq=41 ttl=55 time=65.9 ms
64 bytes from 104.20.111.62: icmp_seq=42 ttl=55 time=72.4 ms
64 bytes from 104.20.111.62: icmp_seq=43 ttl=55 time=59.0 ms
64 bytes from 104.20.111.62: icmp_seq=44 ttl=55 time=64.8 ms
64 bytes from 104.20.111.62: icmp_seq=45 ttl=55 time=57.7 ms
64 bytes from 104.20.111.62: icmp_seq=46 ttl=55 time=55.5 ms
64 bytes from 104.20.111.62: icmp_seq=47 ttl=55 time=71.7 ms
64 bytes from 104.20.111.62: icmp_seq=48 ttl=55 time=62.7 ms
64 bytes from 104.20.111.62: icmp_seq=49 ttl=55 time=70.2 ms
64 bytes from 104.20.111.62: icmp_seq=50 ttl=55 time=59.9 ms
64 bytes from 104.20.111.62: icmp_seq=51 ttl=55 time=58.1 ms
64 bytes from 104.20.111.62: icmp_seq=52 ttl=55 time=56.2 ms
64 bytes from 104.20.111.62: icmp_seq=54 ttl=55 time=65.5 ms
64 bytes from 104.20.111.62: icmp_seq=55 ttl=55 time=124 ms
64 bytes from 104.20.111.62: icmp_seq=56 ttl=55 time=62.7 ms
64 bytes from 104.20.111.62: icmp_seq=57 ttl=55 time=52.8 ms
64 bytes from 104.20.111.62: icmp_seq=58 ttl=55 time=60.2 ms
64 bytes from 104.20.111.62: icmp_seq=59 ttl=55 time=83.4 ms
64 bytes from 104.20.111.62: icmp_seq=60 ttl=55 time=78.7 ms
64 bytes from 104.20.111.62: icmp_seq=61 ttl=55 time=57.6 ms
64 bytes from 104.20.111.62: icmp_seq=62 ttl=55 time=56.2 ms
64 bytes from 104.20.111.62: icmp_seq=63 ttl=55 time=59.8 ms
64 bytes from 104.20.111.62: icmp_seq=64 ttl=55 time=56.8 ms
64 bytes from 104.20.111.62: icmp_seq=65 ttl=55 time=61.5 ms
64 bytes from 104.20.111.62: icmp_seq=66 ttl=55 time=54.9 ms
64 bytes from 104.20.111.62: icmp_seq=67 ttl=55 time=54.2 ms
64 bytes from 104.20.111.62: icmp_seq=69 ttl=55 time=85.6 ms
64 bytes from 104.20.111.62: icmp_seq=70 ttl=55 time=81.8 ms
64 bytes from 104.20.111.62: icmp_seq=71 ttl=55 time=91.7 ms
64 bytes from 104.20.111.62: icmp_seq=72 ttl=55 time=87.0 ms
64 bytes from 104.20.111.62: icmp_seq=73 ttl=55 time=66.4 ms
64 bytes from 104.20.111.62: icmp_seq=74 ttl=55 time=60.0 ms
64 bytes from 104.20.111.62: icmp_seq=75 ttl=55 time=53.6 ms
64 bytes from 104.20.111.62: icmp_seq=76 ttl=55 time=57.5 ms
64 bytes from 104.20.111.62: icmp_seq=77 ttl=55 time=55.4 ms
64 bytes from 104.20.111.62: icmp_seq=78 ttl=55 time=72.1 ms
64 bytes from 104.20.111.62: icmp_seq=79 ttl=55 time=71.0 ms
64 bytes from 104.20.111.62: icmp_seq=80 ttl=55 time=70.6 ms
64 bytes from 104.20.111.62: icmp_seq=81 ttl=55 time=68.2 ms
64 bytes from 104.20.111.62: icmp_seq=82 ttl=55 time=101 ms
64 bytes from 104.20.111.62: icmp_seq=83 ttl=55 time=132 ms
64 bytes from 104.20.111.62: icmp_seq=84 ttl=55 time=59.5 ms
64 bytes from 104.20.111.62: icmp_seq=85 ttl=55 time=55.5 ms
64 bytes from 104.20.111.62: icmp_seq=86 ttl=55 time=59.0 ms
64 bytes from 104.20.111.62: icmp_seq=87 ttl=55 time=57.3 ms
64 bytes from 104.20.111.62: icmp_seq=88 ttl=55 time=63.7 ms
64 bytes from 104.20.111.62: icmp_seq=89 ttl=55 time=77.8 ms
64 bytes from 104.20.111.62: icmp_seq=90 ttl=55 time=69.7 ms
64 bytes from 104.20.111.62: icmp_seq=91 ttl=55 time=57.2 ms
64 bytes from 104.20.111.62: icmp_seq=92 ttl=55 time=72.9 ms
64 bytes from 104.20.111.62: icmp_seq=93 ttl=55 time=53.9 ms
64 bytes from 104.20.111.62: icmp_seq=94 ttl=55 time=56.0 ms
64 bytes from 104.20.111.62: icmp_seq=95 ttl=55 time=59.2 ms
64 bytes from 104.20.111.62: icmp_seq=96 ttl=55 time=55.7 ms
64 bytes from 104.20.111.62: icmp_seq=97 ttl=55 time=64.3 ms
64 bytes from 104.20.111.62: icmp_seq=98 ttl=55 time=163 ms
64 bytes from 104.20.111.62: icmp_seq=99 ttl=55 time=69.1 ms
64 bytes from 104.20.111.62: icmp_seq=100 ttl=55 time=61.2 ms
64 bytes from 104.20.111.62: icmp_seq=101 ttl=55 time=54.6 ms
64 bytes from 104.20.111.62: icmp_seq=102 ttl=55 time=59.4 ms
64 bytes from 104.20.111.62: icmp_seq=103 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=104 ttl=55 time=62.6 ms
64 bytes from 104.20.111.62: icmp_seq=105 ttl=55 time=65.4 ms
64 bytes from 104.20.111.62: icmp_seq=106 ttl=55 time=58.9 ms
64 bytes from 104.20.111.62: icmp_seq=107 ttl=55 time=57.4 ms
64 bytes from 104.20.111.62: icmp_seq=108 ttl=55 time=52.8 ms
64 bytes from 104.20.111.62: icmp_seq=109 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=110 ttl=55 time=62.3 ms
64 bytes from 104.20.111.62: icmp_seq=111 ttl=55 time=53.9 ms
64 bytes from 104.20.111.62: icmp_seq=112 ttl=55 time=56.7 ms
64 bytes from 104.20.111.62: icmp_seq=113 ttl=55 time=93.8 ms
64 bytes from 104.20.111.62: icmp_seq=114 ttl=55 time=55.8 ms
64 bytes from 104.20.111.62: icmp_seq=115 ttl=55 time=54.4 ms
64 bytes from 104.20.111.62: icmp_seq=116 ttl=55 time=73.4 ms
64 bytes from 104.20.111.62: icmp_seq=117 ttl=55 time=61.8 ms
64 bytes from 104.20.111.62: icmp_seq=118 ttl=55 time=59.1 ms
64 bytes from 104.20.111.62: icmp_seq=119 ttl=55 time=64.5 ms
64 bytes from 104.20.111.62: icmp_seq=120 ttl=55 time=62.5 ms
64 bytes from 104.20.111.62: icmp_seq=121 ttl=55 time=53.5 ms
64 bytes from 104.20.111.62: icmp_seq=122 ttl=55 time=64.3 ms
64 bytes from 104.20.111.62: icmp_seq=123 ttl=55 time=56.1 ms
64 bytes from 104.20.111.62: icmp_seq=125 ttl=55 time=56.0 ms
64 bytes from 104.20.111.62: icmp_seq=126 ttl=55 time=66.7 ms
64 bytes from 104.20.111.62: icmp_seq=127 ttl=55 time=57.3 ms
64 bytes from 104.20.111.62: icmp_seq=128 ttl=55 time=108 ms
64 bytes from 104.20.111.62: icmp_seq=129 ttl=55 time=64.1 ms
64 bytes from 104.20.111.62: icmp_seq=130 ttl=55 time=61.2 ms
64 bytes from 104.20.111.62: icmp_seq=131 ttl=55 time=221 ms
64 bytes from 104.20.111.62: icmp_seq=132 ttl=55 time=75.8 ms
64 bytes from 104.20.111.62: icmp_seq=133 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=134 ttl=55 time=67.7 ms
64 bytes from 104.20.111.62: icmp_seq=135 ttl=55 time=60.7 ms
64 bytes from 104.20.111.62: icmp_seq=136 ttl=55 time=59.1 ms
64 bytes from 104.20.111.62: icmp_seq=137 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=138 ttl=55 time=65.4 ms
64 bytes from 104.20.111.62: icmp_seq=139 ttl=55 time=66.9 ms
64 bytes from 104.20.111.62: icmp_seq=140 ttl=55 time=57.9 ms
64 bytes from 104.20.111.62: icmp_seq=141 ttl=55 time=55.2 ms
64 bytes from 104.20.111.62: icmp_seq=142 ttl=55 time=54.0 ms
64 bytes from 104.20.111.62: icmp_seq=143 ttl=55 time=69.8 ms
64 bytes from 104.20.111.62: icmp_seq=144 ttl=55 time=58.1 ms
64 bytes from 104.20.111.62: icmp_seq=145 ttl=55 time=56.5 ms
