,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,10.94577799,0.000013134933595131,0x3bedc86edaa5f3f07bba5c7d9c7c8b041f915d6d,2017-11-02T11:06:01.000Z,0.00000120000000065148,0xe97307d2eb5cf05b9bbf7ada2665e6ffdd0951d7,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0xb92cbc03f713ab13b2f4ce4d0b102b449bb8488e80d8894ec39889516af5d5f8
1,416.66666666,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-11-02T11:02:41.000Z,0.0000012000000000192,0xe97307d2eb5cf05b9bbf7ada2665e6ffdd0951d7,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0x407d802ff51bda3c788ff4b4e83466c023625f67befa94a18ec9e8b884859038
2,416.66666666,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T10:50:39.000Z,0.0000012000000000192,0xe97307d2eb5cf05b9bbf7ada2665e6ffdd0951d7,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0x73a6e5fee74f3578783f38a05de7a9de6301f95cbc8be8a79926ea0198b4569b
3,357.14285714,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T10:25:57.000Z,0.0000014000000000112,0x6bb286efda69a1dd493d9626c05c5fd36fc32244,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0xabd2f3a808658c2194b4590e8c8c5cfd043f99b2874efa0c13d2d9e3719aef50
4,2670,0.00978822,0xd8d06134e33e921cd7a7487a3e38cdbe82564f9c,2017-11-02T02:53:34.000Z,0.000003666,0x18d75ed5cdd83c97a5d7d318435c2ad017d0c42e,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0x848db96f5ac392829b30f6c82612c45b8d9808d66d7dd7f4e49d2d7229399012
5,5000,0.00895,0xd8d06134e33e921cd7a7487a3e38cdbe82564f9c,2017-11-02T02:50:11.000Z,0.00000179,0xdbbae39c54992479faac890e81eb4d8579b951d6,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0x46a5903cf3619732894ddf1e518d7cf4d9ec82ed031f10db4d23230869344e30
6,2304.252,0.0032259528,0xd8d06134e33e921cd7a7487a3e38cdbe82564f9c,2017-11-02T02:50:11.000Z,0.0000014,0x082b53c60797af3ecdcb072a57b7bcbc1729bceb,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0x6bb366bb2d2fd1dade0d132e680d6f8870218cfcb426bc48cc5532686ee44e84
7,6480.694,0.008405460118,0xd8d06134e33e921cd7a7487a3e38cdbe82564f9c,2017-11-02T02:48:49.000Z,0.000001297,0x76883638b90f3c35b379aa9038eaccdbb621f62c,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0xc457cd47df33c30200713fbd9b4a5caf3f2a07ff98b08a89e1601ded0de7fb58
8,51.30590427,0.000066543757850662,0xbfabba641941642a046d060de0afcb7c6ca05c46,2017-11-02T01:53:56.000Z,0.00000129700000024309,0x76883638b90f3c35b379aa9038eaccdbb621f62c,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0xad858fba9658d39eb929013e087339d80bf9f630e0928d95609009b0b4995814
9,1,0.000001297,0xed2ca7381d82f8fb9bcc54ea6ab6526e35aece25,2017-11-02T01:52:53.000Z,0.000001297,0x76883638b90f3c35b379aa9038eaccdbb621f62c,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0x4381101453bf9dae9d317861abb05c24e677ccf69eb111a3f1f903211c6e0d87
10,1,0.000001297,0xe2b48b3dd0b33283b4802e63e65518f27e635054,2017-11-02T01:52:53.000Z,0.000001297,0x76883638b90f3c35b379aa9038eaccdbb621f62c,buy,0x4e279d8638e8669fad40e018fc181d26ee780380,0xa0adeb9aa2084509d59a768f31326ed152dc8b110ca34e0f1e44bb62c357b08d
