,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,6.3802213139268265,0.004153524713388495,0x429c7cf947d18c6e14660975ba5272621a618b36,2017-11-02T11:23:45.000Z,0.0006510000999999999,0x5df5aa89101b99bb6072a6c22d21f771481a49c7,sell,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0xd4d1e176a745cbe6ad0b176dfb72e254235bc6ea9935b49a612d407f8dca75d5
1,7.5,0.0375,0xe6a4efa1caf974d59c48f2f5573cdad60398fa60,2017-11-02T07:49:08.000Z,0.005,0xfe100b41e2463194787391e411948096b08ed3b2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0xb47852977c0dab2c89cc82cb3689b3bfe489bc2bb6bf070421af20a9a785c6d5
2,1,0.004,0xe6a4efa1caf974d59c48f2f5573cdad60398fa60,2017-11-02T07:21:44.000Z,0.004,0xaf6255aa8d66d48468b97142054c09e2c30beeb1,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0x26f37a747c3f4011023776d22089eccefa56329413371f9cdccfa77a2e8da16a
3,14.3,0.0715,0xe6a4efa1caf974d59c48f2f5573cdad60398fa60,2017-11-01T16:19:56.000Z,0.005,0xfe100b41e2463194787391e411948096b08ed3b2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0xbb3d741584e79bce44ca3f3fb778f4ae43bd213ce3918fea82d455d3fb84604e
4,10,0.05,0xe6a4efa1caf974d59c48f2f5573cdad60398fa60,2017-11-01T16:19:21.000Z,0.005,0x7bd316b2fde7018a3420710d54c80ab4ca7d237a,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0x31107025ce227038edf4771dbe19e0eea6ea7ae4ca89e77d51630d3a77a6675b
5,1,0.0065,0xe1fa699860444be91d366c21de8fef56e3dec77a,2017-11-01T01:56:12.000Z,0.0065,0xfe100b41e2463194787391e411948096b08ed3b2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0x3cd12da4adbad4cd891016c532e3722825cfd41c146b462f83183ad3ecc5e9ae
6,0.05630630630630631,0.0005,0xf9695cd65d6dfdf257fab76a3eb0cb8f001971cc,2017-10-31T03:48:40.000Z,0.00888,0x937a6389f58b8fcf44a96fe95402baa91b9b7d89,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0xb18e38286d1725fa80790094b7861ba5e8e77fecbf51659f59d0761d18ba1b94
7,7.79,0.043624,0xe6a4efa1caf974d59c48f2f5573cdad60398fa60,2017-10-30T13:03:24.000Z,0.0056,0xfe100b41e2463194787391e411948096b08ed3b2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0x73274084957f294240ccb8273918ed3e340b9c272f2d88cfcfea9ed266709356
8,0.01,0.000056,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-30T12:37:11.000Z,0.0056,0xfe100b41e2463194787391e411948096b08ed3b2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0xdd5cf93ab8a331cd45ca6148acab0dde4fa846b17a37b3a2b414f0f8d6395a03
9,18,0.10008,0xe6a4efa1caf974d59c48f2f5573cdad60398fa60,2017-10-29T16:21:34.000Z,0.00556,0xec2502fb3e05e03f0c05a737a9de7567ec08f853,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0x0931ee95475a3ec47e9ed1cc3d3e9b3fd08281cdf7bc1f64561dba30c814d753
10,4.4,0.01936,0xe6a4efa1caf974d59c48f2f5573cdad60398fa60,2017-10-29T16:20:09.000Z,0.0044,0xfe100b41e2463194787391e411948096b08ed3b2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0x6498317a4606e86830e93e48248ee51790649227026e4c75195e53ca680c07a6
11,9,0.045,0xe6a4efa1caf974d59c48f2f5573cdad60398fa60,2017-10-29T08:03:36.000Z,0.005,0x937a6389f58b8fcf44a96fe95402baa91b9b7d89,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0x03b2235306e4584d09bf287a8074d4cc54d2e96f5822a1f4f1502c46be07f06c
12,0.05,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T21:25:47.000Z,0.01,0x62730e07dcba8ca181a9000a43377ee57b249df2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0xc8eba7b925a90fc0248d02a2d73b5bb437fe6a8deeb8efb41099acef1fb894ae
13,0.05,0.0005,0x16e5d97bbc92417e051e3b2cabfbf8ceea2acb9c,2017-10-28T20:42:10.000Z,0.01,0x62730e07dcba8ca181a9000a43377ee57b249df2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0x88d26a8527dcd4348b32c8dc3af7c10fcb3cb34e0232d5b573e47960f90afc92
14,0.05,0.0005,0x379374d13077e8867ef31803c37baf9785a17c00,2017-10-28T20:42:10.000Z,0.01,0x62730e07dcba8ca181a9000a43377ee57b249df2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0xceca25a7d274e3ab014c605a90e8d1c46775494086acf4c1bea0f8791782124d
15,0.05,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-28T20:39:29.000Z,0.01,0x62730e07dcba8ca181a9000a43377ee57b249df2,buy,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,0xc59a17b0661921871c58ce208c742fd68b937563cfe12d75a042cad2ee40eba9
