,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,8,0.0296,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-31T15:57:07.000Z,0.0037,0x9f4fbcf0c4448a58fc59972e54fae6a6156f6e5c,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xde148a9f45328f6affba85ea7f3e7c79c05facdf077de6c7d5cad199e769517f
1,47,0.17437,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-31T15:56:58.000Z,0.00371,0x9f4fbcf0c4448a58fc59972e54fae6a6156f6e5c,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xa6bf660b611661e92554ddce35e9424eafc3a4b8228172b4dd1d9fd223bc54b3
2,61,0.22753,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-31T15:56:36.000Z,0.00373,0x9f4fbcf0c4448a58fc59972e54fae6a6156f6e5c,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x178aae7343990c77ec028bbd2be7f25c91846cb2b11c5e1ad2c9bfa194d4e058
3,54,0.20682,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,2017-10-30T16:51:00.000Z,0.00383,0x8883aa40364c0080edabb6ad3661903039bd42b5,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x9adb64fc9ee93c378bf47926be3426b36cd47adbbcaf9239c11199db8f832418
4,31,0.1147,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-30T16:50:14.000Z,0.0037,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x6d652399b883b9ad9aafe91b46c74a7d0dad8a029e3677910ae54edce59f6c6b
5,69,0.25599,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-30T16:48:34.000Z,0.00371,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x4fd3f8d47735b829d83703ad16b65d089005e214359a12b8f1f218c7436d4447
6,100,0.38,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,2017-10-30T16:44:30.000Z,0.0038,0x8883aa40364c0080edabb6ad3661903039bd42b5,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x3ed18eed24d439233ed28d04e5b66eae4e5db93658e7c0a20537322ea018fa64
7,30,0.1113,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-30T16:38:22.000Z,0.00371,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x51005f8d01baae8402cbe97631d790c141cc3152d5155f18d5d9fd54f3b3dd65
8,29,0.10701,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-28T10:11:41.000Z,0.00369,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x1ef69dce5ff0e325ea2d09e9f933e196bdf8bf060239132ad3e957c73eaa3dab
9,27,0.09963,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-27T08:36:36.000Z,0.00369,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x53da7f10f53f1fa77cc8f85d8cad7c4e81ea8ac9913e92348bc10d22df24adcd
10,21,0.07665,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,2017-10-27T08:32:23.000Z,0.00365,0x9173e470d127e2311fe72101e7414e34b8b00fe2,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xf7861bf4cd88c0ea995387ce8375dc49866ab785ba352ba7af145ff2708755bb
11,21,0.0777,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,2017-10-27T08:11:18.000Z,0.0037,0x9173e470d127e2311fe72101e7414e34b8b00fe2,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x210432b3400bfe22b27782a0dc7b2e3c7131fe6d32b1af7e3b64c746023e4c50
12,29,0.1044,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-27T08:08:01.000Z,0.0036,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xbcb2fe81b89f3317d0e4e18f434213042bcc2d6dc6573ba69f9b4d29740098d2
13,19,0.06555,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,2017-10-27T07:43:53.000Z,0.00345,0x9173e470d127e2311fe72101e7414e34b8b00fe2,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xaea18eefa4cfd59c6b70bca38c5cce74dda9d604136941d976bb9e20febc62ac
14,1,0.0033,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-27T07:32:33.000Z,0.0033,0x9f4fbcf0c4448a58fc59972e54fae6a6156f6e5c,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x774e8b533bb30f4f36da74d00263d33df721ea299b30ce082c92e78daee52817
15,29,0.1015,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-27T07:28:11.000Z,0.0035,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x026bf156098be76e0cd6bdb7ff55a86e0d0981a5e52c615b7e0793724444343d
16,21,0.0714,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-27T07:26:05.000Z,0.0034,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x486742da3263cc9cab485918219d6a27a11740ff2522c92dd73cc7eb5c6b439c
17,2,0.0068,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-27T06:58:08.000Z,0.0034,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xbf2148a97c256e57e1bc5dbe6f648d75d1df5cdb51e11e38f149338fa46bff0b
18,2,0.009969095803010666,0xc297bfd3a57980b405a516c96cd35e83c99b01d7,2017-10-26T11:33:12.000Z,0.004984547901505333,0x8883aa40364c0080edabb6ad3661903039bd42b5,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x2a638830a1a97df9087ac0a72a54888e6af31d149b8f41dacc3a4e3ffe6dadc8
19,31,0.1116,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-25T08:14:25.000Z,0.0036,0x8883aa40364c0080edabb6ad3661903039bd42b5,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x9215b8b2878816b9014ffd90819d7192ea1635cab59aae093ca0c429f2b729c6
20,45,0.144,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-25T08:12:11.000Z,0.0032,0x8883aa40364c0080edabb6ad3661903039bd42b5,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xa7e00817e8bda3f60fb106a8f093461c7cf89b2fbbf2a15461f44b48b6f71868
21,31,0.1054,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-25T08:08:53.000Z,0.0034,0x8883aa40364c0080edabb6ad3661903039bd42b5,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x07496fe58f2f478093e5e4cf534bf0bfb153c60ce5e5bd9f80f86b4f9574ebb4
22,28,0.0924,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-25T08:03:28.000Z,0.0033,0x8883aa40364c0080edabb6ad3661903039bd42b5,sell,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xe740704f0a4e2f0a770ce44f6c60536d732d65c172a6ebfca1b76b9ad7e668c7
23,28,0.098,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-25T08:01:30.000Z,0.0035,0x8883aa40364c0080edabb6ad3661903039bd42b5,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x1c440b2149cc8923808d72b61dbdc5804ff1d4cbece2b3717da38cad2e99119d
24,25,0.08725,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:59:02.000Z,0.00349,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x668fb195306703f6e2a65c02a2de108a58c6b6e2d94b909da900d30e831077c6
25,27,0.09396,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:57:54.000Z,0.00348,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xa362dab1c30d41260fd1f761a5d1c4946cd14038db11485a3fe0383407fd8544
26,29,0.0986,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:56:29.000Z,0.0034,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x0cc450bd70df58c26b151926de7e36f3af379867b62ae6d2d3a564e2955fd970
27,23,0.08027,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:55:28.000Z,0.00349,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xa3d91b0e5b186d973b9ecb0a6f905959d806c89adbe7bccadd05a54f1dd05314
28,27,0.0918,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-25T07:51:35.000Z,0.0034,0x8883aa40364c0080edabb6ad3661903039bd42b5,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xc37a04b82f5091494ddd55dfcff34ccdc09cb98dfe5ad3efad1cd69558820d2f
29,27,0.09126,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-25T07:48:51.000Z,0.00338,0x8883aa40364c0080edabb6ad3661903039bd42b5,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xd4fdfe5793cb69ecacd11e53169c50d3dcab796013d2eadb8e6df26306d0b779
30,21,0.07098,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-25T07:47:41.000Z,0.00338,0x8883aa40364c0080edabb6ad3661903039bd42b5,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x63a2f66c39ee4c46c0dc20e0f31d581d02753f96dd7cdf7a24e68906e2689f1b
31,27,0.09045,0x9173e470d127e2311fe72101e7414e34b8b00fe2,2017-10-25T07:46:02.000Z,0.00335,0x8883aa40364c0080edabb6ad3661903039bd42b5,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xcfc305217e31a9596ed8f29b823909be8381eb9080441de3739b607cfab39a20
32,21,0.06951,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:44:37.000Z,0.00331,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xf38eef681b67c593c56c514c7016e2a59ee4a2aad50b85fc14ae472a647d19ac
33,29,0.09715,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:40:08.000Z,0.00335,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x88b6023c5b56cc6192ec35954ca6473cc49396d0910de05a775065ca2d6aafdb
34,33,0.1089,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:37:08.000Z,0.0033,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xac0b1b8c83a45e8b1d3a5717659d7de239e742cb9c23a2c1c8d0b8103b394e8a
35,43,0.14061,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:36:07.000Z,0.00327,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xdc82a099c68b5e5dc52b85ea6106ad2a4ad843681147f3461b33041983dcc17a
36,47,0.15275,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:34:36.000Z,0.00325,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0x4e1de510603adeb905144fdb29869b32a391e794dad57061b583c00a6d04a9a0
37,55,0.176,0x8883aa40364c0080edabb6ad3661903039bd42b5,2017-10-25T07:33:46.000Z,0.0032,0x9173e470d127e2311fe72101e7414e34b8b00fe2,buy,0x78cb641ed233beea4827b8b148e4bf0b17289eca,0xcdbcf81d0a51cdc76fd4aa6c43901821dec9e9af3915ae8eb2e266a7dfb95932
