,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,9,0.060776786199581295,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-11-01T17:28:39.000Z,0.006752976244397922,0x85f35923b53ca0132516ce3aad0a996114373850,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0x366b952a1e37399f5fa3fe51d387a4d3f3b4841e370e4da422b0086b11c49737
1,198,1.3258897418004187,0x696b4e63811c6c33d67509e257c5fb00822e1514,2017-11-01T17:25:55.000Z,0.006696412837375852,0x85f35923b53ca0132516ce3aad0a996114373850,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0x7f5cca908e7cdd8470e8c0fe2433bbbef15e6e96596cf6e07768eee149706dfe
2,36,0.20448,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-31T12:30:32.000Z,0.00568,0x85f35923b53ca0132516ce3aad0a996114373850,sell,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0xfb44db565c6e60dbb34e34e3e6799a46c719cea7d5f0b052f596b13d7d2ba323
3,24,0.1368,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-31T12:25:24.000Z,0.0057,0x85f35923b53ca0132516ce3aad0a996114373850,sell,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0x1fd4670c7b9680abb2a1e072f85dbb72f8ed521d8ec7f81a0eb308a46df449c6
4,10,0.057,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-29T08:28:33.000Z,0.0057,0x0c88d715e175d89c429d266a31af0d4f9db97015,sell,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0xaf21ba2f8dcbe64510d1447da875535d25b88116f3fc018858368604f90c9b76
5,10,0.067891,0x0c88d715e175d89c429d266a31af0d4f9db97015,2017-10-29T08:21:10.000Z,0.0067891,0x1edef59fad9e802052a4b70bd23f54623109e0b7,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0x8a4c2c2bda8e33c27395ba7ec65846039f0aa2a00472468d0d5dfd54cbef8e2d
6,100,0.67891,0x0c88d715e175d89c429d266a31af0d4f9db97015,2017-10-28T17:21:13.000Z,0.0067891,0x1edef59fad9e802052a4b70bd23f54623109e0b7,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0xcf9edae4d4d91e4815bc19212d2647e7af713457a6608d6e579aa84857df9c06
7,1,0.0067935,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-25T22:18:22.000Z,0.0067935,0x1edef59fad9e802052a4b70bd23f54623109e0b7,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0xb543ea46dd69c383a56e27a0bf645d7071af8bdd3ff14482d7678637ee5e7bd3
8,15,0.10155,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-25T22:04:08.000Z,0.00677,0x48a566c4c441197bce7535e68121f3af103aaf00,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0xfee7baada57b32725e5ddefa8b4d1b39fb042c72fed50b20621230b5aa1935c7
9,20,0.1124,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-25T21:57:48.000Z,0.00562,0x1edef59fad9e802052a4b70bd23f54623109e0b7,sell,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0x1e8b0c9a9ad846abc372754172fb82e363c2a9e80c1806eef5abd117e04d1c25
10,14,0.07896,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-25T21:55:53.000Z,0.00564,0x1edef59fad9e802052a4b70bd23f54623109e0b7,sell,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0xe7cd258506bd932178fa91bfb1283db86d9999fec3b25b905fc938536e5fa8ed
11,10,0.0564,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-25T21:52:14.000Z,0.00564,0x1edef59fad9e802052a4b70bd23f54623109e0b7,sell,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0xe2c4c1f6593b1882f482ec73a92d1d448f4fc889f471fdd281184b87b63dd043
12,45,0.3055095,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-22T14:49:43.000Z,0.0067891,0x1edef59fad9e802052a4b70bd23f54623109e0b7,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0x5fae7bb0243a0d702ef06fdf07f56b750f388d2e7e5ab4ad8ed36df812447a17
13,40,0.271564,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-22T14:48:46.000Z,0.0067891,0x1edef59fad9e802052a4b70bd23f54623109e0b7,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0xc8241b6414d2a719bbce09d77cf4e52785ec6f939a477731e48255ddd9c1e79b
14,199,1.355920645997408,0x1edef59fad9e802052a4b70bd23f54623109e0b7,2017-10-21T19:29:16.000Z,0.006813671587926674,0x696b4e63811c6c33d67509e257c5fb00822e1514,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0x650a3b3b14ffde504e03af294086856b9d5d6cbd7a5e1ea67d4a7c35ce24e319
15,93,0.627099,0x696b4e63811c6c33d67509e257c5fb00822e1514,2017-10-21T19:21:26.000Z,0.006743,0x1edef59fad9e802052a4b70bd23f54623109e0b7,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0x5ea6350edd59ee3f82b56c3f1e9bafd1263606d5b1d5bb998ce28a54a9148fd6
16,109,0.733025,0x696b4e63811c6c33d67509e257c5fb00822e1514,2017-10-21T19:19:49.000Z,0.006725,0x1edef59fad9e802052a4b70bd23f54623109e0b7,buy,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0xc66bfc3377aef41aefb844ee4ae519ba600ded2eafe04eaf6141afa42ec731a9
17,16,0.0992,0xc70bae9cb401056d128ba7556a9d52985442849c,2017-10-21T19:11:00.000Z,0.0062,0x1edef59fad9e802052a4b70bd23f54623109e0b7,sell,0xd51e852630debc24e9e1041a03d80a0107f8ef0c,0x295ec08a5ebc6c450ba04c576fa7d173210e70abbe4633452abf3c13cf7746ad
