,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,16.16179005,0.01616179005,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-29T03:58:13.000Z,0.001,0x0ec8071672424b1bbe96e1ea4b8b5ad81fe295a9,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x9352a066b38be38694cfeeafd70428eef3e29a6c366762f0bfeeaee6ee2ad8b1
1,60.35697678,0.045267732585,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-29T03:57:19.000Z,0.00075,0x0ec8071672424b1bbe96e1ea4b8b5ad81fe295a9,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0xc55a86c21192b050eb28969751068ad4e12610bcd47314f7f0cd2bf7752175ed
2,25,0.03625,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-29T03:56:53.000Z,0.00145,0x0ec8071672424b1bbe96e1ea4b8b5ad81fe295a9,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0xc0f549f2329bfb1cb5289d6d9f3e182903ce99c8bfecf2e9c7d6f280cf110999
3,100,0.15,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-29T03:55:59.000Z,0.0015,0x0ec8071672424b1bbe96e1ea4b8b5ad81fe295a9,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x15a71cc5861c053a7350b54f2a4871ed9d23b19326efcbb803117248ccd81936
4,50,0.0875,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-29T00:05:42.000Z,0.00175,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x12ef4ad3c5c18facccaabd958d3655a6617ad2760a4b96690057b874455b2064
5,69.91,0.104865,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T22:43:56.000Z,0.0015,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x606415e9fde597138084a20e021018c7f4ec6fbd6dac3905996cd4669b2841d5
6,30,0.0465,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T22:40:51.000Z,0.00155,0xe0fda40ed2db6505c7d9b47249ef869031ae84cb,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x7422c286cce2beeafc46666a548a78dc71c84129b3898573df005454577a6258
7,30.09,0.045135,0xe0fda40ed2db6505c7d9b47249ef869031ae84cb,2017-10-28T22:40:51.000Z,0.0015,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x7422c286cce2beeafc46666a548a78dc71c84129b3898573df005454577a6258
8,70,0.175,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T22:30:36.000Z,0.0025,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0xa1c2e56c17f59866e97f4751ed7e9020ed2d693aead576c328fb39fe3c9b35f1
9,40.17946162,0.06026919243,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T22:22:51.000Z,0.0015,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x3add1371e76ea77ef95388659e2c6b8dbec9c0dbfe343c46145b6d45b125d108
10,40,0.056,0xe0fda40ed2db6505c7d9b47249ef869031ae84cb,2017-10-28T22:22:15.000Z,0.0014,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x4e37660d97ef9cdc70898d834086be8b99e4e4a9cb260115dba217c47880c309
11,59.82053838,0.08973080757,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T22:22:15.000Z,0.0015,0xe0fda40ed2db6505c7d9b47249ef869031ae84cb,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x4e37660d97ef9cdc70898d834086be8b99e4e4a9cb260115dba217c47880c309
12,20,0.027,0xe0fda40ed2db6505c7d9b47249ef869031ae84cb,2017-10-28T22:22:15.000Z,0.00135,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x4e37660d97ef9cdc70898d834086be8b99e4e4a9cb260115dba217c47880c309
13,25,0.04,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T22:21:06.000Z,0.0016,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x4d30b54434ec7e830f0d21f2ad61e54e21744a23409e83a601c6b82219fbdbb4
14,50,0.08,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T22:12:52.000Z,0.0016,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x9f53644592bd701041165d597a3d8f0f1a9a03e099e8e61cdcb72ab7bd2ef933
15,20,0.026,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T22:12:39.000Z,0.0013,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x5084326fc1973733c3c386504d36afe36c8ec5a582510d1d59247f24db6933c7
16,50,0.075,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T22:12:39.000Z,0.0015,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x0aadb086bfcae70ebbdff13d0229c551aac923bd125a74d9d107d9db0cce777e
17,100,0.135,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T22:12:39.000Z,0.00135,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0xfe89bf0891cea076567e45a7ce7e4e725fb0ae9c995287071a349764eb19b54a
18,10,0.013,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T22:11:30.000Z,0.0013,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x5c14adce54ef8df2e4eb8780fa7e458b993ffefbbb97190c4c48e0200f2ad0dc
19,30,0.0255,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T22:09:36.000Z,0.00085,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x86fbb9a2de3d4b3fc7f0ff6af26e94c9d396d1041945105a63a76879f3ceff4e
20,43.167,0.04100865,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T22:09:05.000Z,0.00095,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x6a1437b6cdce3aff75bfd2abbdfa718e803117417cb8b7f65889560e3b036a8e
21,100,0.09,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T21:53:31.000Z,0.0009,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x028aede7b7e5d6f13e03a9bff4674cc4bdba8e5ba9c67af403708d35c21263f0
22,75,0.09375,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T21:53:31.000Z,0.00125,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0xaf97bfae95aaedf3d9c3b6451bab78cd0a99d203eb8a3bb2a4d47d0e58a2df56
23,41,0.05125,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T21:52:22.000Z,0.00125,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x9bcb7c19b089545f20ece0f594f835cdc388cf636ca2edfea246d01729b8d99e
24,15,0.0165,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T21:52:05.000Z,0.0011,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x7c77a749e8785853ef4734357e063a9ebbe76d85c095c9025dbe2d0ca3df09b4
25,15,0.0165,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T21:48:57.000Z,0.0011,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0xefbb8f342bb25f744d76f263734774328641d2d5e85fd90af845b7722ec6222d
26,25.224,0.025224,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T21:48:46.000Z,0.001,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x920408ef52df32d41d8a952bf83c69bc20060a3135d06e02955bb8451d9c21fe
27,74.77589473,0.07477589473139448,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:45:26.000Z,0.001000000000018649,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x9deb082a75b858361f0b3a19e05cd753a4ed091e5879b1eeba405f35cc61b4a9
28,50,0.0475,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:44:39.000Z,0.00095,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0xa9f820910fa49138e589e680c74ba3365695d8c3efceb7fd7c1c1d37efa0dd98
29,34,0.0425,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:37:41.000Z,0.00125,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x93d1e20838395e8e94fa3b209a2ccd59948621aab1713235c9b3a4ee85a12c0c
30,206.419,0.1651352,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T21:34:38.000Z,0.0008,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0xebeffc229f8a961ec39be32ae3f6e5cecae6d8c54ab82fe7eff2915697518a81
31,50,0.055,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T21:29:40.000Z,0.0011,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x7a5d170e4a06c5e511da6bbf1f63dcf4c5832f75df6506e484692b34f4fc5b7d
32,106.8325525,0.101490924875,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:27:58.000Z,0.00095,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x41546e5a0839215664e3301b7f6769f8f0cc2934d306d03f652777325b938e81
33,50,0.07,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:26:21.000Z,0.0014,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x4910a2c9e93cd94fbf4efa8cb763613abebbc3ecc7e96eb9fddfe4dbe0533f06
34,50,0.05,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:25:47.000Z,0.001,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0xb992c70172415e1dc72f5c64d2cb77985bea1bc3351fe39a361af59d7a8ba7b8
35,30,0.0375,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:25:47.000Z,0.00125,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x22a9494dfbe9107c75421503d946adc7049b48616fe27348f94efbfd41ed9108
36,29.99983384,0.03599980061808394,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:25:47.000Z,0.0012000000003361331,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0xd774fc0c9379657c77afe426933d36c501b41297c9da0f044ba92d40f3c21775
37,0.00016615,0.00000019938191606,0x2a4a9e9b0b0b31663d94384ba31824019936dff5,2017-10-28T21:11:30.000Z,0.0012000115321095395,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x843c7f9e7e23d462c64a03f26e05acfa06560eeb50c10ed19562bc57612f20c7
38,20,0.02,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:06:43.000Z,0.001,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x8449c24ea5a26f32a8bd8a0ccdc57214d5976cfbe887b2a9aeee7c188e34a182
39,50,0.0475,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:06:12.000Z,0.00095,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0xa9c9953c500f52ff1cbe3672af47332a47bfe2bc067f858022dd8e133e0d1336
40,20,0.019,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:05:46.000Z,0.00095,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x29716f92a525c10f05aecd963be13c67176f6cc193b39b647a41bc8a49fb6c11
41,50,0.045,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:05:36.000Z,0.0009,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0x782d6f202a26bcaa00a07fc5b91fca6105cdfe27ebdb82d2df717d62bec37584
42,50,0.044975,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:04:11.000Z,0.0008995,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,sell,0xf814d88af9f624257880ae1c6b519d87116810e8,0xf5dbdd7bceae49563a9b2e073847d29d85af94e7193d06ed08a9520036d1d558
43,197.938,0.1781442,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:01:32.000Z,0.0009,0x35134eb7361b42cc38ac2b057c8344dd21237649,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0xeb0e6c1d635882e10a4ae00fe7d25119907c3b5d40073844332ec54e2446e508
44,5,0.0044975,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:01:14.000Z,0.0008995,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x0641130500bf24eae0baaf7fbc6d963405aef3e128dc0dcbdd70cee12fe347e7
45,10,0.00895,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T21:01:05.000Z,0.000895,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0xd0b6420ba9e39bd4ad52061065401931064bb45f3ccda87a650ebbb0b3aee36e
46,20,0.0178,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,2017-10-28T20:59:26.000Z,0.00089,0xeff21ff58567c4f59002ed7ac7126b19c40cb8d9,buy,0xf814d88af9f624257880ae1c6b519d87116810e8,0x335c4cbefc8540fdbe3976bc8eb72c940cc3150c98e9928f724f5b1c3143d8d8
