,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,341.07592378,0.6071151443284,0x5d77ceb2bba13aa68787f141635f015bf5b70278,2017-11-02T10:42:16.000Z,0.00178,0x4b7ef3c467974c144121f7952d2769cb18bd8656,sell,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xaa1cfff4a90d90079b8d4d5f995905d2a97b07a568acbe9d520bc3320d7deda1
1,2258.92407622,4.0208848556716,0x5d77ceb2bba13aa68787f141635f015bf5b70278,2017-11-02T10:29:50.000Z,0.00178,0xc5ade67e26741e927bada0d3201286054c0a3cd0,sell,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xbb13b590e868645c603d87c6684cbb68858cd8a1a6686838cc280b4e86c88861
2,2913.62935324,5.238705577137598,0x143f71bc538ede8ef21317d19dd45ac6e592e7da,2017-11-02T06:56:56.000Z,0.001798000000004145,0x8bf07feb58d62315daa9327c2cf1b8ef0a5fdb1e,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0x5eb0aeacef401b14871b893c37a31c554cb3651d615308c8f8951f9a0fc55a1e
3,785,1.411429215,0xf69bbb08adb77cd25b4702fe516c278705ae024a,2017-11-02T06:39:04.000Z,0.001797999,0x1a94749b553336f2120d57aa4b90984dca75fd21,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0x54afefd0d8221ba450ed3415871eb218effa7aadd7c384c98257ce2e787b5bed
4,0.27808676,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T06:30:07.000Z,0.0017980000198499202,0x8bf07feb58d62315daa9327c2cf1b8ef0a5fdb1e,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xfa7e6c8b585bcb500fd158421d8795354957ff1cfa9ebf257d85797441071f11
5,0.27808676,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T06:21:22.000Z,0.0017980000198499202,0x8bf07feb58d62315daa9327c2cf1b8ef0a5fdb1e,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0x97e8adb7e822f1e02a6e1a604f01372d29de1119b0cee488c42704e03f58cb46
6,335.07693641,0.6024683316707474,0xa5684e7c4c9880ccd020c31e45b2c4e202d901c0,2017-11-02T06:20:36.000Z,0.0017980000000166155,0x8bf07feb58d62315daa9327c2cf1b8ef0a5fdb1e,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xc922c570084e8e28c6dac197b60c769e30d83161bad60b67c6658031adf5215f
7,101.925,0.183159225,0xa5684e7c4c9880ccd020c31e45b2c4e202d901c0,2017-11-02T06:17:49.000Z,0.001797,0xb651bb834c9dcbbbf6ea47636ee20bb3c245c4bb,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xf4a471228179f408cf9dea34ee40af87c52d9fd760539839f6b15baeee3adcac
8,1330,2.39001,0xa385e47bc8741d6932b756647cfbd94b1560b6be,2017-11-02T06:07:23.000Z,0.001797,0xb651bb834c9dcbbbf6ea47636ee20bb3c245c4bb,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xc2180484421e8eba3dd4bad945231156acac99823b11f378926082c122dc12a2
9,800,1.4376,0x011a2245b4da2bfa88fa5feac3c9d2ebceb2647c,2017-11-02T04:38:51.000Z,0.001797,0xb651bb834c9dcbbbf6ea47636ee20bb3c245c4bb,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xf2577176e2acd0911a075793d9c601212c32067b7a2eec3bf192d8d3f59811c0
10,462.56604525,0.7952435449938,0x143f71bc538ede8ef21317d19dd45ac6e592e7da,2017-11-01T21:40:56.000Z,0.0017192,0x145ed8c2c0bfb3c9268fed36425f242a4052048c,sell,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xdaab1be8d74172ad1061669552933446dca13e625ed46e0bdb876458125ded49
11,3285,5.9787,0xcbe4347cefbf18c0e4fec08a23cd197d0e7a7aae,2017-11-01T19:52:26.000Z,0.00182,0x7f427765bb3d5a97ff1cea9ac99c0879497a6163,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xffa040a6a499c33a2485c323789028162192c06547a0b9864bc881a7ea5b7485
12,1716.1325434,3.140522554433326,0xf01135dc2ae673e5e730f4206fa571b5fcae3c20,2017-11-01T19:41:31.000Z,0.0018300000000065998,0x7f427765bb3d5a97ff1cea9ac99c0879497a6163,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0x08f5fc07303ad9cca4a399e6a972b80c48b7c6b07bb6895b218378b899eb34ef
13,19.8,0.0365112,0xacdb87aadc9544633facc6394a52a275db7a7bad,2017-11-01T17:58:23.000Z,0.001844,0x4b7ef3c467974c144121f7952d2769cb18bd8656,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xc1b01b2ee49839596d48258b0d6be743b60f7154eacd4d38cb13f1cd9343d06c
14,9.8,0.017934,0xacdb87aadc9544633facc6394a52a275db7a7bad,2017-11-01T17:56:22.000Z,0.00183,0x4b7ef3c467974c144121f7952d2769cb18bd8656,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xdd2e522eb87950c1b7eca04df57cd0aa3cf7c630d439437001c696ee232e3709
15,40.2,0.073566,0xacdb87aadc9544633facc6394a52a275db7a7bad,2017-11-01T17:48:08.000Z,0.00183,0x4b7ef3c467974c144121f7952d2769cb18bd8656,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0x58e30342c4c7634fbf7e3b94735f073453f172ec703d76a2ca6ee1dd040bb9af
16,570,1.0431,0xa385e47bc8741d6932b756647cfbd94b1560b6be,2017-11-01T17:28:39.000Z,0.00183,0x245d3b421672e029b7ddf9fd5e9a1d19e72ec41b,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xd14eeb63f1e9b3b5c92a1d73ed907dd2b77e84bf5e5dbdbb5320ea7af25d3374
17,500,0.915,0xa385e47bc8741d6932b756647cfbd94b1560b6be,2017-11-01T17:26:21.000Z,0.00183,0x4b7ef3c467974c144121f7952d2769cb18bd8656,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xef3c0f65bd5940359a076c9464c73633a8278e4d981bf3b6c218dc820d9880c3
18,1138,1.9915,0x1080355c93a1b4c0dd3c340eed4f7e514c583077,2017-11-01T14:37:24.000Z,0.00175,0xcfdd62e3787cf315c258262b7a6ec6fe95e7e2af,sell,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xf104be879fa0cac510dcdd0f6e2d4227007e0b8eb482c84a0c895db2ffee800f
19,550,1.0065,0x70f6e508d68e2163e746a383de8266d19c9df08d,2017-11-01T14:27:48.000Z,0.00183,0x4b7ef3c467974c144121f7952d2769cb18bd8656,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xba901d1e35e5959ca1b4f5af42cd331aa5563df547b5fd6e1ff85b580d58bccc
20,70.8,0.129564,0xacdb87aadc9544633facc6394a52a275db7a7bad,2017-11-01T12:36:21.000Z,0.00183,0x4b7ef3c467974c144121f7952d2769cb18bd8656,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0x9f06d4d5828908117441bc7f6e81d2235d98b542160a0232e8863064c5e22b42
21,118.30081283,0.20359569888043,0xc4146f36ebd6aa1ffdb00c7c307f64bd195b11cd,2017-11-01T11:35:17.000Z,0.001721,0xe65b6eeafe34adb2e19e8b2ae9c517688771548e,sell,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0x7d1ef44500af1413248300ba78d1493d5678e24090419b97a51c298b6c5292bc
22,886,1.524806,0x4071523846f26963ddc97c9bfe9cc641e0b7e65a,2017-11-01T11:34:07.000Z,0.001721,0xe65b6eeafe34adb2e19e8b2ae9c517688771548e,sell,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0x273172b321c24ef57725ad32ca28d4a2ed05b5e50ecd45a03a642c75deb92776
23,100.96104726,0.18656591924019347,0x8acf7b4d5dfc5456aa077321ab950ca0225064f9,2017-11-01T10:51:29.000Z,0.0018479000000835913,0x4b7ef3c467974c144121f7952d2769cb18bd8656,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0x9e1faa5ab3e3484518c94d561125b41efa5742e81684561735b0dc018d1e6c6c
24,16.18368465,0.029907287409032,0xfb390441ff968f7569cd6f3cf01cb7214dfeed31,2017-11-01T09:42:44.000Z,0.0018479900007834125,0xda896bd9e964386f7343414a646c8ef75d5ae009,buy,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0xd137135bbe9efad9f2c83f97c0e28537c15d35678a254d1216fac5f334fd7839
