,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.00000997,0.000997,0xf18521dc5c211dc0ed6c85b034d4f46d456950bb,2017-11-02T16:38:39.000Z,100,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0xeb3bafafbca69f0d626771b34714a7a8089d053781f1f81ee5e74630bf051139
1,0.00001,0.000000000199,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-02T16:38:39.000Z,0.0000199,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0xeb3bafafbca69f0d626771b34714a7a8089d053781f1f81ee5e74630bf051139
2,0.00001,0.000000000199,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-02T16:32:35.000Z,0.0000199,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0xe65d381a45bd259a888b4dd1be6c4b9f9cc0e530d34c097b4a502d346737a2ff
3,0.00000997,0.000997,0xf18521dc5c211dc0ed6c85b034d4f46d456950bb,2017-11-02T16:32:35.000Z,100,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0xe65d381a45bd259a888b4dd1be6c4b9f9cc0e530d34c097b4a502d346737a2ff
4,0.00001,0.000000000199,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-02T16:26:28.000Z,0.0000199,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0xc0443be85dac2f8e1f603d46c677c7bb6a698a2b6ff0e79ac040f5a6b6fe9131
5,0.00000997,0.000997,0xf18521dc5c211dc0ed6c85b034d4f46d456950bb,2017-11-02T16:26:28.000Z,100,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0xc0443be85dac2f8e1f603d46c677c7bb6a698a2b6ff0e79ac040f5a6b6fe9131
6,100,0.0020001,0xf18521dc5c211dc0ed6c85b034d4f46d456950bb,2017-11-02T16:18:28.000Z,0.000020001,0x0c4085d8e714ca77ac5f46cd2b80a92d238a7cd3,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0xa090158c2ab346124d1f2766249d2cba8e6407f13fce675b770f7c08d93bc3d4
7,100,0.0020001,0xf18521dc5c211dc0ed6c85b034d4f46d456950bb,2017-11-02T16:02:16.000Z,0.000020001,0x0c4085d8e714ca77ac5f46cd2b80a92d238a7cd3,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0x963814ecc4f35fadc6e86ff26060a1557cf74dcc06aa5dc32d0fb4b82c8ba3e4
8,19386.32298145,0.38772645962915475,0xa41baaef0bc1f4792da5fa2e32b23cba5c47dafe,2017-11-02T15:49:29.000Z,0.00002000000000000798,0xd9a9504504b9b70b2cebee489f404778d61e9ba7,buy,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0xfc4313e5f871fd3293239351c4b274fc07b6352ef146358e5b2a9e7e79fd944c
9,9644.86785235,0.184216975979885,0xeba9184e53134a3031839c34e53889a4b26e0ec3,2017-11-02T15:44:24.000Z,0.0000191,0x5f8fe09e6f195b99b84274f00f898570d8814655,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0x438347fe179cdd1fefa264c322780400b558c373b9e8e54643f6a838b0bb7eab
10,100,0.0018001,0xf18521dc5c211dc0ed6c85b034d4f46d456950bb,2017-11-02T12:47:03.000Z,0.000018001,0x0c4085d8e714ca77ac5f46cd2b80a92d238a7cd3,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0x0fb00f4a900a375673c2d0994120598637b45464341d296206032b3f423c742b
11,31462.4663543,0.5033994616688,0x5f8fe09e6f195b99b84274f00f898570d8814655,2017-11-02T12:29:05.000Z,0.000016,0xb52ea482307332ac337a81d884d497de8bbf6832,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0x83a00900d94dd084fe86e8e5e7058ae3fe78d21d3fc6e628dbdfeaf3b8abc2be
12,627656.79946285,10.0425087914056,0x5f8fe09e6f195b99b84274f00f898570d8814655,2017-11-02T11:49:55.000Z,0.000016,0xcf2c609caf69e12c85d9b94a7743c33bf5c4c52e,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0x4e1ebf7925a69fa375e9bf60a90ff3b90ca85c19d4b9f08042e69b97bcc99073
13,25000,0.40125,0x3816bb5ddc640c455fe1057b4af65b2a3860dd5f,2017-11-02T11:48:39.000Z,0.00001605,0xcf2c609caf69e12c85d9b94a7743c33bf5c4c52e,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0x543b65c012999a4a74918860997c14691743777c35661ba99838e18eae1a9632
14,18938.46196732,0.3153632686798126,0xfb0f0495a3efac09a9d5a77ecbb83b116adb30c3,2017-11-02T11:47:55.000Z,0.000016652,0xcf2c609caf69e12c85d9b94a7743c33bf5c4c52e,sell,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0x154c2bedd29571c523ce8e1487f56684f568f8d85e4575a90679e31dc6e42864
