,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,1300,0.975,0xd1f82e31d639eff069faf194d026fad8f87719c6,2017-11-02T12:34:51.000Z,0.00075,0x16f18a1128ceb213e151e3c127ccbf95f1dec0a1,buy,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x8766a8a9cc5a090650f47097d34f2a45d1c7346d6d01485ec5bf73c2d2d4a616
1,20,0.015,0xe673b1ea0c5d49462ce27cff1d58177af5de7dfa,2017-11-02T11:25:14.000Z,0.00075,0x16f18a1128ceb213e151e3c127ccbf95f1dec0a1,buy,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x4621f9f1b46141e79f3553007201090728913b476fdd960144a5df34790aa517
2,9900,7.227,0xb40adcb428df57565d616a1538d120676b24a248,2017-11-02T10:36:06.000Z,0.00073,0xd92d343151d4d2a818f19b5d49fe16c6820a5f1c,buy,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0xa5f88187a583f503ee48b447099d3e949289139bfdc8d8393bab9c90156b2570
3,498.4547,0.3439342414547,0x840a570ebf6e0ee1ac387f1b63533eb4974778b9,2017-11-02T09:13:01.000Z,0.000690001,0xa512be805118987a5874be8d2c49fd3db649e0dd,sell,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0xaebf5115de3b71bf7c2de19227c8935fb5d459181337769932105d864ccf5950
4,0.1288,0.000088872,0xab296c308b24c972b60a662262f144eeefc27ec8,2017-11-02T08:34:07.000Z,0.00069,0xab296c308b24c972b60a662262f144eeefc27ec8,sell,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x4a04292c32c85c26a6966e156b8fe346eaf49e8f1e164c75bbfec760ebb0f82d
5,300,0.204,0x297ac1d5b2ae89feff093956912d8da71be85002,2017-11-02T08:24:06.000Z,0.00068,0xa891183826af953fbc321aae437889544324aa2a,buy,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x6c4b692dcd16c7c69d23da6eaa1076145100a34dbdade40ac3e95f7751b21f08
6,0.6666,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T07:09:11.000Z,0.00075007500750075,0x16f18a1128ceb213e151e3c127ccbf95f1dec0a1,buy,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x7662e40e59913c92bb0968c8e61c4eb479b6983015cc92102792a4efd049f3ce
7,3076,1.9994,0xbe856c2de4731b0eb1f03bec519d41e65eeb6246,2017-11-02T06:48:29.000Z,0.00065,0x8f7adf0f47272a8cafffca052e1481ef35c6bc7d,sell,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x50e6abcf2ea586605dad69b24555c4157dc1d4637a9ad3680e8d4bdb3b93b0ce
8,2063.6,1.568336,0xbab7cebed2d3cdd9cb9f5972139e5715cce79148,2017-11-02T06:34:24.000Z,0.00076,0xbc123910b8e860d2247c17df00163f59a5305386,buy,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0xf956490792510d8a98b384684db15cdfb5561338dcfb8ede080348471e075e03
9,300,0.2157,0xbab7cebed2d3cdd9cb9f5972139e5715cce79148,2017-11-02T06:32:45.000Z,0.000719,0xd22ce2a3aa712d7cf5583b4ca88f181c8407610b,buy,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x6fe3a23c4a0add62c6b4d903822dbe2283b2aef831b13697bfbfb9343d430d3f
10,96.4,0.069408,0xbab7cebed2d3cdd9cb9f5972139e5715cce79148,2017-11-02T06:32:45.000Z,0.00072,0x5d77ceb2bba13aa68787f141635f015bf5b70278,buy,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0xb838f92e8aedc5f83cb77471cb7902d051a13284a93508b4db4cf39b3a111bf5
11,1520,1.14912,0xbab7cebed2d3cdd9cb9f5972139e5715cce79148,2017-11-02T06:31:55.000Z,0.000756,0x00a5b10d1907851f6eb681c22b5eae7d72693fee,buy,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0xe10e4073e7891ebb680158dc25e5bdce121250b314f534e48c0ab7b95da73cb8
