,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,4000,1.52,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,2017-11-02T17:32:53.000Z,0.00038,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0xe5521bc383b1cb6da4476f5545d82dd86ab7b6c0452391b0642e46b29f762eb9
1,4969.14355662,0.3292355754874147,0x1a84a246b1ff279f1eaa13fca4c2245b58d32517,2017-11-02T17:31:13.000Z,0.000066256,0x3acea4869e97beab7b7714eda5e30d95c2058587,sell,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0xfb932846eb7a5d260ee08218299345addd6d1507789ed53ffce547b9cced83b9
2,1000,0.21,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,2017-11-02T17:09:38.000Z,0.00021,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0x063b7db6666f7ddd0574aea362e0192fbcbebd2881629f3786983898154287e5
3,6000,2.28,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,2017-11-02T17:08:00.000Z,0.00038,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0x1f4425130c2ffef0b8ffd59a486e27f50838d1006013c8a069bb8e676cb7d126
4,4000,0.84,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,2017-11-02T16:56:30.000Z,0.00021,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0x11e20f020a3dff814c12692fade51f4c7f486bb1b7e00fedfa287882185f1bc9
5,5000,1.05,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,2017-11-02T16:55:11.000Z,0.00021,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0x94c41e59af730690deebde608c58393ddc2cee8902b0cc124aa013773ed40273
6,5000,0.38575,0x21b2ec62e93954074cde69ae0ccb2faa65f66075,2017-11-02T16:51:28.000Z,0.00007715,0x1a84a246b1ff279f1eaa13fca4c2245b58d32517,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0xf694723d1814a17ab53bbf536cbc9903aaf44e3d0326ec6e565e38dd0b6fa608
7,1300,0.0936,0x655d6b456d859fdae6f0ccb8dd3179ca1a8a0490,2017-11-02T16:40:14.000Z,0.000072,0x242daf62dc3abc87c36aea0b593d223f919e918f,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0x149552b0257e1025a0dd0f20a1c3f34dbf8e05be796149ce65a9cd3c9f911a1e
8,10000,1.93,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,2017-11-02T16:33:42.000Z,0.000193,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0xa2657721a8587d0b2039e6eaf5bceda34611dfec026420d014f400615005b7d3
9,8239.082,0.60087625026,0xc9164c7200d92caaaff82513064735625b3280c2,2017-11-02T16:23:44.000Z,0.00007293,0x65f403f5ce12908bfa7d8089f54f097e8b686fae,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0x886d562870cb0bd2dd45445763027be09f6c162001ac5b0e16ec9f830caf7a24
10,20000,3.86,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,2017-11-02T16:17:09.000Z,0.000193,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0x1b54a28dc3170fb14d1a9570cb2256da06ff383e0e3e63dcf05825479cc048c3
11,30000,5.64,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,2017-11-02T16:00:21.000Z,0.000188,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0xfdc1b7e33ded97561f873d4a397ce959811bd481b073983850c89388dd7f5a2f
12,20000,3.86,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,2017-11-02T15:31:33.000Z,0.000193,0x13b180786e6e5eb6bed6923e0a21548eebaf8da3,buy,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0x800b77a4cafb8e1a2b11e35ccbf4c07f14265c6c5f3f0ee793628b253d59ef18
