,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,80000,1.28,0x82a2f985b345eeaccf12bc81230a8673ecac0165,2017-11-02T16:01:19.000Z,0.000016,0x6a0afc8dfd1151feadd262e9c92416cb8d4d3cc7,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x94263dd3e04a7ff217de43f63b99c98d4861b1a715b7c8558b4f92926305c031
1,77800,1.2448,0x82a2f985b345eeaccf12bc81230a8673ecac0165,2017-11-02T15:12:44.000Z,0.000016,0x6a0afc8dfd1151feadd262e9c92416cb8d4d3cc7,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x9decbbd22f7c9aba873f77e7a1524d518db88419f1452ce2deeb131196e4cdb1
2,125000,2.0375,0xbbe8a1421d8583194bd959a640cb82225650c748,2017-11-02T14:25:28.000Z,0.0000163,0x6a0afc8dfd1151feadd262e9c92416cb8d4d3cc7,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x3a7e7ed22fbc222cfcfe0fa701de4150359e47466faf9d57aa1b853fc502bc9c
3,180000,2.93418,0x7a7c8ea9ecec9dfe225dd07b8c75e54a6ab83bcf,2017-11-02T14:25:17.000Z,0.000016301,0x6a0afc8dfd1151feadd262e9c92416cb8d4d3cc7,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x9337c2ef45a30c3a4599c252fa344f9ced396961b66abe4fa74cd35b20a6f4c0
4,405632,6.490517632,0x29a3bcf59cca131fa8a6ea2ceb04d38270e26f09,2017-11-02T14:25:15.000Z,0.000016001,0x6a0afc8dfd1151feadd262e9c92416cb8d4d3cc7,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x0e308cf40f941580d6feee5599b36afa5084ba21b6d13da304eff4975d69442a
5,58266.9723,0.9323298237723,0x82a2f985b345eeaccf12bc81230a8673ecac0165,2017-11-02T14:05:19.000Z,0.000016001,0xcbcb06b4710283cd58baa7c2d1c0a5ae43cf6716,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x39bf1a7b28b927c7866a3c403b1f2b5e266f539cad7b7ef544d86b38f9b282e4
6,380000,6.08,0x29a3bcf59cca131fa8a6ea2ceb04d38270e26f09,2017-11-02T13:30:53.000Z,0.000016,0xcbcb06b4710283cd58baa7c2d1c0a5ae43cf6716,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0xedf3221ca3b9c0e48220396a847aa1d18d5838fc6ad31c84323390d3f3170d59
7,64000,1.088064,0x82a2f985b345eeaccf12bc81230a8673ecac0165,2017-11-02T13:25:14.000Z,0.000017001,0xcbcb06b4710283cd58baa7c2d1c0a5ae43cf6716,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0xb1628a0c788f1271850622e7bc02f2ebd1c0184bfaae42b66f17d5dbc6f3fec9
8,185000,3.145,0x29a3bcf59cca131fa8a6ea2ceb04d38270e26f09,2017-11-02T13:12:13.000Z,0.000017,0xcbcb06b4710283cd58baa7c2d1c0a5ae43cf6716,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x99230e11fb5017373c2707efd81867794424ab878ed2a878103cb0db87c9f711
9,14876.3146,0.2752118201,0xe12fc82ec6cf7bd05a80a8ed23abf1fc894023c1,2017-11-02T13:04:45.000Z,0.0000185,0xd6e30234161305cc3b4c2119ab30a8f561370a5b,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x88d1829bc6192b464df87fa885fa0ad4b5e61c1593265d964b0b60c3f33b9371
10,63800,1.1484638,0x82a2f985b345eeaccf12bc81230a8673ecac0165,2017-11-02T13:03:40.000Z,0.000018001,0xcbcb06b4710283cd58baa7c2d1c0a5ae43cf6716,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0xce14958ea7f9d7608f49b809426db33af295483174f374321c7405f44c05620f
11,1993.8191,0.0378825629,0x3481adea87943fa05baadb5af4df961f4c8bb9e0,2017-11-02T13:02:15.000Z,0.000019,0x8c8d73becc7dda3aa3c96cc6cc85c7a0b9a072fb,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x193dac8f2b2ca271c653de501664f431e779bfde56640e6564b189570b5924f0
12,50000,0.85,0x71fd2dd47ed3350e4d8d1ee16a26db2434ca8608,2017-11-02T13:02:15.000Z,0.000017,0xd6e30234161305cc3b4c2119ab30a8f561370a5b,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x7f63908ab3d97bf3a116f61aceb733afabb8f47625628381e7412ee0734acfd7
13,235,0.004465,0x3481adea87943fa05baadb5af4df961f4c8bb9e0,2017-11-02T12:55:08.000Z,0.000019,0x70c3f5c1a94d7a3aedb10709cdeb491f52057b81,buy,0x2daee1aa61d60a252dc80564499a69802853583a,0x3350527b649e9a4f9bf2331b56e9f992a303a256ca2582602510d9e532a18520
14,20000,0.42,0xe12fc82ec6cf7bd05a80a8ed23abf1fc894023c1,2017-11-02T12:53:21.000Z,0.000021,0x25712e57b3dfb23b48f10360a879745cacb00af4,buy,0x2daee1aa61d60a252dc80564499a69802853583a,0xde332e582be0f7c6a9924b05188db605512cd455e96c03c12c39e2c1ef345bdc
15,10878.55,0.22843867145,0xe12fc82ec6cf7bd05a80a8ed23abf1fc894023c1,2017-11-02T12:52:08.000Z,0.000020999,0x29a3bcf59cca131fa8a6ea2ceb04d38270e26f09,buy,0x2daee1aa61d60a252dc80564499a69802853583a,0x0d3265e3917fe65c459ad0493ba70ac64ad2389d1151b6f8f47a57b1801f27f9
16,248.9594,0.0044812692,0x748b9f5dcced2f9e8932095d178a12760a2536c1,2017-11-02T12:07:01.000Z,0.000018,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x8cb1627a4dd1a26ad74074dd7a277b939cc5b523eefb5c9582e1895748a779ff
17,151336.809,2.572725753,0x29a3bcf59cca131fa8a6ea2ceb04d38270e26f09,2017-11-02T10:47:24.000Z,0.000017,0xd6e30234161305cc3b4c2119ab30a8f561370a5b,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0xf53b4fd1a39239ab81964a72b0c40542a15d78206c0b45a6cae6f0da03e08313
18,24258.72,0.41727424272,0x29a3bcf59cca131fa8a6ea2ceb04d38270e26f09,2017-11-02T10:46:35.000Z,0.000017201,0xd6e30234161305cc3b4c2119ab30a8f561370a5b,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x67d1229891e530c8b3def88de3b0bee8545f133e2524745a2a4dc7694ce90b1f
19,20000,0.344,0x25712e57b3dfb23b48f10360a879745cacb00af4,2017-11-02T10:37:48.000Z,0.0000172,0xd6e30234161305cc3b4c2119ab30a8f561370a5b,sell,0x2daee1aa61d60a252dc80564499a69802853583a,0x396ef79133a58044132835fc9fca2e6f584f10df4329a60c7f8a2cc81dc0da21
