,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,2.5,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T07:21:44.000Z,0.0002,0xa8d5ff1a5700ec5d53d938e89a3240752d82e05f,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x2361341a15c3bb4d7f85cbe1afceca9c05b688eac58b3893576bb5de906c72b2
1,2.5,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T07:17:36.000Z,0.0002,0xa8d5ff1a5700ec5d53d938e89a3240752d82e05f,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x0b41fec3f7616eadb2616ff1a88ac09dc2d6377e2ad10af380a0f7c082d8ec2b
2,299.07287409,0.01615651480408998,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-10-31T18:29:48.000Z,0.000054022,0x068a903c384626bafe48bc93857e95be2d39dd13,sell,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xf69f400a70ae891d86a39e6820fef3ddb4b1f29c1819425fdfd4292f1dfcc361
3,5,0.001215,0x0b773d7819259d78757b26dc4148812d35676d8f,2017-10-31T14:44:04.000Z,0.000243,0x9bc20dbde85445f3abfd06a222b8d8ac958574a4,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xa06f793a4864e56e9878ead24f899e8a8041b41e1e645c604396f1547d971074
4,0.001,0.000000178,0x0c4085d8e714ca77ac5f46cd2b80a92d238a7cd3,2017-10-31T01:13:47.000Z,0.000178,0x1d76c2a0f74838c67a87c58c0298bd0391ae4973,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x7bbc26d01b6bcab04fb1187757c95175bdde8110d1b690eb0ce96ebbfba4a550
5,2040,0.1836,0x265ca90bd2ceb257be4370d0cbd6bf8e0a6688e1,2017-10-30T05:37:07.000Z,0.00009,0x0f1b76410215ed963ea2c3d3eaddd4a56350b422,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x1900b6d6dd99dad92f0170ed3565a8ccfe6da7fa61469a6961bc554b5b7757ee
6,4834,0.43506,0x265ca90bd2ceb257be4370d0cbd6bf8e0a6688e1,2017-10-30T05:26:46.000Z,0.00009,0x0f1b76410215ed963ea2c3d3eaddd4a56350b422,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x5e6e991f980233946608f9aef54a9b0ee17651069186ecdbe57dacedd7a63169
7,1000,0.086999,0x265ca90bd2ceb257be4370d0cbd6bf8e0a6688e1,2017-10-30T05:19:53.000Z,0.000086999,0x4b0925f7776c00378f9556fcd4b3aaf3efe0013f,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x41ea54c6e19fc435ff289a8fbf0880e7251110b270d158748cc58f6a1efdd3ca
8,2280,0.18012,0x265ca90bd2ceb257be4370d0cbd6bf8e0a6688e1,2017-10-30T05:19:53.000Z,0.000079,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x1264331af181c05bbc0d79d7f49287172bcb55aaddfd90e124891ac0fd937994
9,449.003,0.0353814364,0x265ca90bd2ceb257be4370d0cbd6bf8e0a6688e1,2017-10-30T05:19:53.000Z,0.0000788,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xf422aedc00d7850965ca8a517ecf70d1d95c80643d51a217374cb8e4df8913b1
10,1498,0.12733,0x265ca90bd2ceb257be4370d0cbd6bf8e0a6688e1,2017-10-30T05:19:53.000Z,0.000085,0x056b434b4e3cbc4635518b6ceac5f77e9d02afcb,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xea8b588076f461ee802baec5a30d12076806cc06e3a9162089bc65ca5f733f83
11,6.34517766,0.0005,0xf9695cd65d6dfdf257fab76a3eb0cb8f001971cc,2017-10-30T02:04:25.000Z,0.0000788000000617792,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x314e59a015f1a4ac3670b2110838750d0b8df156382bb25a8dac9186214e5693
12,7.95,0.00042946695,0x24418ab1b19550b380652432eac1ab37bf3d0fa9,2017-10-30T01:57:03.000Z,0.000054021,0x379374d13077e8867ef31803c37baf9785a17c00,sell,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x2856eb1ba6445dd8281d9105a5df542156d4bae5d6b13ac13cc2ec6caecf669b
13,2,0.000158,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-29T12:08:49.000Z,0.000079,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x9e964aaf5eea96620e6806252ccffb56e116b2a72c4a3c6ccd84b6a3377660f2
14,6.25,0.0005,0x379374d13077e8867ef31803c37baf9785a17c00,2017-10-29T01:42:35.000Z,0.00008,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x28c93e79b9adecd06c07acc9d5e1fef8bfd39af6f0d2c7c1eea85efc84110ef7
15,6.25,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-29T01:26:21.000Z,0.00008,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x63a48edd5dd9f95cad4898198fc856297ec2a524f3e99e42d6ec2c42c1273e58
16,6.25,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:06:45.000Z,0.00008,0xe44c777c51580fb3bb9a4610cb2921f463bd5e07,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x1c3deb3bdf1982ee05ca15896b84aeb30693bf66651c3de7a6e65d163d63e997
17,6.25,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:06:42.000Z,0.00008,0xe44c777c51580fb3bb9a4610cb2921f463bd5e07,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xa252c9bcf16e45f180c5d893885c2a5a7188555463f504ab28ddf5322df4a47c
18,2300,0.207,0xf6a7222207c2e93d2013c76310316b5204fe89f5,2017-10-27T05:39:50.000Z,0.00009,0x0f1b76410215ed963ea2c3d3eaddd4a56350b422,buy,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x6d2436bb5ad77e83da4da8fd25b03bc36495a9acada40ede61cb69521822f1b5
19,1040.93310736,0.04736245638488,0xe4bbba7bedcb7bab98a14e59a723d4338abc1e62,2017-10-25T18:38:29.000Z,0.0000455,0x056b434b4e3cbc4635518b6ceac5f77e9d02afcb,sell,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xaf77f03ce8a55dd3e064481d07b432b65acd5f2b576fd7f782148d674a7949be
20,1000,0.0455,0xe4bbba7bedcb7bab98a14e59a723d4338abc1e62,2017-10-25T18:36:19.000Z,0.0000455,0x056b434b4e3cbc4635518b6ceac5f77e9d02afcb,sell,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0x99ad632ce78431f7ded26e2b1f5a7caf501b69dbebd9e9c6baf70968b68da88d
21,495.67325837,0.022553133255835,0xe4bbba7bedcb7bab98a14e59a723d4338abc1e62,2017-10-25T17:51:53.000Z,0.0000455,0x23c07f4f81bb69d30073db1d6e0949e4e9c3bb0f,sell,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xcdb77be23627f88920935f8ca1317fd0185e529462779c0d9d550c016f166a06
22,2281.71807256,0.0912915400831256,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-10-24T16:03:18.000Z,0.00004001,0x7691aae774db1bb75e4df8ae656c635f49faa31b,sell,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xcb586698f95d88992ceab2aac617c7f047fad3eb4746548d1a0156fa3d11664c
23,2281.71807256,0.0912915400831256,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-10-24T16:03:05.000Z,0.00004001,0x7691aae774db1bb75e4df8ae656c635f49faa31b,sell,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xcb586698f95d88992ceab2aac617c7f047fad3eb4746548d1a0156fa3d11664c
24,100,0.005,0x186ac0b0b9c2b394b9564f1de966bee2b6d5fe88,2017-10-24T15:54:45.000Z,0.00005,0x7691aae774db1bb75e4df8ae656c635f49faa31b,sell,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,0xe165b58f0e46fbdbbaa5d98068f708262417532cd722308553bda412e0b996c9
