,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,2982,9.2442,0x7ba6ee41b6b50ebe7d085e453c09a7a501965a01,2017-11-02T10:28:21.000Z,0.0031,0xe6fe4cbee8d62718fadb696189a83aadcca8b4e3,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x61d7980e1f32a54c61953302d75ed3392b8bf02677edc191593a27df9aeccdbb
1,20,0.061,0x0006e4548aed4502ec8c844567840ce6ef1013f5,2017-11-02T06:37:30.000Z,0.00305,0xe62b49dd208f7c0f0be52be7667c8a92d5ce7cc2,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x3668777fa78fb0aa1e5bf3dad540eff5e37adcfff6f6f4e662451afefaca83c2
2,490,1.4945,0x0006e4548aed4502ec8c844567840ce6ef1013f5,2017-11-02T05:29:10.000Z,0.00305,0xe62b49dd208f7c0f0be52be7667c8a92d5ce7cc2,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0xa60273e7496b18a2eb0267a69a58f01f5539c443ce535c1afc4d6a18d0f5a171
3,300,0.93,0xce0a39a9759f2b0d3355595dbb26ba88ab48eb5d,2017-11-02T05:27:47.000Z,0.0031,0xe62b49dd208f7c0f0be52be7667c8a92d5ce7cc2,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x965ab6f1d8228d115456aa7b742e15d51e54703682484f2043fc37fbc2fd525a
4,2,0.00888,0xf180ae11d6d346279adef4894c5afd7ccbb9ac99,2017-11-01T01:03:31.000Z,0.00444,0x95d1089bfdcf8dbb5d2b3bc16573b42ed4ad6d35,buy,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x7ed24eab9ef5a414fe77d04a45514635de036f140284a5e26a58c77f1f698931
5,1,0.00408,0xf180ae11d6d346279adef4894c5afd7ccbb9ac99,2017-11-01T00:50:57.000Z,0.00408,0xa3d559a26e0252266d4d43231d7c29707c76d8b0,buy,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x0c885c5a5244bdf629076a681f39d88dc070c4beb2b2d927a410795a3d8116d8
6,16,0.0652528762335581,0x9b523cadad9e979617073e444c021bd326b74dbf,2017-10-31T14:00:22.000Z,0.0040783047645973815,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x49a93fc800f291c98a64c8ceb67be6995c52f73b23dc797afced0cfd10c20775
7,1,0.00384,0x9b523cadad9e979617073e444c021bd326b74dbf,2017-10-31T09:40:19.000Z,0.00384,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0xb7f651a2b7733495bef6a2fca4ddfab385921b81daa1d921e0a6c21ff7f9d069
8,5,0.0195,0xe3d0a0d0fcdab0f65f97c5e29b3d413e827ca3ce,2017-10-31T03:11:47.000Z,0.0039,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x65f3dc41694e8fba03e6b21a789e70c4690ef12c1800fc0ed9d341bb931446f8
9,1,0.00388,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-30T14:45:47.000Z,0.00388,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x58c4fa987dc37e90c6421b13572e0dab00a82517b4da6a4ed4ee1ac395a14c3c
10,1,0.002915,0x0006e4548aed4502ec8c844567840ce6ef1013f5,2017-10-29T18:32:06.000Z,0.002915,0xe4bac8191754b79f955d06eca8d95faec6b57e24,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0xdcc5c533cdbfcbe5d438b558bc24a40330d57038270495fd976bc1a5009d3ca6
11,1,0.00296,0x934d3bac56631e528bab1432b412289129503f27,2017-10-29T18:31:35.000Z,0.00296,0xe4bac8191754b79f955d06eca8d95faec6b57e24,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x9304fdf76561a157efbd5a12c6bcbb4141c25734b31be33b3e97987da60baa98
12,1980,5.8608,0x934d3bac56631e528bab1432b412289129503f27,2017-10-29T18:31:06.000Z,0.00296,0xe4bac8191754b79f955d06eca8d95faec6b57e24,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x5b794169241b3dfbbc1e83755049a2ff7f068fbe9ece601e827ec737b71347d5
13,55,0.16445,0xa842db65486e996ca467833480b7e50f8a123443,2017-10-29T18:29:36.000Z,0.00299,0xe4bac8191754b79f955d06eca8d95faec6b57e24,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x597dc2afb4bb9a5d031ffe8c5cc9b5ff9e431f27b417931cb4d117bc050d0020
14,203,0.609,0x1f22b9a1346ff129c014e4601e06155f5a47ec88,2017-10-29T18:26:37.000Z,0.003,0xe4bac8191754b79f955d06eca8d95faec6b57e24,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x3551dbb67322d42a119b1b733d50b25d1aba2620c48d186e97187690a1309d5e
15,50,0.1525,0x7195ce4baee2ab1a5fc2d57131473ec395172450,2017-10-29T18:26:37.000Z,0.00305,0xe4bac8191754b79f955d06eca8d95faec6b57e24,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0xf1c644138096683de36e8af0e6885235ad319da569affde2fbb4143d0aae43ae
16,150,0.48,0x05fee3c07db6007cb08ab961760171b4decfb41c,2017-10-29T18:26:32.000Z,0.0032,0xe4bac8191754b79f955d06eca8d95faec6b57e24,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x5fa9a88b1207a7dcc0b4bd54543d7813a422f1567f33f98910cc15ee5e3a312c
17,842,2.7786,0xa842db65486e996ca467833480b7e50f8a123443,2017-10-29T18:26:32.000Z,0.0033,0xe4bac8191754b79f955d06eca8d95faec6b57e24,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x9e446e98719978b41127bc92c9de29410e5c24f7540dcbb2eed9f7393168b349
18,200,0.662,0xe3bb32d1e0e60c6fbba4a53f9f90450b3b794c4e,2017-10-29T18:26:22.000Z,0.00331,0xe4bac8191754b79f955d06eca8d95faec6b57e24,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x6b1363a3ba2505698e69cb53405a6777f75822899cc7eb24e73af6790b41af27
19,1158,3.8214,0xa842db65486e996ca467833480b7e50f8a123443,2017-10-29T17:42:48.000Z,0.0033,0x78c8579517625d01905215c8e60e4bee6a47a14c,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0xd8383f00fa23b37c37ec0d8a7188fedb17c25d957a9f0df07ffeb21eb18803a9
20,147,0.441,0x1f22b9a1346ff129c014e4601e06155f5a47ec88,2017-10-28T17:07:45.000Z,0.003,0x1ed014aec47fae44c9e55bac7662c0b78ae61798,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x41ff61e5d46e3aebf34ca770e54dfe00120f058087de6f4345366ce960f98c05
21,358,1.05610358,0x3f878dde0f23fee0b8e9938d93d581aa3d9cc61c,2017-10-28T13:52:33.000Z,0.00295001,0x66ae11fd341d8d1c207b7f7a228105f9652a110a,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x12abb08c2c1cbdd77f46df988957352be876528d35d96d890c2f6187cbd95ae9
22,50,0.175,0x7195ce4baee2ab1a5fc2d57131473ec395172450,2017-10-27T21:18:04.000Z,0.0035,0xbdf6e91249c335ddf3f656c465326a69c13e1eb0,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x0a4a945c6a5c5ab04cf34d5b58600b0f3b28a3d44b10bfdc699c6d9481f4fdb2
23,2266,7.90834,0xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,2017-10-27T12:45:12.000Z,0.00349,0xdd6d175523f04141484d8b4619a943afc880da28,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x54823363ce5215ef4e8a0bd9a85ee392ff3b69d5f22f6362ef59dc926c2252bd
24,1,0.00349,0xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,2017-10-27T02:25:20.000Z,0.00349,0xa2b950dc320f67bffe5824af17c665b1fd3423ec,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x08233b9deeaee3718ccd0ce58b806d671e99794174951ddce6129296534d329b
25,6460,22.5454,0xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,2017-10-27T02:22:53.000Z,0.00349,0xa2b950dc320f67bffe5824af17c665b1fd3423ec,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x02ad69787a1d5481a342893fdd2561c0412eb4c81740407b0c721523edb27a18
26,50,0.1745005,0x8a9bcdc68d19e111663d6c986caf1da1eda1c304,2017-10-27T02:22:13.000Z,0.00349001,0xa2b950dc320f67bffe5824af17c665b1fd3423ec,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0x9a382345c0f2f0950df6f21bdb1a4b34dd6c97bd06791c8b07f74c1081af1da0
27,2818,10.1448,0x0960da039bb8151cacfef620476e8baf34bd9565,2017-10-27T02:21:55.000Z,0.0036,0xa2b950dc320f67bffe5824af17c665b1fd3423ec,sell,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,0xcef05d44dbc3c5bd2e0ce2c89ee7cfa327b21652f42f7156579007c9569ac0cf
