,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,3300,0.495,0xf2df508f996e6f548beeca28fd10dda741f275d5,2017-10-22T15:17:21.000Z,0.00015,0x7d1ce470c95dbf3df8a3e87dcec63c98e567d481,sell,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x108c27d733f3729ba226ddee01da91b589caeae2119501c8edb7d29443403d9f
1,1,0.00028,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-22T14:51:47.000Z,0.00028,0x7d1ce470c95dbf3df8a3e87dcec63c98e567d481,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x6dea728f464f0b5dba2bbf0f5e5be8477acc82ca9b0b7eea1992e14326ede3ab
2,70.14590348,0.016666666666848,0x5d5065b42bdee0274e394ba9042c21e1818c69cf,2017-10-16T21:14:59.000Z,0.0002376,0x198670956ac3dd32273ca3e54a2b890d01e00c89,sell,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x873bd248e10bd0d556613c0f78b81ac2ab23eaefe015bfa5b3b0e105c6b52718
3,1060,2.544,0x198670956ac3dd32273ca3e54a2b890d01e00c89,2017-10-16T02:04:13.000Z,0.0024,0xce146c02928f253ee21c4ef00ef89a1cac25445c,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x6a946fc64a0714845f4c6c5f9e7e19ccd3e20adb36d528864ae35c00458e251d
4,1100,0.231,0x38a17e4f76c5efdff88da57768b7dc3602cd6b14,2017-10-11T21:31:16.000Z,0.00021,0xce146c02928f253ee21c4ef00ef89a1cac25445c,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x87b54c72c5e433f0c5a8fe4635abeb96678bf8bd7dc4c8ae05b180aebcd612e2
5,1000,0.21,0x38a17e4f76c5efdff88da57768b7dc3602cd6b14,2017-10-11T21:27:05.000Z,0.00021,0xce146c02928f253ee21c4ef00ef89a1cac25445c,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x2cc4095546901f162a157cd75cf7e407563918f71f8878b8db2e41f6cc93b2a8
6,6500,1.105,0xf2df508f996e6f548beeca28fd10dda741f275d5,2017-10-09T14:32:57.000Z,0.00017,0x7d1ce470c95dbf3df8a3e87dcec63c98e567d481,sell,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x15f4ca6198684a9c533d4dec61d67fd4292abe03bc50294527cfc25b2f1d942a
7,100,0.021,0xf2df508f996e6f548beeca28fd10dda741f275d5,2017-10-09T14:17:39.000Z,0.00021,0xce146c02928f253ee21c4ef00ef89a1cac25445c,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0xfe111a8b64de6c36c8232d8c8321964a56b6815a91cf9ba559bac0d8f6125f48
8,600,0.12,0x068a903c384626bafe48bc93857e95be2d39dd13,2017-10-08T12:57:14.000Z,0.0002,0xce146c02928f253ee21c4ef00ef89a1cac25445c,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x356033c6698392a524efe08417b05c4207bdfdb7b62b9eb8506febf77f45a9ad
9,39.26652022,0.00785330404467117,0x7d1ce470c95dbf3df8a3e87dcec63c98e567d481,2017-10-06T17:12:42.000Z,0.00020000000001709265,0xce146c02928f253ee21c4ef00ef89a1cac25445c,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x72326a65732a11227030d99210cc248994e96ff1fe92d05ed5d4d6e7342cfd2e
10,20,0.004,0x8b182a4526944fa498970732a69a95d281c3c8a9,2017-10-04T06:58:48.000Z,0.0002,0x18ed07d87c895ea2e15b0af8bc3c173181917274,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0xc718a4a113411ff4655babae719917671e651519a7766b612cb6b471067453e9
11,10000,1.006,0xf2df508f996e6f548beeca28fd10dda741f275d5,2017-09-30T04:56:48.000Z,0.0001006,0x18ed07d87c895ea2e15b0af8bc3c173181917274,sell,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x1be6134bf056ee74b5c85505c7a02246e39fc3c208dfb096257641ff013395f9
12,1,0.0002,0x0249924245a19aa2d7f5ddb0739a7132b7d094ab,2017-09-29T23:04:30.000Z,0.0002,0x7d1ce470c95dbf3df8a3e87dcec63c98e567d481,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0xc851d02e58341fd923c3236998ba586efed7217f22beaa8fc9a175c7b1d2f8a0
13,10000,1.005,0xf2df508f996e6f548beeca28fd10dda741f275d5,2017-09-29T22:28:40.000Z,0.0001005,0x18ed07d87c895ea2e15b0af8bc3c173181917274,sell,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0xbdb420fc38d6bd12324c7c6b1a2b919fad7fa5fbb01f20a881d9fef94c2b1aa2
14,10000,1.05,0xf2df508f996e6f548beeca28fd10dda741f275d5,2017-09-29T22:04:30.000Z,0.000105,0x18ed07d87c895ea2e15b0af8bc3c173181917274,sell,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x50acf072880368828a663b5acdeb874993f5c288815fc1eed9dfa0e7cecd4ace
15,20000,2.001,0xf2df508f996e6f548beeca28fd10dda741f275d5,2017-09-29T13:08:26.000Z,0.00010005,0x7d1ce470c95dbf3df8a3e87dcec63c98e567d481,sell,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x03b923c4f04cc8c64872f5752292eed60be600964562d664df1d7d44c379531b
16,20,0.004,0x422d4d1f8a9373dc8b75f3e1aeab786083f38a51,2017-09-28T19:18:14.000Z,0.0002,0x18ed07d87c895ea2e15b0af8bc3c173181917274,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0xef74e15ed800ed3f392f2d9d583df3045b96f2b56e56ddd2499c715010bbcfcc
17,847.63452352,0.16952690470533927,0xdc3da22dafa08fe4f555f649db7e49b6734ea370,2017-09-28T13:44:09.000Z,0.00020000000000158,0x18ed07d87c895ea2e15b0af8bc3c173181917274,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0xaecd7d591188b4016b597fbab9218cd38b7384ef6b74225010045b8c748ee000
18,4,0.0008,0x0024a5046fd95c5eee6db19a69ef7ed3bacd50f1,2017-09-28T07:34:18.000Z,0.0002,0x18ed07d87c895ea2e15b0af8bc3c173181917274,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x1eec341cb3bf4f4a559e88bcd0539a892a62ac740191abaa8c4f32844a62d219
19,1,0.0002,0xa0be78d2bac6a692adba423c7af50ec86a18bddf,2017-09-28T04:54:27.000Z,0.0002,0x18ed07d87c895ea2e15b0af8bc3c173181917274,buy,0xb72627650f1149ea5e54834b2f468e5d430e67bf,0x58a48c28969bf00550a99a0a8f12f3c9288d9b404ae2900ac208b246637a30fa
