,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,4.9845479,0.00348918353,0x0c0905c462a672facdefd03bfabd5aa57b4eeafb,2017-10-29T05:58:08.000Z,0.0007,0x3d544ec1813f8d2b0d836fc96621f26841fe4305,sell,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x9ab982ed7daaf5342ffead614bf03e6d40d283f80adeedfca90b9ac56a841200
1,19.9381916,0.014156315417916,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-10-27T09:00:13.000Z,0.00071001,0xf043ad8f43927607c3434f518379ce6b8f638d42,sell,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x504fde5dbbc495a49a35c6e399d6c45da05c5340559693dbbd0c6e43ba519d2c
2,338.9492573,0.23729837503573,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-10-25T06:50:18.000Z,0.0007001,0x6f35506efd83c0ddeba5f1f22e7f2e9505fa9155,sell,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x65d522641af55a78392f08a44cedbc60feada64b164677ece131003a319602fb
3,0.125,0.0005,0x16e5d97bbc92417e051e3b2cabfbf8ceea2acb9c,2017-10-22T10:27:49.000Z,0.004,0x251402227bce7264aa6c3813ecd6f1e89946e232,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x5b084757346043517a9c39dad55965db7a480894a91b31ff7d5cf6d7dc575055
4,0.125,0.0005,0x379374d13077e8867ef31803c37baf9785a17c00,2017-10-22T10:23:58.000Z,0.004,0x251402227bce7264aa6c3813ecd6f1e89946e232,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0xed841980a453905c2b604b587ce940f0f2f9877ca62b155c3f5a4be4b798b3e7
5,0.125,0.0005,0xcd912af5286dc0b0a23edb30209734ecb60838b3,2017-10-22T10:19:27.000Z,0.004,0x251402227bce7264aa6c3813ecd6f1e89946e232,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0xa9d8fdac0c6932101db7a2ee291d25637dd2dd067a815e4feb2e3c8ce9cb2980
6,0.125,0.0005,0xf9695cd65d6dfdf257fab76a3eb0cb8f001971cc,2017-10-22T10:09:32.000Z,0.004,0x251402227bce7264aa6c3813ecd6f1e89946e232,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x186e22bad8c193c34de5ed3f91e23cea8714af5d7d8794ab61189261a189081a
7,0.125,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-22T09:32:14.000Z,0.004,0x251402227bce7264aa6c3813ecd6f1e89946e232,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x2d1eeda5d7f542b43cc19a850d0993ebea6ceaf75ece88471c72502e915063fe
8,13.95673412,0.009771109557412,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-10-22T02:44:09.000Z,0.0007001,0x78406b13debcaa5aa79849c9fde70fdbf3ea00a8,sell,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0xbabcc1098001e98efb185f885fc526995dd4f6a78a5705446116b6233d6b83d7
9,14,0.0595,0x78406b13debcaa5aa79849c9fde70fdbf3ea00a8,2017-10-22T02:42:57.000Z,0.00425,0xca0edd78e25ebca0e5e0194d74b2ee8c937b3dec,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x0a92a6676ce6a4eb129de708110ffe7c1894ceeae49e9452e5d672e02184cebc
10,5,0.0122,0xedf5de3807d23e5d85b0caa1e10d52b85c2a6965,2017-10-21T15:10:01.000Z,0.00244,0x54804cbd6db2362656f743e4c4306dd4f98e6580,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0xdd0026de0e9b61aa6cd9bd7516cc88607fae3736ae8307bccb94101b41aac0af
11,0.11311871,0.000277140863323696,0x54804cbd6db2362656f743e4c4306dd4f98e6580,2017-10-20T09:35:00.000Z,0.002450000210607918,0x4ef1be87d95abfc25b1d4d5b8c20af7225ce3b48,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0xfeb9823e91dd18dfc65b261c962adc0f047ac801a68c41589265235a321dfbf4
12,3,0.009,0x96373170538a83c7674ef92f41d195203a8abe09,2017-10-19T23:43:50.000Z,0.003,0x4ef1be87d95abfc25b1d4d5b8c20af7225ce3b48,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x7e8f13d886aef3d1d82f31ab5a6107b63b10462093f2c6c4f503c4fb5416bcdb
13,0.1,0.0003,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-19T15:34:19.000Z,0.003,0x4ef1be87d95abfc25b1d4d5b8c20af7225ce3b48,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x6c77129ba74420ac08d55b6d69dbf6c822a64b2c94273fb276c59bb686cca603
14,703,1.51145,0x0c0905c462a672facdefd03bfabd5aa57b4eeafb,2017-10-19T03:18:18.000Z,0.00215,0x54804cbd6db2362656f743e4c4306dd4f98e6580,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x1bc5f2e6f491dac3e8d583c422533885fcbc76fac25a8daace2cedc1b93f43f9
15,1388.8,2.98592,0x0c0905c462a672facdefd03bfabd5aa57b4eeafb,2017-10-19T03:17:57.000Z,0.00215,0x6c89306549ae4c8823f539c2535fdf76590d0f88,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0xf83a5727aa4c6219b1c4fef4c0a63fe0e487d49c78d90463ec7156b1133804c1
16,1,0.003,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-19T02:02:15.000Z,0.003,0x4ef1be87d95abfc25b1d4d5b8c20af7225ce3b48,buy,0x7f1e2c7d6a69bf34824d72c53b4550e895c0d8c2,0x89f834fc1c2a40a881203c12308b4205213a56699eeb8deae158ab9d3c7641d3
