,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,525.65617389,0.000420524939112,0x7e1e88f8b509f9cf701d309f56aae0e3ca6bb266,2017-11-02T09:32:06.000Z,0.0000008,0x890fb358a28f43f014244baa59c609f00c921def,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0xdac3bbaa44c365df5b7ddbde00d6e3fae9825f4d53504352937a29e360b0b6ec
1,333.33333333,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T08:02:07.000Z,0.000001500000000015,0xc69e3cd404c4eee62a9ba237a6ce76a49980bf9a,buy,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x76e1278e6f3e341af0795656f2a32badfb20fbc385bf4f06a13bea5fcf563916
2,333.33333333,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T07:58:25.000Z,0.000001500000000015,0xc69e3cd404c4eee62a9ba237a6ce76a49980bf9a,buy,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x095fa97315bf8f5cf2d50cd69586661bdf7198634067995201cac22796161d5b
3,336.096788,0.00020501904068,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-11-02T07:17:36.000Z,0.00000061,0x87f357f24bd9836621a6d1ad5a52888c5ca2be6d,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x528f85bb5c14e7569ab6973b79fd90e4f5ca3fd34488d6ae94c400ba8446b76d
4,4014.41903688,0.0024487956124968,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-11-02T06:22:09.000Z,0.00000061,0xb4a7bd835a0a7bee4f1bb36eb4ae7997aa2062d0,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0xeb3cf40c5418bfe84904df510449092e96cbfa0c707fa42b811b7a18669ce892
5,30455.542,0.0319783191,0x565082e07c6b7799872dcbc27b36be7762bd5a39,2017-11-01T23:51:33.000Z,0.00000105,0x488f18d46f9105ff554ab4a66874f3989a1a8783,buy,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x02193d7dc5816c5acb1b9263bb5f7e41b9ebded99b319e82a48c650a76a2d00a
6,18190.608,0.0172810776,0x565082e07c6b7799872dcbc27b36be7762bd5a39,2017-11-01T23:50:14.000Z,0.00000095,0x488f18d46f9105ff554ab4a66874f3989a1a8783,buy,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0xb0a25561756230fe09a7ef4bd645c110dc4e1a8c6cb1794df83a16001854ef23
7,1809.39163365,0.001718922051968802,0x81df114b711dcf8e5c539870100367c5bc98c29d,2017-11-01T23:22:59.000Z,0.00000095000000000071,0x488f18d46f9105ff554ab4a66874f3989a1a8783,buy,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x7249f10189fc6f60d8f5a93172ce8914917561bc5ff63294bc8083017deebfe4
8,223.77480904,0.00009130012208832,0xb38926a4f69c5dfb02397d7519a67304e2c4fbcb,2017-11-01T22:42:13.000Z,0.000000408,0x9c1875fa2a0db875ef8b81e045d29ac6642a0857,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0xd8296746bbd0574b9ac6fc289ef662ea914ce8eaf560e1ae8d331d71403aa2b0
9,264.05243744,0.00010773339447552,0xb38926a4f69c5dfb02397d7519a67304e2c4fbcb,2017-11-01T21:40:09.000Z,0.000000408,0x405c548321f8dd153c33454790109a5fe14e246c,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x7e4c6976f49cb61e28858574722ee12f13207cc04d712e0862f2ea7cfc75efc2
10,297.06910262,0.00012120419386896,0x107d35bdbb393d33d6d9ce4127883b057b8e6187,2017-11-01T18:41:41.000Z,0.000000408,0x1b6572f89d7d320e044b0a218e3c68c8198c2c40,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x4790f03183c257f13cd1a68ba8d785b4add501f39c310c4bc39bd005c5563a56
11,133.94676502,0.00005465028012816,0x107d35bdbb393d33d6d9ce4127883b057b8e6187,2017-11-01T18:35:32.000Z,0.000000408,0x78a7f4859f41fcf7b7babdfe07033fb6a311afc1,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x40e6e267701d8d8e5370b0df6ce0155f53a7d8e15c094c15346524fe52b7c6cc
12,14848.96809533,0.00604353001479931,0x272da413b84dcb2d5ad945a3d46806e22c75e04e,2017-11-01T14:03:57.000Z,0.000000407,0xbfce4713723a2cfd174371dae89e97b75e7842de,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0xac487b6b9ff598306420202c8ad37fbee2e57207b44033f8f2b761bab0e7e7d0
13,15000,0.006105,0x3cc20253b2f7ceeec87ed6db1facdd622f975d3c,2017-11-01T14:00:27.000Z,0.000000407,0xbfce4713723a2cfd174371dae89e97b75e7842de,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x4224e15428e51fa536540eb731a8b6e34e7f298a851b7a35d5c291dd0a4b952c
14,20000,0.012,0xb49b884b29e25ba3ab4d772c1b9322886a7696d7,2017-11-01T13:58:02.000Z,0.0000006,0xbfce4713723a2cfd174371dae89e97b75e7842de,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x497980509f50d1ee66d568362b6ef1f0803b9d4a24299ec80a41b296365ced8f
15,1326.829,0.00108799978,0x7c1a00f41b5d6751664ce402549395e1f5d6635b,2017-11-01T11:42:56.000Z,0.00000082,0xb017853e62caa85483017df1c1463cdcb7df9d85,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x7cdf226734a6d36b008de24c44cb8a4364550a962b1843178d8e031fb6182044
16,8362.28494046,0.006689827952368,0x7e1e88f8b509f9cf701d309f56aae0e3ca6bb266,2017-11-01T10:52:13.000Z,0.0000008,0xbfb7819128f8256df9ad57e44337d988a860f92b,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0xb925c847d6e2cac928bf17adfaa33e8ff86a93c1bf0dc77d910831d9272d01e4
17,1606.96109295,0.001317708256915109,0xbf3ff66b9f477e3c6f3b8b2c6053e398a243e6c1,2017-11-01T10:49:19.000Z,0.00000082000009999999,0xbfb7819128f8256df9ad57e44337d988a860f92b,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x3108beb74926232ab1acceb5d01391a807a6638ee02da418cbb2386c62a08f5a
18,170.11065696,0.000139490755718265,0xbf3ff66b9f477e3c6f3b8b2c6053e398a243e6c1,2017-11-01T09:30:32.000Z,0.00000082000009999999,0x35c41897f9d50c7a726394cfe6e6deb6a2c1e133,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x2a2678b5d70a51159530ba3d79a1349247ee4d0b48a2a306dcc1878fbb4f6c77
19,462.56604525,0.000379304203361604,0xbf3ff66b9f477e3c6f3b8b2c6053e398a243e6c1,2017-11-01T07:24:30.000Z,0.00000082000009999999,0x1f9bfbdb87c4f928320e079223f8098ba3cf63eb,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x7c61a68dcc63bafc9a2c71280f66d49da10c53ff2ab36e42cadff8b02504b4a7
20,310.95902701,0.000254986433244102,0xbf3ff66b9f477e3c6f3b8b2c6053e398a243e6c1,2017-11-01T03:35:07.000Z,0.00000082000009999999,0xd14a86c1d73c2b583b540838ad2c541182138484,sell,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x6037b2c50a7f5fec9c25f722b3722919f0a11caf21513940576b5b24288436f1
21,10000,0.0105,0xbfce4713723a2cfd174371dae89e97b75e7842de,2017-10-31T20:40:37.000Z,0.00000105,0x488f18d46f9105ff554ab4a66874f3989a1a8783,buy,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x9b9d32d7f062ad345463128c2d9bcec673bba26480deec91fac6edb6ab6b4a3e
22,10000,0.011,0x0a23e3542ea05bcf2dea1ae66eef33543c71b891,2017-10-31T16:50:07.000Z,0.0000011,0xc69e3cd404c4eee62a9ba237a6ce76a49980bf9a,buy,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891,0x3d2040bf3d33a2010797405587f45f45ce34eecd53056b8c3a261ed6ae9812b1
