,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,10000,0.5,0xc05eb25915a202c6ac9f3d9c11ab4044b6c25326,2017-11-02T04:53:43.000Z,0.00005,0xd64f9a51bae07df65a546408507e5163c7a1648e,buy,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0x9dbe2edfd7b0a36b665b8eb15bb4b338b54b1e45e640b34c9e3b2d57977c1287
1,121.41361015,0.005949266897427879,0xee5a2149a3048957ba56421745462591c44d0ce7,2017-11-01T18:40:45.000Z,0.00004900000000064143,0x86d4b794a7ffa3a3ea81421107cf26b7ad1b3d44,buy,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0x121ba23ae4b9f08486fd2127272dabdd1baf2f9780ca9539bc099e3c8dcdea09
2,2272.05066713,0.002499255733843,0x86d4b794a7ffa3a3ea81421107cf26b7ad1b3d44,2017-10-30T16:55:46.000Z,0.0000011,0xdd55aed1e7c65ea79b650269ce4d3a0ef5449b8e,sell,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0x97fdc5ba52b8f947988a3b04678ea567cb09dfe7e603925e108445f17b79d87f
3,100,0.0010001,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-10-30T13:55:28.000Z,0.000010001,0xdd55aed1e7c65ea79b650269ce4d3a0ef5449b8e,sell,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0x6430bd81beb070cad1e4e1a3450acacec24352a1926f806d37821c9411eac2f1
4,20000,0.5,0xd64f9a51bae07df65a546408507e5163c7a1648e,2017-10-30T13:55:28.000Z,0.000025,0xdd55aed1e7c65ea79b650269ce4d3a0ef5449b8e,sell,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0xfa1a2e0d35dbc105c81ca71ddd7778c42341c60e1b9bba69f7ec7c802cefd4ae
5,100,0.0010001,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-10-30T13:55:24.000Z,0.000010001,0xdd55aed1e7c65ea79b650269ce4d3a0ef5449b8e,sell,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0x6430bd81beb070cad1e4e1a3450acacec24352a1926f806d37821c9411eac2f1
6,20000,0.5,0xd64f9a51bae07df65a546408507e5163c7a1648e,2017-10-30T13:55:24.000Z,0.000025,0xdd55aed1e7c65ea79b650269ce4d3a0ef5449b8e,sell,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0xfa1a2e0d35dbc105c81ca71ddd7778c42341c60e1b9bba69f7ec7c802cefd4ae
7,329.341,0.0166666635801,0x5d5065b42bdee0274e394ba9042c21e1818c69cf,2017-10-30T13:55:00.000Z,0.0000506061,0xdd55aed1e7c65ea79b650269ce4d3a0ef5449b8e,sell,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0xc7ddeac46b6a83c7687f3280b5018c07764e741ce2c4bd9ae698765135223646
8,46.13853719,0.00179940295041,0x1567591981207815cbeefe0381f491000f5d302a,2017-10-30T13:55:00.000Z,0.000039,0xdd55aed1e7c65ea79b650269ce4d3a0ef5449b8e,sell,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0xf8cd6df46a29043a796fca43816b961735a66f12fa3c191057b5a6333c030a87
9,300,0.0159001332,0x429c7cf947d18c6e14660975ba5272621a618b36,2017-10-26T20:51:35.000Z,0.000053000444,0xee5a2149a3048957ba56421745462591c44d0ce7,sell,0x56e7f2cd7d5382506aab084a67d70e603cdb23f7,0x4d9e3188841411f284ba7a0b1427bbe8d37c53ebaef63d18f171bbd03f253005
