,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,1.213663622234735,0.00009105511325816,0x47b64c800161cc82d81ca055a90ee5c5550ef11d,2017-11-02T13:42:33.000Z,0.00007502499999999918,0xf9c66dd0545054ecfe325362292a17f6bb6dcca0,sell,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x724a6581eba82334396c562c21b2cd07f9a2f77fa93a24ee5120712b7c090b10
1,12174.259794636626,0.9133738410926129,0x47b64c800161cc82d81ca055a90ee5c5550ef11d,2017-11-02T13:41:21.000Z,0.000075025,0xf9c66dd0545054ecfe325362292a17f6bb6dcca0,sell,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x3b7c813ab4e895eddf5afef7d0d11b2723b76c0d567a5844bc996599949a6d7a
2,8000,0.60020808,0xad5b3fbc469313e21efe4117627a658424091b0a,2017-11-02T13:40:10.000Z,0.00007502601,0xf9c66dd0545054ecfe325362292a17f6bb6dcca0,sell,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0xfe7443edf4323826443ea5bce969f63a56defc3708d555fb2a144fb550279e38
3,3151.674,0.330916314978,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T11:49:08.000Z,0.000104997,0xc2a9e56566a8d01d5c71a98a33aae918f506125a,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x20002e407acf8136cec22899df5679b3e944c184bdc784d8afbff441973bc818
4,40.41471447970172,0.004243423776225242,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T11:48:54.000Z,0.000104997,0xad5b3fbc469313e21efe4117627a658424091b0a,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0xa9e24af565ebfe174a565dfb641a21c9305b567074ab7ee57a05688b09aa3aee
5,668.4,0.0701733108,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T11:47:54.000Z,0.000104987,0x1c39c4a38ced25b4cf306d0ebfbd1fdd7d33d917,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x5b395d8ad9d6dd8255a8fe9c0902cef59bc579ee939e3b5aac7573a27076fc53
6,1500,0.1574775,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T11:47:42.000Z,0.000104985,0x0ae2d2b3a41f08ea2674178a6ea95a916aef0e6b,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0xa7d4faf1736b878625562d94a4f4f90044b3cd923a71bb872511f236766135e1
7,40000,4.1988,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T11:47:42.000Z,0.00010497,0x341ab8f3bce026515423362b55753932d7ed8592,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x2abea975c781446300e441deb575a932e6cde70998ecd47705ade86b003e04ab
8,2700,0.2834568,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T11:47:42.000Z,0.000104984,0xad5b3fbc469313e21efe4117627a658424091b0a,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0xcd43ba317b7a3af177bb6931a1b7c029af2db555902d3ecd59cc3289271b2f11
9,4.7619954665803155,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T09:05:40.000Z,0.000104998,0xda896bd9e964386f7343414a646c8ef75d5ae009,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x18262874f6c7d002f16c77ada09aa3a15193859b6d5ab2f2fd420ba2f7d0d5d8
10,4.7619954665803155,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T09:00:42.000Z,0.000104998,0xda896bd9e964386f7343414a646c8ef75d5ae009,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x951badb504c38abad025a6d8bd1e6ab54253b0cd5fea5d84a2ab33206f69270f
11,1000,0.104999,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T08:07:08.000Z,0.000104999,0xad5b3fbc469313e21efe4117627a658424091b0a,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x0780c8eacccd0db4041a225621d0d124c1de4590276664e32d350749dfd43cd3
12,3740.404745289602,0.27682735519888346,0xad5b3fbc469313e21efe4117627a658424091b0a,2017-11-02T07:23:56.000Z,0.00007400999999999999,0x5291231436a175e421df3ce4ba58d197933a4f07,sell,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0xd41366d0077a5d18d223e32de1ca0a3583033fdb208125eff19193d94db9c589
13,4000,0.459156,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T05:44:08.000Z,0.000114789,0x4845d0894a3ca4c3588890fb01c2a874ca519fb2,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x3793fc846b3c7eb6dd6c68a8ec9ff2ea84c98ea682f7d02ebe7cf94b13ff85e6
14,2944.9197487787856,0.3103650923237962,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T05:42:17.000Z,0.00010539,0xa19dd3af5c151be661bcd0c7146828afd49940f3,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x44d28f440d0406b516e4eaae4bac25eebe4b414b913255c55d070a6e88eaa971
15,25000,2.5,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T05:42:14.000Z,0.0001,0x62c7c44acec4cb01b9f17459a01954d053fdcc16,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x09b4617fc95143a40b9a4e163feb68dc9ad485683c90bfae9142783ccf11a8c0
16,249999.99988161377,19.9999999905291,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T05:40:08.000Z,0.00008,0x66d509ac9cbf817162edf4bf124f22a1ffcc7171,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0xad33e7b590968cbf81f66c876bdb466ad193b0489dc71fec48caa0eb5dd3308b
17,50000,4,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T04:54:18.000Z,0.00008,0x66d509ac9cbf817162edf4bf124f22a1ffcc7171,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x5c3a87643f98952554ad69bc05bca8bbeb74403e2ae3f8012c3835b362016ad4
18,69782.323,5.58258584,0xd58011fee7560561c9b972ed89801ccae19195de,2017-11-02T04:50:31.000Z,0.00008,0x66d509ac9cbf817162edf4bf124f22a1ffcc7171,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x8d05f7069cdefd6c0a9c0e3f821f59f3ffd70326b5344d8df5770ac68ca87c27
19,14682.10116,1.07179338468,0x418f1f7b7b1057e22d7165decbc213432539bbfd,2017-11-02T04:46:16.000Z,0.000073,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x4a2385699871d5e6014d99b4cf5ecb1cc589f4792d6b4e83f3118ef2b8126efa
20,14726.28,1.0308396,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-02T04:46:16.000Z,0.00007,0x37e45455ac3d70d43135a796c578135b9200b20a,buy,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0x4a2385699871d5e6014d99b4cf5ecb1cc589f4792d6b4e83f3118ef2b8126efa
