,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,690.8383906703765,0.7875557653642292,0xc9d56287b414e1aa0963016aa721b527f095fd9c,2017-11-02T16:04:52.000Z,0.00114,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xbbfb456b981cfd122d42e977b9f67c21ae3b2abc5df0183ec20a74500d49c3ab
1,688.7720744470354,0.8265953665438872,0xbc0945c667fadc26b9bf39e586b15eeb901e7d1c,2017-11-02T16:04:52.000Z,0.0012001,0xc9d56287b414e1aa0963016aa721b527f095fd9c,sell,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xbbfb456b981cfd122d42e977b9f67c21ae3b2abc5df0183ec20a74500d49c3ab
2,300,0.327,0xba8acabc6da3b8c87c914aeecf9c11ab088d47d2,2017-11-02T15:44:24.000Z,0.00109,0x52f7b452c792fbcf66f84eeb87157fd867c19385,sell,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x8c2c91ae6c4005f66db98a70985f34e268c9adedccecebe85cd589fff63399f4
3,300,0.336,0xc1aac4101f510c66e44f0f0aee922051efc3ae53,2017-11-02T15:29:29.000Z,0.00112,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x511d4c6325f3138e46561a9fa7651a59af039d2cc6c99278aaf168b26568679e
4,878.6969990692385,1.001714578938932,0x548cab36b9c0de476d0415437b44a1e7f00210f7,2017-11-02T14:47:55.000Z,0.00114,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xccb4be63eaff1e4a0bfe5290f1709836c17c10d4f7c5fcd6bcfcd063779a584e
5,890,1.0146,0x548cab36b9c0de476d0415437b44a1e7f00210f7,2017-11-02T14:37:52.000Z,0.00114,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xf742d02f247e8d7fb4480901b0f8c60c42b87a48a554fc95c3683e4319e43daf
6,100,0.115,0x79be04cb83a36114272286146667e0f7e52e01fc,2017-11-02T14:17:44.000Z,0.00115,0x23c09abbc301e4bd6396548f5f6005ab345afb7e,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x60a21e2e8a61ce7c51973defd0fd6fcb2bf63009d6519e179850ac20fe12208b
7,865,0.94285,0x4f2acccee3d4d65b47ac8bf127f2df77c5a9290e,2017-11-02T14:15:11.000Z,0.00109,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x21282fbdf4d2b112372eeaaf16eda4e996b8343222c9efa31dafa48ad962360b
8,61,0.06649,0x79be04cb83a36114272286146667e0f7e52e01fc,2017-11-02T13:52:35.000Z,0.00109,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xa856e6ee9deb312ed57813f519c538b599a13713f809492dc855f15af6c7c81f
9,770.7808720554697,0.8247355330993525,0x79be04cb83a36114272286146667e0f7e52e01fc,2017-11-02T13:50:13.000Z,0.00107,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x84676a8b553d3fae1d8c5587abb47ec14dfd90f0ce38e3dd384ca93cd23841cd
10,68.758,0.0735641842,0x79be04cb83a36114272286146667e0f7e52e01fc,2017-11-02T13:50:13.000Z,0.0010699,0x460f2121b7fe447c847145095d6d1333e6449f43,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x3fc24a2f79c7360c89dcd43e398273fc508c87e5b37b7478cdb069514ac36f0d
11,1000,1.09,0x79be04cb83a36114272286146667e0f7e52e01fc,2017-11-02T13:49:42.000Z,0.00109,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x6205b368d63f7d0f1f97b2c5cdcfd96054eee19ce771b37b27193db36656ed03
12,230,0.246077,0x548cab36b9c0de476d0415437b44a1e7f00210f7,2017-11-02T13:20:08.000Z,0.0010699,0x460f2121b7fe447c847145095d6d1333e6449f43,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xed3fea30c6807114ceb77d4f66ec9689d25eeff4723302c83ca60e5255604e6f
13,138,0.138,0x548cab36b9c0de476d0415437b44a1e7f00210f7,2017-11-02T13:18:50.000Z,0.001,0x645092d78e90cedf54129b348f1b53c4a1eea5d5,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x1a4ef9e3ec049f28525e45a7834600697d09e75a891196060d0e4bfc6aec1327
14,405,0.4293,0x548cab36b9c0de476d0415437b44a1e7f00210f7,2017-11-02T13:18:50.000Z,0.00106,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xce2eff7bcc804f757861722c61abe771c6aac6206d1b06380a0facb86ed41d28
15,990,0.99,0x0dd1fe87a4d44474db373fdc104950012829031d,2017-11-02T13:09:55.000Z,0.001,0x645092d78e90cedf54129b348f1b53c4a1eea5d5,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xb4f5f1531381095c745d03eaf6636a9046dd1f71ee11b451da049a37a2ef960d
16,95,0.1007,0xc38ff609038812ce676627fc8b4e2c8c8dbfd813,2017-11-02T13:02:02.000Z,0.00106,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xe16606e7ab086a7de72e648d30c5d3905bcb5519a768160ad9a10288e23df7ff
17,0.658,0.0007039942,0x75c4ee57efc9aa3d939fd41f7c3ad59c649ec9f7,2017-11-02T12:45:06.000Z,0.0010699,0x460f2121b7fe447c847145095d6d1333e6449f43,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x83b94bffadd074a6e23207301b766e66c6c5918267aba1d083dd7c03382305d1
18,0.12255348609055426,0.000131119974768284,0x75c4ee57efc9aa3d939fd41f7c3ad59c649ec9f7,2017-11-02T12:40:38.000Z,0.0010699,0x460f2121b7fe447c847145095d6d1333e6449f43,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xfc105a0316561c9e852a149366492940fa17fe26d3aeb2cfe794069d381e4664
19,1229.2191279445303,1.3152644669006475,0x75c4ee57efc9aa3d939fd41f7c3ad59c649ec9f7,2017-11-02T12:24:39.000Z,0.00107,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xadea34eb5ab6a3786f0ba8fb79530d17a038fcea0846253c45165bc0fbacc1d9
20,74,0.08066,0x874ed4b1ea1f3e1878f9d9b99afe44de18e91d32,2017-11-02T11:33:10.000Z,0.00109,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xf6d8223b997ee958670b392762c74b7d522acbcbf7f3382f99d22c9757e1905e
21,99.69095803010667,0.11065696341341841,0xa90e8485a12ddbbc85daaa54760c7ff308985202,2017-11-02T11:19:40.000Z,0.00111,0xfd5332418a6d54c31d749657189cabcefa93c372,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x20ac888ed03be1d7fcf15e7cd93e0769c6d65001f3d17f65b51050c318a8a97c
22,628.7545028676738,0.6979174981831179,0xc8aa2f1cfee78848fd31cea466fc83b5253665a2,2017-11-02T11:18:42.000Z,0.00111,0xfd5332418a6d54c31d749657189cabcefa93c372,buy,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x786ccae403168e5fc7fe843e39b87e190c14eae0ab1bd86c39ba0fcd667d5c8d
23,2058.6182833217026,1.855844382414515,0x3c3aef0043c8629556d0b20425aca08a1509d1dc,2017-11-02T11:17:45.000Z,0.0009015,0xdc7439a92014f453c471839ab5bdfcf84a3dcdd4,sell,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0xcecd892915c1eb21bd2a81ba1ff2e8d62764c075f39180663f81d86fc3a2f0ca
