,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,881772.50527394,0.969949755801334,0xddeccc80d6c93cea83be545ca79ef6c36b327347,2017-11-02T13:58:31.000Z,0.0000011,0x1be52a01d15c1b0ceca5f0b9947d195310f60385,sell,0x3597bfd533a99c9aa083587b074434e61eb0a258,0x9d3877905d6f179370fc9e82ee505214b70ef26495deb24332946396e8049808
1,488978.52,0.6014435796,0x5a86ebf9a0e6f8181ed5143557f7b8ba89957fcc,2017-11-02T13:55:52.000Z,0.00000123,0x38705b85a98190d9aba71c4e7bb66509d452db48,buy,0x3597bfd533a99c9aa083587b074434e61eb0a258,0xa26291454c24ba9722daa8a1ef7ec866d67bddf90bd8019fa8da7a9d15552a6a
2,0.40276136,0.000000443037496,0xddeccc80d6c93cea83be545ca79ef6c36b327347,2017-11-02T13:54:51.000Z,0.0000011,0x1be52a01d15c1b0ceca5f0b9947d195310f60385,sell,0x3597bfd533a99c9aa083587b074434e61eb0a258,0x87b3136d3a03eed7c809e425989d83cfc32fc1115f400009b6f90291e43aab79
3,202110.96196504,0.2364698254990968,0xddeccc80d6c93cea83be545ca79ef6c36b327347,2017-11-02T12:18:18.000Z,0.00000117,0x09bc235b5a3e78b7757c362201bcc64340336b3a,buy,0x3597bfd533a99c9aa083587b074434e61eb0a258,0xf0afa5bad7771c55bb6e5b17e3ce1cbc43f1427353051e88a7d67cf62806d483
4,275402,0.3167123,0xddeccc80d6c93cea83be545ca79ef6c36b327347,2017-11-02T12:17:09.000Z,0.00000115,0x09bc235b5a3e78b7757c362201bcc64340336b3a,buy,0x3597bfd533a99c9aa083587b074434e61eb0a258,0x28688792e549adfc0457163b6bc3e8a182552a9a961b9975374e5e7c07282330
5,397012.807,0.45259459998,0xddeccc80d6c93cea83be545ca79ef6c36b327347,2017-11-02T12:16:55.000Z,0.00000114,0x09bc235b5a3e78b7757c362201bcc64340336b3a,buy,0x3597bfd533a99c9aa083587b074434e61eb0a258,0x2b2bb77a304de7adf670cd69cec1b04835b591057bf373a4964b4f8d71f7f352
6,500000,0.555,0xddeccc80d6c93cea83be545ca79ef6c36b327347,2017-11-02T12:16:46.000Z,0.00000111,0x46c24e504d8d29a34e7daa3ab20e32f6e3d5eccb,buy,0x3597bfd533a99c9aa083587b074434e61eb0a258,0xaa5a125628a2ba3bd4157bbf3df810295377d3de8db3f1fcb0dec99e2dbdaddc
7,39876.38300811,0.04191007854152361,0x0c3ce762dc1165dc3b400a82cd3356a52c62a57a,2017-11-02T10:01:40.000Z,0.000001051,0x793807e7fcc3bc4705dcd8eb802ac06a5f580a3d,sell,0x3597bfd533a99c9aa083587b074434e61eb0a258,0xe2ac2352cf75a1f6ff92bf75d1a59787ba69f346419419e87681821fc7b51a94
8,438.59649122,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T09:38:53.000Z,0.00000114000000002097,0x09bc235b5a3e78b7757c362201bcc64340336b3a,buy,0x3597bfd533a99c9aa083587b074434e61eb0a258,0xa8519a5eb3e3e2981caa7e1f07c7d749f98e510a02ae82ba748bec2d35caf171
9,438.59649122,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T09:28:21.000Z,0.00000114000000002097,0x09bc235b5a3e78b7757c362201bcc64340336b3a,buy,0x3597bfd533a99c9aa083587b074434e61eb0a258,0x98386cde57c2338fbd564a33d7a455f90140210b9992f296a7525d0a18a96e34
10,404126.71716179,0.4247371797370413,0x0c3ce762dc1165dc3b400a82cd3356a52c62a57a,2017-11-02T08:18:07.000Z,0.000001051,0x5aa943321f5b22bcf7a7d09c7eab8137aa1b72f8,sell,0x3597bfd533a99c9aa083587b074434e61eb0a258,0x65355ece8ff554fe756fa5cba6dc6ba62efdbd2224ee7146a880f3d626e81153
11,28495.005,0.0307746054,0x6b9fa468597e3edbcab7ecbefb0888a51020938e,2017-11-02T08:16:27.000Z,0.00000108,0x5aa943321f5b22bcf7a7d09c7eab8137aa1b72f8,sell,0x3597bfd533a99c9aa083587b074434e61eb0a258,0x54c8c90a9021deea36afdedf3a2a0fd700d6402efd83c45dc00b39f374eaf2c9
