,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.001,0.000244999999,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-30T13:39:34.000Z,0.244999999,0xbeb1fd865feea5006c74bcb615ebb00f1a05d469,buy,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x47193f2f6083715fae0062310f81c44c0c324f830a73ca59aa8661ace76a9e2b
1,0.53,0.10070000053,0xbeb1fd865feea5006c74bcb615ebb00f1a05d469,2017-10-29T18:10:11.000Z,0.190000001,0xa5684e7c4c9880ccd020c31e45b2c4e202d901c0,sell,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x69690f630eed9dc1053b8ce974477cf963513a6b49c5caa38ca0adbc6173d0b0
2,10,1.90000001,0xbeb1fd865feea5006c74bcb615ebb00f1a05d469,2017-10-29T17:12:24.000Z,0.190000001,0xa5684e7c4c9880ccd020c31e45b2c4e202d901c0,sell,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0xf9f86daa88e94af272388296fab8b7d8e508dc47e02860096017108237977ef6
3,0.025,0.0055,0x92d3ed39d77c4a667d2a193dd9b946ac8fedf94f,2017-10-29T17:10:07.000Z,0.22,0xa5684e7c4c9880ccd020c31e45b2c4e202d901c0,sell,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0xedce5a332159e8420392051a63be7afbd7f3eb692811380d357619f6d605348b
4,1.73478965,0.312296832793,0x6bad391397f5f6047d3b6752576ee1a4ae3d2927,2017-10-29T00:24:13.000Z,0.18002,0xf6fb7a4de4bf4bc746783abc63000b0148dac855,sell,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x18a38e5ea8fef09e6b809fc05e18933edf27485cb7f3374da4920aec5b6606ad
5,0.3,0.0734997,0xb89cba04266d1ef91c42cbe7d90ef60e79ca9ffc,2017-10-28T22:03:17.000Z,0.244999,0xbeb1fd865feea5006c74bcb615ebb00f1a05d469,buy,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x664f3164c7ccd90b4cb5878c39aba444d0dd5b36b9cf8d3f171ebd8b981f9f7f
6,0.5,0.11249945,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-25T21:08:14.000Z,0.2249989,0xbeb1fd865feea5006c74bcb615ebb00f1a05d469,buy,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x7869949ee6f236224fca336da441ebb9421b0d0b66f19c10a9951c696ae7fc25
7,1.705037936,0.29858302083062094,0xbeb1fd865feea5006c74bcb615ebb00f1a05d469,2017-10-25T03:01:39.000Z,0.17511811,0xad440e6b26dd3a044a97294bf87c017d7fb81c67,sell,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x826f5f1bdaa6541924a6136462421357446ebe5cdbee71bfca8054f79dc28a27
8,0.1,0.0201,0xe3d0a0d0fcdab0f65f97c5e29b3d413e827ca3ce,2017-10-25T02:59:46.000Z,0.201,0xad440e6b26dd3a044a97294bf87c017d7fb81c67,sell,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x29ef696f985d502945ad2a96b90fea75e4e8af7a08c0258fb4289ae33d23c05a
9,0.087,0.0153120087,0xbeb1fd865feea5006c74bcb615ebb00f1a05d469,2017-10-24T21:36:42.000Z,0.1760001,0xe5c5f7b4e7d4a86da73bb6a3e7fde89a9e8f1041,sell,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x7a22d886c9c0cc1a14c39bde4eaadc469f127898a5370aac477cd3720eb0c89f
