,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,83.333333,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T09:53:00.000Z,0.000006000000024,0x6f2f77791e8d219f73abaabdf45e7a91bf11b10a,buy,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0xf4e90d2e5d197079fb3f21311d920fc522f89dd49c989b064ec3bde6d429bf99
1,83.333333,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T09:40:44.000Z,0.000006000000024,0x6f2f77791e8d219f73abaabdf45e7a91bf11b10a,buy,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0xa741ae3258fcd88d79fa695f6be46e27fdac9db92c9fe96e2ab0946ddbb33a66
2,8037.330522,0.037381624257822,0x183e70600937bf8eb26111c20e48c5eeada8396e,2017-11-01T20:00:55.000Z,0.000004651,0x4d1a5c0cbb5a9d0ceb11268478adf40f71d22d78,sell,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0x45b9bc2e2e2a8642cabae33f448ae6e4a945d2b6eef5be97ee2d61056d7654a1
3,25000,0.1163,0xf8c854b77ebc0216786215bd1fb4ceca5800dc9a,2017-11-01T19:17:23.000Z,0.000004652,0x9b12d296a33f888e4f636107fbea1468167ff43c,sell,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0xb9f978b5c90c50d9505d496a4a96c59ed5c2df13f13a9941184621a460f9984d
4,22000,0.143,0x008cd39b569505e006ec93689add83999e96ab12,2017-11-01T18:41:10.000Z,0.0000065,0x2bdc160ca80bc28f37d81b6d16e88201b74aa7b9,buy,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0x3a3d22a1b3e66d9d0d041b033e7bf8257191324f14842d1e5b0ecdb775e1dc16
5,2240,0.01456,0x4cabb42822c308e73dd63b8755872d7f6f40aa75,2017-11-01T18:31:58.000Z,0.0000065,0x2bdc160ca80bc28f37d81b6d16e88201b74aa7b9,buy,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0xe7263dc9f2a488cfd374a1ff3ed9c66242846c8ca67b0df0afbdef8097d517de
6,2990.72874,0.01390987936974,0x183e70600937bf8eb26111c20e48c5eeada8396e,2017-11-01T18:09:09.000Z,0.000004651,0x4cabb42822c308e73dd63b8755872d7f6f40aa75,sell,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0x515b982378b7b8a6a2a2d9b0dc46c20cd2a433e0ab2fb6eb9c901e4da7138d7b
7,30000,0.141,0x067be47f0d4b8380ff41321e0911a66b2b1f893e,2017-11-01T17:32:13.000Z,0.0000047,0xd8d825c05e994b1618552b6bed3297fbf294d751,sell,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0xb9b8bff233ff31f23ad25e394026a68131f9e12df3e558b35666cc88fe5b0949
8,3971.940738,0.018473496372438,0x183e70600937bf8eb26111c20e48c5eeada8396e,2017-11-01T14:11:18.000Z,0.000004651,0x43808d5a5cc952c530ff9d0499fa0bfd8ff553bf,sell,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0xab58398247cf5d30bd9f9f0f5753a2889f8f57100a4eae5bf0869fe9216d8605
9,20000,0.134,0x56fd6ad97cfeb09cb2ff6b94a31324e7de41d86c,2017-11-01T12:19:01.000Z,0.0000067,0xd8d825c05e994b1618552b6bed3297fbf294d751,buy,0x76e82406a5040b605c6d30caf4802e7eb3184bbc,0xf07443cf5db143268a8713d12a6973a031369c291b24137d03e11dfccbc63fd6
