,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,1.88,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T10:02:51.000Z,0.00026595744680851064,0x189c12d547f12514bab296ccae012b0b01c6cd6d,buy,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x4cd45ce9e3e716f36a7df0a6f6d166e7d91687035f0bf8196de5520524560e65
1,1.88,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T09:51:37.000Z,0.00026595744680851064,0x189c12d547f12514bab296ccae012b0b01c6cd6d,buy,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x471b41ad4fc94ab1a0ac2c906204cc083b11356ce5aa5cd0981ed195dbbec42a
2,1.88,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T09:51:30.000Z,0.00026595744680851064,0x189c12d547f12514bab296ccae012b0b01c6cd6d,buy,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x471b41ad4fc94ab1a0ac2c906204cc083b11356ce5aa5cd0981ed195dbbec42a
3,193.13,0.03669508626,0x7301e48891b4cf4af3d47be42f75b7d7d5317158,2017-11-01T01:49:59.000Z,0.000190002,0xcf7008288b39e3e236543143e900b3593b914a94,sell,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x56a6d5e073f19a450dff35dac63730aac33bf4eebd3ac28371e69147c0c5dc88
4,0.01,0.0000019,0x65f3de22aa43e5175ebb9e194e54444d69ea6035,2017-10-31T23:30:29.000Z,0.00019,0x7616bb991081160eb20ff62ba47da6e54f5c8728,sell,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x016a9f724baef0cfe0434923489563c91973cd0449ed219ed5f68f0abd786e8a
5,29.9,0.005681,0x65f3de22aa43e5175ebb9e194e54444d69ea6035,2017-10-31T23:25:17.000Z,0.00019,0x7616bb991081160eb20ff62ba47da6e54f5c8728,sell,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x817f9a03c352843309a475394e4aacd83fd3ad24d322b2aa561836d0b67f3842
6,0.21,0.0000399,0x65f3de22aa43e5175ebb9e194e54444d69ea6035,2017-10-31T17:02:19.000Z,0.00019,0x26a7f4ab31d95cb549daaf4c0335bd7204581f05,sell,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x1dfdf7b1770059834c550a107b6539345a44e3b25e6e5c9b3a02d3c0f357ecbb
7,148.99,0.03650326501,0x189c12d547f12514bab296ccae012b0b01c6cd6d,2017-10-31T16:22:03.000Z,0.0002450047990469159,0xb38bc467ab6d5ff0dd261828682eaa169feacb80,buy,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x7a9d2390e92f28b006560d7ff85baf1a8eff2ed1ab0bbfea85cfd56cf630deae
8,12,0.0026544,0x189c12d547f12514bab296ccae012b0b01c6cd6d,2017-10-31T15:52:58.000Z,0.0002212,0xafff9f0c27950ef300783ea0ec31d5b806baf911,buy,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x1bd31aeee8e7f46446b45495105eeaf67b4f3d423a3e61c0b0ac27317e93860d
9,4028.59,0.7654321,0x65f3de22aa43e5175ebb9e194e54444d69ea6035,2017-10-31T12:43:08.000Z,0.00019,0xa399ebc3849382d1b4f5d35fac1f7a889d76cd4e,sell,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x75407efa9623460f0d07a5f6e9991e95e934c84ce7705472ed180300505484fc
10,0,0,0xf7c8850c080d7d86e12207128f54f48d6b4c26f0,2017-10-31T04:11:08.000Z,NaN,0xe444a40689f51f63bcd29910622035707d533d29,sell,0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d,0x7247d0e2bc7c99b955d3a7bdfc2c82b514eec9256074017b72de7e8c2528edc9
