,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,3523.89991027,0.07400542201558027,0x4d63f7bc86b6c300953c7784a526a837200f06cb,2017-11-02T16:44:30.000Z,0.000021001,0x0bbf2e91794cf263ef68558161cf1a611ad2f27f,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0xd5b713f135afe481c22b428c07ec30962ea74bfbb31213e9a030ade3780fac53
1,10000,0.23999,0xf2d403aec27ef17b54b090f02fb7487d226aaa54,2017-11-02T16:38:53.000Z,0.000023999,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x5a576237b0cef287008ae2289b6db6dcebd72e3430c346e9cb41409339e6e878
2,4219.44190688,0.10126660576513143,0x8a7c121ed5fe912c6ddddb1cad998c3a5d19e511,2017-11-02T16:33:21.000Z,0.0000240000000000027,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,buy,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0xf3ce6269762914a10f359f984bfeaf91956eb9181d6449c9065aff513ffbe2a1
3,1000,0.0245,0x8a7c121ed5fe912c6ddddb1cad998c3a5d19e511,2017-11-02T16:14:54.000Z,0.0000245,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,buy,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x1653584cae542c131fc792457e07a90337216afeeda616e7b10e55ecb5b3d456
4,950,0.01995,0xa83176b460ce508eee8fdac4f5a95522c09b8abc,2017-11-02T16:08:53.000Z,0.000021,0x2364e6ea3e35a8fa696fa56f2e56ab62e0583f28,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x21dddcc12aa4e5e6daed3a045a17033e45ed5832a482212514dd28ea1f1df128
5,500,0.0105005,0x4d63f7bc86b6c300953c7784a526a837200f06cb,2017-11-02T16:08:36.000Z,0.000021001,0x85534954a72366d141c1769c0b8f5be473af8423,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x8e85ab09299c64bf4863d8d03848f1b8f2637e24913747c15d79fc5a21859037
6,1630.105,0.034233835105,0x4d63f7bc86b6c300953c7784a526a837200f06cb,2017-11-02T16:07:33.000Z,0.000021001,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0xfc59af433f52fe08ab2cc59da297afda6c7b0fc0dab03d3d27a62485f1ae0478
7,2000,0.042002,0x4d63f7bc86b6c300953c7784a526a837200f06cb,2017-11-02T16:05:16.000Z,0.000021001,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x308470a1399778331e91d8172df656b0ed2a262f7c8d9173d2f3846361da09a7
8,2457.19899999,0.04914397999980001,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,2017-11-02T16:04:52.000Z,0.00002,0xa9aee5373e2024eb4fb82c969cfd1fc61c74af46,buy,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x36e0081a86d28207fb02cd8518673b0e9f44c7335452bd0d84400d849f9048b4
9,2449.82740299,0.05144882529019299,0x4d63f7bc86b6c300953c7784a526a837200f06cb,2017-11-02T16:04:52.000Z,0.000021001,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x36e0081a86d28207fb02cd8518673b0e9f44c7335452bd0d84400d849f9048b4
10,20,0.00054,0x4d63f7bc86b6c300953c7784a526a837200f06cb,2017-11-02T16:00:21.000Z,0.000027,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,buy,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0xfba987b307cfb4ce0e805b552098e1d9f827bcef52fdfaf1e6d83e31ecadf486
11,398.76383212,0.010966005383311732,0xb2bd703b860674c2bf3eecc17f6c5a2cb3ac7f97,2017-11-02T16:00:21.000Z,0.00002750000000002942,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,buy,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x3bedf27336925238b23e9fd03915b2b162e435fb74563acc0b3e05fa6ede687a
12,2000,0.042,0xa83176b460ce508eee8fdac4f5a95522c09b8abc,2017-11-02T15:54:15.000Z,0.000021,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x986827539f795a22000773ccb0dc0f679478c15594109a92fa42df1206e45bbb
13,996.9095803,0.019938191606,0x2364e6ea3e35a8fa696fa56f2e56ab62e0583f28,2017-11-02T15:53:17.000Z,0.00002,0x56ac65dd21f1f5e3e79bac95c6f4ab2f26c7360a,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x6b8ba362b6316608e41007265fddfa02d55ecc9cf3b3caf91cd884b30c0b7e65
14,156.759,0.003918975,0xf0ddad1698eff75a3224765123bacde150fd825b,2017-11-02T15:52:41.000Z,0.000025,0x7f49c2e0d6cbbb897f1f556a567c7a6706cfc23f,buy,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x3b8db56a957954e373d60f24b145d6adec0299f8a4b0d7ee33e23f423975372b
15,2000,0.049,0xa83176b460ce508eee8fdac4f5a95522c09b8abc,2017-11-02T15:50:33.000Z,0.0000245,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,buy,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0xf02fc648ba4f0e060bf114c288ce6e3c0ccdd70b29427046fe221bb262ff064c
16,2300.24063938,0.0575060159846386,0xa021d614767da70616989e1b683ad20871476cfb,2017-11-02T15:45:32.000Z,0.00002500000000006025,0x7f49c2e0d6cbbb897f1f556a567c7a6706cfc23f,buy,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x12be2ebfd623d36c25aca0955ceafb075635f4cab40840b006ba270fa1f81553
17,20500,0.54325,0x245d3b421672e029b7ddf9fd5e9a1d19e72ec41b,2017-11-02T15:45:13.000Z,0.0000265,0x3ffaf6d7382bb0bec6aaf56225ae8d0acf85a6e8,buy,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x46d800899013ed6c558fe56c48b3ce2d746accc888d164621cad899bfdb26625
18,1000,0.018,0x245d3b421672e029b7ddf9fd5e9a1d19e72ec41b,2017-11-02T15:45:13.000Z,0.000018,0x485d715fb51c67579ca3dcc0fcf7edd165b2d659,sell,0x2fd41f516fac94ed08e156f489f56ca3a80b04d0,0x1d71d1023cf0ce356adc7f5b74ef4afbe2f6e87b3101c5fb82b264e7ff003a5e
