,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.11,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T10:14:49.000Z,0.004545454545454545,0x527e6009e17c7e85ca8c3912accd8f0e12b89e2b,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0xb78e8b827c17b6f07deb2e9c944d44767662af92681d60fbd2216a59d8265515
1,0.11,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T10:02:58.000Z,0.004545454545454545,0x527e6009e17c7e85ca8c3912accd8f0e12b89e2b,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0xa21e7da3b1774afaf0a1ad1f170d3628b8426e25fe259da8c11d05f1f64a763d
2,0.01,0.00006,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-30T13:02:19.000Z,0.006,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0xcc78b845e61495bcebcb2754893957421ecf1f67966db8315d039e96d4cb8715
3,200,0.3622,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,2017-10-30T07:20:29.000Z,0.001811,0x7098391625c7faeb427187b3a41c7be2afe02caa,sell,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0x9010c816991db3fcc96c88544d4c99ad70d38f3a2c02dd9bdb6db85ea8487b07
4,30,0.057,0x1b2ba681893d2b2e301e095303a419b9c2c2bbaf,2017-10-30T07:20:29.000Z,0.0019,0x7098391625c7faeb427187b3a41c7be2afe02caa,sell,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0x466456e7f12115369ef7197f7c8a5203652cc8b56b5b92f5d2143f6e54b69b81
5,0.07,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T21:44:39.000Z,0.007142857142857143,0x53c94cda76964134d336a4bba634830d39e88a2a,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0x929dcb3a974e57995293c41930df7a91da4cc0142ee5ae17efe81ca8bb0f9756
6,0.07,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T21:44:39.000Z,0.007142857142857143,0x53c94cda76964134d336a4bba634830d39e88a2a,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0x563e9f6a1a916172013d3a6985cc69c0f1b74ccdfa9615514bb0d555817e92c1
7,0.07,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:26:32.000Z,0.007142857142857143,0x53c94cda76964134d336a4bba634830d39e88a2a,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0xd3add9bf5f99ac95ee355196c791417594c5ee7fa8d0707cd4c9ed86a2ff9257
8,0.07,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:20:11.000Z,0.007142857142857143,0x53c94cda76964134d336a4bba634830d39e88a2a,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0x14fc7a79cc9c9e79340ec681a4024007ded46175a1b3b5817ecab04a1c5e287c
9,50,0.2,0x2b94e08d9eb99428d36b5a8a1c9c5e116c5db7f0,2017-10-28T15:55:53.000Z,0.004,0x4d75687b5e9ee87abb070d047d01ef44cb8fa764,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0x524bcd9cc9745aee83c6c3433f15b3ffe904723854e939a611a7383952add7b1
10,50,0.2,0x4d75687b5e9ee87abb070d047d01ef44cb8fa764,2017-10-28T15:51:41.000Z,0.004,0x2b94e08d9eb99428d36b5a8a1c9c5e116c5db7f0,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0xdc592db849e89df6c7197e989a1daba10459ff4e01bb1cd3c592f151be3b5c1a
11,50,0.3,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,2017-10-27T15:03:55.000Z,0.006,0x1fdf047bf7a114b37e7936d01e9cad754ad18803,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0xadba53222cc60013487974aa813aa27796ed7a3239c3366aa370369eaa704ba7
12,305,2.562,0x32c91fbfa0b276dc8a9d7a8332b2ddf5bbb7ff7a,2017-10-25T16:15:31.000Z,0.0084,0xc8790a0bff976b39d119b8dc47c3e0f6574fe1c8,buy,0xa578acc0cb7875781b7880903f4594d13cfa8b98,0x7f88b5bbaeadedd5a1667cd9059740e2d0f65a75b501e2c3b3cf70306e8587d4
