,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,104.16666666666667,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T10:26:37.000Z,0.0000048,0x631977795532b6b3a6a6ce4419e8be852c05829e,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x782c464714cba916d740fd6c50aef54ad4ebe64d81a80b49d35af7a5210b2b85
1,104.16666666666667,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T10:12:36.000Z,0.0000048,0x631977795532b6b3a6a6ce4419e8be852c05829e,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x4f2deee62752d142fbbb8d3cfd9b1a6b39c80591fef496eb6a68eaec6c3f65fd
2,104.16666666666667,0.0005,0xf9695cd65d6dfdf257fab76a3eb0cb8f001971cc,2017-10-30T02:41:10.000Z,0.0000048,0x631977795532b6b3a6a6ce4419e8be852c05829e,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xa9ba50540a3982e90ec42d831c4b841576ea7e51935702987d15847992272c7a
3,600,0.00288,0x3e257a10d383b7ce358ff25ccc87247aa7a72666,2017-10-29T19:21:43.000Z,0.0000048,0x631977795532b6b3a6a6ce4419e8be852c05829e,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x6cd044555cb1977f0a92fda721666f340293eb77131420145b6303c298a9edc6
4,100,0.00058,0xfad7ae972c8e017b67beadb59b639e2e1ec88478,2017-10-29T06:15:12.000Z,0.0000058,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xb5e287b59ff2f15bf4cc0c0bf313f366ea7afd15fff3fb7a195c20308556de51
5,200,0.00116,0xfad7ae972c8e017b67beadb59b639e2e1ec88478,2017-10-29T06:15:12.000Z,0.0000058,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x0883b1a35a41a47d116696def1d13103f9dbcb529def9eea63082a160e0b7fa4
6,83.33333333333333,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-28T20:59:26.000Z,0.000006,0x0706df2342041f4b59568902ccf2cba59703edcf,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xa0a40f8cea1cfc69f4767261c799886c3d03ff5180c401c9b6afdaa5d519e18d
7,83.33333333333333,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:31:18.000Z,0.000006,0x0706df2342041f4b59568902ccf2cba59703edcf,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xfe6fef22a784ada0a16f00b881778a2c45b4afe28fbadbe83eb3a27e8db0b202
8,83.33333333333333,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:22:06.000Z,0.000006,0x0706df2342041f4b59568902ccf2cba59703edcf,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x23efdae2c274c8595d0621dd6aaffd10ac849bb5bf82f0323c4fdec7d62d59f0
9,25000,0.15,0x0706df2342041f4b59568902ccf2cba59703edcf,2017-10-28T18:40:46.000Z,0.000006,0x631977795532b6b3a6a6ce4419e8be852c05829e,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xa5662e49cc164d84cadb04bf8f6d1171395014156e5fa1582c9791b35c093ece
10,83.33333333333333,0.0005,0xcd912af5286dc0b0a23edb30209734ecb60838b3,2017-10-28T16:58:18.000Z,0.000006,0x631977795532b6b3a6a6ce4419e8be852c05829e,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xf47f4ae46b217cf3e4291444714bc69ac23042b23f639c9ac55e4c210cbd67cc
11,23458.588790487778,0.0295580564619025,0x24418ab1b19550b380652432eac1ab37bf3d0fa9,2017-10-28T14:29:22.000Z,0.00000126000999999999,0x0cca7e7317e21ff3a9d2845bde7de97382cc8248,sell,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x40cfe082ad6a92a3ffbd4d9c70621d42921bc3b1393bc6c20d5004c10ab57407
12,1468.689584261711,0.011749222936176836,0x55258a9bdcc09005a68042c62c991e14b4fe6378,2017-10-27T15:02:36.000Z,0.0000079998,0x0cca7e7317e21ff3a9d2845bde7de97382cc8248,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xdb3f098ed58b2665070f5a3b72ff5e7507e8d2b55a97dabdcb78895ce4579ecb
13,700,0.0056,0x035392de57aa4fe343d86494103dbe1b068a56c6,2017-10-26T19:11:55.000Z,0.000008,0x631977795532b6b3a6a6ce4419e8be852c05829e,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xdb565d707b67b7cb648683f4d864398c9adf60f20b6010e2a96361bd330df17f
14,1000,0.00125,0x78b0e4933f5b7d90102367e28efcde256998411e,2017-10-25T05:30:14.000Z,0.00000125,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,sell,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x854fa3481e73245d3297cdc9289f34eb2970482d1eef4214a9d9b4750731c111
15,1000,0.00125,0x78b0e4933f5b7d90102367e28efcde256998411e,2017-10-25T05:30:14.000Z,0.00000125,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,sell,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x544d3ff4b106f880d8a1c73a9d6f7ff6cf838b5b1d3572fa0abd5b6368e7d3be
16,1000,0.00125,0x78b0e4933f5b7d90102367e28efcde256998411e,2017-10-25T05:30:06.000Z,0.00000125,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,sell,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x274898113353610765c98c5bc1160775e40355f847e7ef6a518add9558aa061c
17,1000,0.001253,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-10-25T05:29:31.000Z,0.000001253,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,sell,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x72dbf240e8d93a6c9870b909b7b05552eec8f1bc7037580046a0e55f8eecd35c
18,5000,0.006255,0x8b182a4526944fa498970732a69a95d281c3c8a9,2017-10-25T05:28:39.000Z,0.000001251,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,sell,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x0104dc4e2c48a8a9335e258028a2c29a35a571dbcf5fccd20bdfbd21d61079f3
19,5.778,0.0000918702,0xb99f72a8b0d3a5025ab8b2ca534973497af42899,2017-10-23T20:05:09.000Z,0.0000159,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x55b0edb12eacd2a9319599ad880369fa2fcd14dfa6cc6b38aad6456f27351375
20,333,0.0052947,0x54b59cbea68b581f1fa6ae1c3d5ea0643e8e2378,2017-10-23T15:17:39.000Z,0.0000159,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xf3d3411066bddb00a80fb44f207039a0a3e9daf3d34fc64bb9181a7992e65507
21,858.5605282579601,0.015454089508643281,0x0fe6090affd0b5ba58586ab18fe575a51911d098,2017-10-23T05:23:16.000Z,0.00001799999999999999,0x65f2dddf638c7a7118b22d610c9aeba141f2467f,sell,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xfb7b2d517a8953a82c36a4ccca2d37f09001b494c112fee5a43896867b9a1b18
22,861.2220658955597,0.0136934308477394,0x65f2dddf638c7a7118b22d610c9aeba141f2467f,2017-10-23T05:23:16.000Z,0.0000159,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xfb7b2d517a8953a82c36a4ccca2d37f09001b494c112fee5a43896867b9a1b18
23,1000,0.0159,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-23T05:12:40.000Z,0.0000159,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x46551b49f3e429f576e8b993b1e5f4b57769679fbe86b94d783cc60bca637c55
24,997,0.017946,0x0fe6090affd0b5ba58586ab18fe575a51911d098,2017-10-23T05:12:40.000Z,0.000018,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x46551b49f3e429f576e8b993b1e5f4b57769679fbe86b94d783cc60bca637c55
25,395.17056140577716,0.00794292828425612,0xf23aef11371f7bdc43a3350d57e2fe4e60722f20,2017-10-22T11:28:45.000Z,0.0000201,0x631977795532b6b3a6a6ce4419e8be852c05829e,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x261fa8e95b1b9954324964867a24e8c03df94acbd8029aeb37f7fcab79c4bda9
26,32722.538,0.523560608,0xe30a54ee53cf9ffb8cc3906b4a3c4fabb2489fc6,2017-10-21T23:25:58.000Z,0.000016,0x42a8efa496a2a5dcf66a8e400c46b96cf593735a,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x0d487dca2c62c474bc409fa176458c21189df3334df50d1f5c92d3cedf8c2faa
27,17177.46176840172,0.309194311831231,0x48bd59531e0ad74630cc82a813c2120abf7647ff,2017-10-21T16:15:55.000Z,0.000018,0x42a8efa496a2a5dcf66a8e400c46b96cf593735a,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xd25fc1559f62f76aba0b42abdc152f4b626e0faa3218b4447299ee342fd67ec6
28,50,0.0009,0x077664018c741c2df811ecd2f0ed6668c89bbb49,2017-10-21T05:27:32.000Z,0.000018,0x42a8efa496a2a5dcf66a8e400c46b96cf593735a,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xfe7feb2ee7a4ab3a785dcf2335a14aec1f201d7b885f9509deeb2342b4c519e1
29,50,0.0009,0x077664018c741c2df811ecd2f0ed6668c89bbb49,2017-10-21T05:27:19.000Z,0.000018,0x42a8efa496a2a5dcf66a8e400c46b96cf593735a,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x29f3bfc9b89f6dc7a735b836df066623a998a7a2c4f952aca1954b8f18299825
30,1000,0.02,0x304c929780c19ae230022779a75b451f63d4705f,2017-10-21T04:21:36.000Z,0.00002,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,sell,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x607c3cbe46226a32bd333535e36fae0a2f5668b299b86917cdfecb3dca10637e
31,1,0.000019,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-20T03:32:46.000Z,0.000019,0x631977795532b6b3a6a6ce4419e8be852c05829e,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x46998808e788b9cd4717453e3a116d6e7bfed4a61793fa410022538d46785c6a
32,448.6121932387428,0.008972243864774855,0xcf0609bca4770b8e698250208df4bcdaf6ba5e2d,2017-10-19T19:06:53.000Z,0.00002,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xd7222cb4bffb2b2a945b345e3cf591482a11d6388ff14a15d5e66185e0d7a698
33,28.9103778287309,0.000578207556574618,0xcf0609bca4770b8e698250208df4bcdaf6ba5e2d,2017-10-19T19:03:37.000Z,0.00002,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0xff5bdacdd9a19cbc44229a7fa9263d6219c82ad00b66f193846a4cac519c5c96
34,1000,0.02,0xd4504ceded844c0bbdf74de176edbe357995be7d,2017-10-19T09:07:22.000Z,0.00002,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x8a6c2e8267d8ce1f77fe20593e025fb1b7a1dfb1e9b845c8283612859a61f806
35,6299.530804831004,0.1385896777062821,0x9a8249c97a61591d42ef64b7909d4207799ff5f9,2017-10-18T21:39:15.000Z,0.000022,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,buy,0x6f1a769952c60b2d03f46419adeda91d87866dab,0x84d089398921d67281c27ad96ac7a5ad23ca8ede53252eedf2e750d19edb0cec
