,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.42,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T10:29:32.000Z,0.0011904761904761904,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0xbaa265f132d479c9c83b361b84c1c6be5a54168352d9e5cdb62d0ca12210f328
1,0.42,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T10:13:14.000Z,0.0011904761904761904,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x0e9395a2742d759edf65dc21955dbb2ca83e8ed5a7e3abeebb804fd12ca912ee
2,0.04,0.00001624,0x48eaedfa6ab55f414a433f0778f55ed9b827e822,2017-11-01T14:42:30.000Z,0.000406,0xd6a4c49d73364a5294efff05d2dad25eaa931d62,sell,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x076b00d68f34947014132d3be91a397ee3230711f06a91321eeeb9b554a16a76
3,309.94,0.12583564,0x48eaedfa6ab55f414a433f0778f55ed9b827e822,2017-11-01T14:40:05.000Z,0.000406,0xd6a4c49d73364a5294efff05d2dad25eaa931d62,sell,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0xcf69b0de83bef6fc9388a962726260151b6681cca47706a62dc2a4dca3d7a342
4,2,0.001040002,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-11-01T14:38:17.000Z,0.000520001,0xd6a4c49d73364a5294efff05d2dad25eaa931d62,sell,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0xe34f8a0ac20b217a28c3a62d0210aefaa915171edbf5ae8e35da3707252631ec
5,50,0.03225,0x6d7ff4d014737ade242c42294de9cc8c6d4e2643,2017-11-01T14:36:31.000Z,0.000645,0xd6a4c49d73364a5294efff05d2dad25eaa931d62,sell,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0xbed1baf8440b9477e8f1cc54bda6208724e6ddde7e11eefbfd85f7b8e6f274b9
6,500,0.33,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,2017-11-01T14:35:29.000Z,0.00066,0xd6a4c49d73364a5294efff05d2dad25eaa931d62,sell,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x87d834baef10070916534f7ae25e9fe76141f44e05bca6115d52ee11e991d780
7,329.13,0.230391,0xfa3b38bf90db24019b94400b66fe57bde7cad810,2017-11-01T14:33:19.000Z,0.0007,0xd6a4c49d73364a5294efff05d2dad25eaa931d62,sell,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x997a8c8d77e037c13998bb0b2acfefbe51df6ad8dbae70352dc7c19930ed2cd2
8,250,0.2,0xfa3b38bf90db24019b94400b66fe57bde7cad810,2017-11-01T14:30:05.000Z,0.0008,0xd6a4c49d73364a5294efff05d2dad25eaa931d62,sell,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x0b04ea543e9bd14d0607c5d922ddb067e01efc7b43403a8df89557aa0dc4c81f
9,5.69,0.007397,0xfa3b38bf90db24019b94400b66fe57bde7cad810,2017-11-01T01:22:56.000Z,0.0013,0x0b6dbe9a51eefbf7e924b7257c7950402c80fe87,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x16edb1953fc44089e8f7605e2bc0af83bba40d18cf28f218c549950584dd6361
10,50,0.065,0xfa3b38bf90db24019b94400b66fe57bde7cad810,2017-11-01T01:22:56.000Z,0.0013,0x6d7ff4d014737ade242c42294de9cc8c6d4e2643,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x345d7cfadfb76b6f6a3e7cfc98e3adbbd90f614c2a0e53f94709d4196789f160
11,50,0.065,0xfa3b38bf90db24019b94400b66fe57bde7cad810,2017-11-01T01:22:46.000Z,0.0013,0x4f68ce6dfec9c34b6eece76cfc125f5d778a1d43,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0xb3b81c56f541057dc24a4df549b8190ac1f313e106e5e0d9182e3593e74ed3a2
12,105,0.13125,0xfa3b38bf90db24019b94400b66fe57bde7cad810,2017-11-01T01:21:57.000Z,0.00125,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x210d01e67340a2dac98dd0bcec2847cc0b012c2be9a8e8ed6cfa0dd6179c8b71
13,114.46,0.1545212441431562,0xa6001f571c3573e340beb6f3d33895bc3a45c883,2017-10-31T18:49:35.000Z,0.0013500021329997923,0x48eaedfa6ab55f414a433f0778f55ed9b827e822,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x36aaa212d3feb89dd4ebf3b600fda3c45390aba31358862fdb3cfe5b0c26c835
14,631.55,0.6947094,0xd4a99a3e6a1a495ab95ea1a72a45f670ddbc0d96,2017-10-31T14:16:55.000Z,0.0011000069669859869,0x9adce261bd078192e788fd87e0112fa50ae5b770,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x9d594c20c7f90357a693b06cdc5b1d430f2832c8395f17622f886bf4f072fda9
15,450,0.4949505,0xd4a99a3e6a1a495ab95ea1a72a45f670ddbc0d96,2017-10-31T14:16:40.000Z,0.00109989,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x2fe748553b5cd86e816c1562b94a1da33c03609e10b6c22a94bf1c2c26892953
16,640,0.703936,0xd4a99a3e6a1a495ab95ea1a72a45f670ddbc0d96,2017-10-31T14:16:40.000Z,0.0010999,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x6e731430a8e0c84025f077e4bd8c14b8aa31f63e0fa40235f307bb76128e060c
17,120,0.126,0xd4a99a3e6a1a495ab95ea1a72a45f670ddbc0d96,2017-10-31T14:14:35.000Z,0.00105,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0xa080f9daa567f565a53072faac6a058f3a4fecaff75cdbb902f2df67a0720fb3
18,45,0.225,0x22ce09535577c224cc5f3da133be5b58a0a0c8f0,2017-10-31T13:00:34.000Z,0.005,0x22ce09535577c224cc5f3da133be5b58a0a0c8f0,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0xcf0a374d06babebb92ac99eb6695f68f55233fa1585df8423b9d6bc736c6a83b
19,555,0.610389,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,2017-10-31T12:45:19.000Z,0.0010998,0x4a0424a7714ff91b10c5f22e3c316e030a65ee42,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x13d7539774ed1f488a22d6294d16258b8a761542c49911baa88d5b6fc7610369
20,5,0.00525,0x22ce09535577c224cc5f3da133be5b58a0a0c8f0,2017-10-31T09:48:12.000Z,0.00105,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,buy,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x53680c06cfe721b502b7d4f2893506799c400ab4bb7c89fbb10c17e9b67dd4e4
21,125,0.08,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,2017-10-29T21:50:00.000Z,0.00064,0x1d41b83709e31ffc6bc124aeef276b188fd803fb,sell,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0x1909408f7830a3d32eaf8def994977d66fe96502d686d0799c39c1f1e97ef5eb
22,100,0.063,0xfa3b38bf90db24019b94400b66fe57bde7cad810,2017-10-29T17:03:16.000Z,0.00063,0xc737468e0654f1a21ed4c22544d40fd49d69990a,sell,0xb802b24e0637c2b87d2e8b7784c055bbe921011a,0xb9cad27a07744c652a44595f9b94d8876f2412b5cd0bfc1c86c70637ebd5437e
