,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,5000,0.205,0xbbe8a1421d8583194bd959a640cb82225650c748,2017-11-02T12:20:41.000Z,0.000041,0x626fcc98ee86ee187039e93f19272bdea20fee09,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x147f1eeb3e29e76a46b427e6c33d059f654ea49343d7a0b7e8a24489c499be16
1,7820,0.35190782,0xb766a4790be0441006226ec1b11a20424626cdcf,2017-11-02T12:20:17.000Z,0.000045001,0x626fcc98ee86ee187039e93f19272bdea20fee09,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xeb3d59790ac64d14ca167ad2b71d662cef6fcab52aaf48df821db6073d81815b
2,2500,0.1125,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,2017-11-02T12:20:17.000Z,0.000045,0x626fcc98ee86ee187039e93f19272bdea20fee09,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x7e8a365cba6a9905d2afc81fb6264fd64e4483803e943edf7e20029b812bcc75
3,5.00050005,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T10:44:29.000Z,0.00009999000000009999,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x6d40404f4c4a3b7f0e07b85ebfb5a509ab0474282ab0e1d4ce48c34530d01283
4,5.00050005,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T10:22:56.000Z,0.00009999000000009999,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xc49858ecb7cca994c2e54fb9deee8a46047931d6446d63552d9720fae4feb478
5,4352,0.82688,0x2ddd0808be289cb902711c7ac4148560297e6ca3,2017-10-31T21:59:12.000Z,0.00019,0xbbe8a1421d8583194bd959a640cb82225650c748,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x725d6cec840a9eab98c63099f72363d3de25eca7a7027aa9a13d9cb7cd483f74
6,1000,0.199,0x2ddd0808be289cb902711c7ac4148560297e6ca3,2017-10-31T17:36:53.000Z,0.000199,0x503a6945bc893a957deda173e3b1bd235a2f9112,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xcb5bdea32752a940a8c21aeeaf4f24be90499bc5a06bddc62c68c1c821975ab1
7,650,0.085735,0x2ddd0808be289cb902711c7ac4148560297e6ca3,2017-10-31T10:01:21.000Z,0.0001319,0x5f4bac6f00064627066e53df4a40f5f8effaa925,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xa8657c08c3ce2d5bd20806c6b8a7ce41f9fa4e07c95bfaf9ac42b75e01a86fc6
8,1298.977,0.153279286,0x2ddd0808be289cb902711c7ac4148560297e6ca3,2017-10-31T09:59:00.000Z,0.000118,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x03806ae2d43a463a3e4dd9c99af259ee7e3e9e85fe08eb07bb4008acf98641a2
9,2554.08646113,0.10223957022174167,0x66ba7e4d074192839652a4042a6fa9ad96bab92d,2017-10-31T06:33:25.000Z,0.0000400298,0x8ce3bb397893e32992736331c34a51195022dd46,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x11533e3cccc63177933feeaca9507e42e07c48e979f8b265144374d32cb9345c
10,1000,0.041,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-10-31T06:27:59.000Z,0.000041,0x8ce3bb397893e32992736331c34a51195022dd46,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x50be76b8c31639b8fe671f24c63f24c73cef92e831f92b5580b4f4e9dc848808
11,5000,0.20525,0x0bbb57db57004f00d88a6d115689eb0b645a0f0e,2017-10-31T06:27:41.000Z,0.00004105,0x8ce3bb397893e32992736331c34a51195022dd46,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xb0c5a1b5a8cf738aa151e28d78204e219e4a52f04d92e41aa0ee3be8149c794c
12,1544.4624494,0.06182452295699212,0x66ba7e4d074192839652a4042a6fa9ad96bab92d,2017-10-30T18:34:11.000Z,0.0000400298,0xa06fb4fe461ad9f2c5d45b22e18c3f67bbd84101,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x39b4305eefbc67e657573b329e59b941a9df5f4a3420723f1d3a4a8f5755784c
13,900,0.04509,0x0190d5407e389ba2ca7ad1d6f480f8ebefffb7d9,2017-10-30T15:15:47.000Z,0.0000501,0x8ce3bb397893e32992736331c34a51195022dd46,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x490e0e5167083c5dcbd48f2721513fd213bb2468531977c02847d22f70bc4a92
14,561.307,0.0779655423,0x98b35e9447c24e45a187d8cd8d275a2e83f8f01b,2017-10-30T10:36:09.000Z,0.0001389,0x72fd2ec5dfe929f2ab3f6f14de7ffa83e8558f54,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x4df6967273c66957ec47dff0a7943fdff647bdf195a535c54c55e2b370a01fa5
15,160.8852557,0.006916457142543,0x0190d5407e389ba2ca7ad1d6f480f8ebefffb7d9,2017-10-30T07:35:57.000Z,0.00004299,0x14aae375993ba1152f425e39b44d7e06adeb493d,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xe58bb1d41ef06cd468d256f844b3d77f1cffd611f751ecc54d09dcc39d32490a
16,438.69254985,0.060934395174957634,0x98b35e9447c24e45a187d8cd8d275a2e83f8f01b,2017-10-30T06:15:20.000Z,0.0001389000000018068,0x72fd2ec5dfe929f2ab3f6f14de7ffa83e8558f54,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x45a542d66ab4cee27cf43bb3a5baa970028b6a163cfff8a12887b6911cdc29ed
17,1.02284656,0.000125810127868585,0xee6d9ee0130877137dcba28f7e909a65a0031d7d,2017-10-29T00:16:41.000Z,0.00012300000096650371,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x074aee4cc836741da82b8ddfb27141164790f216b0abdfc9c1790584204da75e
18,200,0.0246,0xee6d9ee0130877137dcba28f7e909a65a0031d7d,2017-10-29T00:12:27.000Z,0.000123,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x84de31454141dd90235acb491d231455880141759e438b1ed25c60fce87ae699
19,0.00002,0.00000000246,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-28T22:24:52.000Z,0.000123,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x1136faa4d2d0c8dca7cc24c47d321458d5597d5f981933e1d35e799734943599
20,0.00001994,0.4985,0x3d851864d9e56451f09e687e6d25db2d412bdede,2017-10-28T22:24:52.000Z,25000,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x1136faa4d2d0c8dca7cc24c47d321458d5597d5f981933e1d35e799734943599
21,4.16666666,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:32:02.000Z,0.000120000000192,0x5f4b3ee61a3a47f2cab2fe97cb1a96ee947cedcb,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x2f8ef4b5a97cf60730817ac1ded9f27c503d92d344727e83c4bdab5988774031
22,4.16666666,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:25:45.000Z,0.000120000000192,0x5f4b3ee61a3a47f2cab2fe97cb1a96ee947cedcb,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xe5c55849f153ba8004fe515cc7b17d640a86519aa277e884b7872dd2c183b324
23,1500,0.105,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,2017-10-27T00:25:21.000Z,0.00007,0x626fcc98ee86ee187039e93f19272bdea20fee09,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x16f506e45cecb24d5fadb4a9bc37cc9a5ce025f0fce4b76df227e766cc34cc94
24,1736.61648888,0.08856744093288,0xbbe8a1421d8583194bd959a640cb82225650c748,2017-10-26T19:03:38.000Z,0.000051,0x1be52a01d15c1b0ceca5f0b9947d195310f60385,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x51aa67fde168d29f27d2ba111ef8ff39a6138cfe96f614d3c4f6c6238bc06467
25,797.92642807,0.04069424783157,0xbbe8a1421d8583194bd959a640cb82225650c748,2017-10-26T17:05:23.000Z,0.000051,0x3cf0a8dfcaafb1c11c569861922d61cfd4ac6cb4,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xd0d6a62305a25db46120ad09fe36ed6f07e0b74c14bb74305c56f4f8de568704
26,429.66306032,0.021483153016,0x1d5321e125f6c7079a716705541c7b371ca79e69,2017-10-26T15:19:01.000Z,0.00005,0x6dd0b878c5755e808121639291796fc9bb416e47,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x7b3197c475132597d94134ff10d91ddf1cc21dd955fe82c70a7000e9a91bad27
27,428.37792654,0.02184727425354,0xbbe8a1421d8583194bd959a640cb82225650c748,2017-10-26T15:19:01.000Z,0.000051,0x1d5321e125f6c7079a716705541c7b371ca79e69,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x7b3197c475132597d94134ff10d91ddf1cc21dd955fe82c70a7000e9a91bad27
28,100,0.005,0xe673b1ea0c5d49462ce27cff1d58177af5de7dfa,2017-10-26T15:10:14.000Z,0.00005,0x6dd0b878c5755e808121639291796fc9bb416e47,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xf78ae1708239d008088ca8cf53fb1f0e937c48109017e4320547c311fc3b9583
29,1.91393967,0.000095696983960326,0x6dd0b878c5755e808121639291796fc9bb416e47,2017-10-26T14:38:32.000Z,0.00005000000024051228,0x6dd0b878c5755e808121639291796fc9bb416e47,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x2b66e07cd36c3e96403f637320b79d9da6ce5cbae207c8484de183f5f1b04e18
30,79,0.00948,0x00f88a2eb274ba2151f89ac5cf80d15b04b20fb8,2017-10-26T14:19:01.000Z,0.00012,0x6dd0b878c5755e808121639291796fc9bb416e47,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x347c9f371c88528d19c80e1b04b7d3825999ad034261be0b270b9e3389de786d
31,200,0.024,0x98c40f877dd771b53253d5570cf280cc1d509eee,2017-10-26T06:09:58.000Z,0.00012,0x3cf0a8dfcaafb1c11c569861922d61cfd4ac6cb4,sell,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0x68e43106b0c7f6cc6a5d8b8d03493ed4059787a5ee19ea7546bbe23b74f3e39b
32,610.814,0.10383838,0x6dd0b878c5755e808121639291796fc9bb416e47,2017-10-26T04:36:55.000Z,0.00017,0xbbe8a1421d8583194bd959a640cb82225650c748,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xc06edd6f44b1f397b61b7c5001a3711c29e536d8207150a9759fcc12f9b49ae8
33,1758.57768156,0.3515396785452727,0xcc149530837d24538605890d23fb21ef2b139896,2017-10-25T17:35:22.000Z,0.0001999000000008124,0xb766a4790be0441006226ec1b11a20424626cdcf,buy,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e,0xfffdb5ba328276ca1a7a34bf52b913bfb5d771ac27aaea6cbeb20adde7f298ae
