,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,544.31263084,0.00925331472428,0x02ded38d0d07e3dd94c03088d356e95fbf5098eb,2017-11-02T03:29:11.000Z,0.000017,0xf06f1e4c76956d8e76497fa9448b570cfd554d35,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0xc074c2a50a4d2bc1b43bcba12b46b479e591d90ceb1cd0686a0b7bc6235988aa
1,500,0.0085,0x02ded38d0d07e3dd94c03088d356e95fbf5098eb,2017-11-02T03:26:07.000Z,0.000017,0xf06f1e4c76956d8e76497fa9448b570cfd554d35,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0xc6d9f9041e5c0b18096a0834603a2d855983937ba40de25fa93d236b102d3436
2,500,0.01,0x1b2ba681893d2b2e301e095303a419b9c2c2bbaf,2017-11-01T21:47:47.000Z,0.00002,0xf06f1e4c76956d8e76497fa9448b570cfd554d35,buy,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0x49880a580f9720d7ad98309c54fd75437f0a96238ba21ec302dd7239c60a3d14
3,500,0.01,0x508e4a96dab9bd044d0bb654d623c4ef663dfc35,2017-11-01T18:58:41.000Z,0.00002,0xf06f1e4c76956d8e76497fa9448b570cfd554d35,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0x876aeb5ee16694a5d33f8b38b30c2bd0ec1beaa6af5abc3bc3fa2d13cd88f649
4,1000,0.02,0x13c3fd153e23ded7477e0817ad4d5754e2d67649,2017-11-01T14:44:46.000Z,0.00002,0xf06f1e4c76956d8e76497fa9448b570cfd554d35,buy,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0xcb9612f30057f5c55b8b85f33dc24d206f4e5a3a6429c010bc78673f95a20ed9
5,3018.20022989,0.0603640045978,0x508e4a96dab9bd044d0bb654d623c4ef663dfc35,2017-11-01T09:12:41.000Z,0.00002,0xd2428e56a421abc63a70cb5fb02b51569d7ebdfa,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0xa596c67051ec164ba1f85e1411fa481f90890d249da1e9f1ea128bf25795dcbb
6,4775.675,0.33429725,0xd1ae0289821f95d94f71262f1c0131083896ba8e,2017-11-01T07:08:16.000Z,0.00007,0x7ecbc907edb6f029f33b22c5da46cdcc8c3c52d2,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0xa8a8caac43b1fdd425cf9d4632141b1f4125dc8d7966f544c05460a4eef2a56d
7,224.325,0.01570275,0xd1ae0289821f95d94f71262f1c0131083896ba8e,2017-11-01T05:27:55.000Z,0.00007,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0xe6c146c3953264d9f0ac367e016a6fd07857e4d3cf58031538a118ed8a435998
8,225,0.014625,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-01T05:27:55.000Z,0.000065,0x508e4a96dab9bd044d0bb654d623c4ef663dfc35,buy,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0xe6c146c3953264d9f0ac367e016a6fd07857e4d3cf58031538a118ed8a435998
9,0.30233103,0.0000060466206,0x508e4a96dab9bd044d0bb654d623c4ef663dfc35,2017-11-01T03:20:17.000Z,0.00002,0x11425b52632dd157c95ebd5d7f8792b6a1f249b6,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0x8f3283e2ebdaaa4b5a597e1395afa35e3a1a4eee5e8fb11bbbe7e291ea222706
10,3032.68251009,0.0606536502018,0x508e4a96dab9bd044d0bb654d623c4ef663dfc35,2017-11-01T03:18:28.000Z,0.00002,0x11425b52632dd157c95ebd5d7f8792b6a1f249b6,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0xe0bd8006c3ebea0088a8f2d7d9f9c6bd5faa429bce439ffcde2c062ff3b4849a
11,225,0.003825,0x508e4a96dab9bd044d0bb654d623c4ef663dfc35,2017-11-01T02:03:24.000Z,0.000017,0xd79cd948a969d1a4ff01c5d3205b460b1550ff29,buy,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0x91c4a3bdfc694765081a02c32012e61ada72eda7be1c9b2cdacddfa758149d85
12,1042.08382588,0.07294586781178945,0x11425b52632dd157c95ebd5d7f8792b6a1f249b6,2017-11-01T00:44:26.000Z,0.0000700000000001818,0x38223b8ebc6d6f404f887df06c334c4702a55711,buy,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0xcc3b9e1f4b98d6b8a5cf1626936474477d695b6ed7127d26e4c7e30962c862b9
13,2000,0.275999999998,0x11425b52632dd157c95ebd5d7f8792b6a1f249b6,2017-11-01T00:40:47.000Z,0.000137999999999,0x4ed8fc60b6b921c310e63fa3dc6e229aa1d56d76,buy,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0x7b4ea78cf1f228603e9fda47b5b0a2b348a1d5e3900de1abdecb101de315d459
14,1,0.0003,0x213f01a98c07c24782aeedf701261abb110a1045,2017-10-31T10:21:15.000Z,0.0003,0x213f01a98c07c24782aeedf701261abb110a1045,buy,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0x4b0c2eccca1d51d4d833761a77d345139267ffb0147db761e6dc44ea51a0ba6c
15,99.69095803,0.00159505532848,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-10-31T09:14:14.000Z,0.000016,0xf354006c55dfd414dc95ed616f0c41c544052c91,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0x4f1d5c3b91ffb1fa63963ee5324bf1b0585479c312853a58e47876673d3ec452
16,448.60931113,0.00672913966695,0x971f30c325d9924ad472adf0bf98702502baad93,2017-10-31T06:28:51.000Z,0.000015,0xffd84530db27cc11d3ebf2b4854e3b2b53609a7e,sell,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0x32dcf324f45ad189284e8ea986832962dfea43bfe135685aed9193e2193e8600
17,1,0.00032,0x213f01a98c07c24782aeedf701261abb110a1045,2017-10-31T00:13:21.000Z,0.00032,0x213f01a98c07c24782aeedf701261abb110a1045,buy,0xae258d5322b59d64df9eb483e3b1733332c3b66c,0x8d030cfec23bc9d8d2872aee501587f2159ef6203e846c3e5c8441328381ef04
