,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.0886574385387493,0.09046677300368856,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,2017-10-31T21:51:35.000Z,1.0204081518117452,0xde94a8af7cbe64c874c4ccad197583efccf5999e,buy,0x0000000000000000000000000000000000000000,0x48e49e93746fad6b5d2cac71d6d6cd2dea1bd242380bbb23d756ccd790169207
1,0.105,0.1029,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-30T18:54:13.000Z,0.98,0x9dee8089367925a02e46c56ea591579ab9278b4d,buy,0x0000000000000000000000000000000000000000,0xa29188335bd1b30be0d2157c926e7ce08b501d8d364d3a72139e867fc96437c7
2,0.23474256509125072,0.23953322699631144,0xdcc3235ca1dd6b2e90a408850a01f4ea4426d3db,2017-10-28T12:46:48.000Z,1.0204081518117452,0xde94a8af7cbe64c874c4ccad197583efccf5999e,buy,0x0000000000000000000000000000000000000000,0xfeb87fe2299d666c5371b6a6ea104e049974be0bb5f77cf5d80861998f28e2ee
3,0.10124389370887286,0.10124389370887286,0x7f6d42e6af4ea9c6bb3610963fcfe3e9cdcd48df,2017-10-27T17:56:25.000Z,1,0x10edf2926c9f23f25c5fc74543544c1266496297,buy,0x0000000000000000000000000000000000000000,0x0b8bb2f529faeae5f25836e081bf932edcde5a6d1125fa4df0e5549626b36660
4,0.00026,0.13,0x0249924245a19aa2d7f5ddb0739a7132b7d094ab,2017-10-27T03:44:18.000Z,500,0x5cd2f407f0e2ec300cec06ce91d05e0f917efe0f,buy,0x0000000000000000000000000000000000000000,0xcfe6c1eda708043eb972ba1221573989de8fe96eeb27aa45ff59399e6d39f638
5,0.00068,0.34,0x0249924245a19aa2d7f5ddb0739a7132b7d094ab,2017-10-26T22:49:16.000Z,500,0x0044a537a1d5b55c82e487f7d120872699274c97,buy,0x0000000000000000000000000000000000000000,0xfe2b0fdeff7079c7cb3042d1f5edbf1315e66f70a6ce06614880f1621ac34698
6,0.00055,0.5,0x0249924245a19aa2d7f5ddb0739a7132b7d094ab,2017-10-26T22:31:11.000Z,909.0909090909091,0x7d053385a05276eedcaf706325ae34ae544741a6,buy,0x0000000000000000000000000000000000000000,0x270470b652d55458eacafcba49a96afce17cdfd503367d78fda3b16e846de5db
7,0.00099,0.99,0x0249924245a19aa2d7f5ddb0739a7132b7d094ab,2017-10-26T22:07:35.000Z,1000,0x7d053385a05276eedcaf706325ae34ae544741a6,buy,0x0000000000000000000000000000000000000000,0xa41962141a50cdd0bcff1d868bd266bec7b9968f195d2ba1c674d54f5a175bae
8,0.0011,1,0x0249924245a19aa2d7f5ddb0739a7132b7d094ab,2017-10-26T22:06:25.000Z,909.0909090909091,0x7d053385a05276eedcaf706325ae34ae544741a6,buy,0x0000000000000000000000000000000000000000,0x7bb6989c72a18ab919580ce9a2f1a5b0c0b9fd70294dd72e8de85a0a9738e40a
9,0.001,1,0x0249924245a19aa2d7f5ddb0739a7132b7d094ab,2017-10-26T22:04:52.000Z,1000,0x7d053385a05276eedcaf706325ae34ae544741a6,buy,0x0000000000000000000000000000000000000000,0x223ae5f397fe525c8da58d0e92f470928feaa2caf1c3381abee7d249ec86c7ea
10,0.0011,1,0x0249924245a19aa2d7f5ddb0739a7132b7d094ab,2017-10-26T22:03:00.000Z,909.0909090909091,0x7d053385a05276eedcaf706325ae34ae544741a6,buy,0x0000000000000000000000000000000000000000,0xf80638e6afd6bc0ef5b81eb905f04f95c2a762dd21a2e671e1794d8d8a5fea59
11,0,0,0x4a57d0208164a1c1c63c75395dc444428a07b50a,2017-10-26T21:55:47.000Z,NaN,0x82f264f9a47462724b093ede43ba8497af476ffd,buy,0x0000000000000000000000000000000000000000,0xc32330aa9c27a81692fe86985fa240535d4f39d5fe91fcc8fc82ae7892cd9d3a
12,0.08,0.08,0x4a57d0208164a1c1c63c75395dc444428a07b50a,2017-10-26T21:55:21.000Z,1,0x82f264f9a47462724b093ede43ba8497af476ffd,buy,0x0000000000000000000000000000000000000000,0xa7a6509f6b4b98926e6f9b38f656893fc2931dbc699b5c98df159b5686f45116
13,0.02,0.0198,0x654cd1a674f5c24e7a8aca3e25bf6ba8937b75ab,2017-10-26T00:10:50.000Z,0.99,0xc044ecd631253bebad1d84263faa7335fb1e0f99,buy,0x0000000000000000000000000000000000000000,0x4f2af7d52ecc90693a3188117a3f0754c9af3ae46ba24a1d8f4fdbea252461ca
14,0.000000001,0.001,0x4a57d0208164a1c1c63c75395dc444428a07b50a,2017-10-23T19:45:59.000Z,1000000,0xb3343f861195d2aa17d3b9380988f1fc42faacdf,buy,0x0000000000000000000000000000000000000000,0x97ff467f9f8c2e4cb57f7a8149f94209f59fc96a5e285d74210bea61b185f2bc
15,0.0490000001568,0.05,0x4a57d0208164a1c1c63c75395dc444428a07b50a,2017-10-23T18:18:12.000Z,1.0204081600000001,0xf4b6e090b49b4edf517fce9e5b99d07281b0da48,buy,0x0000000000000000000000000000000000000000,0xef283c0393178c642485c476d4be28a045326b6c8c37c92c9ece23a4c037ef84
16,0.081624,0.08,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-23T08:13:17.000Z,0.9801038910124473,0xa8901128faf9cd92be1d32d3687496711e2e53bc,buy,0x0000000000000000000000000000000000000000,0x1197519e8373be14ecaafc5473d6f92729a4fe458c9eeaf94940ad0fa9c16950
17,0.22435979740373274,0.2313149284081225,0x2f7401e2e8a12cfc4f5e39b7ef92aa8fd1a65ec4,2017-10-21T04:11:15.000Z,1.03099989875581,0x59a3a66713cee707c48906ab0c1802239839d33a,buy,0x0000000000000000000000000000000000000000,0xf6cd1f1a46cb3a34a64e84ba00773110cefa308b0c40a14df735cd2e3b42037a
18,0.1494805,0.145,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-19T10:55:18.000Z,0.9700261907071491,0xa616f845578475c76091b7982ac4a711e3be1466,buy,0x0000000000000000000000000000000000000000,0x87b0108bcff3b74aab275059e69b878dd648e115b2f4b86277673bbf2dd1febd
19,0.000019490215617744,0.000020092443790117,0xfb1f4737f4816f78b0d7c0b72b876359d925c318,2017-10-18T21:59:03.000Z,1.0308990000000169,0x59a3a66713cee707c48906ab0c1802239839d33a,buy,0x0000000000000000000000000000000000000000,0x9647eed25bf3875287f3aeba45a07b2ab539e74b98c4d7fee433409433fbb2e3
20,0.1457487058417269,0.15026690114794986,0xdedd95d720c1a598030c0cf152f2934d5c9c66e1,2017-10-17T15:43:51.000Z,1.0309999,0x07391e314c7ebc92dbf7af7c478855742dcc7afa,buy,0x0000000000000000000000000000000000000000,0x0e97912ac1bbf071a195e94de41f1404d91f9f89f8c1b68def872a95c7ce3779
21,0.004834673506278063,0.004984547901505333,0xef88aebbe35da112d12f213a7c3dea88e1f445f7,2017-10-17T02:56:12.000Z,1.0309999,0x663dfc04386dcc316c031d1b967c5bc772d5c9c2,buy,0x0000000000000000000000000000000000000000,0x46e35b3c05ac01498d9429697c4ca8aea2f1f38483b6ac67e621631aa27d2ce0
22,0.000999999999999999,0.0020123,0x94a8d33cb012b40b22fc464c7beb761cbe6af7fe,2017-10-17T00:17:03.000Z,2.012300000000002,0xda79f2b9db7ae9fc5e308e81dc1e1992245c4b41,buy,0x0000000000000000000000000000000000000000,0x8b36c4ad59e7585d01651177ed9131214298ab2d324893d7c57165497e634911
