,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,20000,0.0042,0x51d48ab1a6371b5b5636a18e77eef3b2f8a0a8e5,2017-11-02T13:58:31.000Z,0.00000021,0x11a985d42d6fa4cac941943a63f362c3497fa0fe,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x20a0d2e1f114d28237c744d0dc830f3af9edf8454ccf43092d6875ac9deb0327
1,30000,0.00603,0x3cc20253b2f7ceeec87ed6db1facdd622f975d3c,2017-11-02T08:56:18.000Z,0.000000201,0x11a985d42d6fa4cac941943a63f362c3497fa0fe,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xf66bdb17e27a230cd1b824186470a18bba869d375ba11563ab703275537f3d9b
2,500000,0.101,0x5e4c8b04c9753ad2bcd2b5d82281b8546df27b50,2017-11-02T08:54:56.000Z,0.000000202,0x11a985d42d6fa4cac941943a63f362c3497fa0fe,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x354263d23e198a8867d21999aa163161f2a27e7aa4faffc11bb3dce585c64d36
3,61000,0.06099939,0xd420b0a31a0fd6d7efc20c796e001af9062fc68b,2017-11-01T02:43:39.000Z,0.00000099999,0x429c7cf947d18c6e14660975ba5272621a618b36,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xde46ddc3f12912a9aea365eab40e288a00e146fe5706d75181ffb45425a6acf3
4,50000,0.015,0x56fd6ad97cfeb09cb2ff6b94a31324e7de41d86c,2017-10-31T23:01:29.000Z,0.0000003,0x43808d5a5cc952c530ff9d0499fa0bfd8ff553bf,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x5ead61d7bd41112535de01e15b43fa937c0c3ad5a6c936711efc93f0089ed746
5,0.00882,0.00000000161406,0xdbbae39c54992479faac890e81eb4d8579b951d6,2017-10-31T11:34:40.000Z,0.000000183,0x120523daa602ef7d8b93d5ac161192b232468d79,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xb825f9d392421e021d6684e9f9cf21d131d68556b77587d601ec19fa26fb2aea
6,333.5557,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-31T04:48:36.000Z,0.0000014990000170886,0x971f30c325d9924ad472adf0bf98702502baad93,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x3ade8a97c5cefb28def15bc478d271339bde9ee5aafb1601187610b8472426ac
7,333.5557,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-31T04:48:36.000Z,0.0000014990000170886,0x971f30c325d9924ad472adf0bf98702502baad93,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xb8803c006a234121e4339145af7296cbd4af29780a608a5735ada1cbb8800ac1
8,277386.72015,0.05020699634715,0xe5113b174ce44a53f320d7988212cea10ffaa8f7,2017-10-31T04:48:14.000Z,0.000000181,0x06c6fea19f72ffeccb0326805b723ae3cae131ca,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x4ee6093587912b84f33e2082404b0e90025730adbafe79b557a5d68a0756b003
9,109890.699,0.020000107218,0x861b7fd03c7e051a000c4a188a52784f43e651a2,2017-10-31T04:47:07.000Z,0.000000182,0x06c6fea19f72ffeccb0326805b723ae3cae131ca,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xc2d5fc7b0c560a2d746074aa3947b28ca7d58cec4704b294670e2b7f627e5e80
10,61000,0.0111264,0x429c7cf947d18c6e14660975ba5272621a618b36,2017-10-31T04:46:46.000Z,0.0000001824,0x06c6fea19f72ffeccb0326805b723ae3cae131ca,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xa2dc626de40c32c1fe1b476f8c8166f8b727b7dce6e54f0496a300ef7b6971f3
11,129900.309,0.03247507725,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-10-31T04:46:46.000Z,0.00000025,0x06c6fea19f72ffeccb0326805b723ae3cae131ca,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x356a427566039997db3b2031e03322211a277b3cd016a4c471a81ee61d5f72dc
12,20000,0.00502,0x6061ec9dc92e50e73e9034d42e84b4d8b788f643,2017-10-31T04:46:43.000Z,0.000000251,0x06c6fea19f72ffeccb0326805b723ae3cae131ca,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x7ad6e9428da3b41808519765caaf68dc48ed5a6de8f42b0640fa10425ffaaa21
13,60000,0.015,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-10-30T15:15:52.000Z,0.00000025,0x43808d5a5cc952c530ff9d0499fa0bfd8ff553bf,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xa06e00a35d21dc9d2b28a33aa894a4f6821b42950bbc3396cada7170fe2de187
14,99.69095,0.0000249227375,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-10-30T12:33:04.000Z,0.00000025,0x952c73db8f515b7d84a7d4f8c7bf1a2880be7f25,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xa1a8fa9ba2edb6ac877dd8cca8ec5a0c22081a4b77a470f50e634d08661fb8ab
15,250,0.0005,0xf9695cd65d6dfdf257fab76a3eb0cb8f001971cc,2017-10-30T02:49:09.000Z,0.000002,0x243d25fa46782c9bcd20f306894f6774e095cfc5,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xa1438af92aae30fadcecb19071294f563aea8815051454ac1240a7f71555972f
16,49.85046,0.00000827517636,0x035392de57aa4fe343d86494103dbe1b068a56c6,2017-10-30T01:00:07.000Z,0.000000166,0x5634fc9a8194fa713558d8962ff7c3d2be45bb2a,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xfc8198b76a959789fda935297e2c779c000eeb368a3d464cbb16a9b860d3c8cb
17,100,0.000519,0x035392de57aa4fe343d86494103dbe1b068a56c6,2017-10-29T12:34:24.000Z,0.00000519,0x06c6fea19f72ffeccb0326805b723ae3cae131ca,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xf1de4273a3ec50cb139ec4c27fed61842a3522a1b1382b018d3d80d253d59940
18,96.15384,0.0005,0x16e5d97bbc92417e051e3b2cabfbf8ceea2acb9c,2017-10-28T21:03:19.000Z,0.00000520000033280002,0xaf859c7dc477ae70ff8c1ee8a25d65d800a90d90,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x2c569c7af8ef5220f947ae2ba581ac57e8fe0a40977b4066517e0c8929f8f3a5
19,96.15384,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-28T21:02:17.000Z,0.00000520000033280002,0xaf859c7dc477ae70ff8c1ee8a25d65d800a90d90,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x9e693851ce3cb743fbef007109ebabb455c8778f3b8fc407a56f6021788fabe6
20,96.15384,0.0005,0x379374d13077e8867ef31803c37baf9785a17c00,2017-10-28T20:59:04.000Z,0.00000520000033280002,0xaf859c7dc477ae70ff8c1ee8a25d65d800a90d90,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x4fac67f3b5eec590388f8876e0593fd216e2ea19aaef59f25cbd533d5615d87e
21,96.15384,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:32:31.000Z,0.00000520000033280002,0xaf859c7dc477ae70ff8c1ee8a25d65d800a90d90,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xb7bb7d036cfbd005bb462162fe673bf70826f081f7cb200478fe79f1aebebeaa
22,96.15384,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:26:32.000Z,0.00000520000033280002,0xaf859c7dc477ae70ff8c1ee8a25d65d800a90d90,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x374639ef27a167db7d9a3e444d8c4e0a981d29b9240f488a1f902a371f57f65d
23,90.90909,0.0005,0xcd912af5286dc0b0a23edb30209734ecb60838b3,2017-10-28T17:06:31.000Z,0.000005500000055,0xaf859c7dc477ae70ff8c1ee8a25d65d800a90d90,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x7ad9e434564cc7e6eb0709011e4a5621867839ff3e2e60381c8df3c75d9632b9
24,24922.7395,0.004037483799,0x971f30c325d9924ad472adf0bf98702502baad93,2017-10-28T04:41:36.000Z,0.000000162,0xbd56fe45cafbc7b90619e0b14b65a0a2b5c9da39,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x344bab92a82a24ee44b6a43e7dd0bc17d0476eb4a3ff887ab03e1fbd17100d94
25,364032.655,0.06115748604,0xd8d06134e33e921cd7a7487a3e38cdbe82564f9c,2017-10-27T12:45:56.000Z,0.000000168,0xfc3d5c2f5af0ad6a7661c96d88813d60ea58b6a0,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x7be35a69f98882fd61611e77449bad247daf53671e0f8de7ab2298460d2d698a
26,1000000,0.117,0x11a985d42d6fa4cac941943a63f362c3497fa0fe,2017-10-27T12:16:30.000Z,0.000000117,0x1a709decb707f9cca4729352b12d66540e2bbd57,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x942dee57721bb4d321bd4d50b131e0bfdbb6c397a31b2cb2f5ae4e73433aa063
27,600000,0.0612,0x06c6fea19f72ffeccb0326805b723ae3cae131ca,2017-10-27T12:10:55.000Z,0.000000102,0x1a709decb707f9cca4729352b12d66540e2bbd57,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x29683b2700469e70a2a604300a9a5cb723a6c9ba67d9a96abba0c2763a3d04dd
28,100000,0.0168,0x43808d5a5cc952c530ff9d0499fa0bfd8ff553bf,2017-10-27T10:15:14.000Z,0.000000168,0xfc3d5c2f5af0ad6a7661c96d88813d60ea58b6a0,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x8a1a72fef55a3ec1d098fc7476915dae02bb590a2faf9ddc2f8793f09146befe
29,10000,0.00168,0xedf5de3807d23e5d85b0caa1e10d52b85c2a6965,2017-10-27T05:26:29.000Z,0.000000168,0xfc3d5c2f5af0ad6a7661c96d88813d60ea58b6a0,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x16f705ab12a480da64f6d20e00f28957d5c467c1dab6ee2b641542cdc84640ac
30,60000,0.01008,0x719f7a13cad057310bb8356ab2581041951c0e6f,2017-10-27T01:19:23.000Z,0.000000168,0xfc3d5c2f5af0ad6a7661c96d88813d60ea58b6a0,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x2cb109d24d4a1ae0577f6b27309f768ba9f2a2cbc0e0fa51bc2ae82995d3942a
31,20000,0.00336,0x3cc20253b2f7ceeec87ed6db1facdd622f975d3c,2017-10-26T20:50:06.000Z,0.000000168,0xfc3d5c2f5af0ad6a7661c96d88813d60ea58b6a0,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x9d510c191eb5159973c72c2386524dad6e392e760dc9e26c508f3d0d496d9a91
32,25000,0.0042,0xbd56fe45cafbc7b90619e0b14b65a0a2b5c9da39,2017-10-26T20:19:57.000Z,0.000000168,0xfc3d5c2f5af0ad6a7661c96d88813d60ea58b6a0,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x7ed0f897d330a8943e9011861f95d78814067d6d629bc0890aa25551c50ca4c9
33,1,0.000000168,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-26T12:37:38.000Z,0.000000168,0xfc3d5c2f5af0ad6a7661c96d88813d60ea58b6a0,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x82e58f408b3ec2761d9c9001e10ffba993ae493f733424b3a9135e786c493fda
34,30000,0.00504,0x719f7a13cad057310bb8356ab2581041951c0e6f,2017-10-26T07:47:43.000Z,0.000000168,0xfc3d5c2f5af0ad6a7661c96d88813d60ea58b6a0,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xb23ce9bd7e1aab074592e9c1fc034bcbd156b2d469f04586b0774509e749aec4
35,25000,0.004375,0xb49b884b29e25ba3ab4d772c1b9322886a7696d7,2017-10-26T00:41:57.000Z,0.000000175,0x1a709decb707f9cca4729352b12d66540e2bbd57,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xebac7330da49501325e73e1b8663ef767a22a91e2a5fb2039229bcbf4796f365
36,125000,0.021875,0x27849f835bb345a26dffbfa7a8863c387b546730,2017-10-25T22:12:22.000Z,0.000000175,0x1a709decb707f9cca4729352b12d66540e2bbd57,buy,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xd4871a3667c98832d66aabb2d7a74b90e64bdd9c15b26098946196a4f1111862
37,500000,0.0575,0x6c27e779bc2f1bdb3c1e09d7b66eb8dcb661eaf5,2017-10-25T21:28:37.000Z,0.000000115,0x1a709decb707f9cca4729352b12d66540e2bbd57,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xef7966a84a2755d8e5f2b86a2b03cc1f031795224c13d1c201350053540b81db
38,199950.15453,0.02319421792548,0xe5113b174ce44a53f320d7988212cea10ffaa8f7,2017-10-25T21:28:04.000Z,0.000000116,0x1a709decb707f9cca4729352b12d66540e2bbd57,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0x67e731130dea0e48a8c99786239e1657bf451056ed0bfc0fb8d4400f69b68705
39,49.84547,0.00000578207452,0xe5113b174ce44a53f320d7988212cea10ffaa8f7,2017-10-25T17:06:14.000Z,0.000000116,0x5634fc9a8194fa713558d8962ff7c3d2be45bb2a,sell,0xfcb48fdcc479b38068c06ee94249b1516adf09cb,0xa182dcb675e1c1d9cd6ba5d778fb95321c72ff9f4302709658b8054a8caa01cc
