,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,250000,0.5,0x511132e78da4149f08d40ca4b95ee7662ffc5658,2017-11-02T14:33:29.000Z,0.000002,0xe44247e303b7d61c6073f5d37d7b6df28ae5951b,sell,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0x968bb4b29e2df1db2259be1ffd5898dafd552ac48de3dd71892bbc7c412a1927
1,107290.076,0.2253091596,0x14d6a9617a144ac2ee29a309862a3d88ba2820d6,2017-11-02T14:32:04.000Z,0.0000021,0xe44247e303b7d61c6073f5d37d7b6df28ae5951b,sell,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0x45538af08628a57c5471c4351847c4e91fd95d028ff3283f275e58dd15e607f7
2,499.587,0.0020483067,0xfc4bcf831c96e650e11e6d804beaaeb2d357e138,2017-11-02T14:27:35.000Z,0.0000041,0xc3680c73935e4bd4e1cbe85a77ab6946a5bdfd15,sell,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0xe019b7a2b8848e293e647ccd89984b4b5113748b2144997b966d539793970e18
3,675.79062725,0.003716848449875,0x7a8dcc431b75b2ce3f55fc44bdcb121d3e839916,2017-11-02T14:21:26.000Z,0.0000055,0xc3680c73935e4bd4e1cbe85a77ab6946a5bdfd15,sell,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0xe8e5f197bff9cbcb59eb5f0e111bb8ee006c316bcd7cfd4d907a300c2bcb37c2
4,300,0.001656,0xcc1566bfa9adc2b8f64ddff7db8017c945f77830,2017-11-02T14:19:32.000Z,0.00000552,0xc3680c73935e4bd4e1cbe85a77ab6946a5bdfd15,sell,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0xa0c04985a3a106f262f0d8ab221080ac4d810c41e2bfe1ab620c872fa0731e26
5,69.5410292,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-11-02T11:06:01.000Z,0.00000719000000074776,0x78a4cc57929c751652270ebad9970f5b84a2f884,buy,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0xd6e1ee611bcaa900ca2a50942bfe9d4fa8d0d63048c577f9152cc1976e428273
6,69.44444444,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T10:52:25.000Z,0.0000072000000004608,0xe44247e303b7d61c6073f5d37d7b6df28ae5951b,buy,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0x61f7ab7c5974a90cb47f343ccdadc9425265ada9ccc00df0b772ae62122536ff
7,69.44444444,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T10:28:21.000Z,0.0000072000000004608,0x78a4cc57929c751652270ebad9970f5b84a2f884,buy,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0x374d354de1b8bcbd3d39017154077e7d3d455e783de593b1b45c284ed6950a41
8,2709.92395129,0.005690840297709,0x14d6a9617a144ac2ee29a309862a3d88ba2820d6,2017-11-02T09:15:46.000Z,0.0000021,0x6ea314700745ea32544837a3819d4fc09174979c,sell,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0x7d1e2806d97e5ef8830e775056feaa7f4064ac824d0ebfcf796bbf43275c4f0a
9,370.953,0.002596671,0xb320ffa395e8429be67732b4ff0c80bc86e9e70d,2017-11-02T04:39:31.000Z,0.000007,0x7a8dcc431b75b2ce3f55fc44bdcb121d3e839916,sell,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0xa25de511103f3cf33889b49beab4851b3e7b0e51d016caf65851d21eff891164
10,10000,0.0211,0xf60b7a42f39161c8852731d2c75039c8ad439c20,2017-11-02T02:25:25.000Z,0.00000211,0x06c6fea19f72ffeccb0326805b723ae3cae131ca,sell,0x87611ca3403a3878dfef0da2a786e209abfc1eff,0x80fb63b813775d512f14dc07032616096844dd97ab48c7bf1fa3540259a7aef1
