,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,218,0.88508,0xaccba48528d5d958f452ac0acec373dda8174612,2017-11-02T14:50:11.000Z,0.00406,0xddf452f3237bb350cf534f7f8ecaa469c4763d00,sell,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0x1d2a6b16fc1d3fe339e8e213c11f94a6ea9c5625a22a25c4a35862ab393bb2b0
1,350,1.421,0x108bd497919b9ac0e50ef43aa6d321443ef1f8cb,2017-11-02T14:47:14.000Z,0.00406,0xddf452f3237bb350cf534f7f8ecaa469c4763d00,sell,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0xe87edc3145fd75643a630bd55a793a81f6d2ff524addc4bf68c8d8a98867f10f
2,80,0.368,0xb1b47b94ba36a2db487a405e3fcd3e708ca1b313,2017-11-02T13:39:47.000Z,0.0046,0x6291820dca6ff60a27ac7cd93d159f556bf5fe16,buy,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0x99e6b675124eee9acd054e4868bc339db39b39c586b40d2ee1739b6428178986
3,450,2.115,0xdb785f5dff86e8366d85de14f72b7d1a5fee2582,2017-11-02T12:20:17.000Z,0.0047,0xf5e892df8898e39dce4b723992746dd365c9a869,buy,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0xdee52abbc81156b518f234fc5b397080c2ad5dfd0c8a1778fbda4fa70d2fa77c
4,60,0.27599994,0xb1b47b94ba36a2db487a405e3fcd3e708ca1b313,2017-11-02T11:47:23.000Z,0.004599999,0x787e6870754cc306c1758db62dc6cd334ba76345,buy,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0xd9265e8ef6c83cbbf5866fb1860ed7bc85d8c14e400254b426e2166cefb1dc6f
5,115.2591,0.501377085,0xb1b47b94ba36a2db487a405e3fcd3e708ca1b313,2017-11-02T11:16:15.000Z,0.00435,0x39b421eaf279c35f69afb85c8762d1d7a3511c98,sell,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0x662b373d7d81d8eb39ea093cb2577876d5dc5ee0f3594e847015da7340a5d186
6,40,0.184,0xe8923a76b34169d4e3982889f7525c110c4e7da3,2017-11-02T11:12:23.000Z,0.0046,0x315190118c009ce64639d2044d4ae5c0a8e92ffd,buy,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0xacc885bcde24ff37ff31a14d73a070069980c56f2075ab585720d14f87eb7f04
7,0.1086,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T10:52:25.000Z,0.004604051565377533,0x315190118c009ce64639d2044d4ae5c0a8e92ffd,buy,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0x10b05517076868cc8a068119bb32de6c2a825b730bfc1f98cf4ae2d390c31d99
8,0.1063,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T10:29:38.000Z,0.004703668861712135,0xf549e70a0c53696dba413770fbd8d05497944ac4,buy,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0x5a514ed70274a4cb47bf2f72a52f6058c2b5aa7720849fa9e7bcd3160f036c0a
9,4598.4671,22.068043667344018,0x72e3106a7ba687505587b5b8aaacd823cdca2659,2017-11-02T07:38:41.000Z,0.004799000011839602,0x6fb2e2fd468cb7a8f10bca22151e7f53782c9538,buy,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0xe0d1c24b492fc466e38c1a56bef0c9ac5c283ce15bab94490f3e26fe7608e3ed
10,36,0.162,0x72e3106a7ba687505587b5b8aaacd823cdca2659,2017-11-02T07:33:55.000Z,0.0045,0xf549e70a0c53696dba413770fbd8d05497944ac4,buy,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0xea2c147c40c060d235e856d359d41b6c56dd17b72fd00408302e75ba19deaed0
11,103,0.412,0x34eec67ff1ae5febe8b32f6aa73f581ef410f2dd,2017-11-02T06:13:19.000Z,0.004,0x4231e1b03c181733ceffed73dbfa2bfb0fc65421,sell,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0xef7aadb98fbb184bc74ad0cd955f34da044ccad6debd643c60bfd089c7692b9c
