,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,113.636,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T11:05:15.000Z,0.00000440001408004505,0x38cde1ef8b525264ac033d40ca97343eccdf3a70,buy,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0xcb44f2c8c3b9939885a135dabc4335a2ca8baae530b9861c8738fe68bd4ac777
1,113.636,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T10:53:27.000Z,0.00000440001408004505,0x38cde1ef8b525264ac033d40ca97343eccdf3a70,buy,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0xf7c731f3faedef913bee8bcfcc376e76393cc79b7947aabe54e5bfc497c1a281
2,981.955,0.002945865,0x61a8039a2a68e6bc9a4eef5d1705a0561915a4b3,2017-11-01T17:18:03.000Z,0.000003,0x8bd914304cc48c90b17ffb27574f93c3ce949310,sell,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0xe6238a009c1e40e23e22a33db98c6e34057df9903eac4fe4511927df60cbafae
3,5000,0.0105,0x162ea9c58164e2193d98cc97e8de3d962cab4044,2017-11-01T17:15:46.000Z,0.0000021,0x8bd914304cc48c90b17ffb27574f93c3ce949310,sell,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0xeff6ea90268b735f0ba9e987872aee86ef8bca3e1872e22c20cafd35a541a562
4,6479.912,0.013290299512,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,2017-10-31T19:35:36.000Z,0.000002051,0x158a31c84665af5d4131d0c9a8164326968504fc,sell,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0xbad8ec4758037b058b29729f6e644ecbd9ecb9aacff45e7f0dd0887912c11aaf
5,100,0.0005,0x0b773d7819259d78757b26dc4148812d35676d8f,2017-10-31T14:23:31.000Z,0.000005,0x61a8039a2a68e6bc9a4eef5d1705a0561915a4b3,buy,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0xf8e5d8ee91714b5ad091257ce676257372c4238b627800058bac616f5c78f4fb
6,3000,0.013998,0x61a8039a2a68e6bc9a4eef5d1705a0561915a4b3,2017-10-31T10:08:18.000Z,0.000004666,0x18d75ed5cdd83c97a5d7d318435c2ad017d0c42e,buy,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0x7e9d6ca539f4c86b52c87fb40b8008b38efc55bfdf6a72a34cc49eb411614d74
7,3000,0.0087,0x61a8039a2a68e6bc9a4eef5d1705a0561915a4b3,2017-10-31T05:45:11.000Z,0.0000029,0xc48a0a7ec1a1f274a5ff02f783d3322752d54e93,buy,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0x4876bef6af7a72d5a855528d9ac180a9c4e26b0e0690acafffaccbefdd32a9d1
8,5962.971,0.02236114125,0x61a8039a2a68e6bc9a4eef5d1705a0561915a4b3,2017-10-31T02:19:23.000Z,0.00000375,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,sell,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0xb74464857b8f96b3a3a9bb61cb1055cad850501e7311ec227b024d5f3abfa1d9
9,500,0.0035,0xdbaf12d05b2bd9e5ecfbde9383a0a9ced64a26c2,2017-10-31T01:30:35.000Z,0.000007,0x6d008ff3111a579c78bd82a084cddea109d6f5e0,buy,0x4c5601164e2048a4154de91fa5e0b07e626cab7f,0xd566b3cfbc148c8aec5c8cf38202209a9ae63e5bf76306acb1c7d60815991d06
