,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.6121024823144494,0.13466254610917885,0xa75fcdf436c9713b3757819f1fb235918749c3ba,2017-11-02T14:24:20.000Z,0.22,0xff684104992bd26b6326bca4620d733526c0ddb1,sell,0x6810e776880c02933d47db1b9fc05908e5386b96,0xef38218136e95da0e5c588f876a0cf8f4ebc7044696fa24ddff8bb9b9621a57f
1,0.003987638321204266,0.000877280430664938,0xa75fcdf436c9713b3757819f1fb235918749c3ba,2017-11-02T10:10:26.000Z,0.21999999999999986,0x689cbcea23a5e4de84d909edb8ae86596a938b6c,sell,0x6810e776880c02933d47db1b9fc05908e5386b96,0x2119194dbdf78756e2eba5d674f65422462f61be7ec507397e671b40b8c2e3cb
2,0.01,0.006666,0x75c4ee57efc9aa3d939fd41f7c3ad59c649ec9f7,2017-11-02T10:10:26.000Z,0.6666,0x875e643c0a086d14b2ffbc1b3caeda459909da56,buy,0x6810e776880c02933d47db1b9fc05908e5386b96,0x3b8f1be38b68022a02424cf8f646416c359c57994f20f18a293774088a7e3b65
3,0.9627363659678557,0.21180200051292825,0xa75fcdf436c9713b3757819f1fb235918749c3ba,2017-11-02T09:45:01.000Z,0.22,0xf79e28203e451d0306f4c0088f1813fa1aa1f192,sell,0x6810e776880c02933d47db1b9fc05908e5386b96,0xbd2106b98fc9df99ab455084110fcf638e1ba28635fa079aebf3f66e0c6132b7
4,0.24324593759346028,0.05351410627056126,0xa75fcdf436c9713b3757819f1fb235918749c3ba,2017-11-02T00:43:23.000Z,0.22,0xa54ffa43d11698bc300d924781518b71dd10f0a8,sell,0x6810e776880c02933d47db1b9fc05908e5386b96,0xe0b5ead5e5fc13ca332798acd49be1636d5c25c8bade613d99502c54d2ee3ec3
5,0.004279151297643966,0.001026996311434552,0x39b8d980ebe94d51694e5d47611667a6d3ede80d,2017-11-01T18:40:21.000Z,0.24000000000000005,0xf79e28203e451d0306f4c0088f1813fa1aa1f192,buy,0x6810e776880c02933d47db1b9fc05908e5386b96,0x71257564d2914a92ef090e73110b5cbb70917de16ff2775af37838610d75c987
6,5,1.25,0xbab7cebed2d3cdd9cb9f5972139e5715cce79148,2017-10-31T14:56:54.000Z,0.25,0xfd2938c85530dda11bb9efd08b12283d62664764,buy,0x6810e776880c02933d47db1b9fc05908e5386b96,0x0de64ae83d50493d4320aec905812142bb6b178dc1a8d2e463d14c07da6c97c4
7,0.09399637547600466,0.0626579838923047,0x432b4d9124c21fd74491aac91b985195737f057f,2017-10-27T06:37:01.000Z,0.6666,0x875e643c0a086d14b2ffbc1b3caeda459909da56,buy,0x6810e776880c02933d47db1b9fc05908e5386b96,0x4f6cb7a7de101f329dfc251342cab62c112ca6b792ec418eaff439a9a59c86d6
8,0.208,0.04576,0xf142f26d1cac4ba8a6e6d7974d243eda2fe5f4f9,2017-10-26T03:27:35.000Z,0.22,0xbba1f993e59c2b0014d7f83f73b57a622bdd9dfc,buy,0x6810e776880c02933d47db1b9fc05908e5386b96,0x903045f09d9ebf4880054d57dd564bdbc792388fce85cde914b0b96b6c4aff90
9,0.07,0.019313,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-25T21:19:10.000Z,0.2759,0xbba1f993e59c2b0014d7f83f73b57a622bdd9dfc,buy,0x6810e776880c02933d47db1b9fc05908e5386b96,0xbc486d2b91e4662662a18c34d9130ecd87f4002866941605cdcd955c6ec8deb0
10,0.726,0.2003034,0xde7e14702b43ab77e29032ffd6e1916adf3ce206,2017-10-25T19:42:19.000Z,0.2759,0xbba1f993e59c2b0014d7f83f73b57a622bdd9dfc,buy,0x6810e776880c02933d47db1b9fc05908e5386b96,0xdb9ef82794068ec077c31efd1f2d05128993f51901381192454752235a673af3
11,15,2.6850114,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-25T05:05:36.000Z,0.17900076,0xbc1845a864aa2a7ba7513bc6837ff7d66ec191c4,buy,0x6810e776880c02933d47db1b9fc05908e5386b96,0x474caa31ad15d35bffec761ae4adf31ecd034fbc4d567a207f0ac618729ad5fe
