,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,19000,0.684,0xbb562760c611509d366138a34910303a2b87166c,2017-11-02T14:56:34.000Z,0.000036,0x62739ec09cdd8fae2f7b976f8c11dbe338df8750,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x2123bfabeb7ec74de94beeeef09b6248d20f1ad490c1d7564962e8b19f11d35b
1,10000,0.35,0x688cb7e759df27aea3779946361860357ded57b8,2017-11-02T14:55:26.000Z,0.000035,0x62739ec09cdd8fae2f7b976f8c11dbe338df8750,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0xfc37ee3a8d5d0fb1fd2e591660c14d0bb696083e193093f8e43304a4e01485b1
2,20000,0.75,0xbb562760c611509d366138a34910303a2b87166c,2017-11-02T14:54:15.000Z,0.0000375,0x62739ec09cdd8fae2f7b976f8c11dbe338df8750,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0xd67d9e105cdd3c6169c525279104687265b06e94bbf76ad0bd413e1fa7290d98
3,4.0032346135,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T11:39:25.000Z,0.00012489900000211415,0xba28c1b409664c0893a090d637a027e4162a41bc,buy,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x6bc8bf346eefd4d573a4949093b8f785a3122a611622ae324f7244ff92c09086
4,4.0032346135,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T11:26:01.000Z,0.00012489900000211415,0xba28c1b409664c0893a090d637a027e4162a41bc,buy,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0xe93d925bb99242d1869c7dd5fa053b84fadc65b2cf5b6575ead1bc5224935d2f
5,137.434,0.013605966,0xbb562760c611509d366138a34910303a2b87166c,2017-11-01T21:25:06.000Z,0.000099,0x2ebb2f906eb5fb04e3dc2987d1fb9f00b676965b,buy,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x53708c7763a5a730126d53ed81d42332031838986c7a0525351b4b5f9dcd3d38
6,254.66,0.02495668,0xbb562760c611509d366138a34910303a2b87166c,2017-11-01T21:23:39.000Z,0.000098,0x22eb520ce1f1eaffade7c4ff769fff8599c1b24a,buy,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0xeae9d2b6cdde8f4a6811e56c2200fc6cf7973b6eb99d995ac08fdbbc6d48996e
7,1300,0.12675,0xbb562760c611509d366138a34910303a2b87166c,2017-11-01T21:20:09.000Z,0.0000975,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,buy,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0xb622c2c399e8725bf5eff41c107fe63b55a4a43fc7852743013dc3d6d6a2cf56
8,500,0.0475,0xbb562760c611509d366138a34910303a2b87166c,2017-11-01T21:19:54.000Z,0.000095,0x56a2e0229a6d0fe6222a851329f63103ff4d8e92,buy,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x82b5513e4baf04ea0652de6e2e000d5525c8813ceaa1bd52b93932ac438d1d6a
9,1692.0060790301,0.050777102431693304,0xbb562760c611509d366138a34910303a2b87166c,2017-11-01T05:52:44.000Z,0.00003001,0xf36dbca7cb5b4b272839ab84daec8976ce6291ef,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x1e6256b5e86bce811ef4d833b0dc9acbde06ac27ab79e3a98c3b2c2c097b5820
10,2000,0.196,0xbb562760c611509d366138a34910303a2b87166c,2017-10-31T22:16:53.000Z,0.000098,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,buy,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x08dccc839cdaf8ef3738d728f4b5d5e98ea9b4acd4159c877cdafe38ec290914
11,2000,0.0742,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,2017-10-31T19:07:17.000Z,0.0000371,0x62739ec09cdd8fae2f7b976f8c11dbe338df8750,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0xb95ed6c807bafa3b5faa8ba27692bfa03d145b75d5071245e2249a6cbfee9c26
12,40000,1.00032,0x57ffb8f0e6e37e90c3d3f36bcfb2247f73ed1296,2017-10-31T18:59:08.000Z,0.000025008,0x62739ec09cdd8fae2f7b976f8c11dbe338df8750,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0xc69e8a128e4f88c953bb4036cfb756046af533762e677f752420ca6b3db52458
13,4000,0.148,0x688cb7e759df27aea3779946361860357ded57b8,2017-10-31T18:59:08.000Z,0.000037,0x62739ec09cdd8fae2f7b976f8c11dbe338df8750,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0xd77331a997b3b58af347deca2f4cae4e72e353e64e5ae1d060ae4819d1b5fa58
14,50000,1.015,0xe41ce247756d757e3060ec361c201be019bd54f6,2017-10-31T18:58:24.000Z,0.0000203,0x62739ec09cdd8fae2f7b976f8c11dbe338df8750,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x3e22033f4efdb19a09110338cfd3fb6c5aaf728b23b0c20ec72c5889455152dc
15,500,0.01875,0x56a2e0229a6d0fe6222a851329f63103ff4d8e92,2017-10-31T18:04:25.000Z,0.0000375,0x88fc264eb806b323b8f93146ac5e5b0c35c4d153,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x881db7fc262ca0f0509d72a57df35f334a0da8617f1d3f34ab2899c67c3fa74b
16,6834,0.252858,0x29b8eca0a380c562a00b7e5d1fbc624e5be736a5,2017-10-30T20:54:53.000Z,0.000037,0xbfa4c83c2a5d386b81c12534b5f15f3e8e540f24,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x057435812f6b32eaa372d17f647b35d9e6f7ffab702f5168d0c7ea6b40ec38ac
17,94.0384807097,0.0034794237862589,0x090ffc278ed53b451417a14ad4eed47408de3c18,2017-10-30T16:53:59.000Z,0.000037,0xa2fe177cf2a5e31472980730e0f58b02e69ac394,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x5eaecacadfe4d58804bc43deecec7cef1d37e2babd493d98acacf7b9f98eaedc
18,94.0384807097,0.0034794237862589,0x090ffc278ed53b451417a14ad4eed47408de3c18,2017-10-30T16:44:09.000Z,0.000037,0x4cfbefd1a23d05a25039b36ddd6ad358e0bbfb99,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x1cb8f59a5d8232ebbc5a5018ef108a52d56484c62c4493be308f7996c2386f76
19,10000,0.375,0x88650fdbfbb5c7933eb52008c4387050b963747d,2017-10-30T16:02:51.000Z,0.0000375,0xbfa4c83c2a5d386b81c12534b5f15f3e8e540f24,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0x09499922edd3eb0b157f399171f52f63c7277cebe8aa944d591b1c1b429e082c
20,108.4306877171,0.00392519089535902,0x8909e1a4f31fc2214ea6c4a917268b833b00c000,2017-10-29T16:00:53.000Z,0.0000362,0xc5dbe468f0a5464c724af4b2a53d43f124693eb9,sell,0x58ca3065c0f24c7c96aee8d6056b5b5decf9c2f8,0xe94b354cec22caf4270ddc0bc25a68ab1c84bef0dc14a91f796f778780733726
