,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,49,0.0196,0x62f970b4d6bb5f1172b9f00ca54bddafe0784207,2017-11-02T13:25:27.000Z,0.0004,0xd26fb8f0e0010dac8bf620d15bb76f7753d918a0,buy,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0x09f7aec7fb919bac371cfab7f75e8fccd067f6a50383cf7296bf4737f7bdb6d3
1,727.7439936197787,0.26562655767121923,0xc53c099b03e3811d8b70cf27997f6c389db8de6d,2017-11-02T12:27:03.000Z,0.000365,0xb7cfda0bff90d7a0af70328c55545346b4441090,sell,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0xe72936470adac40b502870f9047114440874cc5457f58be1b54cf5a1fab46fed
2,1.04602510460251,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T11:40:21.000Z,0.00047800000000000023,0x14d6a9617a144ac2ee29a309862a3d88ba2820d6,buy,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0x1ad9ed4330832d9d4bbda7429b22d2572333618a52d651072fd7ba5bfcdb82d0
3,1.04602510460251,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T11:27:57.000Z,0.00047800000000000023,0x14d6a9617a144ac2ee29a309862a3d88ba2820d6,buy,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0xd008e369c4293407b3810a75b22463c3020cfb5604414cdc48ed65420541a42a
4,300,0.1083,0x34eec67ff1ae5febe8b32f6aa73f581ef410f2dd,2017-11-02T02:10:11.000Z,0.000361,0x1863b934fac5c420ba55b0089eccd7c5e500e0f0,sell,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0x578f265917c1cf2cfbf714e34288a9ff7a24af847383c182977de10d3dce7a43
5,666.725,0.240688391725,0x6937ef203de9fefb2110ed968fb261721fb50a01,2017-11-02T02:09:52.000Z,0.000361001,0x1863b934fac5c420ba55b0089eccd7c5e500e0f0,sell,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0xed3bf2c86ff4d04870313e11f948b074e5577223bbe6816c91738ff33fc513eb
6,333.274847971289,0.1203125533924833,0x6937ef203de9fefb2110ed968fb261721fb50a01,2017-11-01T22:20:36.000Z,0.000361001,0xdd3aa93c2f291e77b31a9fabf2d818a9908f6d74,sell,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0x73ce3469c96377387c9e1e1982f40a55b121734a8d1fe4cef2ccb617e6da97e4
7,564,0.204168,0x88650fdbfbb5c7933eb52008c4387050b963747d,2017-11-01T22:18:28.000Z,0.000362,0xdd3aa93c2f291e77b31a9fabf2d818a9908f6d74,sell,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0x32329c74604c5e21621a2cb926dc87873cea0f26951cae4febcf51212b8855b8
8,100,0.048,0x62f970b4d6bb5f1172b9f00ca54bddafe0784207,2017-11-01T18:25:57.000Z,0.00048,0xbabfddc41cf17038132e6dbb6401f65337cc0849,buy,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0x6dfa83308b007e771ddcd369af53099ba5cd173f0c0f8a6b75f7381b101ac621
9,435.8957232579005,0.15779425181936,0x88650fdbfbb5c7933eb52008c4387050b963747d,2017-11-01T16:24:10.000Z,0.000362,0x840a38ba9321307976e648d3cd8c88d873cd61e2,sell,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0x49e6e016c2e03f204f855c0e24997da30ce95342b003ca62064d6b12451ad636
10,317.77,0.1398188,0x3af051066cbddc1c00b7442f61848a94b1044bdf,2017-11-01T09:42:44.000Z,0.00044,0x632d7de0037bca4cdb13a4189473b7489e051dee,buy,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0x466d47bf068c13d5d76a38e0aae78710448327cc297cd43fc17cb7aa973ec299
11,50,0.022,0x62f970b4d6bb5f1172b9f00ca54bddafe0784207,2017-11-01T08:45:14.000Z,0.00044,0x632d7de0037bca4cdb13a4189473b7489e051dee,buy,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0xeaf61f29229006cb41c43920563eb7214ad67821cda7aba432894c5842658eaa
12,2000,0.96,0x86348f6d11893768fc8cbad8084d021c33895cec,2017-11-01T08:15:45.000Z,0.00048,0x1b5ffbf8985a3476bb5f5a6045b77f7ec2242fe9,buy,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0x75132d3b4e42710645ab584fdb684e13f87b50f6d8cdd4a34dc4d6c18fe2c16e
13,367.7599441730635,0.13243035589672017,0x632d7de0037bca4cdb13a4189473b7489e051dee,2017-11-01T07:07:23.000Z,0.00036009999999999997,0x913a31cec69b0417369851d573c2d8ec9556b0dc,sell,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0xabe2ceeabcf1ecee19527f9576aa86dddc18dc1131045f4e264d5d0b7c086a2d
14,1000,0.36789,0x6937ef203de9fefb2110ed968fb261721fb50a01,2017-11-01T07:05:40.000Z,0.00036789,0x913a31cec69b0417369851d573c2d8ec9556b0dc,sell,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,0xfe7b751bea2c0d4e2745cee56f10968c16d7100eb34cb09970abf6ca94c2316b
