,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,60,0.023994,0x42303960b973dc0178e4104f7bee9bdfda0da9d3,2017-11-02T14:29:57.000Z,0.0003999,0xb7ddaba243659e42d2813fcb9f30aca983478b5c,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x1664d458d209e554de986743aeb1fd5fd0bf6884d53f94773b49b0d9c5718acb
1,201,0.09246,0x42303960b973dc0178e4104f7bee9bdfda0da9d3,2017-11-02T14:28:20.000Z,0.00046,0xe146142131ba3daa2751d0346df4e381711c411b,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0xce83d5cdcb8ffe9550a5208ec8c3f3bcf06230f54f7b644719c1dd5fbc329da5
2,996.99699699,0.332,0x42303960b973dc0178e4104f7bee9bdfda0da9d3,2017-11-02T14:27:35.000Z,0.000333000000002337,0x254fb89e4cab71708eaab16e067ca8156a38e18a,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0xe1d323ced8a3d199135dc5aed86b19fc4aad82bbbdaccb07d9325681fff3f484
3,1.5015015,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T11:49:08.000Z,0.000333000000333,0x254fb89e4cab71708eaab16e067ca8156a38e18a,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0xfebb9649ab7047136f48484bedb0c8dc57a3946ae0bea931daf9bd5782d38343
4,1.5015015,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T11:33:36.000Z,0.000333000000333,0x254fb89e4cab71708eaab16e067ca8156a38e18a,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0xaf3a73b7e37e5ac8e8d591b1177bee81310b323f8bd91af6f32475b1bb35223c
5,49.83550991,0.0124588774775,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-11-02T08:26:13.000Z,0.00025,0xc2ef3492077355a26a7bd24386a15e1346c07ef0,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x519cdbcd7274b0cdff5da0891ea38d3e87875b87fc421322c4049a281aebf602
6,1322.23706509,0.3305592662725,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-11-02T05:33:35.000Z,0.00025,0xc90bd0e7ebb1bc7cd2ec035481b7e3bcb70c1818,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x59a93a92987ef9bed836c591dc94ad658b87072a39694435ef2bcacce2c406e7
7,398.76383212,0.09969095803,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-11-02T02:29:57.000Z,0.00025,0x254deb3b02a6df946e0ab6802d37840bd9b11f57,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x174fbb7a2dec486c25c36b205148f45a0b0235143dbde8b4566cf5cd4ec0c96f
8,400,0.1332,0x254deb3b02a6df946e0ab6802d37840bd9b11f57,2017-11-01T22:50:03.000Z,0.000333,0x254fb89e4cab71708eaab16e067ca8156a38e18a,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x18e1531e29f4b164b94f6687fcc6386a667d790f319f7de21403568d0f1cf80a
9,100,0.0333,0xb775824a6898addd0d17844a460ccef1309f5dc4,2017-11-01T20:49:41.000Z,0.000333,0x254fb89e4cab71708eaab16e067ca8156a38e18a,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x6c6173557fcb43ea8dc1804452433d622c42e572a599de9d7eb9f2be29b72a23
10,0.001,0.000000495,0x0c4085d8e714ca77ac5f46cd2b80a92d238a7cd3,2017-10-31T01:36:04.000Z,0.000495,0xdf7beec4a75b0971e48530c14d67385cee710b65,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0xd3ae4c441a2e30565d96817d013eb92e51a919bbac0011215b11598de9eaa892
11,50,0.02,0xdf7beec4a75b0971e48530c14d67385cee710b65,2017-10-30T19:37:55.000Z,0.0004,0x04d5a4748ab863f26cfdd5d45a230c6e7da8818f,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x100c2e2fa957375fc304333e403b6b549a92ad0936455b3251d94a1a73074950
12,18.64,0.00932,0x45c635e987e6077116d127e35e7b4b0cd9b27031,2017-10-29T07:27:35.000Z,0.0005,0xced732ca92cb4f040239c4e8c85f14acbb5db000,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x40fcaf403b2d0dfddc812c46354371c17aa13e44ed771403bd5193f0e0c72182
13,40,0.02,0x3123cb43a4c0dd6793166a589a0ce850d6dd4010,2017-10-29T05:02:09.000Z,0.0005,0xb7ddaba243659e42d2813fcb9f30aca983478b5c,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x288ddaa82c2e0e0b4efa3fbef6ffe2af5ee05332bfd97df951341a261215ae50
14,926.12900009,0.463064500045,0x45c635e987e6077116d127e35e7b4b0cd9b27031,2017-10-29T04:50:48.000Z,0.0005,0x9778550d76b07ac9f5e57392f68ecdf6efc1774e,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x24b00ce89c90f5aa3d15eae9b09bbdffff9b251a8dcf24afdac4b1da82716fc1
15,452.28588382,0.19900578436234115,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-29T04:35:24.000Z,0.00043999999000972833,0x48eaedfa6ab55f414a433f0778f55ed9b827e822,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x98006d4b0317351752db647379c3e60fe362c0fefdd1b22dc9fafcd51acb902e
16,101.72209567,0.04465599999913,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-29T04:35:24.000Z,0.000439,0xced732ca92cb4f040239c4e8c85f14acbb5db000,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0xc96349f8dd3d76ca51410180270336025b0c4d09ac581998f3e8ee5983835bb5
17,101.41692938,0.05070846469,0x45c635e987e6077116d127e35e7b4b0cd9b27031,2017-10-29T04:35:24.000Z,0.0005,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0xc96349f8dd3d76ca51410180270336025b0c4d09ac581998f3e8ee5983835bb5
18,502.884806,0.251442403,0x45c635e987e6077116d127e35e7b4b0cd9b27031,2017-10-29T04:35:24.000Z,0.0005,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x888889f8b1971168c5684004d2e0793b91aa7f07059b43fe5550d5d0b72ddc9c
19,504.398,0.23202308,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-29T04:35:24.000Z,0.00046,0xc11f32a3d45a3dc54b34234dd2b9f46292e69c02,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x888889f8b1971168c5684004d2e0793b91aa7f07059b43fe5550d5d0b72ddc9c
20,450.92902617,0.225464513085,0x45c635e987e6077116d127e35e7b4b0cd9b27031,2017-10-29T04:35:24.000Z,0.0005,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x98006d4b0317351752db647379c3e60fe362c0fefdd1b22dc9fafcd51acb902e
21,881.348,0.39219986,0x8c0f97a597a9d77868c769c8807a0849bdd7fb7d,2017-10-28T21:58:57.000Z,0.000445,0xd2ea382e498316d91b9de8557670149b479721a0,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x67d4ba19c84ef8a2b9bdaa5c55f1656d086aafddbd5462940bd693225ee83c29
22,884,0.388076,0xd2ea382e498316d91b9de8557670149b479721a0,2017-10-28T21:58:57.000Z,0.000439,0xced732ca92cb4f040239c4e8c85f14acbb5db000,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x67d4ba19c84ef8a2b9bdaa5c55f1656d086aafddbd5462940bd693225ee83c29
23,1.13895216,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:38:16.000Z,0.00043900000154528,0xced732ca92cb4f040239c4e8c85f14acbb5db000,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x435238d8d055309e92a2027499df274e3f3ce7e695da061ee4d6ac4fea0f99ed
24,1.13895216,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:37:27.000Z,0.00043900000154528,0xced732ca92cb4f040239c4e8c85f14acbb5db000,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x444028bbb3cecb5d43cf0bad9e4f32b77be8ffd7d5b67d53ae117012c2aef9bf
25,360,0.1583999964,0x8c0f97a597a9d77868c769c8807a0849bdd7fb7d,2017-10-28T19:37:06.000Z,0.00043999999,0x48eaedfa6ab55f414a433f0778f55ed9b827e822,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0xd7c646ce75abc33995bed77bc974ad69c01647649a4ebd8d381f887dfc0f7d44
26,100,0.0249,0xced732ca92cb4f040239c4e8c85f14acbb5db000,2017-10-28T12:30:43.000Z,0.000249,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0xa86dfb1798c8c0e46e58279e645bf2c7ea881be4e3eaac52582507d62fc86169
27,491.995572,0.93971154252,0x8f723e21893d6e9b84088f751f9d5ed319067a03,2017-10-28T07:16:26.000Z,0.00191,0xd815bbdb973fcfae73f27ddc9a135e377028c1c5,sell,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x70fadbdb4643123bf90a8eb62d5c3bcfd9ec768fdd4cac5f0f61a066d4a214b6
28,493.47599999,0.21712943506524,0xd815bbdb973fcfae73f27ddc9a135e377028c1c5,2017-10-28T07:16:26.000Z,0.0004399999900089163,0x48eaedfa6ab55f414a433f0778f55ed9b827e822,buy,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0x70fadbdb4643123bf90a8eb62d5c3bcfd9ec768fdd4cac5f0f61a066d4a214b6
