,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,1813.61315344,0.17953137967296687,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,2017-11-02T14:51:39.000Z,0.00009899100000043439,0x0d4f9e1211e77218b0b6a877961ce69ebdf5a27d,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0xa9c4a2775b42306546dfd334f390ec0f4d33a819eaaa0b277578a247a2b834db
1,800,0.0791984,0x3e43b4e95d6e2c8bff378b6726ec513edaf42549,2017-11-02T13:20:22.000Z,0.000098998,0x61de80d95e4dc339c3340cba8cd697f9c89194c6,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0xe183ebacca90c9d74549791128e032f816d218e0a522c7d8c0bfa40f0747a1f8
2,0.001,0.000000098998,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-02T13:09:19.000Z,0.000098998,0x61de80d95e4dc339c3340cba8cd697f9c89194c6,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x640bd9d14f2fbc269a9c15c9b5531d018c28150bfad8d648aaa5a61fb61c219f
3,0.000997,0.000997,0xf47679c8a3893f57c788fbd83722aa250a1d9a04,2017-11-02T13:09:19.000Z,1,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x640bd9d14f2fbc269a9c15c9b5531d018c28150bfad8d648aaa5a61fb61c219f
4,15000,1.080825,0xe728f08815f3de1d1e176e6102c8a90979d72e46,2017-11-02T12:47:52.000Z,0.000072055,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,sell,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x1872b5cfdefcc75ec6c0dfd9dfd4b595a02e06d23f34cc524712ee19b4cbb329
5,5.05060708,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T11:51:19.000Z,0.0000989980000582425,0x61de80d95e4dc339c3340cba8cd697f9c89194c6,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0xbbf7748ad4d2c66c9e9254c5dba8cd95521d14b347037695c9aa1a8bf080f616
6,5.05060708,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T11:37:02.000Z,0.0000989980000582425,0x61de80d95e4dc339c3340cba8cd697f9c89194c6,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x1b71828403daa65054f60cef258f88727c36b8673765ed133e70271b23682d0c
7,13639.63862027,0.9827496022290738,0x0d4f9e1211e77218b0b6a877961ce69ebdf5a27d,2017-11-02T11:20:46.000Z,0.000072051,0x433fffb2083d7879d212905019a73792b6c23442,sell,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x30308c0b2e998967210de49a28b13a67e94b5cf9739600234a251c3f27bd6328
8,57820.75565746,4.1660432658756505,0x0d4f9e1211e77218b0b6a877961ce69ebdf5a27d,2017-11-02T11:10:34.000Z,0.000072051,0xdc7439a92014f453c471839ab5bdfcf84a3dcdd4,sell,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x19fcdfafe9b7f8ed4e4f1e01237772bf495f34c4d830698dd390150991fff1aa
9,15000,1.2135,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,2017-11-02T11:05:02.000Z,0.0000809,0x433fffb2083d7879d212905019a73792b6c23442,sell,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x2bf446d7f7af932f8514e989246ad3a46b6b7871fc498cb72864246da1aca3d9
10,23194.705,1.878771105,0x0d4f9e1211e77218b0b6a877961ce69ebdf5a27d,2017-11-02T06:56:56.000Z,0.000081,0xa6dc476cb8db388604ae26d968abd8e9c6290301,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x68fbe117d25dd54cc9b4fa041536f4756c1d2e1eedfe4f153e0b7ae1834ebec4
11,194.88463749,0.01578565563689759,0x83c8a38c497721e6262bc365a2a967697837cb99,2017-11-02T02:06:12.000Z,0.00008100000000106518,0xa6dc476cb8db388604ae26d968abd8e9c6290301,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x4a7bd85b9c46a17e22298986b99389b46971eeda3164d0ec876bec6b0791bfe7
12,1900,0.1539,0x83c8a38c497721e6262bc365a2a967697837cb99,2017-11-02T02:02:07.000Z,0.000081,0xa6dc476cb8db388604ae26d968abd8e9c6290301,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0xcf2b3027b7b6a177e5ddc815861fb51795d8140d158e8b0605fd300af4db13df
13,3160,0.25596,0x4b19cf91baa380024dbfc9303877b9e26010b6da,2017-11-02T01:23:59.000Z,0.000081,0xa6dc476cb8db388604ae26d968abd8e9c6290301,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x18c4197acb1aff7c3d3d01ff67c4a2be49a01d241b42baf1a2747ce6df541044
14,1329,0.1075161,0x045b4f21a31953f9a51f54124cf1d791dd030dc9,2017-11-02T01:09:12.000Z,0.0000809,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0xe89a66f95f88737cb3385ce78977caa7932a3937e40b0face6c7e2208bc468f6
15,5000,0.3725,0xfff477529959e92603307a7d76b5f91669c246cc,2017-11-02T00:20:41.000Z,0.0000745,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,sell,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x1fbcaa87605ec04947db546b5fbb21745ec84a2dcbf13d3640c32f64f3452701
16,1000,0.0742,0x952a83c53b77b288ef03606656a21b50e7861abc,2017-11-02T00:20:41.000Z,0.0000742,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,sell,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x4d6819117b63d30c353f522eb4537d3689f2e2cd9d0d1b71245c546af8e24b91
17,9023.178,0.6731290788,0xed46d96ec620a878a86e223270d326eb9c518760,2017-11-02T00:20:04.000Z,0.0000746,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,sell,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x0d39fa9d78530653a01835a09ee71a1862b2094d3aa4f876689cd5a87fb84642
18,1600,0.11936,0xca2832b263c862fb6a02653c7d7b74832fded5bf,2017-11-01T23:28:45.000Z,0.0000746,0xeff5e22ab9809b8e03ea9ea725b41fece4fe55b1,buy,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x08876b3c371a27646efbca10fb876cdef74867b8d00f646bf86c9908df462ddd
19,997,0.099501597,0xecb8c1ff6cb58be2b2b13639b99abbbe912271e2,2017-11-01T23:27:18.000Z,0.000099801,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0xcbf726bf517f088a0e898ca91f3c456be8a61e41dc39b9daea7b341527b3f248
