,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,78.2358678,0.47723879358,0xadb60bb82fbabcf0932fc90538256989733e219c,2017-11-02T15:28:00.000Z,0.0061,0xb43e580005746560fc7e5907e39be61a1fcab312,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xe94b3bcec17c0a2f734989e0694fb94329da75733cfd676d97d23cfd0dccf020
1,0.05681824,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T12:02:13.000Z,0.008799990988809228,0xc07902149ed02043c5632e3470204d39e3d8ba2f,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x3aac7d2a4704ba5dc3f303f21e65e2e44e2978fd8356ade35ad7e6a663459060
2,13.137,0.0853905,0x49ef69ad25f2f37761fd336a6024360e243614f3,2017-11-02T11:13:16.000Z,0.0065,0x1f67b4c8192adae330cd1724bb0374e39fe80530,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xeefbf5ba42299b33d6af2f42726e71560d0053e6a94dd0b14a32e25ffb9b4cb5
3,2.18364257,0.0155050850868392,0x415017548c9b451d49736be0929c8c03321672d8,2017-11-02T11:12:54.000Z,0.00710056,0x1f67b4c8192adae330cd1724bb0374e39fe80530,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x0a9e835b2fa7dee58cdb0bda677709e5ca4aebd47e171386ca8f345108aca748
4,20,0.1758,0x1f67b4c8192adae330cd1724bb0374e39fe80530,2017-11-02T11:11:57.000Z,0.00879,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x2c846063eb93a6ad52d34a767d84cd9878871fbbf7067c1a93e292b6c98d2ee6
5,45,0.351,0x6cb38b435b56211ef7ebc838dd02e6c682e8b10e,2017-11-01T11:50:32.000Z,0.0078,0x5a91def498b2dd9c6995f92e03412574ad8c1672,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x4ded5da05a603e886a0aa3c4fa60dc6a0e54f5b2385cd620545145c3598549c4
6,36.56997169,0.223076827309,0xadb60bb82fbabcf0932fc90538256989733e219c,2017-11-01T10:22:30.000Z,0.0061,0x0cd2795a623adeb9370e2895e8d7526a6e4c556d,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x6f582e098fb97432ead5d2247018db2628da6e8a755210bd5a9e21651200c32d
7,36.67968161,0.21824410521270318,0x0cd2795a623adeb9370e2895e8d7526a6e4c556d,2017-11-01T10:22:30.000Z,0.00594999999,0xc07902149ed02043c5632e3470204d39e3d8ba2f,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x6f582e098fb97432ead5d2247018db2628da6e8a755210bd5a9e21651200c32d
8,12,0.07139999988,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-01T10:16:52.000Z,0.00594999999,0xc07902149ed02043c5632e3470204d39e3d8ba2f,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0xab0ec9a03f2a24a40e20b4a3459df4cfd74e6e42d37bd0cbb7f9b9848a56a959
9,1.32031838,0.007855894407296816,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-01T10:16:52.000Z,0.005950000035064888,0xc07902149ed02043c5632e3470204d39e3d8ba2f,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x78cfd8550b033dd0525ca605e3527f9987afe5541718f01bf84fdbd510f86684
10,1.31635743,0.0093468749131608,0x415017548c9b451d49736be0929c8c03321672d8,2017-11-01T10:16:52.000Z,0.00710056,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x78cfd8550b033dd0525ca605e3527f9987afe5541718f01bf84fdbd510f86684
11,11.964,0.084951111804,0x6b6b9050d5b193799451a00b045939a6c9a01f1b,2017-11-01T10:16:52.000Z,0.007100561,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xab0ec9a03f2a24a40e20b4a3459df4cfd74e6e42d37bd0cbb7f9b9848a56a959
12,100,0.905,0xaa1355520d66fa39891fea4812e81bb21382d5df,2017-11-01T09:38:04.000Z,0.00905,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0xb0415d26debcae620ad2f41a569cee5fa0d1e87ad08e25862646cddb5ecbbdbb
13,45,0.3375,0x5a91def498b2dd9c6995f92e03412574ad8c1672,2017-11-01T07:12:21.000Z,0.0075,0xf124c07cbf9bee82db79462ad5e9d809ca11d02e,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x528eab42e188465bb1a668bce72d3035c158bfba1f8fe84f8787291e7100b026
14,0.001,0.00000907982,0x6c441655c765b20ef239e315a8aa8f85b79808c5,2017-10-31T23:32:46.000Z,0.00907982,0xd2fd00999005929be5e3983c74c196e029cee5a2,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x756f44b3eb0e10665a524fa14409358144cb53e6579ce5ad3117344e8670e64b
15,2.92261911,0.021919643325,0x30a619640f6019ac143a142b9ff71b0cd3bc864a,2017-10-31T19:43:48.000Z,0.0075,0x009a12d4290630bc01fd82516ac57c1dc6a9bcfb,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x1507e2ae5edf97a0a654e104e826c7d62b5b1bbf88538421fa51c16078f21b85
16,50,0.375,0x6cb38b435b56211ef7ebc838dd02e6c682e8b10e,2017-10-31T19:43:48.000Z,0.0075,0x009a12d4290630bc01fd82516ac57c1dc6a9bcfb,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xa5c9ba131b11dab27bd10d824c122bc00b5cbe6f042dce2a7576650d0aaa12d7
17,80,0.6,0xadb60bb82fbabcf0932fc90538256989733e219c,2017-10-31T19:43:28.000Z,0.0075,0x009a12d4290630bc01fd82516ac57c1dc6a9bcfb,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x57611a5803938ed7329e105e7ef020517d80986ca5857f422484e59b8963711c
18,50,0.376,0x316bf1f1034efba2d0127b2c8e978dbe96cfa19b,2017-10-31T19:43:14.000Z,0.00752,0x009a12d4290630bc01fd82516ac57c1dc6a9bcfb,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x3a613efa62d4192100167d389b51ec5063a7eac667940f3dba899752b42ec054
19,200,1.502,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-10-31T19:43:14.000Z,0.00751,0x009a12d4290630bc01fd82516ac57c1dc6a9bcfb,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xc42b5179cbab9abbf337b05177521832b4572cd8d5837c553cf8bc99e1a04e51
20,29.59903285,0.26932028276394615,0xc83dcebf5bd691100e6e234fe03d20daed25d660,2017-10-31T19:37:45.000Z,0.009098955500633736,0xd2fd00999005929be5e3983c74c196e029cee5a2,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x34f0c4b8229886ae4f1aa0eb098749767834318d8d3c075806523c6614701945
21,200,1.8199,0x6cb38b435b56211ef7ebc838dd02e6c682e8b10e,2017-10-31T14:36:42.000Z,0.0090995,0xd2fd00999005929be5e3983c74c196e029cee5a2,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x9504fc870e923b1666e7136a0812a84459bdca131c4609bca0e9897d40caeed2
22,4.02974754,0.032640955074,0x4089bc81b3e2e986fbd429e03094faf6685200db,2017-10-31T14:31:01.000Z,0.0081,0xf01cc749a4a6a3e19a5dfc88f9de1e3f0aa41390,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xcc47e54d2eb4487354845e7127faf0bc9c6a996f6b069b91f0ec743bff440651
23,40,0.36398,0x6cb38b435b56211ef7ebc838dd02e6c682e8b10e,2017-10-31T13:12:49.000Z,0.0090995,0xd2fd00999005929be5e3983c74c196e029cee5a2,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0xaf29d2438d8e2473417f8d0263bf4a71eabdfcdbe5587343b2680250d5d5de35
24,0.99690957,0.008074967517,0x4089bc81b3e2e986fbd429e03094faf6685200db,2017-10-31T13:03:35.000Z,0.0081,0x077664018c741c2df811ecd2f0ed6668c89bbb49,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x04a013db42a43c67d376ac55335c9f57ca778ee66992b894cfb9b18f0b91c6c1
25,0.646,0.00587214,0x5114ad8984991f06d8413870e2a05d60b297f764,2017-10-31T08:40:24.000Z,0.00909,0xc73604d0514ac01e63513d07601e7e98f2f117b4,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xf1bd2938379fd901664f3b6db2ff5602a405e72d199b9f8e81608c62f1200a78
26,8,0.07272,0x5114ad8984991f06d8413870e2a05d60b297f764,2017-10-31T08:01:31.000Z,0.00909,0xd2fd00999005929be5e3983c74c196e029cee5a2,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xc885061b0fcaae62b680854072635b3073e36e8fc32e0a4bcdb30083be956d5f
27,79,0.7189,0x2c52d3aae686adb8ea39caeb71a27bda3424e6df,2017-10-31T06:58:48.000Z,0.0091,0x80479636d971ccc142716436ac94828dee000e86,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0xbe985cae49385aef1190732908c3a0fc0254e4e76ff0af8744811121d1295095
28,150,1.3635,0x2c52d3aae686adb8ea39caeb71a27bda3424e6df,2017-10-31T06:55:37.000Z,0.00909,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x23dabc3227786eb89766fe59df717f29a38d032171e5634109b27e2e97ecd75a
29,0.06,0.000453,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-10-31T04:49:09.000Z,0.00755,0xe444a40689f51f63bcd29910622035707d533d29,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x584707f6b809d420d05041bf81b162b40af44fde95a975751651d57475f40843
30,150,1.2165,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-10-31T04:00:51.000Z,0.00811,0xb95d753d130b387f0189d67d6b46f023966ae6b6,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x82d01ce09b1ebfa3bbae2d21c9527e18763eccc09efb880a5f46871c59f08f50
31,123,0.996300123,0x7976e652f7472830b2b2ab23980506e4512fae4f,2017-10-31T04:00:51.000Z,0.008100001,0xb95d753d130b387f0189d67d6b46f023966ae6b6,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x8b8524d138b409ddfc7f1e9a8f91778519c5af588982472f539812c2def0ace1
32,0.943,0.0076383,0x4089bc81b3e2e986fbd429e03094faf6685200db,2017-10-31T03:49:45.000Z,0.0081,0x009a12d4290630bc01fd82516ac57c1dc6a9bcfb,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x0bc92a1359e917ac8a1fc547d70c9ff8291eec856c9c8eafefdb81eb03aea230
33,0.99999999,0.009099999999999999,0x077664018c741c2df811ecd2f0ed6668c89bbb49,2017-10-31T03:35:35.000Z,0.009100000091,0xc07902149ed02043c5632e3470204d39e3d8ba2f,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0xf90ce76005bad97006005d04087a9fcb183f14d0a6a05f46ca5d07008d7b7fac
34,12.9,0.11739,0xabdda95296bee3062ac3ded6bc2d68c29f691bbb,2017-10-30T23:01:39.000Z,0.0091,0x80479636d971ccc142716436ac94828dee000e86,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x63b1a6e48db8ba5dbdbc3eae85e13a5744273bbe9f1804e3de7b3c9d64bceb64
35,3,0.029997,0xff64f34e8511693e3dffa0e1fe037a6a65f3937b,2017-10-30T22:23:51.000Z,0.009999,0xd2fd00999005929be5e3983c74c196e029cee5a2,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x56d162961b1dbe0c10b0fca3e0f171757db77b47d76563f1823138587b57cf97
36,34,0.3111,0x7b93aa3c49fdeecb990b868ec479c73f0ce7db8c,2017-10-30T22:22:26.000Z,0.00915,0xb8dd9811d6cf2e6bb69d4db7e6134cbeda4c79a1,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x21dc1ca35c4cf31bdcd0433b14da8ce56d3300b588ec1fb56820ccde774d22d2
37,100,1.02,0x37dd4e5111c436147b1ff6821983bcf81fb23352,2017-10-30T22:05:15.000Z,0.0102,0xd2fd00999005929be5e3983c74c196e029cee5a2,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x9eb1d7654f86628036beaef8bab497c3972e79d7372b00dab4100b2b61d1f51f
38,76,0.6954,0x7b93aa3c49fdeecb990b868ec479c73f0ce7db8c,2017-10-30T21:59:16.000Z,0.00915,0xd2fd00999005929be5e3983c74c196e029cee5a2,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xcd20cad04593fa8a7243cb394b8cc79426ac0433fde5d5e5278012e5a09e8107
39,14.35257221,0.14926675106246765,0x7942bbc7a6fd4ca2074f9e330d2e0103d5da9474,2017-10-30T21:15:26.000Z,0.010400000005467149,0x0a928293c3f5fb53b1110dbacc4217ebfa3a426e,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x77dc4c1f4cd33f3b2a7fca1aa508b51702630569736f3fc472d32a18256af16b
40,15,0.1545,0x7942bbc7a6fd4ca2074f9e330d2e0103d5da9474,2017-10-30T21:13:32.000Z,0.0103,0x981ba820974f9d581db0b77ecccdb15fa0a82f48,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0xaa3f0892f655f96e99e68c26f81b426cedf0b26593175968d573494b4b24bce8
41,4,0.032000004,0xa9284aefdd8cacd510ea3ce7136608956b92c8a2,2017-10-30T20:53:26.000Z,0.008000001,0xc45a12d4151d012a133da631e5e34103b44d859c,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x8b4d81704b820e1044d2807aec931acf841744c324e006fc807cfd6740199951
42,25,0.200125,0x73f55f675b1b035b59fed3f1bde3e42411d9e49c,2017-10-30T20:48:46.000Z,0.008005,0xc45a12d4151d012a133da631e5e34103b44d859c,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xbe26e0a0265de002dc6aad4fc9fa93e3f5eaf6b90bb55078dd068c63748800a8
43,12.0618084,0.0964944792618084,0x0d08d3fe6fca58e82982ac4d0eada1f457f4e929,2017-10-30T20:48:46.000Z,0.008000001,0xc45a12d4151d012a133da631e5e34103b44d859c,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xc6ddaf8631dd0c216fec2214cfa250363207e2e4ab7d87888db9c22bdeb2ca08
44,54.142,0.433136,0x80479636d971ccc142716436ac94828dee000e86,2017-10-30T20:48:07.000Z,0.008,0xc45a12d4151d012a133da631e5e34103b44d859c,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0x922b958d9e0ec4f43b30bb8ef7142d9e164aadc59f0f3b71f33399eb7e548aa8
45,19.9381916,0.1595055527381916,0x0d08d3fe6fca58e82982ac4d0eada1f457f4e929,2017-10-30T18:27:08.000Z,0.008000001,0x9392ed3a839f9e13f0e46678725afbe9473b62e4,sell,0xa8006c4ca56f24d6836727d106349320db7fef82,0xd4d885b37d442dc90d7d510f80ae717e85ad0fe9d2aa07f5e8de4d22c391f7f7
46,10,0.1075,0xb4644415a639bf48418f50717ea59e7299682173,2017-10-30T16:57:07.000Z,0.01075,0x300fcd2f8b3d0951e314becfdebfd6a09f8ba986,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0xaa939c46b684307eb381d2101dac3428c206091068f436ff0605eebe8a5c05e7
47,85.71,0.9325248,0x3c16638ff6491ed866a45df77c326c3ff4465793,2017-10-30T16:09:11.000Z,0.01088,0xe48cfc30f893dfdeef7b413c339822304a45d078,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x1c5fb1189dd869016f51f10dc91ae526877fff4fe41ada9ed0f336dfb47d72c7
48,100,1.15899999999,0xc45a12d4151d012a133da631e5e34103b44d859c,2017-10-30T16:00:39.000Z,0.0115899999999,0xc07902149ed02043c5632e3470204d39e3d8ba2f,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0xcbad1635a5d127f97c3558591ab49166837b0d141dcde64a3a85a53ed3eb0009
49,56,0.6104,0x300fcd2f8b3d0951e314becfdebfd6a09f8ba986,2017-10-30T15:57:28.000Z,0.0109,0xe48cfc30f893dfdeef7b413c339822304a45d078,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x81f8aa7fc876522c36aa0cdb6b58b915647f3879093027cf8c817fe29af6d8d6
50,20,0.2316,0x9392ed3a839f9e13f0e46678725afbe9473b62e4,2017-10-30T15:46:47.000Z,0.01158,0xe48cfc30f893dfdeef7b413c339822304a45d078,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0xf74df05763fbe2965024dc14932f21a3d327c0b287cd916f2eeffdae20721629
51,1,0.0118,0x8d2e198dcae5251acb3e0b779d9fecbb36e0d345,2017-10-30T15:00:06.000Z,0.0118,0x69bc96509a19ce70f5ddbbe2cdc736ca1fd615ee,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x8b9d7bfd9d14c208a378bab1dfc586fe30e9ae8ad05794f1129070fdf35ebf68
52,1.32671963,0.015655291685412298,0xd5b3805a314a1f406763c1e04dcad729b1af89f2,2017-10-30T14:57:34.000Z,0.011800000038751443,0xe48cfc30f893dfdeef7b413c339822304a45d078,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x32e7864fcafc6da795f069297d3cd61ba225681e6bf12215e63e1565c126abd6
53,42,0.4956,0xd5b3805a314a1f406763c1e04dcad729b1af89f2,2017-10-30T14:56:49.000Z,0.0118,0xe48cfc30f893dfdeef7b413c339822304a45d078,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x4948556b618f580d47f1f9677625b015ca4df9f455cff6ef4e173bf7a1899500
54,20.97311892,0.24748280330973982,0x9dccb260ac80c03a318b4874b77900514faa93c2,2017-10-30T14:55:39.000Z,0.011800000002562318,0xe48cfc30f893dfdeef7b413c339822304a45d078,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x28d455db0306c4aa650ccf7eb2894dc686ff0aaa8aa06917a04c122179ca66ec
55,70,0.826,0x8d2e198dcae5251acb3e0b779d9fecbb36e0d345,2017-10-30T14:55:39.000Z,0.0118,0xe48cfc30f893dfdeef7b413c339822304a45d078,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x8345e073d0f4e11aac186f071bef9288e91dba1175159b8e28a8a78f066a9256
56,1,0.0119,0xa0e8d87e5caf8424c86c8d95d99d6394dc04ad22,2017-10-30T14:51:54.000Z,0.0119,0xbf996c7c57c387ceebaf2f57c492d84a6b43cd4b,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x62dc12c9f9c2aa8cca8684c43011394b7b0c264da7af930dced2b28998cb88b4
57,40.97236455,0.32982753464299525,0x59478c47d713989bf4347ded91705ad90b5b5582,2017-10-30T14:44:13.000Z,0.008050000000378189,0x009a12d4290630bc01fd82516ac57c1dc6a9bcfb,buy,0xa8006c4ca56f24d6836727d106349320db7fef82,0x6893ecf79edd66333cf96d63470e6dc71069b03493d616f6dbc7f710ccf3c5fd
