,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,500,0.0905,0xc3680c73935e4bd4e1cbe85a77ab6946a5bdfd15,2017-11-02T15:52:41.000Z,0.000181,0xf0699994eb82b56abcf3b9eda6e2790bbb462d44,sell,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x50f5fc430027424e46efbc975bdf3f9354d5e9f479b36b049511c6058404f8d6
1,3366,1.17769608,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:50:33.000Z,0.00034988,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xdcdd993ac874417fe31c93ed031f0a3b4cc32c0d862b93d4b680c044041ef74e
2,2000,0.69996,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:47:30.000Z,0.00034998,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x77647e385a03761abd3e046d10874157c93b40c325b626caf7ed2787c722fa97
3,1000,0.35,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:35:20.000Z,0.00035,0xf0699994eb82b56abcf3b9eda6e2790bbb462d44,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xa5774623a8f365722aa282e7bec7ac4c4e34e7280568563a745fd8dd70322894
4,2007,0.70240986,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T15:33:58.000Z,0.00034998,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xe13df0b27daacf541167538db9f97fffd274a36901e5a04f808399f68f818f14
5,2055,0.71921301,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:33:36.000Z,0.000349982,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x45e14e16f5e1750a7deebab41781647b9463f1f03358479de38c109eddad6f97
6,200,0.036,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T15:31:25.000Z,0.00018,0x03042ecca8071b8e256ab320432fee357634ab14,sell,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x0e3d4e3a3615f281e75a918c657e6c3fee6cc61fdd0a84742e63815ff7c8bffd
7,1778,0.622239548,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T15:31:02.000Z,0.000349966,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x97fc5e7e11a720125d1b03eca255a498ad60aa778bf3888f318fd6037dc9f315
8,1366,0.478082242,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:30:23.000Z,0.000349987,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x756f4901465993a16e5e70b921eb7598e17bba931d8f2b5a42ba3b8a2b57d505
9,2800,0.979874,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T15:28:19.000Z,0.000349955,0x03042ecca8071b8e256ab320432fee357634ab14,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x55de590e8bf5cd78a5374e76bdb98c95c6b68136371d41f06959135471b16ec7
10,4270,1.49440179,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:28:00.000Z,0.000349977,0x03042ecca8071b8e256ab320432fee357634ab14,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xdd76861720e05e9839f6b13b740f6c457d44f5d285e8bdfaedfe825a6029314f
11,202,0.0704576,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:26:40.000Z,0.0003488,0x03042ecca8071b8e256ab320432fee357634ab14,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xcb70636bc1e4f756a33717cb44585c0512ab69585974500096f374b87ac96007
12,166,0.0560582,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T15:26:03.000Z,0.0003377,0x03042ecca8071b8e256ab320432fee357634ab14,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x87905f5679dbf7fc5cb5fa5323be8ab9ceeabee462b9b5eeb7cdb05ff4d8a384
13,166,0.0560582,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:25:53.000Z,0.0003377,0x03042ecca8071b8e256ab320432fee357634ab14,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x99b1d3c577a4db93762c251d49ed350a0e9c4aabe6d11b97f20c0674a0a1cbba
14,120,0.042,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:18:30.000Z,0.00035,0xd24ebc32bd6645cc03fd45bf81446ac7e05acdb3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x697e65b36cc0c7f2b6bdc35593377f15580fdc52462d86982379049ec086be64
15,2068,0.70312,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:18:19.000Z,0.00034,0xf771b8f17435574569a2c8ab0b835ec3b57ded76,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xebfa0ff22febbeea95545556ba8542a3f4b2664be2ea4fdbfcb2efad03175056
16,1000,0.34,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T15:18:17.000Z,0.00034,0xf0699994eb82b56abcf3b9eda6e2790bbb462d44,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x91e79abbaecfb33bce17678384fab335c0c8c705251d355f6b6740ea4e05bc3a
17,1000,0.338,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:18:17.000Z,0.000338,0x03042ecca8071b8e256ab320432fee357634ab14,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x9935e30b7da5bc262c7d68bc675cf63166a8bc11c17c6a2eba19e98f81b5e72b
18,350,0.098,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T15:16:08.000Z,0.00028,0xf0699994eb82b56abcf3b9eda6e2790bbb462d44,sell,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xf0034fd142f50d14c4ec18b8a3802f50658d54857b42d2a868c82715e1f8659d
19,500,0.11,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T15:16:08.000Z,0.00022,0xf0699994eb82b56abcf3b9eda6e2790bbb462d44,sell,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x9c169e8805d29c0b459410a203cd98580bf29cfc645093f36657bd3c1d61fbd3
20,300,0.078,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T15:16:06.000Z,0.00026,0xf0699994eb82b56abcf3b9eda6e2790bbb462d44,sell,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xb7d43da5d27aa66cbf422caf4aba61988664dd3048717b8df2c8f57c8b1c80b8
21,552,0.1814976,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:16:06.000Z,0.0003288,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x1babd369acc831698248a97771b55b2c2e2fa8c81ae05a2607e0418505905714
22,1550,0.504525,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:13:24.000Z,0.0003255,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x160bc782c3036aa970f95511022736511366531e1fd4058c4ae72d24aeeff9e9
23,3889,1.2701474,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:12:31.000Z,0.0003266,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xa4cd5b840078528ee5ec5c814df49611f655f6643557612469ae6e024f6467c8
24,3889,1.2701474,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:11:50.000Z,0.0003266,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xa4cd5b840078528ee5ec5c814df49611f655f6643557612469ae6e024f6467c8
25,2770,0.93349,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:09:23.000Z,0.000337,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xb05853fa394365c6515f1987ce616b32c20857c45bdc83ba4393550f1644c37b
26,280,0.06356,0x667938315d19f8ec5cb5827744be0eb878a39cf3,2017-11-02T15:09:23.000Z,0.000227,0xf0699994eb82b56abcf3b9eda6e2790bbb462d44,sell,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x4774c89604804f0dadb41ed964c19f55cada5ee99927eef56f721d2c47a5e000
27,22,0.00572,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:07:45.000Z,0.00026,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xbfb846062d9f001a3bc8f530f5eff711561fdc5d99c3e7af4256cedb01516142
28,3800,1.216,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:07:45.000Z,0.00032,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x923267748f5e49c3c1e06620f3a11970f1d5ae11b6ed9752531442f5e4439a51
29,1900,0.627,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:07:20.000Z,0.00033,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xb628442f60ffca82b2eebb494fbec0de01973077cced1a98e95126df7952d98d
30,30,0.0099,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:05:24.000Z,0.00033,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x64d5049cc57f9c30c7158a8dd6158ccdb24862a129682bc048eebf9e6e956b49
31,48,0.01536,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T15:05:24.000Z,0.00032,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x0e097fc49dbbf4c461d9ae7d336aaf31c8f07f6e2dc9ed9275ea4093c7ffee46
32,28,0.0084,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T15:04:35.000Z,0.0003,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xb0529d7224ed68d28ac722bca7ef250bc967a6f81f138d3c153f5cdce828dd82
33,22,0.00572,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T14:57:19.000Z,0.00026,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x1d1bc00655b67a9ef2d95cb317614bcd9322ed51da7dd6ff5adaf5c8b63da35c
34,17,0.00476,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T14:56:34.000Z,0.00028,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x4f9438656411f10b50e7425d4a979d3261a82053d2eb211874952001eae642df
35,3220,0.8211,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T14:54:54.000Z,0.000255,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xccb05bd867bb4b9ee6e71c8e5dfbe98b5cb4fe8c793496c7568d25f37cb0bbc9
36,4200,1.0836,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T14:53:20.000Z,0.000258,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x1cef3522346c5fb8e5e0ddf6c9eaa1fb180ec75661501bde2bfe9df4f193f394
37,2660,0.9037882,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T14:48:22.000Z,0.00033977,0x03042ecca8071b8e256ab320432fee357634ab14,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xc65212a9cc23e4b2a143b9fef7c09f07c7c511d69c70acec21cdf95c28a7a283
38,3000,1.01964,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T14:47:14.000Z,0.00033988,0x03042ecca8071b8e256ab320432fee357634ab14,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x0f4288e1ded4128ad15b1ccafc343cf04d5ee7f4809517c89477d091ee72fb1e
39,550,0.18699395,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T14:44:18.000Z,0.000339989,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xa3451fcce2492947ef2791acca864aa4de189f442153e81c711f9149962d4107
40,82,0.02788,0x03042ecca8071b8e256ab320432fee357634ab14,2017-11-02T14:42:13.000Z,0.00034,0xd24ebc32bd6645cc03fd45bf81446ac7e05acdb3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x841988041f77079230e51ecd85aeaa38539d87ba52281cbccfe7501ed9a2242d
41,400,0.1356,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,2017-11-02T14:41:53.000Z,0.000339,0x667938315d19f8ec5cb5827744be0eb878a39cf3,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0xc72bcf9f1a65ae5c9998bd1589ca38fcc684c34077feb169b73641b8c8e03f0a
42,60,0.02028,0x5d09ca5c7c47cc9f275ed1b929fec1f4ca1d25c3,2017-11-02T14:40:52.000Z,0.000338,0x06a79ee04dc23d006ae228b0ee890cb2d25b6ee8,buy,0xfd784da5c740c617aafb80399fa81b86e1da99a5,0x71ca233eee55b8dcbe2dcfd3835c771a6056d13647446d498f18c2325b0f365f
