,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.68587115,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T11:55:33.000Z,0.0007289999003457136,0x21de9e523991ccb64c665315af72c7d0564e049b,buy,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x6d9209f21366f0bb3049b5bbc3c3891c29a4821c58b3eb52fca3c91205addb16
1,200,0.136,0xe4f0105abaea9b46782075c3e9c2636176178e01,2017-11-02T10:22:11.000Z,0.00068,0x2ae9fa81da01b24179fd7a628bea93a1d9801370,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0xc56e138f0e062be8fc0bdc0cb051ccb4fb1b64fd3ef2937c067399757eb0db57
2,200,0.1382,0x9ba6f2851c8afe6be654fbd4c3dc7e9e64cffe53,2017-11-02T08:16:27.000Z,0.000691,0xe4f0105abaea9b46782075c3e9c2636176178e01,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x9ccdae66e791a2aa1ec75be864b139ce130c27cc39359b476b96cd956554d288
3,126.21872196,0.0782556076152,0x3dd2734c1ab467067d264b7905e39599c471506e,2017-11-02T04:08:10.000Z,0.00062,0x39c122da4cca59f5a1caf9aafb8ab780656e6b50,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x84903c1cc11f70b428a6ef02b9f089ee50861e1336d51d3faa4cf523ece54216
4,1200,0.7440012,0xb4ace0b3f4de9f59f0987bf9ce21f7d059d80425,2017-11-02T04:07:07.000Z,0.000620001,0x39c122da4cca59f5a1caf9aafb8ab780656e6b50,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0xd10ceca44c7894e2cd6ed0aaff077b4668db132ed6e0ef6ba055a4a3bb5f6f28
5,0.22236736,0.0001378677632,0x3dd2734c1ab467067d264b7905e39599c471506e,2017-11-02T01:19:32.000Z,0.00062,0x48af8000c9d156ac7156c4b27313bbfee6a647aa,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x4365505664866bb527b0f94eb3cec4edf58a9cd8e4eeb6dca2cfabf6af96bfcc
6,1250,0.7875,0x3dd2734c1ab467067d264b7905e39599c471506e,2017-11-01T22:16:53.000Z,0.00063,0x8c03eb0bf80765c946a64d7d31d3a3a40cbf63e1,buy,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0xdbfadcc809c8e714cf018a3dfdb3ae71c8218d2605f89e09580c006c9c0b6f02
7,250,0.1575,0x4ec057518e73207f53611ee554ebb21ebff891d3,2017-11-01T22:01:21.000Z,0.00063,0x8c03eb0bf80765c946a64d7d31d3a3a40cbf63e1,buy,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x775c50c27e1048ba6362fdb8dc618c772c99e81421648aaba95b668a881f6c02
8,200,0.122,0x2ae9fa81da01b24179fd7a628bea93a1d9801370,2017-11-01T21:37:21.000Z,0.00061,0x8c03eb0bf80765c946a64d7d31d3a3a40cbf63e1,buy,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0xb47eaeea55bc1a4c47efce9a4abd0b1174eb9bd00eb6256517740a2dd2b55e0b
9,200,0.103,0x2ae9fa81da01b24179fd7a628bea93a1d9801370,2017-11-01T21:10:35.000Z,0.000515,0x8dd7ae37bed525bc2554fdf8f68bc8dd415fd616,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x54838cd0a5c8eaa8e27591ce47f11742f542f0ec268c9ebeb9abdcdf33b2fca2
10,1000,0.61,0x70d692072e72e1b4b26b01be1541cb46af42d8cb,2017-11-01T19:48:33.000Z,0.00061,0x8c03eb0bf80765c946a64d7d31d3a3a40cbf63e1,buy,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x20d085e98e812bd70a55130c14bde1add5093d46c382ab8d6a8cee5e6f4b50fa
11,399.50405044,0.219727227742,0x4ddb43d2fd9120f7b1a261a130e0d72c4ec51e1a,2017-11-01T13:36:30.000Z,0.00055,0xaeb1aa0266af6e166b5a6eabb2c8278fd55a7eb5,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0xc91abbe39d6241e1839a1919c19f165da0825f88c2553447854d4cad7ebe53ea
12,310,0.1829,0x1422f4dbb503e88c2507e26691ea9e38fb7e2eaa,2017-11-01T13:31:01.000Z,0.00059,0xaeb1aa0266af6e166b5a6eabb2c8278fd55a7eb5,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0xe7a30b207242af816ee48e6c258e827463069a75f779bb5c418a3e0bbe20acaa
13,2000,1.22002,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-11-01T13:30:48.000Z,0.00061001,0xaeb1aa0266af6e166b5a6eabb2c8278fd55a7eb5,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x5bbb8a030fdcf7fb02a9f54e8be02a392832717ddd15594c1dfc42edf328e12e
14,22.829,0.01483885,0xe497d06738e3e087a99a3758e247ed0fde44e02c,2017-11-01T13:30:48.000Z,0.00065,0xaeb1aa0266af6e166b5a6eabb2c8278fd55a7eb5,sell,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x0670140751674d0e691476fa1f146cb86b87406f6aadbb2efeb43e257ea38be5
15,2000,1.3,0xf9ac154b1c43a57228d8dd18175ce5c0386a3e8c,2017-11-01T13:02:27.000Z,0.00065,0xaeb1aa0266af6e166b5a6eabb2c8278fd55a7eb5,buy,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0x1b38d16f75634eab0440d98f9026f3259b011731193ce356ddeeb68bd6d7c332
