,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.625,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T12:16:46.000Z,0.0008,0x21eb3d6b90bc60a8f456f6924246402dfedd7775,buy,0x8727c112c712c4a03371ac87a74dd6ab104af768,0x927d83d2828f413b67d45c4661aab43be271064e1c20d867e940eef11999ef26
1,0.625,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T12:02:09.000Z,0.0008,0x21eb3d6b90bc60a8f456f6924246402dfedd7775,buy,0x8727c112c712c4a03371ac87a74dd6ab104af768,0x5a5e36d2357e0c63fa1c804914849d512918abcf2af7871b53d5937ca97c2c6b
2,0.5102040816326531,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:41:00.000Z,0.00098,0x153685a03c2025b6825ae164e2ff5681ee487667,buy,0x8727c112c712c4a03371ac87a74dd6ab104af768,0xe050c872610369ddcd893e9cb6ba433310feb31db7de5760512f3ab13cbcd2ac
3,0.5102040816326531,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:40:17.000Z,0.00098,0x153685a03c2025b6825ae164e2ff5681ee487667,buy,0x8727c112c712c4a03371ac87a74dd6ab104af768,0xecb92c539daea82e52b51cddc240c2cccbc02981f6392ac4433827e8c54356cc
4,10,0.0098,0xf00118adac77d70abb28b6b27cb8f18a6d62750c,2017-10-28T12:59:15.000Z,0.00098,0x153685a03c2025b6825ae164e2ff5681ee487667,buy,0x8727c112c712c4a03371ac87a74dd6ab104af768,0xf19912d5e226a5ee6eeb89bc2d2d74153a5543eb0ca0b8a31ffc6f2d51f62672
5,0.1,0.000098,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-25T09:29:58.000Z,0.00098,0x153685a03c2025b6825ae164e2ff5681ee487667,buy,0x8727c112c712c4a03371ac87a74dd6ab104af768,0x2e4bda53aca7579a9348b3abe28309f99cdc6a9c146c5a904ccf72db871c945f
6,90,0.00018171,0x0b2de009825eac9a347868b44349aa32e91ef81f,2017-10-25T07:10:32.000Z,0.000002019,0x6115ab07ccf776b3f5b2bec6ea58ab603cf17740,sell,0x8727c112c712c4a03371ac87a74dd6ab104af768,0x88e021e8a43b0fd3bfd3e5e5cb4ac02138621bd4b3b65edc46fb564e32f2d3d4
7,1.4,0.001372,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,2017-10-22T22:27:22.000Z,0.00098,0x153685a03c2025b6825ae164e2ff5681ee487667,buy,0x8727c112c712c4a03371ac87a74dd6ab104af768,0x601970466976adff583a486bc6cc1f365fb83b8960a42cf924abb40b20630b42
8,1.23,0.00123,0x0485fa945f0da22c4394826845c59050d184265a,2017-10-22T21:59:05.000Z,0.001,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,sell,0x8727c112c712c4a03371ac87a74dd6ab104af768,0xafe5fd6df67b88df6eac244005f0d598b640f33fb2a7b97bf2fe46873d206bc4
9,2,0.00196,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,2017-10-22T20:45:11.000Z,0.00098,0x153685a03c2025b6825ae164e2ff5681ee487667,buy,0x8727c112c712c4a03371ac87a74dd6ab104af768,0x0c47beabc8c95b41aacba30a6a83727cea1d8600b34b88eba73648bf8ea27a73
10,0.00997,0.00997,0x153685a03c2025b6825ae164e2ff5681ee487667,2017-10-22T09:29:46.000Z,1,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x8727c112c712c4a03371ac87a74dd6ab104af768,0x74ae0c48bd921b8fbe4ef8435fe2f43b8c782b459d77893820f9a38caa0c782d
11,0.01,0.0000098,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-22T09:29:46.000Z,0.00098,0x153685a03c2025b6825ae164e2ff5681ee487667,buy,0x8727c112c712c4a03371ac87a74dd6ab104af768,0x74ae0c48bd921b8fbe4ef8435fe2f43b8c782b459d77893820f9a38caa0c782d
12,0.00000997,0.000997,0x153685a03c2025b6825ae164e2ff5681ee487667,2017-10-22T09:28:03.000Z,100,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x8727c112c712c4a03371ac87a74dd6ab104af768,0x1694e6de3aaf57a3c263a20645a5bff20a8d6f1f875020c88c193a41ca896b9a
