,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,40000,0.126,0x3f103aacf41262cd789775edb8b6e5c270cf6f39,2017-11-02T16:03:10.000Z,0.00000315,0x5e72330b74449b9d3346c85c969afc139455135a,sell,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0xf0161e144d4197d110eed561820b51252fab7396173d254b05784b241d452bc2
1,59000,0.18821,0xc839c08f9aafeeb7b751132e54c9a1d2c708cfa4,2017-11-02T15:56:05.000Z,0.00000319,0x5e72330b74449b9d3346c85c969afc139455135a,sell,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0xce225e0a7621f74c4ae71d3b90e093197ecd86453b48280ec363d11e55b21223
2,30000,0.09834,0xc839c08f9aafeeb7b751132e54c9a1d2c708cfa4,2017-11-02T14:57:34.000Z,0.000003278,0xed97cf17871ff27fbad98df9cb2ba7ce1e04685e,buy,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0xe49a12e6fb78ec579f1bfa7b94b6b43bf19521b2b2d77a394b04d8b5e677a421
3,144044.23676012462,0.462382,0xc839c08f9aafeeb7b751132e54c9a1d2c708cfa4,2017-11-02T14:50:44.000Z,0.00000321,0xed97cf17871ff27fbad98df9cb2ba7ce1e04685e,buy,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0x0e6ce1008906d8c6641d90a73ed9bfdb76bfbcebc85c97a301fc418213cc57d7
4,90000,0.2835,0x3f103aacf41262cd789775edb8b6e5c270cf6f39,2017-11-02T14:48:22.000Z,0.00000315,0x47dc26367828fecef504b1e23e1701c5c9b72e1f,sell,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0x81622dc4af356cec2d512aa2f4788afb9c94090f0fec9cf4fe528fe178b58543
5,1900,0.005985,0x3f103aacf41262cd789775edb8b6e5c270cf6f39,2017-11-02T14:20:03.000Z,0.00000315,0x47dc26367828fecef504b1e23e1701c5c9b72e1f,sell,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0xcbcae3e55c2303a53f9dbed1a326f4cda0ef65044900e70b845002a3e4113f1d
6,135900,0.428085,0x3f103aacf41262cd789775edb8b6e5c270cf6f39,2017-11-02T14:08:08.000Z,0.00000315,0x47dc26367828fecef504b1e23e1701c5c9b72e1f,sell,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0x1c04ae8a99271ba3460b7fe931d998ea32afc46d409aa9fe1a1b052c7bf4891c
7,10000,0.0321,0x7dd2b7049a05c5d95db27337c144eeda1354f87b,2017-11-02T13:53:19.000Z,0.00000321,0xed97cf17871ff27fbad98df9cb2ba7ce1e04685e,buy,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0x74cbbfc803cf41bdf30974d7af9d988cd46dc68e32e083796ed507a10836dd97
8,199700,0.629055,0x3f103aacf41262cd789775edb8b6e5c270cf6f39,2017-11-02T13:11:54.000Z,0.00000315,0x7dd2b7049a05c5d95db27337c144eeda1354f87b,sell,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0x6260b772e48cc221db3434ea79e4c302df0cea9041541683f74dc8ef0dc34592
9,185000,0.59385,0x5daaa145804914c6c4d2cc6e051648db7d03bf60,2017-11-02T12:50:41.000Z,0.00000321,0xed97cf17871ff27fbad98df9cb2ba7ce1e04685e,buy,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0x1ef9a357b1946562e2e7e4fbbdeadc93cbf64d6bd0a1fa2b5e832b4f88f80313
10,16726.670322001795,0.05103307115242747,0x47a181d57da50fadaad0cc8e0a40369098aecd8a,2017-11-02T12:38:22.000Z,0.00000305099999999999,0x037f96a2a6430376cff5cd297cc40c2554f8f7bf,sell,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0xd552065465a7eef608dc93d23aff861505b5fb58642a1725a1d8889cb9f180c9
11,15000,0.04815,0x5daaa145804914c6c4d2cc6e051648db7d03bf60,2017-11-02T12:32:31.000Z,0.00000321,0xed97cf17871ff27fbad98df9cb2ba7ce1e04685e,buy,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,0xd1e35ca0efc07232a0cf96eb93e525afd2a10b252cb9ce6cc544b3a223fccafc
