,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,10379.93755409,0.028025831396043,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-11-02T14:43:29.000Z,0.0000027,0xc436223eaa54f3c1fbd956eefabae0da048f138b,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x76f64179cab736f42269e2fc18fdbe91babee3a2d700a23c1ef65cced1648b02
1,50,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T12:35:43.000Z,0.00001,0x952c73db8f515b7d84a7d4f8c7bf1a2880be7f25,buy,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x758835f13c582a5d100745df0a8911f5ad75a1d15ee1c285b395c93cccbbbd73
2,50,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T12:10:59.000Z,0.00001,0x952c73db8f515b7d84a7d4f8c7bf1a2880be7f25,buy,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0xdecc7ceb735886d83abc9fdd8ced3e742f0cde55c46b535504f0019c27428818
3,2073.57192702,0.005598644202954,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-11-01T16:23:11.000Z,0.0000027,0xcf4f5f219ebf2942df596db449269aa26a96131c,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x04f10cc884f40dbb641704a9572048c4649198fef3fb6608498fd5433eaf11b2
4,2073.57192702,0.005598644202954,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-11-01T16:14:57.000Z,0.0000027,0x83b466e639f48cd34c56c787f3e7da8e2a437d2c,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x256fbf3ce91f95afbf95f7b0ada3d295a0333c836458539324529a42d6b9216c
5,2073.57192702,0.005598644202954,0xea77e83c306f3e3f4654e2b2e272306efc94c9bd,2017-11-01T14:39:03.000Z,0.0000027,0x4a3ce6a2444ee642b143ae129851b6e0579ae4f0,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x1fba3b78c4eeb46ef9a57da9c95a5af1a85e742092b4ce3a0a255bf89beb66a5
6,7926.01464023,0.024570645384713,0xd45cdf90eea2ad7b5423ba92045a999cfbde3678,2017-11-01T08:29:20.000Z,0.0000031,0x90aad56da23a48591d79a9873b3bd4d9e2dde91f,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0xd9955df1618cff1aefaa939188129c935ecb9eb2d5e8a96372d360b2074e5513
7,2073.98535977,0.006429354615287,0xd45cdf90eea2ad7b5423ba92045a999cfbde3678,2017-11-01T03:24:24.000Z,0.0000031,0x7d878c82755b4831bb18b5df0b8fdf1e82cd61a2,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x8eebc7d2428e90a8e0eacceceafb05ddf8fbe0038cbbc501585d6cb6d318df48
8,0.20607754,0.000000556491789016,0x429c7cf947d18c6e14660975ba5272621a618b36,2017-10-31T11:37:06.000Z,0.0000027004,0x120523daa602ef7d8b93d5ac161192b232468d79,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0xd1554186359824586f443845fb56bacba4edcc5e98895c11cebfa7f65cffc160
9,2067.16371948,0.005582168908083792,0x429c7cf947d18c6e14660975ba5272621a618b36,2017-10-31T10:08:52.000Z,0.0000027004,0x120523daa602ef7d8b93d5ac161192b232468d79,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x47920aa5a637804ac61770007cd29b555139cf6274e57a1c4d7224653a6d56a4
10,2000,0.03976,0xd8d06134e33e921cd7a7487a3e38cdbe82564f9c,2017-10-31T01:21:56.000Z,0.00001988,0xf1695582c702dd963a9abb90f1591d5bdfc22476,buy,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x4b488ceb6051d96ffae1e7edeada955d81fc5e90a1d8e83b974a331526ae5842
11,2073.57192702,0.019906290499392,0x120523daa602ef7d8b93d5ac161192b232468d79,2017-10-30T21:47:51.000Z,0.0000096,0xc563305b275f66eb2e836bec2187b6859329a972,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x87262959971e9543cd168454ac4959e46dcead5a6114bec4b00304157e2270a4
12,1000,0.02,0x38f5ecbd20276178d8cf7453aab347260c9cdea7,2017-10-29T22:16:44.000Z,0.00002,0x1abf493f86c4be0530955ef551f8c64e7df4bd27,buy,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0xcc16db0d6df8c79850ef38a5a7c13a5c48b2e0c9b1eefcd8cf4e752b2e16b9a5
13,2080,0.04056,0x56e93558a97a7921daafa3c01888ba9eae7fa364,2017-10-29T20:25:42.000Z,0.0000195,0x6bb665019956b9b728419f193aa22920daea3325,buy,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x4fe0747e3c750b3c68eaa011c47e7b8986096fc4388fd998962c159d279c48a0
14,5778.325,0.0548940875,0x243d25fa46782c9bcd20f306894f6774e095cfc5,2017-10-29T13:50:20.000Z,0.0000095,0x71e0083a42196576e29b64a37ce91209b1911c9f,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0xba559483728a54aa8bdf070ea8c111a4c368a48490437e6e1c586d5aea225230
15,2073.57192702,0.01969893330669,0x243d25fa46782c9bcd20f306894f6774e095cfc5,2017-10-29T06:25:13.000Z,0.0000095,0x4b7fb61bcfcf8cc04f03fbcd34c29dc5190b89b9,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x115e534913c603972c6879554834f7d9b7ab57369f5d0187ecac847286cc5918
16,467.4247485,0.0044410025354985,0x971f30c325d9924ad472adf0bf98702502baad93,2017-10-29T05:49:46.000Z,0.000009501,0xdb5fae9f8ddd9c502cd432b4640b6a12ffdfd02f,sell,0xdded69d8e28d38d640f6244ab5294f309fd40ce1,0x708d3dad362b6a92403e6ace3d00fd0600e9d2321ff09d1bb9d422001c03a364
