,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,10000,0.1398,0x6cb38b435b56211ef7ebc838dd02e6c682e8b10e,2017-11-02T13:26:03.000Z,0.00001398,0xf60b7a42f39161c8852731d2c75039c8ad439c20,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x0cbfe6c9c19dec731fc42dd5edc577b9a0a2bb05d4ca6536a7e2d3da440f29e5
1,2500,0.035,0x6d7837b2c0f1ec83292e2525da229e12d3583ad6,2017-11-02T13:13:00.000Z,0.000014,0x38476ce24a34f769730122d85405deeda40cd464,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x56d69f323d0c4103f37b3945c30d00454a0095044743728f2b12bc22d4d18960
2,34,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T12:39:04.000Z,0.00001470588235294117,0x39138431b99d3adadff371c0d786bf3a32e99c6b,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x8e96290c5b47ad4da274e96e07723c3e7dce1e3c86f618209a4a66ab77fda5ea
3,3070,0.0365637,0x6e20fc98c86d303fa8d3dc182fa739cde1046faf,2017-11-02T12:38:22.000Z,0.00001191,0xbf8418ea81566519e9ec9f441991bab6e33ecc32,sell,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x49e113c49a31b818f3edfc4d455bcf92e5242955e9daa876eb438f86bdd70f86
4,967,0.01151697,0x6e20fc98c86d303fa8d3dc182fa739cde1046faf,2017-11-02T12:33:26.000Z,0.00001191,0x2e964003e8399651c2e9f6207082784ed6543fe0,sell,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0xf59ebc85dd9c999f75c75a50a43da232d58c44c1fa81d84faebd785a5275e586
5,6900,0.08224869,0x9f5360f3fc30501d9b5cd62caa7069a42ead1c8b,2017-11-02T12:33:11.000Z,0.0000119201,0xbf8418ea81566519e9ec9f441991bab6e33ecc32,sell,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x890a4a4bee26f22cb5f27fb9ff846f7115563f0f82514936ef44232375c1efc5
6,9003,0.10731576,0xf60b7a42f39161c8852731d2c75039c8ad439c20,2017-11-02T12:32:37.000Z,0.00001192,0x2e964003e8399651c2e9f6207082784ed6543fe0,sell,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x4df60e172807c7bc4a8681c12e50479ea529e9f58b63b95d753b2ad3812c2cfd
7,997,0.01188424,0xf60b7a42f39161c8852731d2c75039c8ad439c20,2017-11-02T12:26:23.000Z,0.00001192,0xa7ef40afda6e29b81faa91a6608dc597e292604b,sell,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x53558316eb0e7c1b19cf2e14cfddea1b69fce48b5e7c0e7eb7ee267c0d5d752d
8,3465,0.0499525,0xc847559681f261b9c1481df5ff4f4ae014317da0,2017-11-02T12:20:06.000Z,0.00001441630591630591,0x39138431b99d3adadff371c0d786bf3a32e99c6b,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0xfe450909206d0cad0053f9b38768559d60b68a2e3fd3bc374cf88b100c62dfb3
9,9500,0.13699,0xc847559681f261b9c1481df5ff4f4ae014317da0,2017-11-02T12:18:18.000Z,0.00001442,0xf60b7a42f39161c8852731d2c75039c8ad439c20,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0xd658bbe0f710186bea991666b45d662b88af23cdd4247ce2444334c131988c39
10,6500,0.0936975,0x565771ee94572a4e327bc252518971e2cfc2ed75,2017-11-02T12:15:09.000Z,0.000014415,0x39138431b99d3adadff371c0d786bf3a32e99c6b,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x48ff3dae108cc0d34ef61ad6295dd18d54b6b344f3a06fb459150f10ea40b9a4
11,34,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T12:14:39.000Z,0.00001470588235294117,0x39138431b99d3adadff371c0d786bf3a32e99c6b,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x4bd7121e09c676fb37ee21eb41f92eeb6583c5743dafc871850116cefebeff5e
12,1501,0.02248498,0x67243f5fe48fc59abd70649e6f0b2305b349137e,2017-11-02T12:11:54.000Z,0.00001498,0xab901f71988c64541932bba8d243bc23c3849561,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0xfd61ed549174e3dc60ec7993f56424b5c7f1b787ba500584ab3e9ed8a37b476d
13,2000,0.029,0x67243f5fe48fc59abd70649e6f0b2305b349137e,2017-11-02T12:11:34.000Z,0.0000145,0x39138431b99d3adadff371c0d786bf3a32e99c6b,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x3b22288823c5b0411fdc5f65c1fb4beec8ad7b865d3497a77ce8a01c1db7faa7
14,5531,0.0829153709999003,0xc13e5c37216d83b83452b857ac391a2f194c25aa,2017-11-02T11:44:01.000Z,0.0000149910271198518,0x7e826e85cba4d3aaaa1b484f53be01d10f527fd6,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x9e091f2d6e421c524303e7c2839a17835cb7a33219b3bf96f87249116a9e1d3a
15,1969,0.029530115591665834,0xe8944f19a1f100f252070e112ddac4c54bccfe62,2017-11-02T11:42:46.000Z,0.00001499751934569113,0x7e826e85cba4d3aaaa1b484f53be01d10f527fd6,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x7904080617fb26f51ecc052b0c723ed30e910e641c26bf1ba3863560e0c9ecca
16,1000,0.015,0xe8944f19a1f100f252070e112ddac4c54bccfe62,2017-11-02T11:37:14.000Z,0.000015,0x37a714705378b50a324152efe9bb2152abb342b5,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x2720150a8eef0765bdce04458d07e31ffd78da0a51bee20fbbcfb72e995aca07
17,1487,0.02178455,0xe8944f19a1f100f252070e112ddac4c54bccfe62,2017-11-02T11:35:12.000Z,0.00001465,0x3e795ede07ed0c3dc3669478e5753de49404f692,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x283bae5c7de72e9b0f3965b09a991ff3b3c0245c7257c1080a10503b0f3c6fc2
18,16814,0.2303518,0xe8944f19a1f100f252070e112ddac4c54bccfe62,2017-11-02T11:33:41.000Z,0.0000137,0xa53167b3162ecda5c3c01fe0d87dd3e6c169312d,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0xebc6258cc44a17ecae38a376b14c0c60ebb6a7e19e47dcdd9ce5dc562b938a4f
19,6000,0.082194,0xe8944f19a1f100f252070e112ddac4c54bccfe62,2017-11-02T11:32:16.000Z,0.000013699,0x9f5360f3fc30501d9b5cd62caa7069a42ead1c8b,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0x737f692ed4580deb57f2cd73545c02491511c37cec57bfe0268c8d2aefece47f
20,1000,0.0137,0x4d57cb55d3c0982a5cbfaabd78cba44396c0a498,2017-11-02T11:12:54.000Z,0.0000137,0xa53167b3162ecda5c3c01fe0d87dd3e6c169312d,buy,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0xf82c5032538c52404caaae5c5b1675b1e6358a9889f5a4595ba1dbc101285457
