,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,100,0.3301,0x88650fdbfbb5c7933eb52008c4387050b963747d,2017-11-02T12:02:09.000Z,0.003301,0x5aa91bdb140a8f3da1dee9ed66db20acffb99a8e,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xd660bd1b33c99792117979cc5633cc8f47ba3eb3194263fba009653c4df70863
1,2000,8.200002,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,2017-11-02T12:00:21.000Z,0.004100001,0x5aa91bdb140a8f3da1dee9ed66db20acffb99a8e,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xa9882a0ba5a4eeae1ff9205c9562137f52fb54892e61c689d550367067bcd30e
2,1900,7.7900038,0xeb19e912a51eb267cd423dcf0934d1a7f971ad66,2017-11-02T12:00:21.000Z,0.004100002,0x5aa91bdb140a8f3da1dee9ed66db20acffb99a8e,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xea8c6a6b88e6bb8528dce3e832959762b5353d99e6797c161d723550deded93e
3,302.5488901,1.2404510545077803,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,2017-11-01T14:18:48.000Z,0.004100002,0xb00548770ea87482f024cd4292a975fea72e8f01,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x174402adfda9e0a9ad8fb86ec1bde7a22d0164cd2071d9771136b4e21838f97c
4,1400,5.7400042,0xeb19e912a51eb267cd423dcf0934d1a7f971ad66,2017-11-01T14:16:08.000Z,0.004100003,0xb00548770ea87482f024cd4292a975fea72e8f01,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xc31dcec160515bd429d4c142c26cb1ec76621598441091a0bf0a5d14162dc303
5,337.91646648,1.3854578504844666,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,2017-11-01T01:09:21.000Z,0.004100001,0xb00548770ea87482f024cd4292a975fea72e8f01,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x18ab54189bb8c699d7fcd40a8da6130f3d6e5099edd60120ce916304cd79b9a2
6,0.071,0.0003550071,0x5a86ebf9a0e6f8181ed5143557f7b8ba89957fcc,2017-10-31T05:01:29.000Z,0.0050001,0xe444a40689f51f63bcd29910622035707d533d29,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xda5e40d6ca25de2d2678e2feded4e667ab7c7c64fca9bb6ee325336a21fe2768
7,0.01,0.00006,0x0c4085d8e714ca77ac5f46cd2b80a92d238a7cd3,2017-10-31T01:07:44.000Z,0.006,0x5d49115235b4ca312269c4e6dc32e5a488494649,buy,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x7776884819ad6d25382ad4ac2a4b27122d25f3535a15d7918eb5718d50bbee31
8,0.07519331,0.000375974069331,0x5a86ebf9a0e6f8181ed5143557f7b8ba89957fcc,2017-10-31T00:53:33.000Z,0.0050001,0xb00548770ea87482f024cd4292a975fea72e8f01,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x9b1ab864fa4855625fa2005172e313841c4f86add91f3a2b201481f18316df99
9,754.26399475,2.4899091699731675,0xb902ba6e3272e66c74035d7e30f4fa9279bd56f9,2017-10-31T00:52:32.000Z,0.003301111,0xb00548770ea87482f024cd4292a975fea72e8f01,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xb71ce03b32852ea1197004c4ae0817531b75af829ac026e3b52f7fab60d42daf
10,50,0.250005,0x5a86ebf9a0e6f8181ed5143557f7b8ba89957fcc,2017-10-31T00:04:14.000Z,0.0050001,0x5d49115235b4ca312269c4e6dc32e5a488494649,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x664555cfc05f69fec5487f7a61c91bc7e33150d45dd34ce3f2ce599b76a946d3
11,292.13129299,0.9640429071996687,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,2017-10-29T22:35:19.000Z,0.003300033,0xb00548770ea87482f024cd4292a975fea72e8f01,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x1ba6a8edc5d398435cd9716672dccd194091220a6c710fe376d14a20426ee58e
12,2.12196137,0.0106098280696137,0xc26b7a45edd1d723b096007b6e369d8dfa46ec3c,2017-10-29T06:05:05.000Z,0.00500001,0x0d479199250a62931f4ccb5dec399235da1b6834,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xc61f25658f00023b9fb6f35ba78656d8e622136f3f1cf3e5eed85629ec1dffad
13,0.0729927,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:45:06.000Z,0.006850000068500001,0xddc716609b550dc3022a7c608fb78a1f6ac9805c,buy,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xd3c24321b6d57f5e86b3247c1c20473f4d0040fd193f1e0ef1572536a76bc3ea
14,0.0729927,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:45:01.000Z,0.006850000068500001,0xddc716609b550dc3022a7c608fb78a1f6ac9805c,buy,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xab8277bb9870e4f2d5b9473252504a7a17e7d11694b10a0929b1a68fcef8c9c6
15,2.12853946,0.00851415784,0x0d479199250a62931f4ccb5dec399235da1b6834,2017-10-27T16:24:28.000Z,0.004,0x93813c6efce1bbb88f16719cd787e9acf9cb9415,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xc13592a40b5105b95ca62ea5df73db50cec70ea3768981c373450772027d0c43
16,0.22,0.00110000022,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-10-27T11:04:02.000Z,0.005000001,0x5d49115235b4ca312269c4e6dc32e5a488494649,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x387adcc4e3cf6dca9b8b825345cdf1dd5fbce03b3268436e655e8b7e65162622
17,0.01232345,0.000073940706976086,0xddc716609b550dc3022a7c608fb78a1f6ac9805c,2017-10-27T09:29:40.000Z,0.0060000005660822255,0x93813c6efce1bbb88f16719cd787e9acf9cb9415,buy,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xffeefcbe2b96505b3f51033c925d0887822e6ab521984a427fb45c12a8c92393
18,123.61653861,0.741699231677101,0xddc716609b550dc3022a7c608fb78a1f6ac9805c,2017-10-27T08:23:51.000Z,0.006000000000138339,0x93813c6efce1bbb88f16719cd787e9acf9cb9415,buy,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xcb287feb5e5faeb3961142167948fc793078de30220d0717d275bee2c28f69f7
19,0.5,0.0035,0xe5c79c03196e61970fcddb874d69208434221577,2017-10-26T18:05:35.000Z,0.007,0xddc716609b550dc3022a7c608fb78a1f6ac9805c,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x3c93871c56cdad6cc2b6af5ef212ccc597de196ff408f8e1c802c8067d954c07
20,25,0.125,0xe5c79c03196e61970fcddb874d69208434221577,2017-10-25T20:41:10.000Z,0.005,0x93813c6efce1bbb88f16719cd787e9acf9cb9415,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x3bf5fd9e385c66b5ff586cd52fda183df1fca47d01080ab86da946b998b3d358
21,1,0.007,0xe5c79c03196e61970fcddb874d69208434221577,2017-10-25T17:31:19.000Z,0.007,0x3e5ab457e7091127ffa1967cae69796fcf8e3ce2,buy,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x12669012a2a8c82d16fb1b142666d38325bcf7003c3cface85da84cdce663e9c
22,125.5985435,0.6028730088,0x34b62809df67ca50355e34c62035f0f349e001c7,2017-10-24T11:14:11.000Z,0.0048,0xbb6be7c4b5efca6bbb0e238f1708dbce6dced620,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x65dd20ef21d1e0b8997c5f7122b644cbd9a529a195bb62533974bd7d6a646cd3
23,1,0.007,0x3e5ab457e7091127ffa1967cae69796fcf8e3ce2,2017-10-23T05:56:32.000Z,0.007,0xddc716609b550dc3022a7c608fb78a1f6ac9805c,buy,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xc8ac034ea6bce598e827b2d1e75bfeb89360c4331c364a34bba91d98e79b3cdb
24,24.9227395,0.117137124877395,0xe1e1d0d73eeb29d0632bc4c7871bfc74dbed0741,2017-10-23T04:10:35.000Z,0.00470001,0xa2312851d68b8f40df119f1b63f95e7600d6fd98,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xd9d970b22430cc69cc2ba9a83d865f8ed2d9a0e7611c373fab5bf00150e9e8c7
25,0.3,0.00144,0x540e0299db8b33ec1bde2c466bcc6466c8c62acf,2017-10-22T19:27:03.000Z,0.0048,0xddc716609b550dc3022a7c608fb78a1f6ac9805c,buy,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xfec97ceebca2668ca914dabb24855f9ea9065b47485ab0032eaccc7e457167f6
26,25,0.0075,0x291110e10e002a02e11d3d2dee41bb320a6cdc2b,2017-10-22T11:22:41.000Z,0.0003,0x4d517d272ce8d879d8891518e70153b49d2cdb96,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x3d6782534eb71b6d4af0f621f93974e08f90587f2da19687bfe35d564487b047
27,43.15793123,0.2006843802195,0xce385eb7ec5eb29302050828f69fcff5e0a88d14,2017-10-22T11:22:04.000Z,0.00465,0x4d517d272ce8d879d8891518e70153b49d2cdb96,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0xc182b911e6ce7da257c1275d33fd9a8dcc0761f83508599214d0409ea236eb9a
28,400,1.84,0x34b62809df67ca50355e34c62035f0f349e001c7,2017-10-22T11:07:05.000Z,0.0046,0x4d517d272ce8d879d8891518e70153b49d2cdb96,sell,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0x7eb7158c8dd08c73a193747b7aea56cf2f3af08bd03b2ccbc32f5e316b107013
