,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,105,0.15225,0xda335761adceaa57fe02367340c2e33ba185175e,2017-11-01T19:41:31.000Z,0.00145,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0x40395044ac3c0c57051906da938b54bd6557f212,0xd6378a86c8438ad641a03642f62f2a667023335573069e4511d3bc57e644e2f8
1,269,0.28514,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-11-01T06:37:53.000Z,0.00106,0x3efd9b0bd8e4595bc494539aca584821950106ee,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x75cbb9a23ad316d4f60df40f691b7e687c7d5986958e763c7524ad29bfd1549c
2,243.47257246,0.2605156525322,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-11-01T04:52:45.000Z,0.00107,0x6c723da0e2243be0d60a23801c00039b98ce35d6,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x9912a8bc5193e436faa2d5a857922221633679fa7badf4300b381ca0330eb211
3,419.61918054,0.4489925231778,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-11-01T04:41:41.000Z,0.00107,0x1422f4dbb503e88c2507e26691ea9e38fb7e2eaa,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x8bc6a21098f39624885984931548870de4fb68505e6483cdd03ddb2930efe0c0
4,61.8272302,0.066155136314,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-11-01T03:58:58.000Z,0.00107,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0xa5ca0bd2067ee7e0167d5ec96f2d8c94d5d59f4469916ad6ac46a1d94de0a63f
5,84.82205163,0.0899113747278,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-10-31T22:14:46.000Z,0.00106,0x87d3da5a29e4f9813faa09a4a720b1c1610eafd8,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0xe19afb5652e7dcf7b756640e81330bbebd2ccc12efe4882751c7168ac744dec8
6,1650,0.24915,0xd815bbdb973fcfae73f27ddc9a135e377028c1c5,2017-10-31T20:18:30.000Z,0.000151,0xfa740b9d9c10b556977f180938f6fb26538695b6,buy,0x40395044ac3c0c57051906da938b54bd6557f212,0xe7c91af3fd52f6ee97ef7caed3c52a42162a2b459ebbff6d14ec199f054a495f
7,1645.06480558,1.7437686939148,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-10-31T20:18:30.000Z,0.00106,0xd815bbdb973fcfae73f27ddc9a135e377028c1c5,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0xe7c91af3fd52f6ee97ef7caed3c52a42162a2b459ebbff6d14ec199f054a495f
8,62.00777589,0.0561176572582089,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-10-31T19:00:02.000Z,0.00090501,0xc7228e4792323f13cc5e6894fd432e34d4712207,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x1ac2ebcea0cdcda91ed5dff2ca403a6b42df192a60cf757c895ece0983bb2383
9,100,0.104,0x6dbdcc79a940cb8912e60db0fa7e3aa9b22c29b8,2017-10-31T18:59:08.000Z,0.00104,0xc7228e4792323f13cc5e6894fd432e34d4712207,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x0ad70ea68b20cac46acae0f7fea55ff58ed46454d1f7ae84f9fa7ff80d8a2613
10,9.89,0.0119679879,0xeba9184e53134a3031839c34e53889a4b26e0ec3,2017-10-31T03:11:15.000Z,0.00121011,0x2d534326fc874454b4c218c78777656a2e8fd84b,buy,0x40395044ac3c0c57051906da938b54bd6557f212,0xfb666c788e7bb91efdb434c01f6bb0f4d315bf60b258d4bfb739aa4b42dd0108
11,513.2926131,0.621140524038441,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-10-31T01:36:04.000Z,0.00121011,0xe2eabfc1e89a462bbd2ba188cd8a9591a9a0d04e,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0xbc0d724600dd69056191c0bbd099f7bda4ad5a1ec50d3a7e0d039d91693e012b
12,158.1796431,0.191414767911741,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-10-31T01:06:48.000Z,0.00121011,0x30c0d86b4256e9f4be9fe6278fd67e57dc68ba57,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x74c3f60f0b023236771303095717fa900c27e6912eab82972054878355a08c84
13,0.01,0.0000121011,0x0c4085d8e714ca77ac5f46cd2b80a92d238a7cd3,2017-10-31T01:06:04.000Z,0.00121011,0x2d534326fc874454b4c218c78777656a2e8fd84b,buy,0x40395044ac3c0c57051906da938b54bd6557f212,0x8bae3103f1fc5d22f1deebe24795551c4f0c36bf8988e4807acb6e6bd28530e6
14,1550.24971621,1.8759726840828832,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-10-30T17:40:35.000Z,0.00121011,0xf142f26d1cac4ba8a6e6d7974d243eda2fe5f4f9,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0xb367fe584a4ca0923b89a210ebb429b7836edfebc817fefa598fa42f4b1a2ce0
15,744.3814176,0.900783397251936,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-10-30T17:39:37.000Z,0.00121011,0x6c723da0e2243be0d60a23801c00039b98ce35d6,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x1a12454c51d499bada72d83a038bb5fe4fa7bc6a1fad0a7241842e88ad4616a8
16,0.1,0.000121011,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-30T13:05:50.000Z,0.00121011,0x2d534326fc874454b4c218c78777656a2e8fd84b,buy,0x40395044ac3c0c57051906da938b54bd6557f212,0x39d4441feebc005cb43d7e29ee845597969e5b0ce71e15c6524e83417ef5e74d
17,339.92898207,0.4113514604927277,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-10-30T04:15:06.000Z,0.00121011,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x2545ef6d7f620a997f8672a55c2bef7d96e99b63ffbc3665170d87c3864d172d
18,0.311,0.00037634421,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-10-30T02:45:54.000Z,0.00121011,0x16e5d97bbc92417e051e3b2cabfbf8ceea2acb9c,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0xbc5a619268a9df224f33e66a98017dd72701d3b2cb412331300e162f3b95af29
19,0.311,0.00037634421,0xfa740b9d9c10b556977f180938f6fb26538695b6,2017-10-30T02:44:22.000Z,0.00121011,0x379374d13077e8867ef31803c37baf9785a17c00,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x36de5d8381d0695acba687f15a5eff66f99c186978af283447c2e7086e861ea3
20,0.10950806,0.0001226512173612,0x0ce4b16411b408bc9f06d456175db3cc79b25299,2017-10-29T00:15:59.000Z,0.00112002,0xe97a3b785a8af6fd381e0e706a88abb3f43b3806,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x6e0180124379333651dbd457cf7b51f787570aced091270c9b3b713ad91e35c2
21,1098.47537343,1.2303143877490685,0x0ce4b16411b408bc9f06d456175db3cc79b25299,2017-10-29T00:15:01.000Z,0.00112002,0xe97a3b785a8af6fd381e0e706a88abb3f43b3806,sell,0x40395044ac3c0c57051906da938b54bd6557f212,0x988da5b625285a3c27f70a84d00172520b39f6964072762c612aa7b4d6a7e2e2
22,0.29761904,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:45:56.000Z,0.001680000043008001,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0x40395044ac3c0c57051906da938b54bd6557f212,0x787d390a5ee161e2509757df0b779beeb484f9a3e076626022bb84c81c1fc358
