,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,12,0.048,0xd7ef458dc7956473bf880951a229c9fc2245d16d,2017-11-02T11:15:01.000Z,0.004,0x060b27e923ff489dcddbf40d1bcd881f11748412,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0xdadd8ec90dd377f4d99721f44e2cf48738942da06613cead200011e5f5249a40
1,4,0.016,0x13b4ea273ae16f72e9aef4a49bbfc3152fc70229,2017-11-02T11:13:46.000Z,0.004,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0xee2c208a503e63c8f7268de3d6a92337ca9b1a4a5806f1f1c29c0165ef1a6dc7
2,2,0.008,0x6f6281dff00d95156c05480bd7f33b016ccafc1a,2017-11-02T11:13:46.000Z,0.004,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x476e14be9645120590d1fd33416b1160e9a242449e854c2a7308b5b368b48fc1
3,2,0.008,0x3facfc009105ecdb210ed3d083f8a587e0566a94,2017-11-02T11:13:46.000Z,0.004,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0xe6513ac3a12d081f9e2f93a9148b3ae5bcd93193803b091d581d399f700f28c3
4,50,0.2,0x0bebabf372894666056abe1d1b4e4faf479d239d,2017-11-02T11:13:16.000Z,0.004,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x7abef1688a00f77452444434cccd38f1bf14603b0ca798dd3146ce5cc6dec5f8
5,72,0.288,0x21d3fa10340fd057a6c02bc0b031b38a6496a398,2017-11-02T11:13:16.000Z,0.004,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x1ce80e2db7d16731c28d349590cb4866ad93c4b69e3b2d294327543a6026137e
6,500,2,0x70ee09bb7adb33ad996d75917c1f7dff8bd149ef,2017-11-02T11:13:16.000Z,0.004,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0xbd3d941ee4390e7fd818c6ca00b17c4b620cf14c65e7457de5a9a6f9549fb213
7,125,0.5,0x6cf51b7d6b2977714b633e27fcce6c573db1a047,2017-11-02T11:11:37.000Z,0.004,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x82f6972cb4bcb06801c599e989260f25bfa5a5019c716339fcf3c70cad705985
8,75,0.3,0xa979cbb36d7e9c8c52c8e4d9a2bc1e01209851e9,2017-11-02T11:11:37.000Z,0.004,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x65bbda291d72fd6790aa2725e1f201197652e45e2a93a832eef97023e9c89efd
9,73,0.292,0x38e7b3e261f1002d32d6c4e2ed8f84e3b0a7953b,2017-11-02T11:10:34.000Z,0.004,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x4b45d94ca0f5baff120f4c1ff49e606736fcb281bc47b852a664b4e1be51c795
10,130,0.52,0x7d77f07a0ecfde4de6cdf8f9f446cd31591e486f,2017-11-02T11:10:26.000Z,0.004,0x39fdaca82c17d258a6b2057d98c66f83ab7511d6,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x1ac75d6c00e583cbdb7825d607e87f7eaee1e087d49ae5e5eecdfa8ffd416bc2
11,856,3.424,0x21d3fa10340fd057a6c02bc0b031b38a6496a398,2017-11-02T11:10:26.000Z,0.004,0x39fdaca82c17d258a6b2057d98c66f83ab7511d6,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x928e08de9097d234d6c7ffe5ddf7ccebd3fdc16d72fe053c4028805a8b236a13
12,9,0.0360018,0x5a86ebf9a0e6f8181ed5143557f7b8ba89957fcc,2017-11-02T11:08:59.000Z,0.0040002,0x167cce94a2e20c5bcfd6bd04586e8368b0a4ef94,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x59630ea8e61bea893a03e56ac4c065adbd56a4c22660d7c818ee9978d418658a
13,927,3.708,0x38e7b3e261f1002d32d6c4e2ed8f84e3b0a7953b,2017-11-02T11:08:15.000Z,0.004,0x5112e5d2af3e3ea50cba48a900eaf0db7281936d,sell,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x9d6cc7d06be1099e27fba5a2fdf60328535468a8db3a930a6841b6052467743f
