,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,9975.22301,1.7843678920288,0x016ab691721a99da1c1489ca0ac8b549eb0f7713,2017-11-02T11:36:24.000Z,0.00017888,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x8cb551692fb72dcb5765de6259b8d6a8daabffc347663ed3541368a270702e39
1,3000,0.537,0xfcbd4e101074615d6db43f94eef63ec9306feabc,2017-11-02T11:36:24.000Z,0.000179,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x470881a764526aec4efa524b956e0f6cdfc826b1a706365e6b1a4ea8c55f145e
2,24.77699,0.0044321079712,0x016ab691721a99da1c1489ca0ac8b549eb0f7713,2017-11-02T11:34:29.000Z,0.00017888,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x1f62230ad161b59cab1d21f2ee5d48b731fef19b78a5575ac4e85f235a397521
3,20000,3.6,0xb75cdf900688e5ca2922bbbdbdab106039a5120b,2017-11-02T11:33:16.000Z,0.00018,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x6cb9ac6cd293ddad39bc993f4a542bffa3ad21a8f5a670826d20c840f3dbbc92
4,20000,3.6,0xb75cdf900688e5ca2922bbbdbdab106039a5120b,2017-11-02T11:13:46.000Z,0.00018,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0xd696bde98fe9daf916f23ef1f9cb0ebf91bd9bceca9727bb510f29d4ba25f8fb
5,20000,3.6,0xb75cdf900688e5ca2922bbbdbdab106039a5120b,2017-11-02T11:00:16.000Z,0.00018,0xe5830fc331aa8eb94b6a6daba5ae0ad028e5e222,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0xb6610024e9fa53cddbd042b6edcd72e39894ce77a97ddf9bb6e6d2cd64b17c92
6,15000,2.7,0xb75cdf900688e5ca2922bbbdbdab106039a5120b,2017-11-02T10:57:12.000Z,0.00018,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x2fb61b90fdadd4d3992b47d977f3bae887e8c9847ceb2e21d5d43345dc921453
7,14900,2.682149,0xe5830fc331aa8eb94b6a6daba5ae0ad028e5e222,2017-11-02T10:56:02.000Z,0.00018001,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x387225549be3b56508046fb2480cef0e3d182d015ab19a91810ac203d6711573
8,82345,14.823005795,0x5f8fe09e6f195b99b84274f00f898570d8814655,2017-11-02T10:52:51.000Z,0.000180011,0x7ef2762754f2aba06f349be39b0c5607e990b881,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x8914bbc1a0575271479763b72556985cfda8f13ab57d2ed77c5ab2bf6edea9d2
9,600,0.108066,0x18e96886612735f0d509d139f304f108f79bc18c,2017-11-02T10:52:25.000Z,0.00018011,0x7ef2762754f2aba06f349be39b0c5607e990b881,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x736718f6f66c51957c344422f9a9413220c5ffb0533e3ee0f70a2cce77a69493
10,16394.26079,2.952606368279,0x09e396aca9535fffc68c72f880ab36e252b73a43,2017-11-02T10:52:25.000Z,0.0001801,0x7ef2762754f2aba06f349be39b0c5607e990b881,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x42c8722596b0b91cec09ec8e21d105257978a8ef3f1168d64a65b7028ad98c9f
11,5000,0.900625,0x9fb470ae1278be58fe7511f465812d44696f98f1,2017-11-02T10:52:25.000Z,0.000180125,0x7ef2762754f2aba06f349be39b0c5607e990b881,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0xd683f590e162407c136b0325c70bad7f40a8409964c5ff4d85b09a09c23b4c57
12,613,0.110953,0xfcbd4e101074615d6db43f94eef63ec9306feabc,2017-11-02T10:52:25.000Z,0.000181,0x7ef2762754f2aba06f349be39b0c5607e990b881,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x7f89d6e6acc988af996783c67062f4c32f6610b7755f2830368375c324b5c515
13,120,0.02184,0xe867702118fc556ff61c52995d0986a3a8848536,2017-11-02T10:50:04.000Z,0.000182,0x7ef2762754f2aba06f349be39b0c5607e990b881,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0xfafa47c51212c5fa825d2156254eb2cd8df3ecc6eb13cffdec8890d5e10b64a4
14,5000,0.90905,0x8ab86180c3ff4be695774fd16b54bb94844ddddc,2017-11-02T10:50:04.000Z,0.00018181,0x7ef2762754f2aba06f349be39b0c5607e990b881,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0xa6c3cec67eb714760dd7ed58092f3555cb298e29084ed887144d085f170ee709
15,1200,0.21876,0x9ba6f2851c8afe6be654fbd4c3dc7e9e64cffe53,2017-11-02T10:49:52.000Z,0.0001823,0x7ef2762754f2aba06f349be39b0c5607e990b881,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0xd8ada7289043e7ebba063c3c0b5858eda2a801a6b82fba76e7cae9fb403f2b67
16,1200,0.2208,0x9ba6f2851c8afe6be654fbd4c3dc7e9e64cffe53,2017-11-02T10:49:09.000Z,0.000184,0x7ef2762754f2aba06f349be39b0c5607e990b881,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0xbb406cecdb38855a9e7c6403e043b57ee9e183fa631581571bfe8ab2d029fceb
17,20000,3.6402,0xe5830fc331aa8eb94b6a6daba5ae0ad028e5e222,2017-11-02T10:18:12.000Z,0.00018201,0x5cbcc2ac4d6ae4c08533dbd7f738c72d40200eaa,sell,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0xd81cff1c5b7667e36c6fbdb1aa3098acd92351b8f8f72622d3648462fd9965fe
18,0.47554,0.000098437966016917,0x5cbcc2ac4d6ae4c08533dbd7f738c72d40200eaa,2017-11-02T09:50:26.000Z,0.0002070024940423876,0x7ef2762754f2aba06f349be39b0c5607e990b881,buy,0xaf4dce16da2877f8c9e00544c93b62ac40631f16,0x510a20a2ee47cfc9b8820cd33c108aff361219ea11860f6ccbe228518b2e3775
