,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,71.96260458,1.295326882571853,0xeaed7361ca718a28300d9000cbe491e1f70208c9,2017-11-02T15:15:48.000Z,0.018000000001832245,0x31b537ff3d6916e714711ea556239bc5002d1115,buy,0xf433089366899d83a9f26a773d59ec7ecf30355e,0xe0742434e9e1b4fcbc9c47f978033018d31ee2c074a16ff89928a4b7dff96a13
1,2.42483985,0.043647117428147,0xfc2acd6ac8560d587a32b6261909fcde979bd3ee,2017-11-02T13:54:51.000Z,0.018000000052847614,0x31b537ff3d6916e714711ea556239bc5002d1115,buy,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x36fb3b8a8b6ddaedd30066e1e2cd65f364a9db17f85541452b051f8d8982293c
2,0.02777777,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T13:07:57.000Z,0.01800000504000141,0x31b537ff3d6916e714711ea556239bc5002d1115,buy,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x75b6f57d24dab0f70cabc20a32f9362efc2c30bcf74b999f173739ed6a2a42a6
3,0.02777777,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T12:43:04.000Z,0.01800000504000141,0x31b537ff3d6916e714711ea556239bc5002d1115,buy,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x10d6dc82bf1eb1e67887fdb9a44282d09c7637ceb3ef8b972bde187a33172b23
4,0.1,0.0018,0x75c4ee57efc9aa3d939fd41f7c3ad59c649ec9f7,2017-11-02T10:19:36.000Z,0.018,0x31b537ff3d6916e714711ea556239bc5002d1115,buy,0xf433089366899d83a9f26a773d59ec7ecf30355e,0xd3e9ae4a01bc39f3af0b70560b61ddf6ef21368ebad5594b8757e3f3ad6e741e
5,1.56514804,0.02768512110554,0x49fda303070ca1cc762161d2d057f112b83b35a4,2017-11-02T09:53:21.000Z,0.0176885,0xdd94736409e42ae626f22296349182378dd53b0a,sell,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x958647f65ff943ae8a6cb98818bdabda2bc7a078bf74c5ad5bbe508349e3f2b2
6,35.19090818,0.62247437934193,0x49fda303070ca1cc762161d2d057f112b83b35a4,2017-11-02T04:08:59.000Z,0.0176885,0xaf51d2fae4909543d54d02550bc7c861789d9f0c,sell,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x8f284b7210053f0198cfbd1c382164e97e04259b1ae090077ee9d46055734226
7,5,0.1,0x49ef69ad25f2f37761fd336a6024360e243614f3,2017-11-01T21:18:22.000Z,0.02,0x65ca6f5c8bcee95ada1eecbe4be45c352b4b2ad8,buy,0xf433089366899d83a9f26a773d59ec7ecf30355e,0xe3a6917b4b1fe49fb0d4f6ee95e10b48558ae609d9b0221b2bdd3cbb551b032d
8,20,0.4011202,0x4bfa5fdd96496a949f8ad8ca7c59fceec8d7e3d6,2017-11-01T16:17:08.000Z,0.02005601,0xa3b2ceb252ec28d6bb74c78831ebfa56829ff4ed,sell,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x0cc92be842fbbd1f5425b7186696de7f67472d63d06f81e69423e89c6fe78baa
9,21.872,0.4496905072,0x4bfa5fdd96496a949f8ad8ca7c59fceec8d7e3d6,2017-11-01T16:15:33.000Z,0.0205601,0xa3b2ceb252ec28d6bb74c78831ebfa56829ff4ed,sell,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x5b57e4e8907a1a41142af118ca34bcc60a7ee9134522e6ae13301d89eb565dcd
10,70.57122918,1.450951529063718,0x4bfa5fdd96496a949f8ad8ca7c59fceec8d7e3d6,2017-11-01T16:04:10.000Z,0.0205601,0xa3b2ceb252ec28d6bb74c78831ebfa56829ff4ed,sell,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x594bb1cb4d5d443f4394120da439c091bc36e77fa75775ecaba4d3f1b37f0de7
11,90.45064668,1.859674340805468,0x4bfa5fdd96496a949f8ad8ca7c59fceec8d7e3d6,2017-11-01T14:32:28.000Z,0.0205601,0x8347b459b281c76c95337a628a8523348ddbdef5,sell,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x6403fb5da153e9bbc61362aa4b4828efed8eee160ba3e79c7c8dea9efacfffa3
