,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,5000,1,0x3d3657363f6141e5294fe183a43e2f983ec73ee9,2017-11-02T15:25:22.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xa97cda6d7d59f985eadd3838f080a91d9073ba2af0bec0d46c5589a45dfb6844
1,5000,1,0xc105951a31bbf0ea125d757a912da0c8ed9c404c,2017-11-02T12:41:23.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x0ba6ad21df66eed79a965e89bf0d20c25d690922678b58e0135e2af540f4b8ec
2,1004.3864021533246,0.20087728043066494,0xbe189c481cf61b61f3adb957e2a9c5a97cbf3f6e,2017-11-02T08:19:20.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x9c4aa4f16585c1e7bea84a3c804442ccc3f533e778effac67f3751dec0f4baa1
3,5020,1.004,0xd1ea3bf69911eadb47e469ebfb40670bd0e5868b,2017-11-02T03:14:50.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xfca9f3b8901323819741df90aafc5343244ec7105c1e350b094fae7e8c0d5dbe
4,4992.902085036387,0.9985804170072774,0xd1ea3bf69911eadb47e469ebfb40670bd0e5868b,2017-11-02T02:29:30.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xdd87cdc3d035852b111d1d12d5e32e6f993390e1ddb24d2981dc335aebf932c9
5,309.9550715327766,0.06199101430655533,0xbf916edbab704d9810a206afc2b71fba2503415f,2017-11-02T01:56:05.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xc81424716e95caef73b61d042683401d77b8d1f0a05e03bae45ec5a047794d58
6,10000,2,0x25cb0ecbc7f8b7844531df9d137dcb594080a311,2017-11-01T09:31:21.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x96411b97523248dbc1a1951646569328fa11ebea90d40d1fa0dcfc352cf8ce49
7,500,0.1,0x69bc96509a19ce70f5ddbbe2cdc736ca1fd615ee,2017-11-01T00:54:44.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x8635c6d60865b9be265915727b148c485853931e70bd492c4a839d1b06bce763
8,100000,20,0x464d876a94de8cbc957a81b15a5da34f2b66107a,2017-10-31T15:37:46.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,sell,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x901587b89fedd5e964a0be9dd7b7b2284fb92d3774d4dc80e44c0e13dd45a81c
9,5000,1,0x4be2166a8dbe25e79a9b30b4ce26858e10d21e92,2017-10-31T14:51:44.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x75834040d9a663f7a698771640fef0100eca710a13697f02a35f0282c8d680bb
10,10000,2,0x25cb0ecbc7f8b7844531df9d137dcb594080a311,2017-10-31T14:49:34.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x69883719dad10747a60ead38c95f5e028d975c34d2a938702c0cf9f41c2a0581
11,22971.75606438191,4.594351212876382,0xf3d92557bdf92cff0b0b214476122ae9de2bcfaf,2017-10-31T07:32:51.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xab413ad338c7e3b9672169cbedbe994158013a30b33fa6f91451a7e7a6c90076
12,5000,1,0x25cb0ecbc7f8b7844531df9d137dcb594080a311,2017-10-31T06:30:09.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x27a333daf47a1b0bfe642e5dba6dfdfbe23271006a91b33d75b12623da14e90d
13,2.4925224327018,0.000486041874376851,0x36ca71653096170cf3f79497db15e7a82feb8798,2017-10-31T05:06:25.000Z,0.000195,0xe444a40689f51f63bcd29910622035707d533d29,sell,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x30dc30e19ed422d3e23f2df78e370ef0de7ec5ccde8b9a63e32eaecb8dbff8f0
14,4984.547901505333,0.9969095803010667,0xcbb119f802400f5d0fd7cebedd9a003dabb98568,2017-10-31T01:26:52.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xe3c523bd7875152622606c1cb9b3b330f900308673d7e91372497eeb11525c29
15,2500,0.5,0x25cb0ecbc7f8b7844531df9d137dcb594080a311,2017-10-30T20:34:55.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xc22dffc61e92ca682c8ac7ce1b7145cc02912be7c0d9061bed3b2962fe9f88b9
16,0.000000001340125,0.000000000000268025,0x00b812869c75bcaf129c51cb06f342f4668c468d,2017-10-30T15:25:57.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x29fecfe2ccf89c70180d921c9cec545ecd16c1346eb4084793d813ba51e9d136
17,0.000013442739885,0.000000002688547977,0x00b812869c75bcaf129c51cb06f342f4668c468d,2017-10-30T15:25:12.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x64c80e5df7fc00ce50fcdf6c64f2ebec4fd38d01b9e3d2a3a8afab6a20721765
18,0.13484412372985,0.00002696882474597,0x00b812869c75bcaf129c51cb06f342f4668c468d,2017-10-30T15:24:30.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xa9026e7d0bd3bdac46e26d5dca5a330059c68726ee679bc8ca2e9b5de0423268
19,1352.6214051340862,0.27052428102681725,0x00b812869c75bcaf129c51cb06f342f4668c468d,2017-10-30T15:23:31.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x0c8695c73a0ccca65e80a88eb78f3b25632054f62b3f68be5d373a94404d513e
20,5000,1,0x25cb0ecbc7f8b7844531df9d137dcb594080a311,2017-10-30T06:09:51.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xf2d4cdde6ba0a278607cb83161d14b8c3e53752a0cd9ed60f290ad103f012191
21,273,0.0546,0x00b812869c75bcaf129c51cb06f342f4668c468d,2017-10-30T05:55:57.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0x65bbc87190930b529f3d025304f774126959658cb233e207143d98c12f503201
22,274,0.0548,0x00b812869c75bcaf129c51cb06f342f4668c468d,2017-10-30T05:54:55.000Z,0.0002,0xe7f6019bc38ebc35c856e4c064c8f473311aa50d,buy,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xedba4319dda433e88e871f9e3ed92f3f2062fd2278f3f77bc23994a820817a0f
