,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,490,1.078,0xb5d0ae8422683dfb53a76a97238365a30e0e82c8,2017-11-01T23:24:34.000Z,0.0022,0xe988a629f4f07ac68f2862f6f3787ae83e83917d,sell,0xa645264c5603e96c3b0b078cdab68733794b0a71,0x5869c028230ed8784152bfd5b6f77312c654897266988d38eaf7868c501ae2a3
1,268.9827877,0.61866041171,0xb5d0ae8422683dfb53a76a97238365a30e0e82c8,2017-11-01T13:16:05.000Z,0.0023,0x6c723da0e2243be0d60a23801c00039b98ce35d6,sell,0xa645264c5603e96c3b0b078cdab68733794b0a71,0xaa7005fc97ca973de0a9a576eff6b4aeb74cc3e27bfb446c5f147fc5fdf14cb0
2,496.34333565,1.19122400556,0xb5d0ae8422683dfb53a76a97238365a30e0e82c8,2017-11-01T09:21:02.000Z,0.0024,0x6c723da0e2243be0d60a23801c00039b98ce35d6,sell,0xa645264c5603e96c3b0b078cdab68733794b0a71,0x479bb0187ae9ab0fec6b8008b8b406847d9bdbb1f2d9fffd7a15ba804569c4bd
3,25,0.07175,0xc7779b91676a70c3628a0fe6dc0f5d36789f7e26,2017-11-01T07:48:19.000Z,0.00287,0x48eaedfa6ab55f414a433f0778f55ed9b827e822,buy,0xa645264c5603e96c3b0b078cdab68733794b0a71,0xc03a5e095234ebe9bd1e4d5e74cfc4004dbcd0374437a6d7681e11c36ee904f6
4,65.022,0.18661314,0x6cd8a4b2f504fc7d98a583e9d40d29ebd20848bd,2017-11-01T01:25:09.000Z,0.00287,0x48eaedfa6ab55f414a433f0778f55ed9b827e822,buy,0xa645264c5603e96c3b0b078cdab68733794b0a71,0x0033efeff5196d74ce17f9e0d20594e5c6465f460d8e06684f3928814d824ee5
5,255,0.688245,0x6cd8a4b2f504fc7d98a583e9d40d29ebd20848bd,2017-11-01T01:23:07.000Z,0.002699,0xb7ddaba243659e42d2813fcb9f30aca983478b5c,buy,0xa645264c5603e96c3b0b078cdab68733794b0a71,0x2b9815c7694d0e4554588dc8e9bd60f9f8c61c8008c4d0e46f6b1ca4b1624cf2
6,119.978,0.3118094804464,0x6cd8a4b2f504fc7d98a583e9d40d29ebd20848bd,2017-11-01T01:18:08.000Z,0.0025988888,0x953d1111662196af36e9d387c0f909e14111fa76,buy,0xa645264c5603e96c3b0b078cdab68733794b0a71,0xba50f95d8b9cfc5d5152a94126c22d66f1dbbf4f6dc7d7341d626c360ce6a91b
7,80,0.207911104,0x3f5a86104d20e0079c8758b805c84274f6f9a199,2017-10-31T20:17:00.000Z,0.0025988888,0x953d1111662196af36e9d387c0f909e14111fa76,buy,0xa645264c5603e96c3b0b078cdab68733794b0a71,0x793743378f0cbfa2faf09bf813fddc0351206c2b9f3c22cbf755f932743cd5fa
8,99.69095803,0.229289203469,0xb5d0ae8422683dfb53a76a97238365a30e0e82c8,2017-10-31T16:52:38.000Z,0.0023,0x26a7f4ab31d95cb549daaf4c0335bd7204581f05,sell,0xa645264c5603e96c3b0b078cdab68733794b0a71,0xfdb61b86dd084aa0e93f42837ac261c0521fa428563d9e3e381f8a6461b541c9
9,56.0090655,0.12882085065,0xb5d0ae8422683dfb53a76a97238365a30e0e82c8,2017-10-31T16:07:44.000Z,0.0023,0xf142f26d1cac4ba8a6e6d7974d243eda2fe5f4f9,sell,0xa645264c5603e96c3b0b078cdab68733794b0a71,0x7cd227acfe1fe08c6b38cdb455be275d70158b0c7e54b1517005debca670ffee
