,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.06494349,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T13:21:06.000Z,0.007699001085405173,0xbc0945c667fadc26b9bf39e586b15eeb901e7d1c,buy,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x0e65d31c383981f3242dc46da6f1eb8ced46bab0d1dc1ce3b2c7f84164541a3b
1,1.5,0.00795,0x542f9a56345aef94a0658b2d235fbc737c944622,2017-11-02T13:04:00.000Z,0.0053,0x15b5e76375f0e2dd977af11a6371a7e85afd1ea3,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x176b5db8020fdf00881d8761f57ae859b2326a5c2b80e1622f83880ca2654d2f
2,2,0.012,0x542f9a56345aef94a0658b2d235fbc737c944622,2017-11-02T13:03:43.000Z,0.006,0x15b5e76375f0e2dd977af11a6371a7e85afd1ea3,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0xe95282b6062fcd3d0f74cd295c6ccf469ce08f3c3bbad5ca3793dbe4f90daa4d
3,0.06494349,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T12:48:16.000Z,0.007699001085405173,0xbc0945c667fadc26b9bf39e586b15eeb901e7d1c,buy,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0xffabf52ac9f73a4ae67fe5e05ba6b3b891fee6f471f98dd8f8565555d40de2b0
4,11.22051783,0.0678715658915304,0xbc0945c667fadc26b9bf39e586b15eeb901e7d1c,2017-11-01T22:56:05.000Z,0.00604888,0x2b0416e24e78caf64c7d67c2a5e38388a8a69bce,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x47f6b3b7389221473a5d7f77c457131e6773968cdea2ce425de759419312de9d
5,8.9,0.053835032,0xbc0945c667fadc26b9bf39e586b15eeb901e7d1c,2017-11-01T22:54:32.000Z,0.00604888,0x175375ec16f68e3b324896fb0e97878a7a16f221,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x77cb7fd7a622f5663e60754aab7715a7b02af3df259bbd00d813968bf9409e73
6,0.99997,0.006299811,0x542f9a56345aef94a0658b2d235fbc737c944622,2017-11-01T22:43:39.000Z,0.0063,0x175375ec16f68e3b324896fb0e97878a7a16f221,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x40dcbc18e334995b9a0116b9b7dfb8aff4daec707705ba633af32fbdea8029b2
7,0.00003,0.000000189,0x542f9a56345aef94a0658b2d235fbc737c944622,2017-11-01T22:33:42.000Z,0.0063,0x175375ec16f68e3b324896fb0e97878a7a16f221,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x0e0aac742c0fd691dd1f8551fb95f50cb8bd4e9ac2c07ffa10914302cb8eb722
8,19,0.11492872,0xbc0945c667fadc26b9bf39e586b15eeb901e7d1c,2017-11-01T16:14:57.000Z,0.00604888,0x2b0416e24e78caf64c7d67c2a5e38388a8a69bce,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x3f9dc81f2b6372e2540d7cd9738ce9e7898e49e13917267cf557ccca7eb23d4b
9,200.37883748,1.2120675424560223,0xbc0945c667fadc26b9bf39e586b15eeb901e7d1c,2017-11-01T06:13:28.000Z,0.00604888,0x24d528b8530db22c0949f28fbbbd3c1cce771633,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0xf51c79db5019dec71cbfa9c2798d34ea673c7ce04e8976dfa573e2c0ee6287de
10,40,0.308,0xd5f6f23b67831e2b81d37c2a15781403eae63a3f,2017-10-31T21:02:56.000Z,0.0077,0xd0f7a0950e32838c3050052bbc2fcd0186e3abdf,buy,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0xb3be013f5cb1f64ad30bfe825ac0bb05088737a60c81b2d3c3af1ebb2a950053
11,53.17416009,0.3216441134851992,0xbc0945c667fadc26b9bf39e586b15eeb901e7d1c,2017-10-31T18:32:41.000Z,0.00604888,0xbc18642c7e0647d6e65b53cadefb4367d8f85a97,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x55812db614df52e3a5a75ab4490576f47d6d526bd40923d4695743f27fc7191b
12,0.1,0.0008,0x0b773d7819259d78757b26dc4148812d35676d8f,2017-10-31T13:52:40.000Z,0.008,0x527e6009e17c7e85ca8c3912accd8f0e12b89e2b,buy,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x0c2ae7a76b51113e15f122785ca06dcd85b67977a9f80ea80ae6ba786e4ad753
13,0.02066858,0.000128145196,0x5744b2b124963c28bf830e859559120d81440674,2017-10-31T09:09:03.000Z,0.0062,0xcb57b71b80a8bc545562c556d0e8c3de35ec165a,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x0da9a0c036b9e342f41a0cea0fd5b612f9955d64dbd03df8c44507a8c59d90e8
14,207.3264846,1.254093026167248,0xbc0945c667fadc26b9bf39e586b15eeb901e7d1c,2017-10-31T09:06:49.000Z,0.00604888,0xcb57b71b80a8bc545562c556d0e8c3de35ec165a,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x905b96dc21c94764925c17b6f85c1fbb17ebbce7d33a7fe2f1d7850c1c701ce1
15,58.52190424,0.35944159436398426,0xdcb473fbd3c1f82901e636df558980cab22d2de8,2017-10-31T09:05:01.000Z,0.006142001,0xcb57b71b80a8bc545562c556d0e8c3de35ec165a,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x020872c3456f2729765e0d07dba9ae85229e93568ed72b28a7e8311309d217d5
16,13.19796417,0.08106190913010416,0xdcb473fbd3c1f82901e636df558980cab22d2de8,2017-10-31T07:38:10.000Z,0.006142001,0x612e9cd74668cf5eb3629238f025d3107ed01662,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x2ff60dd6766b4f7438d90f8adbf7c71c6a2c00300b1a2243faad3e8c1d4d5423
17,49,0.49,0x3a1a9f04cf23bba4f55c45888fd95d5e11b12d11,2017-10-31T03:38:22.000Z,0.01,0xd1871537e5bc1e3410c01a8600718e63ba305f63,buy,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x423d218cc1191061d5f65afbe652a0ed54a8d12a5deda1ccbd2d9e48bc4e350e
18,90.28013159,0.5545006585059116,0xdcb473fbd3c1f82901e636df558980cab22d2de8,2017-10-31T01:17:29.000Z,0.006142001,0xb2d3cfcd421f646c70d196d13668d2c6d0ad8a83,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x09f341ca50bb40af87da41b689440d92e6721fd70560aa9e463946910ae5a5e6
19,49,0.301938,0xd1c7652a39cbb7ab2e5750c5aa1d67496079edf6,2017-10-30T23:58:37.000Z,0.006162,0x722840e21328d0194554e112002d3bb100d16bde,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0xc3da5fc8e2276fbee2246ee5a8b5f2511b844d653a296375a250de1f0c976315
20,200,1.23222,0x24d528b8530db22c0949f28fbbbd3c1cce771633,2017-10-30T23:56:25.000Z,0.0061611,0x722840e21328d0194554e112002d3bb100d16bde,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x4703feae1ab70da83a4a3187145dbede78959577fd470a740c7a09989fc4aeff
21,1.81437543,0.01118381015052,0xd1c7652a39cbb7ab2e5750c5aa1d67496079edf6,2017-10-30T23:46:37.000Z,0.006164,0xc310112f6cab9dfc87ab87b91ddca667ca78bbe4,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x790225c1144674305c8e5dbbca1d01dd9a8090e24b7a760a78c466b6c8648eff
22,1,0.01,0xe19967938f6043873a05bc5633b4af183a1e7172,2017-10-30T05:21:34.000Z,0.01,0x8dbc04433b09e2b4e514f9fa531dde469f2c00bd,buy,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0x40c0a190876819d16281773407bc79a0d55d4a9651ba69d9ce573dae7a5b9c12
23,0.071,0.000437005,0x0ce4b16411b408bc9f06d456175db3cc79b25299,2017-10-30T02:49:09.000Z,0.006155,0x16e5d97bbc92417e051e3b2cabfbf8ceea2acb9c,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0xb6920e090e72085e4d6a7ed3dc4b2e9755fa8b3c513d331a74de4f6b8cf3440a
24,0.062,0.00038161,0x0ce4b16411b408bc9f06d456175db3cc79b25299,2017-10-30T02:47:06.000Z,0.006155,0x379374d13077e8867ef31803c37baf9785a17c00,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0xb61eb391446be48d27c2049782d6338a45b273a0e14e37be9ad556f4ef276982
25,13.18911374,0.080453593814,0xd1c7652a39cbb7ab2e5750c5aa1d67496079edf6,2017-10-29T10:18:28.000Z,0.0061,0xa3406b9ef2aab95b0f2431982fefdc0de4662313,sell,0x94298f1e0ab2dfad6eeffb1426846a3c29d98090,0xc08e5ca8fef068b54ad3dceb499aa93f3d12825463c680a172dae7adb4d191c0
