,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,14,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T13:31:54.000Z,0.00003571428571428571,0xb1dc1e7675ded0f5185f2e005287ca8d6cb03906,buy,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x3de45269be69339b2836cb0a9fa5daa4adaa09d688791e6d48efba96cd7aae12
1,14,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T12:58:14.000Z,0.00003571428571428571,0xb1dc1e7675ded0f5185f2e005287ca8d6cb03906,buy,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x02c355864b3ab698edbe91c91214558307c6206ab8ab8f7a8736fd1043e2c36e
2,11637,0.4247505,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,2017-11-01T17:52:56.000Z,0.0000365,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,buy,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x0b35bc4bcd0eb46335a26ce8acce65d89f11c5a8a9e7ddc3a95b1d6d37367054
3,697,0.018819,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,2017-11-01T13:45:20.000Z,0.000027,0x565d5b7cb0a551777228d8b16b36f81a708191a6,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x0b07106837c5bb0e0ca1911b6e08d31154f4b8b5c9df4dee33e3bd90028ba86e
4,2499,0.067473,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,2017-10-31T20:52:42.000Z,0.000027,0x0cee9942a8dc4aa6f594d680f6b9654f02ab62d1,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x94979588825d8cc4fcf514c38beb6f45731da8c5bbc905e436a72ccc6330027e
5,700,0.0189021,0xafb7144110020e048d3272efc7213e6543772bb5,2017-10-31T20:50:24.000Z,0.000027003,0x0cee9942a8dc4aa6f594d680f6b9654f02ab62d1,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x90d8c37987a97e744b94d861264ad658134fefa29d13e6dbdee84caa6da62731
6,30,0.00108,0x0b773d7819259d78757b26dc4148812d35676d8f,2017-10-31T13:46:50.000Z,0.000036,0xb1dc1e7675ded0f5185f2e005287ca8d6cb03906,buy,0x814964b1bceaf24e26296d031eadf134a2ca4105,0xf689cef5a4abd16229cbf826f8dbcdeebef4cc5bef182b4764b03148ee260dbd
7,0,0,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-10-31T08:06:09.000Z,NaN,0xe444a40689f51f63bcd29910622035707d533d29,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0xaf303c604d5faebd59ce591634eb12f86052d589a459161ccc5ab860bcd58e90
8,947,0.025569,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,2017-10-31T07:27:04.000Z,0.000027,0x67d6033631c85789d81da5c316e03c31bd4a682d,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x86e6b3c32eb769087eaa4cb95e7ab445a5e73ced1497611d3aadc592709e6974
9,0,0,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-10-31T05:07:56.000Z,NaN,0xe444a40689f51f63bcd29910622035707d533d29,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x1318214a5b078b9540f0ab6ad3f608a4f64269f94a0748b899f774c99c3228ac
10,510,0.01377,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,2017-10-31T04:33:52.000Z,0.000027,0x96e1e7ba823796772bbda5c2abe81c8556b5e937,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x122b9d6932b50d748d7848aae071cf41f7df8baa1400472dbcc4182bf3287478
11,12230,0.446395,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,2017-10-30T15:36:56.000Z,0.0000365,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,buy,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x501408bab678c3f803e844083106c6e8752b8df87a9638014cbb80b49e000824
12,350,0.00945,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,2017-10-30T07:30:35.000Z,0.000027,0xc51a422300dcb1d0b5ed539230e27dc082e7fe99,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0xe9617ca09df6906a985c822c09bbe1a8b78c75846760271e4baa07d7bc0b50b7
13,0,0,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-10-30T02:49:34.000Z,NaN,0x16e5d97bbc92417e051e3b2cabfbf8ceea2acb9c,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0xf6ab26a37272a9d3b2858629b16c072fdb3487007dea52f1b3e5ace3f41767ec
14,0,0,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,2017-10-30T02:48:23.000Z,NaN,0x379374d13077e8867ef31803c37baf9785a17c00,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x391fe64cf9b62a7aee3d755cdd7548ae67e956b3d1336f060c4a5d7e1ff7787c
15,1226,0.033103226,0x1a98b91d4bf41cb018af83349fb9b0409c4cad72,2017-10-29T19:36:20.000Z,0.000027001,0x7947c781725b5a8896ac21de852b02a9f6258858,sell,0x814964b1bceaf24e26296d031eadf134a2ca4105,0x98a54ea9c5e350742cc3faea8ef52033781972b87e60cc81cb15ac19df910b0d
16,17500,0.63875,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,2017-10-29T18:28:24.000Z,0.0000365,0x13e2c5f84bce6ff7b9068313b21729dc8fd55d5a,buy,0x814964b1bceaf24e26296d031eadf134a2ca4105,0xb690fdce00b271ae2e3f166115723b81d3fd77e9d798eb42bf932d6aac2a9a7a
17,13,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:49:29.000Z,0.00003846153846153846,0x2691481e28b6ff11569ad4e378fa8f27358ba82a,buy,0x814964b1bceaf24e26296d031eadf134a2ca4105,0xaae9eccd8dc1a054a90ac9bf1b8295f46b6fddf8a655840aa8b7dd64e61efb15
18,13,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:49:29.000Z,0.00003846153846153846,0x2691481e28b6ff11569ad4e378fa8f27358ba82a,buy,0x814964b1bceaf24e26296d031eadf134a2ca4105,0xaff07abd72fc4249cd02d78f5d4c0d62365fde1e6dbd8e84fab9c26ab0f9d51c
