,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,38.46153846,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T13:39:47.000Z,0.00001300000000052,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,buy,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0xc75edc92d94f112c8867d11025a0a46ec0f4d37576c7368696ef7ee349069b51
1,38.46153846,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T13:39:35.000Z,0.00001300000000052,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,buy,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0xc75edc92d94f112c8867d11025a0a46ec0f4d37576c7368696ef7ee349069b51
2,38.46153846,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T13:19:00.000Z,0.00001300000000052,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,buy,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0xaa1a8cab6415f0fe9f392096cb04c0e3baf61d7b660f2b9685300ae7660fcee4
3,0.001,0.002112,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,2017-11-02T11:41:35.000Z,2.112,0x4a0424a7714ff91b10c5f22e3c316e030a65ee42,buy,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0x8c3d1e6bc710a598ae83c53e894b8b0d2091a6f5a239a475ae19e5de69329718
4,1000,0.013,0x03586186d0f87d096a0807c6777cf3d395416915,2017-11-02T10:45:17.000Z,0.000013,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,buy,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0xe7e6262334fb5efc94ec048cbb9b113746eddd7dd034c37a9d8d10d006c02602
5,1150,0.014835,0x9e825cdf7cd4163beca2a82b84653b072887fb55,2017-11-02T07:07:15.000Z,0.0000129,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,buy,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0xa8c58c1feebe581eca2b0edd66ca1e2b4cbc06160cda782bc00bb06bf9937b1b
6,5274.1715154,0.063342799899954,0xd7c5686460b4e3ce47946f1bc1ccf491d3b120a7,2017-11-02T05:06:06.000Z,0.00001201,0x4a0424a7714ff91b10c5f22e3c316e030a65ee42,sell,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0x48008653dd45851d07ef1d526ecf39ad49167e69e07e9b6aa782f312531f449c
7,20000,0.240202,0x24418ab1b19550b380652432eac1ab37bf3d0fa9,2017-11-02T05:03:59.000Z,0.0000120101,0x4a0424a7714ff91b10c5f22e3c316e030a65ee42,sell,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0x50afcdcdefe2453af8214d45de86df14dc1ac68a5085dda24f69e7e3baeaf807
8,10000,0.13,0xd7c5686460b4e3ce47946f1bc1ccf491d3b120a7,2017-11-02T05:03:54.000Z,0.000013,0x5c4fa72c0199ca949e1abb046710ea46902f2ee3,sell,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0x236db3fb045759cfa39d6665220f61cadb9d097c5d29a4d7465458f34177cd04
9,29500,0.35695,0x254fb89e4cab71708eaab16e067ca8156a38e18a,2017-11-02T05:03:54.000Z,0.0000121,0x4a0424a7714ff91b10c5f22e3c316e030a65ee42,sell,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,0x9ef85c5ecb1532f556927835e3c6369d74eb811dfa8a46a551726efae89a296b
