,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,1,0.14999999999,0xca00b30899e98cea849b3a9eba36c3edb3ebd006,2017-11-02T07:33:55.000Z,0.14999999999,0xe3f43091daf1fb0b21240e689e590cdc2f8f5a71,buy,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x684f1f4b554c0933af92c32808cf71e595adce3f72b0df36c62388652b88101d
1,2.710896221712691,0.19789542418502643,0x29b8eca0a380c562a00b7e5d1fbc624e5be736a5,2017-11-02T00:50:12.000Z,0.073,0x1343ebb4d2abd16db3fc0d8eb7461532346d17c9,sell,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x55e5713314b49b442a09b15f009c724c2eeab10ba3c8d59e6fb594f13b5844f2
2,0.2891037782873093,0.021104575814973582,0x29b8eca0a380c562a00b7e5d1fbc624e5be736a5,2017-11-01T19:24:20.000Z,0.073,0x1eb8c785a8074f05b95c2383014a09f93819f503,sell,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x6fa4572a3c79897c9255c68e3b070e3bf52e4e002ac8dc26f8c0dd8357eb7814
3,1.01,0.08181101101,0xe3f43091daf1fb0b21240e689e590cdc2f8f5a71,2017-11-01T18:09:09.000Z,0.081001001,0x826886b490aa06b93900534851530c1f4a9f0a54,sell,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0xdc3e2b6dea012d1892acfe5ae06de3d00c39894e81672240d5d5ba966a4ea7f3
4,0.10966005383311733,0.00888257413019639,0xe3f43091daf1fb0b21240e689e590cdc2f8f5a71,2017-11-01T16:20:37.000Z,0.081001001,0x7963bb5c1b6cdbda1f6d40a7750f9f02c2e0207f,sell,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x802b0050c7f93cd6f031d33bfc56d5e7274ed736acc5fbd5fb397669aa9f9e4f
5,3.927,0.322014,0xd0f770146d6abf08f51600d5bc0b358030f43609,2017-11-01T12:27:13.000Z,0.082,0x36c8f7c03efa71767b30c25cd0441f8b300d5950,sell,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x5405fd2a45435f7c7f8f2294b9a1f72416a5ea19edc15c9f7df09621bcaad2fd
6,0.07277439936197787,0.005967500747682185,0xd0f770146d6abf08f51600d5bc0b358030f43609,2017-11-01T12:12:15.000Z,0.082,0x7df842fa03e8d8271d7af5da123ffd0ce7aeac6d,sell,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x3d15f1ce54f285f954302c53b51569dd2d51fdd838f677451add51ff8166e7e7
7,0.384,0.057408,0x50af1719afddfd539fbc0b53b0be582f5b7b9abf,2017-10-30T07:47:58.000Z,0.1495,0x229f306b07b276acacf8c405757ab49423b36d70,buy,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x6ac17d0603bbab1b9a320aefdc5f952fe7841a1cc656a9c3c4943107bb66614c
8,2.343,0.35145,0x50af1719afddfd539fbc0b53b0be582f5b7b9abf,2017-10-30T07:46:41.000Z,0.15,0x36c8f7c03efa71767b30c25cd0441f8b300d5950,buy,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x09601e440fae2ab1a7e51ff10cae24cd8608dfd531185baa097fbf30e415721a
9,1,0.1495,0x327de23f8dd66a9ab2b517c41bd3f123796d03eb,2017-10-30T07:37:35.000Z,0.1495,0x229f306b07b276acacf8c405757ab49423b36d70,buy,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0xb11ce5027adba18d11689d8d2f358fa0d51ba030e1c48aff8ed31f0be1c7450f
10,1,0.1495,0x5b5c2fb533bd6f6443fdb1f40192c81f185c6504,2017-10-30T01:36:25.000Z,0.1495,0x229f306b07b276acacf8c405757ab49423b36d70,buy,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x9df782e3f76c1e76e24934e481a4b7231e2f293a2a8e115222c57c74a3c10f0f
11,4.7,0.7003,0x50af1719afddfd539fbc0b53b0be582f5b7b9abf,2017-10-29T23:42:01.000Z,0.149,0xd0f770146d6abf08f51600d5bc0b358030f43609,buy,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0xbcf163afbaed97b971069bc1752aa1fa963ecff4ca4e669c0aac950f4b2797db
12,4.199,0.621452,0x50af1719afddfd539fbc0b53b0be582f5b7b9abf,2017-10-29T23:41:52.000Z,0.148,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,buy,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x416d2b42c8a932288d2aaeabd88e3a7145baf31e91b61677e7de9b5bffecc921
13,0.001,0.000148,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-29T13:12:38.000Z,0.148,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,buy,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x5dff80d3cd647c6d5de8f4ff96b39a60f28957cdb7d5853435170a2b30f9bbc7
14,2.22,0.1332,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,2017-10-29T11:12:33.000Z,0.06,0x826886b490aa06b93900534851530c1f4a9f0a54,sell,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x8c56a921d3143ffefa48a22a00d1cfecbbefa97fc3bd27d419ef7d7f60852c29
15,2.78,0.1668,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,2017-10-29T04:49:30.000Z,0.06,0x826886b490aa06b93900534851530c1f4a9f0a54,sell,0xb23be73573bc7e03db6e5dfc62405368716d28a8,0x86ac900fc46bb974de12cbd0b7fa041536a1cc15f27ec77e261a950a4e14160e
