,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,30.48780487,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T13:54:01.000Z,0.0000164000000043296,0xd2c42e3b82d20c6d2cd1f2267c888df230113ab8,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x8f79bdf87063490a05408e2fccb53e3c58ee5ac08a73e057f06cd935823fd980
1,2773.40245239,0.03910774798115139,0x02fa28346e75d3863a72776ef440343dfd1ea304,2017-11-02T13:35:53.000Z,0.000014101,0xf9c66dd0545054ecfe325362292a17f6bb6dcca0,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x46616b9a59c6230a34abb6b933125a2123dcd314307b1854549f1e20f723834b
2,100000,1.4201,0x02fa28346e75d3863a72776ef440343dfd1ea304,2017-11-02T13:33:46.000Z,0.000014201,0xf9c66dd0545054ecfe325362292a17f6bb6dcca0,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xdf94901ef054214e51ca7554ca1f14cec85d99a136c74427958179be8d15ab23
3,10000,0.165,0xf05b0c73dc3c7e4ec5033a2e5673d5ef69c1e738,2017-11-02T06:52:46.000Z,0.0000165,0x611a416c156e6465bba1562166f83f54d66c6a0d,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x16cc6335f4b37c60546b542e0308a5ecbd48567f8b15e94fab534b18df395666
4,105.00780912,0.001732628850563253,0xf05b0c73dc3c7e4ec5033a2e5673d5ef69c1e738,2017-11-02T06:44:53.000Z,0.00001650000000079282,0x611a416c156e6465bba1562166f83f54d66c6a0d,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x12b3482817ca0233cee9e3ad47ba01ddc9d560bb51901a66a82998b6fe6fd7bb
5,3.72961124,0.0000522518534724,0x4ff2428c439e3623c9924ae520f16e459d1e6d99,2017-11-02T06:42:26.000Z,0.00001401,0x117ac0195f2d28ba9d046e251dbf4101f9ada4e4,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xe8f4b65de5082f0db703333b7ca3ed3e40ffb05788d6ee79a6898516f1b07fdc
6,37411.73032883,0.5241383419069083,0x4ff2428c439e3623c9924ae520f16e459d1e6d99,2017-11-02T06:41:49.000Z,0.00001401,0x117ac0195f2d28ba9d046e251dbf4101f9ada4e4,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x45dfa5a719a051004cf3a14336997d4e2e6e2c4a5f4cfbd15622d571b224308a
7,1081.19871102,0.016866699891912,0xbcb614675176a6732901e9f3f4b29cd3ec534ed3,2017-11-02T06:40:55.000Z,0.0000156,0x117ac0195f2d28ba9d046e251dbf4101f9ada4e4,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xf8520d3d40ec7d570d7aeec9caf3a650855eea8c1f8b39fbdb1f5aadcecf3bd6
8,15259,0.2137801159,0x6bd09ad951b1084c91aba206a03b36e9e6c7a9ac,2017-11-02T06:40:55.000Z,0.0000140101,0x117ac0195f2d28ba9d046e251dbf4101f9ada4e4,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x799aaf73ec81b5775f1394b4bd208839fff2fc42a1d506aae57e75feb9dc453d
9,90958.90339946,1.2743342366264345,0x4ff2428c439e3623c9924ae520f16e459d1e6d99,2017-11-02T05:29:24.000Z,0.00001401,0x805c5971a2d2aa84b663218014717c5db800276d,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xddc5473b559196a03199e6d7135be9c8b9cae3142031410c2b929e14d9c37b09
10,52600,0.8207704,0x27ae807f933e8a1544efa3132e9a082d60961d78,2017-11-02T05:08:39.000Z,0.000015604,0x611a416c156e6465bba1562166f83f54d66c6a0d,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xae3b18969368e48f87ac66796d264b96ac3f39436cc6f6b432d3c7c357a256f2
11,82668.36676601,1.289874526650054,0x64d3de76a264c667565324570af6df67d1b0d32a,2017-11-02T05:06:06.000Z,0.000015603,0x611a416c156e6465bba1562166f83f54d66c6a0d,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x698a20f2568adb7408d148576887c26d69da85a089e8e8492699d8e86627121c
12,33217.02721563,0.5183184926726905,0x905e0578d5316b3597d3210b913e6f6309168272,2017-11-02T05:03:41.000Z,0.000015604,0xf9ab010f81e02aca06536b9ef2272115fed05946,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xd1d0698f139ab4b1457e9ea03f4f423c77d4a910fc6b0fee24881f1d7c814d93
13,60000,0.9366,0x4ff2428c439e3623c9924ae520f16e459d1e6d99,2017-11-02T05:01:11.000Z,0.00001561,0xf9ab010f81e02aca06536b9ef2272115fed05946,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x0f986a08333b9361a6e5cd9068745ae0e400ae6e5f47d87cbb0efb57f7b162cf
14,3.9754142,0.0000620323631768,0x905e0578d5316b3597d3210b913e6f6309168272,2017-11-02T03:51:09.000Z,0.000015604,0x9f18b49bb00c24769aaec553641bcad225298662,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x1b0a11aa2db97a558a49bd64db42c465af16d05bd7693085a2afc8f7e10012e1
15,39877.37987707,0.6222466356018003,0x905e0578d5316b3597d3210b913e6f6309168272,2017-11-02T03:48:40.000Z,0.000015604,0x9f18b49bb00c24769aaec553641bcad225298662,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x6a95a445381b8808f2dde1fb80a46a0c0ac57d17b5d0a5b2c6218771e974da3f
16,49256.63595181,0.8275114839904112,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T21:35:12.000Z,0.00001680000000000006,0x2921b9fc4b286d6fe9b1027ba9a45fb324376e3d,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x3eb748bd95b27c318e84fb2018db12d274cce986ab32f7566db570fe41cbff6e
17,45696.18498896,0.7676959078145713,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T21:25:06.000Z,0.00001680000000000094,0x2921b9fc4b286d6fe9b1027ba9a45fb324376e3d,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x7d572033c3c8c35ceb103371af368cae84eae26277b95ed226e75949709f5be5
18,45098.29095028,0.757651287964774,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T21:18:15.000Z,0.00001680000000000155,0x2921b9fc4b286d6fe9b1027ba9a45fb324376e3d,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xf61b398b788b11f527936418f2d03c148f3a58f3bc35c2fa96316aee8b1852ac
19,4.14134811,0.00006957464833079,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T21:10:35.000Z,0.00001680000001999107,0x2921b9fc4b286d6fe9b1027ba9a45fb324376e3d,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x3c078afa3226d93e51cb7e43a47d2b5120fbfc9f5c8d248373ad69820646aa73
20,41541.86294084,0.6979032974061478,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T21:09:37.000Z,0.00001680000000000086,0x2921b9fc4b286d6fe9b1027ba9a45fb324376e3d,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x1ddf15b628c362f105050f0dc2ef5d46c15b06745305b8edafc60062f1d6a7dc
21,39762.85975763,0.6679762810684342,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T21:02:57.000Z,0.00001679900000000019,0x00db95a9f5552d0111f0094510850d3dc7c15526,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x4b8193e883601a6924068a4dbbe81c62946b55b79b9fd9191c3e30d3a94569b1
22,27980.67842046,0.4700753974638636,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T20:50:30.000Z,0.00001680000000000484,0x2921b9fc4b286d6fe9b1027ba9a45fb324376e3d,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x35897a37921b5fc3abedea2a61169f58b348a100f1e080688897e23d442ef664
23,73065.152,1.2201880384,0xf732b16f5aee6cd2db5b30a7a3860764a48b19ff,2017-11-01T19:48:33.000Z,0.0000167,0xe28e920659ac540f9902414e0e0ff23a86712ed7,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x9dbd249b9e8a12fb0cd33e32586a18681154d42d78d478b8557008bec678115a
24,21934.84790514,0.36631196001588645,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T19:46:51.000Z,0.0000167000000000022,0xe28e920659ac540f9902414e0e0ff23a86712ed7,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x6b94bc8ed2e4c2d59723ea64902b7ab2c87ab825f7be3354a3d258b6f337cf19
25,18068.56983443,0.3017071722383352,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T19:46:14.000Z,0.00001669790000000035,0xecba73e96217cdb23afff854446dda91a103e7fd,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x6e67fa282c66c3d2c699fe4a55033822789c2fe73366ed8c71ea802e83117b17
26,80000,1.33584,0x669f0ab96fd3beb68bc836bb874894bbb516331a,2017-11-01T19:43:54.000Z,0.000016698,0xbcce870909b3dbbe28f744f69b080dbdeeb7748a,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xc887a3dae98ecb3fe0cffa25dba1b6490e8c9c6590ab79a2a0b93b68be1aed11
27,35825.37144544,0.5982084698588976,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T18:45:04.000Z,0.00001669790000000237,0xecba73e96217cdb23afff854446dda91a103e7fd,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xb491a78d1ae535410b3757544a407a7e7ce27ad9ac89ebf874390e6803b398df
28,37679.05872012,0.6291611546027671,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-01T18:37:06.000Z,0.000016697900000002,0xecba73e96217cdb23afff854446dda91a103e7fd,buy,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x6d51ab4cef80f73a9b64a08940f595bd40a33e2f2fefbd074292c45ffac1feb3
29,4.90010434,0.00007646122812136,0xecba73e96217cdb23afff854446dda91a103e7fd,2017-11-01T18:27:46.000Z,0.000015604,0x0c6ead592dd190072e898e807f2fc68e98bcd8be,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xd7d4866159dc4c5a7a6f76ec0db39eab48c9a05c5f905ea1daf08159fc24e7ea
30,49152.94652277,0.7669825775413031,0xecba73e96217cdb23afff854446dda91a103e7fd,2017-11-01T18:26:56.000Z,0.000015604,0x0c6ead592dd190072e898e807f2fc68e98bcd8be,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xe493e23c174c256337b5a5157824c6230ba5baa4c97928c5f6f717648e574d57
31,20632.781,0.322057078629,0xa9e60f3c758cc407d90438d2bc49314db4b01f1e,2017-11-01T18:26:36.000Z,0.000015609,0x0c6ead592dd190072e898e807f2fc68e98bcd8be,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x512b35f02619baa345e55fd7299a6a9bff0e0dba71c9d8d881e1803e0c1e9399
32,12746.54652551,0.1989735912632111,0x28b4de80dac424e8d408cb4a8e99c0f43913ab14,2017-11-01T17:35:37.000Z,0.00001561,0x00db95a9f5552d0111f0094510850d3dc7c15526,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x70eb2832d18a74c7e81ce42b21eb503056628b7b4c06421cff91837160594bfa
33,1.45347449,0.0000226887367889,0x28b4de80dac424e8d408cb4a8e99c0f43913ab14,2017-11-01T17:28:39.000Z,0.00001561,0xd5c2125ed1a5343eb195e28048bf1db66f31dffe,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x87f8215b3f99c0ef5b8b17677fd1fc3fb84691f22a881932e25cd780b8b6d676
34,897.21862227,0.01400468547501243,0xa9e60f3c758cc407d90438d2bc49314db4b01f1e,2017-11-01T17:18:10.000Z,0.000015609,0x3ab9e5252a79123adcb3ee2f35ad64c3ea8c5bf3,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x79664ae7263d77af689d633a709945d7bf40136a3a0e83db1d508c3fd174730d
35,41670.82045658,0.6502314824044744,0xecba73e96217cdb23afff854446dda91a103e7fd,2017-11-01T13:52:45.000Z,0.000015604,0x4b7c1695c547062a0a52173053ed29a330c3a547,sell,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x5dfac976d98f393b5aba6db59939adba33b60335798efee73330380737006b12
