,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.03,0.00102000003,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-11-01T23:52:40.000Z,0.034000001,0x82d99d98115565d2a58e99fc53704cee56e3c0de,sell,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x6b32f640c80612a09f4f953c6ecb582ebe4ad8dcf8ae418e83af81b4a490890b
1,0.007692307692307692,0.0005,0xf9695cd65d6dfdf257fab76a3eb0cb8f001971cc,2017-10-30T03:30:57.000Z,0.065,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x052344d23c0655f420d15a0fdaacd22bdc0ab0dfff2a319d1def6c2b6ae36707
2,0.007692307692307692,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-29T02:24:31.000Z,0.065,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x2622a41f9484b008482ccd723b7621d7836684bbc915238b211b60aa57ae4a06
3,0.007692307692307692,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-29T02:14:44.000Z,0.065,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x54785af1f0df027522b6b24be284a87fc86fc12a4878f32afac51bd97e408d48
4,0.007692307692307692,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-29T01:51:21.000Z,0.065,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x3805855bf58862db67b6d5577831dea2444b767ab47d8f87223578105cf7ea1c
5,15.417501714455888,0.7708750857227944,0xa5a30418bfefa5637683b9753f25a99871eea252,2017-10-27T03:44:52.000Z,0.05,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,sell,0x2469f31a34fcaac0debf73806ce39b2388874b13,0xb0380a7f70a19c8097c133bc161d34cda95a87f8b498cf37c6db7302b7405673
6,15,0.78,0xc285d754df88d0283adbee7027bdb38f3a38adb6,2017-10-26T08:56:03.000Z,0.052,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,sell,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x11006f1a4b1b8f3a83d2b1d58e269ed5a69f5e55fd8f031cdf6be3fbac3a297b
7,27,1.539,0xc285d754df88d0283adbee7027bdb38f3a38adb6,2017-10-26T08:01:12.000Z,0.057,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,sell,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x8f6eb75f40ec49fe9440fa31860b16b56c0a0b5195b565a8909689f62bb71350
8,0.21,0.016632,0x5d5065b42bdee0274e394ba9042c21e1818c69cf,2017-10-26T07:05:35.000Z,0.0792,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,sell,0x2469f31a34fcaac0debf73806ce39b2388874b13,0xc59e4ee4fd4a2190c17187f23c72a0595297bb24bba64529330f500e0786f1e4
9,0.01,0.0008,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-22T14:11:40.000Z,0.08,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x2704342773741ccec508c9ed81bf0e205fdef3f87804c3e64fdd505aa7238a49
10,0.01,0.0008,0x82d99d98115565d2a58e99fc53704cee56e3c0de,2017-10-22T06:15:06.000Z,0.08,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x19af68e9c22cfbfdbf70f6228953166605d52f8c17e6e6aa2d2d7f1646493062
11,0.12,0.0096,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,2017-10-18T18:47:41.000Z,0.08,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0xd900b006c6ee484b78d6483e963bc1af13a2d6670f20264aaece6ce63dd4c4c8
12,0.1,0.008,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,2017-10-18T18:47:07.000Z,0.08,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0xb709cece35fe8c7b3fc96f710040f972d867ff0effb0c3893d0335a376115dbf
13,0.01,0.0008,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,2017-10-18T18:46:55.000Z,0.08,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x95e1c7584b047aec1131582b826cad9beffaf4044736a7e75a786c5678c43160
14,0.01,0.001,0xa0be78d2bac6a692adba423c7af50ec86a18bddf,2017-09-28T13:52:45.000Z,0.1,0x82d99d98115565d2a58e99fc53704cee56e3c0de,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x568386a642e332981e701e5def33baf092a640539378c56ebbb274832201b5af
15,0.1,0.02,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,2017-09-18T09:30:20.000Z,0.2,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,sell,0x2469f31a34fcaac0debf73806ce39b2388874b13,0x5ccc76e871ed7eaa0b68e1b14235cd8204495a043578276f341c44a40f181245
16,0.36317247677441156,0.07263449535488231,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,2017-09-12T10:29:14.000Z,0.2,0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d,buy,0x2469f31a34fcaac0debf73806ce39b2388874b13,0xcb041e5b7b9b4329cea2fc2cae7cd053897a2c66fbedf0916d32952a8512acfc
