,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,20,0.2270632,0x9822d473b37741449b7e3b956c3e537792fbca46,2017-11-02T17:04:12.000Z,0.01135316,0x65f403f5ce12908bfa7d8089f54f097e8b686fae,buy,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x0d8744f88459cd1114d6cfc533d9a44941053f930fa2be4ec3968cae4dacf284
1,29,0.3161,0xe1c9d09be47672fd12c4350dfe999bdda9ca6325,2017-11-02T16:58:44.000Z,0.0109,0x3f361f37d01b6fd4149a599947e55e4d24829591,sell,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xf5df3652c1e159d96164f569561aa5a6dda3dbe4af966e4a23ab15182a1bc309
2,45.66,0.4999833924,0x65f403f5ce12908bfa7d8089f54f097e8b686fae,2017-11-02T16:56:30.000Z,0.01095014,0x3f361f37d01b6fd4149a599947e55e4d24829591,sell,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x540c114b31b90c7f37f8627d30e0720d0998575038b62b8b40cc8f8a97938a1d
3,25,0.2739975,0x58ca7f973f93a1138c2864cb58b8946707cd92cb,2017-11-02T16:56:20.000Z,0.0109599,0x3f361f37d01b6fd4149a599947e55e4d24829591,sell,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xd388b79f4f2f88fa7f2a983521b684f6e6b5863a0c81e2cafe1c6164e2f2265e
4,0.1,0.00114,0xdcce32ecd82fb651983b10ba53bf3141a330c953,2017-11-02T16:34:08.000Z,0.0114,0x933153cb57b715907aa041ad25ffc343bbf657c2,buy,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x78987e424ff9ff74d051f3f34aacc0223e53272da6ee07a27c16f16dbf615598
5,27.787,0.31531187102,0x8c294dfb889cdda458316f731d12e3f3ffa47d83,2017-11-02T16:32:35.000Z,0.01134746,0x65f403f5ce12908bfa7d8089f54f097e8b686fae,buy,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xfb1daa0484ebac9e3749cc25b3ba0772dff941e849499787ad9e6ee122cea06d
6,83,0.946199917,0xf04d4e12b5220edb151a9ca8a77f2d7dafbff337,2017-11-02T16:28:35.000Z,0.011399999,0xc44d85575607a609c1d7f49819754722ca0bbc97,buy,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x7757bc07e1a500108c3da3de54a8656a433086a6ff4f8b06247a5447b997a758
7,0.18,0.001962,0xe1c9d09be47672fd12c4350dfe999bdda9ca6325,2017-11-02T16:25:47.000Z,0.0109,0x6d7837b2c0f1ec83292e2525da229e12d3583ad6,sell,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x3ec1761584308168ae09038c54c2de28987b9dc308942ea0d433d052e6a77d3d
8,17.89542171,0.1959573730835394,0x65f403f5ce12908bfa7d8089f54f097e8b686fae,2017-11-02T16:19:25.000Z,0.01095014,0x242daf62dc3abc87c36aea0b593d223f919e918f,sell,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xddf82acf01edcc69aa5190af0167a2c4e06011b191bf117c179b7ba2b380a026
9,31,0.353399969,0x012ecf2ec79db72cd9dc22b065f9ffe13d36735e,2017-11-02T16:12:04.000Z,0.011399999,0xc44d85575607a609c1d7f49819754722ca0bbc97,buy,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xf1689d94f7f2aaf2a8b3b84602ae6534af26848f5b01982769a92b2e5941be5e
