,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,1438.8596151074414,0.002172678018812236,0x87983902d569e393bc1eca07b076df9dbcfb5ec7,2017-11-01T17:16:59.000Z,0.00000150999999999999,0xb1dc1e7675ded0f5185f2e005287ca8d6cb03906,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x47f49dedc689d45b7d3157274ce97f285c8e0347d9d0de1087afe0ed10731e57
1,2500,0.00725,0xb85d14ab22a69276e57f24130ce4215e5ffe7dc0,2017-11-01T01:33:20.000Z,0.0000029,0x68ca7fc4bfc3bb2a9cf6f45736dcadc2c427c5a0,buy,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0xec90223c42107e20ae3b36043fee01d1b9c6454d8e1b75d9fc003b4195b3de9e
2,300,0.0009,0x0b773d7819259d78757b26dc4148812d35676d8f,2017-10-31T13:23:44.000Z,0.000003,0x905312a807dc2daa2b7aa65839c7a8d6ef3e0ea2,buy,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0xe7a98c98a1fc0afe5abe1e509e8fd2f7478a38872b170accc7e353e77531e13c
3,3000,0.004542,0x78b0e4933f5b7d90102367e28efcde256998411e,2017-10-31T12:15:46.000Z,0.000001514,0xf017b2648063bc3d3e25da945c0ac4d15bd16bba,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x331fb08833c29e9bb1c33a3d7bdc4c4f5dfd31ac8877c7810a725ab3e537b3af
4,4556.679920085726,0.014581375744274322,0x905312a807dc2daa2b7aa65839c7a8d6ef3e0ea2,2017-10-31T09:44:50.000Z,0.0000032,0xb1dc1e7675ded0f5185f2e005287ca8d6cb03906,buy,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x5b59731c739ef0fab311fe3ec30915980f2066cba8d9d76539eac907b054301f
5,57500,0.08625,0x1a98b91d4bf41cb018af83349fb9b0409c4cad72,2017-10-29T09:10:00.000Z,0.0000015,0x905312a807dc2daa2b7aa65839c7a8d6ef3e0ea2,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x7d2ef9bf4494fa813a94fb651254d347f9ca1a73de5f0a23c2e3e23242c66647
6,30000,0.0363,0x68ca7fc4bfc3bb2a9cf6f45736dcadc2c427c5a0,2017-10-29T05:47:39.000Z,0.00000121,0x905312a807dc2daa2b7aa65839c7a8d6ef3e0ea2,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x9f211004564231d678a3c51d6155fe6e62da54d44af21bedba40eb5f1a139100
7,41027.8137772904,0.04943851560163493,0x927a4460df1ba655363dde2fe1b2a07d3a209e83,2017-10-29T02:12:32.000Z,0.00000120499999999999,0x905312a807dc2daa2b7aa65839c7a8d6ef3e0ea2,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x3582c41f27b07a2e8397051016f0801e5799ecee3ea112cdb015c084803baabc
8,8972.1862227096,0.010811484398365068,0x927a4460df1ba655363dde2fe1b2a07d3a209e83,2017-10-29T01:14:14.000Z,0.00000120499999999999,0x1c2dab0bc25205e34c7787ccf5f20b9a20b0b410,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x4d57de94686390cb7f0e1c59fb5bb92a9bc80a5c615dbe85e22a2b69124e5f58
9,5000,0.007505,0x971f30c325d9924ad472adf0bf98702502baad93,2017-10-28T18:42:22.000Z,0.000001501,0x888d1964bb7be8c18c4ad550ebdab83103e02fb0,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0xcdcd23b695ce91a0c78b966f93178c6a4fd5eb05eb499dd4ee61cf77a3ec2ab4
10,399998.9,1.9999945,0x905312a807dc2daa2b7aa65839c7a8d6ef3e0ea2,2017-10-28T03:03:16.000Z,0.000005,0x4964e6b436e602120f702563524fd538b98d649a,buy,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x22424b129cfbc82a4c01efb6fcfb6b899d2dc041919fdf7cae09ab39590fd9f0
11,4933.50674716772,0.00594980913708427,0x035392de57aa4fe343d86494103dbe1b068a56c6,2017-10-27T17:31:57.000Z,0.00000120599999999999,0x096267c09714c42bd30554a12976ea4fa2b78d9c,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x8eca6cc5d5a0b7399893ff89200bd0d9fe6c5438bd9773c8fdd376fa6fe474d7
12,4933.50674716772,0.00594980913708427,0x035392de57aa4fe343d86494103dbe1b068a56c6,2017-10-27T17:30:51.000Z,0.00000120599999999999,0x096267c09714c42bd30554a12976ea4fa2b78d9c,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0x8eca6cc5d5a0b7399893ff89200bd0d9fe6c5438bd9773c8fdd376fa6fe474d7
13,8006.180839397866,0.0120092712590968,0xf7a3886fa2e983d8894b8367aabcf1f8dae1f02b,2017-10-27T17:29:41.000Z,0.00000149999999999999,0x096267c09714c42bd30554a12976ea4fa2b78d9c,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0xe0f3329403898bf1129c544a2a08cdd2b8f70ee0cd84cfe3f5a2d7f516df007e
14,5000,0.006035,0x035392de57aa4fe343d86494103dbe1b068a56c6,2017-10-27T17:29:41.000Z,0.000001207,0x096267c09714c42bd30554a12976ea4fa2b78d9c,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0xe8b7af54ccf1f51c9e5c099b4b6d310b828ff23813bed2fa529ec5aa33df3f62
15,1993.8191606021335,0.0029907287409032,0xf7a3886fa2e983d8894b8367aabcf1f8dae1f02b,2017-10-27T10:35:14.000Z,0.00000149999999999999,0x242c1f16f74360a3414b48f690e0e476e1bffbe8,sell,0x64c86899bc02dd9af823b131e5acd4369f72bd39,0xc2610e10a393700825deaf0f77a917d81a2ac7ba0cc8bed4388b0b6ca141514a
